time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,297,90,1024.0,1194.0,9.590610114573884e-05,7.929235974062588e-05
2021-01-02 16:15:00,312,88,964.0,1176.0,0.00010331064251934922,7.983981230385944e-05
2021-01-02 16:30:00,301,96,975.5,1100.5,0.00010071288663208746,8.809820747678474e-05
2021-01-02 16:45:00,318,115,955.0,941.5,0.00010484222728410168,0.00010405064642595078
2021-01-02 17:00:00,284,108,1045.5,991.5,9.418359898746e-05,9.70942740449924e-05
2021-01-02 17:15:00,273,104,1062.5,988.5,9.291342816856062e-05,9.77110252799092e-05
2021-01-02 17:30:00,245,83,1188.5,1207.0,8.283880818961363e-05,7.883356714292905e-05
2021-01-02 17:45:00,234,91,1271.5,1106.5,7.830151302615942e-05,8.714889052758597e-05
2021-01-02 18:00:00,274,80,1071.0,1261.5,9.17869444126205e-05,7.453564294445603e-05
2021-01-02 18:15:00,265,78,1092.5,1260.5,8.918183907759729e-05,7.467351875980689e-05
2021-01-02 18:30:00,258,95,1103.0,1023.0,8.890147752188165e-05,9.191256502813975e-05
2021-01-02 18:45:00,240,99,1188.5,988.0,8.27620453260135e-05,9.665995905132644e-05
2021-01-02 19:00:00,228,77,1298.0,1330.0,7.636108612257829e-05,7.091447438099493e-05
2021-01-02 19:15:00,409,80,740.0,1213.0,0.00013843805320218387,7.763975155279503e-05
2021-01-02 19:30:00,543,82,547.0,1147.0,0.0001877910891571915,8.195091140406897e-05
2021-01-02 19:45:00,442,87,645.5,1076.0,0.00015513736325448703,8.817931009318626e-05
2021-01-02 20:00:00,420,90,690.5,1063.0,0.00014634564471876897,9.008657319684217e-05
2021-01-02 20:15:00,383,76,745.5,1213.0,0.00013519962948947491,7.784803449077654e-05
2021-01-02 20:30:00,361,79,784.5,1143.0,0.0001276887591800613,8.182229647221615e-05
2021-01-02 20:45:00,437,93,642.5,989.5,0.0001539766314916389,9.728084351905608e-05
2021-01-02 21:00:00,355,86,810.5,1071.5,0.0001235701970962048,8.806323349761564e-05
2021-01-02 21:15:00,370,84,769.5,1091.0,0.0001291998235898625,8.727445009304079e-05
2021-01-02 21:30:00,389,93,726.0,970.5,0.0001343733624325931,9.731657395431772e-05
2021-01-02 21:45:00,367,84,772.0,1057.0,0.0001274025977632686,8.912372282522202e-05
2021-01-02 22:00:00,350,77,847.5,1184.5,0.00011844936915558123,7.997166718077024e-05
2021-01-02 22:15:00,322,94,895.0,951.5,0.00011067752864640352,9.96390733566178e-05
2021-01-02 22:30:00,334,71,867.0,1210.5,0.00011402002519364629,7.653773472021146e-05
2021-01-02 22:45:00,254,56,1118.0,1506.0,8.829675217430752e-05,6.166158142136551e-05
2021-01-02 23:00:00,282,76,1006.5,1136.0,9.919207701526116e-05,8.39627779747957e-05
2021-01-02 23:15:00,285,81,976.5,1054.0,0.00010128781233962763,9.122895539467224e-05
2021-01-02 23:30:00,268,72,1050.5,1177.0,9.559404206565884e-05,8.103499698932477e-05
2021-01-02 23:45:00,300,92,890.5,914.0,0.00011004142692919129,0.0001065681914798731
2021-01-03 00:00:00,228,48,1184.0,1658.0,8.330224722426317e-05,5.5745308974181786e-05
2021-01-03 00:15:00,256,71,1049.5,1128.5,9.534276655658798e-05,8.523010327247584e-05
2021-01-03 00:30:00,215,63,1200.0,1234.5,8.188295764289814e-05,7.726212463484448e-05
2021-01-03 00:45:00,215,48,1213.0,1567.5,8.097120249767914e-05,5.695794723558163e-05
2021-01-03 01:00:00,210,59,1159.0,1303.0,8.195579304523141e-05,6.960567793570795e-05
2021-01-03 01:15:00,187,61,1279.5,1230.5,7.583296633421819e-05,7.771264919873163e-05
2021-01-03 01:30:00,190,52,1209.5,1384.0,7.957638558193164e-05,6.757661173467862e-05
2021-01-03 01:45:00,192,55,1180.5,1304.0,8.346744639172837e-05,7.492738854891533e-05
2021-01-03 02:00:00,194,66,1182.5,1086.5,8.395179263041738e-05,9.12463000316597e-05
2021-01-03 02:15:00,199,47,1075.5,1415.0,8.955831101126184e-05,6.807687182428635e-05
2021-01-03 02:30:00,171,46,1196.5,1383.0,7.941896896529623e-05,6.891499335569575e-05
2021-01-03 02:45:00,175,54,1201.0,1174.0,8.219605308643829e-05,8.26644908556234e-05
2021-01-03 03:00:00,183,54,1178.5,1291.0,8.220968861395813e-05,7.416747014759327e-05
2021-01-03 03:15:00,179,65,1186.5,999.0,8.26099577766199e-05,9.85308295386332e-05
2021-01-03 03:30:00,178,60,1165.5,1064.0,8.282390428162361e-05,9.218685661256322e-05
2021-01-03 03:45:00,176,60,1157.5,1034.0,8.358980204415062e-05,9.440374594063891e-05
2021-01-03 04:00:00,188,50,1105.0,1290.5,8.718294738648249e-05,7.445739175756673e-05
2021-01-03 04:15:00,166,50,1214.0,1236.5,7.916969117143481e-05,7.821090979622928e-05
2021-01-03 04:30:00,175,66,1181.5,990.5,8.117873376947187e-05,9.95757469689746e-05
2021-01-03 04:45:00,173,54,1207.0,1212.5,7.825136691116072e-05,8.048481668837769e-05
2021-01-03 05:00:00,199,75,1051.0,934.0,8.842070839650156e-05,0.00010654831753103396
2021-01-03 05:15:00,236,63,907.0,1069.0,0.00010557961418703698,9.252106690007431e-05
2021-01-03 05:30:00,197,64,1065.0,1088.5,8.815895462275127e-05,9.2205866886424e-05
2021-01-03 05:45:00,193,51,1097.5,1272.0,8.722296540005062e-05,7.607670919006648e-05
2021-01-03 06:00:00,232,53,924.5,1298.5,0.00010166204294257276,7.231901144004891e-05
2021-01-03 06:15:00,227,58,936.0,1135.0,0.00010085849686183452,8.435038568486695e-05
2021-01-03 06:30:00,190,46,1137.0,1479.0,8.266659821292218e-05,6.353529731066135e-05
2021-01-03 06:45:00,208,66,1049.5,1048.0,9.03387878271958e-05,9.253093126774384e-05
2021-01-03 07:00:00,227,71,1033.5,1090.5,9.204138050717641e-05,8.818002635465012e-05
2021-01-03 07:15:00,234,64,991.5,1147.0,9.456780693618492e-05,8.32662216260592e-05
2021-01-03 07:30:00,200,72,1245.0,1098.0,7.707966723166063e-05,8.691369470116175e-05
2021-01-03 07:45:00,185,54,1404.0,1450.0,6.849244065592804e-05,6.486502069674642e-05
2021-01-03 08:00:00,224,69,1245.0,1277.5,7.746854915241107e-05,7.535704495539191e-05
2021-01-03 08:15:00,250,77,1152.5,1119.5,8.41459022628516e-05,8.64680820481032e-05
2021-01-03 08:30:00,267,98,1118.0,972.0,8.67735920984682e-05,0.00010351912198883472
2021-01-03 08:45:00,247,73,1192.0,1263.5,8.003818501912006e-05,7.647085936485191e-05
2021-01-03 09:00:00,259,103,1286.5,994.0,7.762609219761864e-05,9.426010848148796e-05
2021-01-03 09:15:00,250,93,1365.5,1083.0,7.043959945226168e-05,8.885169219480876e-05
2021-01-03 09:30:00,310,122,1146.5,851.0,8.623018061884897e-05,0.00011561920719341009
2021-01-03 09:45:00,270,99,1283.5,1040.5,7.449365010608449e-05,9.162356965427372e-05
2021-01-03 10:00:00,272,98,1421.0,1200.0,6.786904667444168e-05,8.120864988133592e-05
2021-01-03 10:15:00,287,100,1364.0,1104.5,7.215379065093026e-05,8.354072317862427e-05
2021-01-03 10:30:00,278,105,1412.5,1145.0,7.004805599006628e-05,8.452057915110751e-05
2021-01-03 10:45:00,322,96,1178.0,1179.0,8.355502227960936e-05,8.041379599187486e-05
2021-01-03 11:00:00,342,114,1092.5,1074.0,8.903940540422328e-05,9.039476344721224e-05
2021-01-03 11:15:00,306,106,1193.0,1098.5,8.080033524217525e-05,8.712319219376198e-05
2021-01-03 11:30:00,302,116,1194.5,1030.5,8.098006254771321e-05,9.462042120769916e-05
2021-01-03 11:45:00,325,141,1141.5,910.5,8.518151000345445e-05,0.00010995206557821921
2021-01-03 12:00:00,322,135,1151.0,1005.0,8.37679118948874e-05,9.785310292189364e-05
2021-01-03 12:15:00,297,112,1220.0,1154.0,7.750562372454971e-05,8.491699742595351e-05
2021-01-03 12:30:00,339,130,1064.5,967.5,8.946422803191366e-05,0.00010055420838699448
2021-01-03 12:45:00,295,127,1161.5,961.5,8.023859421982927e-05,0.00010019802917577259
2021-01-03 13:00:00,261,91,1325.0,1367.0,7.089765393958705e-05,6.932620263820483e-05
2021-01-03 13:15:00,302,112,1177.5,1147.0,8.145923154274073e-05,8.643269131336018e-05
2021-01-03 13:30:00,346,113,1056.5,1086.5,9.274749441035512e-05,8.721881580003582e-05
2021-01-03 13:45:00,314,110,1131.5,1120.5,8.355010238878789e-05,8.583690987124464e-05
2021-01-03 14:00:00,309,121,1170.0,1047.5,8.184981644715109e-05,9.237586134764929e-05
