time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1413,585,210.0,199.5,0.00045628054181457567,0.0005154003383140681
2021-01-02 16:15:00,1406,563,205.0,210.5,0.0004655601390455288,0.000510793344625828
2021-01-02 16:30:00,1368,567,207.0,201.0,0.00045772501299898885,0.0005203300379097599
2021-01-02 16:45:00,1434,566,201.5,205.0,0.00047277910039434523,0.000512110138061636
2021-01-02 17:00:00,1448,591,197.0,196.0,0.0004802037018797256,0.0005313214440795418
2021-01-02 17:15:00,1423,572,193.0,191.0,0.0004843069900507757,0.0005374106390395007
2021-01-02 17:30:00,1464,584,193.0,188.0,0.0004950041436309975,0.0005546843760418142
2021-01-02 17:45:00,1319,517,224.0,207.0,0.0004413662208611293,0.0004951206198105709
2021-01-02 18:00:00,1449,529,203.0,211.0,0.0004853988410725808,0.0004928669389702156
2021-01-02 18:15:00,1361,516,218.0,208.5,0.00045802446409286756,0.0004939940471802609
2021-01-02 18:30:00,1391,468,209.0,225.0,0.0004793099040036333,0.00045279032034915167
2021-01-02 18:45:00,1422,508,204.0,213.0,0.0004903651185566299,0.0004959925171522608
2021-01-02 19:00:00,1513,559,193.0,211.0,0.0005067294881730744,0.000514820664662028
2021-01-02 19:15:00,1506,519,191.0,208.0,0.0005097498976099973,0.0005036878881987578
2021-01-02 19:30:00,1449,507,195.0,206.5,0.00050112207769571,0.0005066964888032068
2021-01-02 19:45:00,1379,501,201.0,205.0,0.00048401453377361456,0.0005077911995021416
2021-01-02 20:00:00,1371,489,204.5,223.0,0.0004777139974034101,0.0004894703810361758
2021-01-02 20:15:00,1258,443,216.0,232.0,0.0004440760676181709,0.0004537720957817633
2021-01-02 20:30:00,1264,450,219.0,225.0,0.00044708751136730607,0.000466076372310092
2021-01-02 20:45:00,1308,447,214.0,222.0,0.00046087284666147306,0.00046757566723675334
2021-01-02 21:00:00,1283,479,218.0,212.5,0.00044659313485755135,0.0004904917307599754
2021-01-02 21:15:00,1291,461,216.0,216.0,0.00045080262771489865,0.0004789704939629977
2021-01-02 21:30:00,1344,470,203.0,212.0,0.0004642616943686507,0.0004918149436401003
2021-01-02 21:45:00,1241,428,225.0,226.0,0.0004308082393030418,0.0004541065877285122
2021-01-02 22:00:00,1340,459,209.0,217.5,0.00045349187048136807,0.0004767142238438122
2021-01-02 22:15:00,1303,427,221.0,234.0,0.00044786590008156455,0.00045261579067314676
2021-01-02 22:30:00,1311,428,219.0,227.0,0.00044754566775110857,0.00046138240084859865
2021-01-02 22:45:00,1315,430,208.0,219.0,0.0004571268862567496,0.0004734728573426281
2021-01-02 23:00:00,1566,383,173.5,250.5,0.0005508325978932588,0.0004231282100571941
2021-01-02 23:15:00,1437,423,187.5,213.5,0.0005107038116913856,0.00047641787817217715
2021-01-02 23:30:00,1355,390,198.0,230.5,0.00048332062313047666,0.0004389395670255091
2021-01-02 23:45:00,1384,417,187.0,211.0,0.0005076577829000023,0.00048303191138159875
2021-01-03 00:00:00,1362,367,192.0,239.0,0.0004976213189449405,0.000426219341531765
2021-01-03 00:15:00,1397,416,185.0,202.0,0.0005202884565607555,0.0004993763797373231
2021-01-03 00:30:00,1403,366,178.0,221.0,0.000534333904990633,0.0004488561526405251
2021-01-03 00:45:00,1412,397,200.0,226.0,0.0005317736647754554,0.00047108968859428966
2021-01-03 01:00:00,1208,357,220.0,246.5,0.00047144094285066446,0.0004211733393736905
2021-01-03 01:15:00,1238,372,193.0,225.0,0.0005020385685655729,0.0004739197623266913
2021-01-03 01:30:00,1213,360,190.0,226.5,0.000508032398478332,0.0004678380812400828
2021-01-03 01:45:00,1143,372,194.0,199.0,0.000496892141800758,0.0005067816098217546
2021-01-03 02:00:00,1069,336,206.0,220.5,0.0004626003418655473,0.0004645266183429949
2021-01-03 02:15:00,1092,336,193.0,206.5,0.000491445606152251,0.000486677211339579
2021-01-03 02:30:00,1028,347,197.0,194.5,0.00047744269062178086,0.0005198587542266614
2021-01-03 02:45:00,988,295,203.0,225.0,0.00046405543113943465,0.0004515930518964612
2021-01-03 03:00:00,1013,325,210.0,229.5,0.00045507330363901417,0.00044637829255495947
2021-01-03 03:15:00,959,287,220.0,231.5,0.0004425863100993212,0.000435051508885965
2021-01-03 03:30:00,1116,317,183.5,213.5,0.0005192779616757973,0.0004870538924363757
2021-01-03 03:45:00,1086,299,189.0,225.5,0.0005157870739769748,0.0004704453339375173
2021-01-03 04:00:00,1071,319,192.0,210.0,0.0004966645566538443,0.00047503815941327577
2021-01-03 04:15:00,1030,278,196.0,226.5,0.00049123362594324,0.00043485265846703486
2021-01-03 04:30:00,1189,335,180.0,196.0,0.0005515515111537262,0.0005054223520394923
2021-01-03 04:45:00,1146,314,186.0,217.0,0.0005183587657814462,0.0004680043044472333
2021-01-03 05:00:00,1196,332,186.0,221.0,0.0005314129007146526,0.00047165388560404365
2021-01-03 05:15:00,1148,309,189.0,224.5,0.0005135821910454172,0.0004537938043194121
2021-01-03 05:30:00,1105,307,199.0,230.5,0.0004944956591783763,0.0004423000177208151
2021-01-03 05:45:00,1195,329,183.0,205.5,0.0005400592935391735,0.0004907693592849387
2021-01-03 06:00:00,1182,345,195.0,215.0,0.0005179505808539699,0.000470755829185224
2021-01-03 06:15:00,1123,349,196.0,196.0,0.0004989607576028201,0.0005075566311037685
2021-01-03 06:30:00,1251,338,182.5,210.0,0.0005442942861282403,0.0004668463150218161
2021-01-03 06:45:00,1164,332,194.0,219.0,0.000505549754956038,0.0004654586239528933
2021-01-03 07:00:00,1206,366,209.5,223.0,0.0004889951757341618,0.00045456182599721054
2021-01-03 07:15:00,1199,360,212.0,218.5,0.00048455897656617824,0.000468372496646583
2021-01-03 07:30:00,1282,363,207.0,233.0,0.0004940806669549448,0.0004381898774516905
2021-01-03 07:45:00,1299,370,205.0,228.0,0.0004809280022273002,0.00044444551218141053
2021-01-03 08:00:00,1345,436,217.0,220.0,0.000465157136651754,0.00047616915363117205
2021-01-03 08:15:00,1461,408,200.0,225.5,0.0004917486528241046,0.0004581685386444949
2021-01-03 08:30:00,1638,414,185.0,233.0,0.0005323413627613892,0.000437315474524261
2021-01-03 08:45:00,1555,473,191.0,203.0,0.0005038841202620716,0.0004954892668434924
2021-01-03 09:00:00,1540,449,212.0,262.0,0.00046156054820205685,0.0004109008612445446
2021-01-03 09:15:00,1796,487,196.0,220.5,0.0005060380824650478,0.00046527714084808466
2021-01-03 09:30:00,1711,531,207.0,209.5,0.0004759349646414536,0.0005032278608172193
2021-01-03 09:45:00,1814,545,200.0,212.5,0.0005004869677497674,0.0005043923783997897
2021-01-03 10:00:00,1790,552,263.0,229.0,0.0004466382115707742,0.0004574201503520145
2021-01-03 10:15:00,2024,564,204.0,222.0,0.0005088476385975013,0.0004711696787274409
2021-01-03 10:30:00,1839,556,208.0,236.0,0.0004633754495170212,0.00044755659055253113
2021-01-03 10:45:00,1932,621,195.0,213.0,0.0005013301336776561,0.0005201767428224405
2021-01-03 11:00:00,1928,646,192.5,204.0,0.0005019531392378437,0.000512236992867536
2021-01-03 11:15:00,1848,591,189.0,215.0,0.0004879706520507838,0.0004857528923255976
2021-01-03 11:30:00,1796,630,194.0,199.5,0.00048159004084666535,0.0005138867703521593
2021-01-03 11:45:00,1915,668,192.0,205.0,0.0005019156666357394,0.0005209076582003576
2021-01-03 12:00:00,2051,716,182.0,205.0,0.0005335651779391741,0.0005189838643857472
2021-01-03 12:15:00,1870,680,195.0,203.0,0.0004879983715990167,0.0005155674843718606
2021-01-03 12:30:00,1950,692,187.0,194.0,0.0005146172408915388,0.0005352577861830783
2021-01-03 12:45:00,1799,624,196.0,210.0,0.0004893194271236368,0.0004923115764226937
2021-01-03 13:00:00,1865,656,192.0,206.0,0.0005066058413690799,0.0004997581201171688
2021-01-03 13:15:00,2205,660,170.0,204.0,0.0005947602832839183,0.0005093355023823012
2021-01-03 13:30:00,2437,719,156.0,189.0,0.0006532533060058828,0.0005549586598250066
2021-01-03 13:45:00,2029,656,188.0,208.0,0.0005398826679836007,0.0005119001170503316
2021-01-03 14:00:00,1942,647,196.0,214.0,0.0005144088787714157,0.0004939436553051993
2021-01-03 14:15:00,2354,713,168.0,193.0,0.0006308093278316612,0.0005578780915092206
2021-01-03 14:30:00,2156,690,183.0,200.0,0.0005746833843733566,0.0005363851836419621
2021-01-03 14:45:00,2425,633,161.0,212.0,0.0006623274432166883,0.0005081064246164319
2021-01-03 15:00:00,2104,657,176.0,211.0,0.0005765162253422173,0.0005149754387285045
2021-01-03 15:15:00,2135,618,176.0,218.0,0.0005900278929813764,0.0004917027155833957
2021-01-03 15:30:00,2019,672,183.0,202.0,0.0005589817064307813,0.0005271650834717274
2021-01-03 15:45:00,1854,622,198.0,219.0,0.0005169383753134322,0.0004976147293959902
2021-01-03 16:00:00,1892,653,196.0,216.0,0.0005233950969055509,0.0005004575392817017
2021-01-03 16:15:00,1905,696,191.5,200.0,0.0005273480483277809,0.0005393016044222731
2021-01-03 16:30:00,1754,649,205.0,203.5,0.0005032981235071788,0.0005344119286671238
2021-01-03 16:45:00,1852,643,187.0,200.0,0.000535285642234384,0.000532592949065726
2021-01-03 17:00:00,1776,643,194.0,198.0,0.0005151267731049294,0.0005283978942974116
2021-01-03 17:15:00,1851,659,185.0,197.0,0.000540606688627779,0.000552071482785255
2021-01-03 17:30:00,1771,617,195.0,206.0,0.00052090732585121,0.0005189212829214343
2021-01-03 17:45:00,1894,613,179.0,204.0,0.0005574295141563257,0.0005249582088734208
2021-01-03 18:00:00,1800,609,186.0,206.0,0.0005363464082668861,0.0005169915337330609
2021-01-03 18:15:00,1769,609,191.0,205.0,0.0005249504279429125,0.0005269661287977904
2021-01-03 18:30:00,1653,596,207.0,205.0,0.000494068931134323,0.0005238749872547193
2021-01-03 18:45:00,1749,567,193.0,214.0,0.0005261099747322825,0.0004983327386152502
2021-01-03 19:00:00,1642,569,208.0,224.0,0.0004873237940145835,0.0004786282799495968
2021-01-03 19:15:00,1694,613,195.0,198.0,0.0005065365340222709,0.0005376777932931493
