time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,218,83,1332.0,1261.5,7.039572407330326e-05,7.312517620524387e-05
2021-01-02 16:15:00,208,97,1374.5,1089.5,6.887376167956614e-05,8.800524765311779e-05
2021-01-02 16:30:00,211,82,1343.0,1244.5,7.059939893478556e-05,7.525055221975362e-05
2021-01-02 16:45:00,220,79,1325.0,1307.5,7.253235849843511e-05,7.147827015347924e-05
2021-01-02 17:00:00,194,90,1479.5,1159.0,6.433668381537759e-05,8.091189503749368e-05
2021-01-02 17:15:00,229,89,1228.0,1143.0,7.793837014871933e-05,8.361808894146075e-05
2021-01-02 17:30:00,214,95,1363.0,1065.5,7.235716307174415e-05,9.023119130817182e-05
2021-01-02 17:45:00,168,83,1713.5,1203.0,5.6216470890575974e-05,7.948744960208391e-05
2021-01-02 18:00:00,183,80,1570.5,1261.5,6.130295922448741e-05,7.453564294445603e-05
2021-01-02 18:15:00,189,81,1501.5,1222.0,6.3605160700626e-05,7.754557717364559e-05
2021-01-02 18:30:00,185,82,1498.0,1180.5,6.37471834943725e-05,7.933505612955222e-05
2021-01-02 18:45:00,197,90,1428.5,1081.5,6.793384553843609e-05,8.78726900466604e-05
2021-01-02 19:00:00,168,79,1692.5,1300.0,5.6266063458741896e-05,7.275640878050128e-05
2021-01-02 19:15:00,173,89,1657.0,1085.5,5.8556927149090005e-05,8.637422360248447e-05
2021-01-02 19:30:00,169,81,1656.0,1158.0,5.8446950400672864e-05,8.095151004548277e-05
2021-01-02 19:45:00,176,94,1553.5,998.0,6.177415369409438e-05,9.527419711217829e-05
2021-01-02 20:00:00,161,73,1713.0,1267.0,5.609916380886144e-05,7.30702204818831e-05
2021-01-02 20:15:00,145,60,1856.5,1492.0,5.118523831846961e-05,6.145897459798148e-05
2021-01-02 20:30:00,183,79,1471.5,1143.0,6.472865077548814e-05,8.182229647221615e-05
2021-01-02 20:45:00,171,89,1560.5,1029.5,6.025172536629351e-05,9.309672121716118e-05
2021-01-02 21:00:00,157,73,1722.5,1248.5,5.4649354772124375e-05,7.475134936425514e-05
2021-01-02 21:15:00,162,74,1680.5,1214.0,5.656857140961546e-05,7.688463460577404e-05
2021-01-02 21:30:00,161,76,1734.5,1173.0,5.5614682137911294e-05,7.95275228013779e-05
2021-01-02 21:45:00,165,74,1707.5,1187.0,5.7279097087028126e-05,7.851375582221941e-05
2021-01-02 22:00:00,160,90,1798.5,1022.0,5.414828304255141e-05,9.347337722427691e-05
2021-01-02 22:15:00,140,60,1977.0,1419.0,4.812066462887109e-05,6.359940852550071e-05
2021-01-02 22:30:00,179,54,1595.5,1542.5,6.110654044809187e-05,5.8211798237907315e-05
2021-01-02 22:45:00,185,73,1514.5,1183.0,6.431062658364918e-05,8.038027578142291e-05
2021-01-02 23:00:00,142,58,1934.5,1440.5,4.994778346158541e-05,6.407685687550198e-05
2021-01-02 23:15:00,138,52,1953.5,1573.0,4.904462492234601e-05,5.85667367965797e-05
2021-01-02 23:30:00,127,54,2095.5,1521.0,4.53001617251443e-05,6.077624774199358e-05
2021-01-02 23:45:00,134,47,1930.0,1669.5,4.915183736170544e-05,5.444244564732648e-05
2021-01-03 00:00:00,111,54,2282.5,1495.5,4.0555041411812334e-05,6.27134725959545e-05
2021-01-03 00:15:00,138,62,1881.0,1266.0,5.1395710096910714e-05,7.44262873646972e-05
2021-01-03 00:30:00,121,62,2059.5,1254.0,4.608296685949152e-05,7.603574170413267e-05
2021-01-03 00:45:00,127,52,1965.5,1449.0,4.782950101025698e-05,6.170444283854676e-05
2021-01-03 01:00:00,130,49,1846.0,1545.5,5.073453855180992e-05,5.7808105404232034e-05
2021-01-03 01:15:00,123,67,1867.5,1111.5,4.987943774924512e-05,8.535651633303309e-05
2021-01-03 01:30:00,114,51,1933.5,1404.0,4.774583134915898e-05,6.627706150901173e-05
2021-01-03 01:45:00,134,52,1640.0,1364.0,5.825332196089376e-05,7.084044008261085e-05
2021-01-03 02:00:00,120,51,1838.0,1351.0,5.1928943895103525e-05,7.050850456991886e-05
2021-01-03 02:15:00,135,60,1573.5,1150.0,6.075563812321784e-05,8.690664488206768e-05
2021-01-03 02:30:00,121,46,1700.0,1383.0,5.619704821520962e-05,6.891499335569575e-05
2021-01-03 02:45:00,103,43,1968.5,1458.0,4.837824838801798e-05,6.582542790355198e-05
2021-01-03 03:00:00,112,48,1896.0,1448.0,5.031412636482683e-05,6.592664013119402e-05
2021-01-03 03:15:00,106,35,1900.5,1745.5,4.891986326436709e-05,5.305506205926402e-05
2021-01-03 03:30:00,122,51,1638.0,1247.5,5.676694563122517e-05,7.835882812067873e-05
2021-01-03 03:45:00,90,40,2183.5,1491.0,4.274478513621337e-05,6.293583062709261e-05
2021-01-03 04:00:00,103,37,1983.0,1709.0,4.776512542982816e-05,5.5098469900599375e-05
2021-01-03 04:15:00,120,50,1657.0,1236.5,5.723110205163962e-05,7.821090979622928e-05
2021-01-03 04:30:00,101,37,2000.5,1686.5,4.685172634695234e-05,5.582276724018274e-05
2021-01-03 04:45:00,119,59,1754.0,1122.5,5.3826084753919814e-05,8.793711452989415e-05
2021-01-03 05:00:00,73,27,2804.0,2382.5,3.243573725097796e-05,3.835739431117223e-05
2021-01-03 05:15:00,107,46,1980.0,1439.5,4.7868723381410826e-05,6.755506472068919e-05
2021-01-03 05:30:00,105,54,2034.5,1248.5,4.698827530654256e-05,7.779870018542024e-05
2021-01-03 05:45:00,111,47,1892.5,1365.0,5.016450341660942e-05,7.010990846927694e-05
2021-01-03 06:00:00,105,40,2042.0,1682.5,4.601083840073337e-05,5.458038599248974e-05
2021-01-03 06:15:00,103,41,2038.5,1588.5,4.576398756285884e-05,5.962699677723354e-05
2021-01-03 06:30:00,111,41,1962.5,1638.0,4.829469685070717e-05,5.6629286733415565e-05
2021-01-03 06:45:00,126,43,1735.0,1567.5,5.4724458010705154e-05,6.028530370474221e-05
2021-01-03 07:00:00,138,59,1688.5,1290.5,5.5954671850177725e-05,7.327635992851208e-05
2021-01-03 07:15:00,102,51,2222.5,1423.5,4.122186456192676e-05,6.635277035826591e-05
2021-01-03 07:30:00,121,58,2012.0,1325.5,4.663319867515468e-05,7.00138096203803e-05
2021-01-03 07:45:00,134,61,1930.5,1285.5,4.961074079942896e-05,7.327344930558392e-05
2021-01-03 08:00:00,134,61,2042.0,1423.5,4.634279279653162e-05,6.661999626491168e-05
2021-01-03 08:15:00,153,55,1852.5,1537.5,5.149729218486518e-05,6.176291574864515e-05
2021-01-03 08:30:00,185,61,1603.0,1482.0,6.012402448770269e-05,6.443537185019304e-05
2021-01-03 08:45:00,169,82,1733.5,1121.5,5.476296869729267e-05,8.589877353312131e-05
2021-01-03 09:00:00,170,80,1873.5,1264.5,5.095148908724004e-05,7.321173474290327e-05
2021-01-03 09:15:00,127,48,2509.5,1961.5,3.5783316521748935e-05,4.585893790699807e-05
2021-01-03 09:30:00,174,81,1920.0,1233.5,4.840016589574104e-05,7.676357198906734e-05
2021-01-03 09:45:00,184,83,1812.5,1223.0,5.076604303525757e-05,7.681572001317899e-05
2021-01-03 10:00:00,186,75,1938.5,1485.5,4.641045103472849e-05,6.214947695000199e-05
2021-01-03 10:15:00,193,72,1953.5,1515.5,4.852153866073011e-05,6.014932068860947e-05
2021-01-03 10:30:00,156,62,2344.0,1801.0,3.930754221025302e-05,4.9907389593987295e-05
2021-01-03 10:45:00,193,80,1878.5,1394.0,5.00811158383994e-05,6.701149665989572e-05
2021-01-03 11:00:00,181,80,1954.0,1462.5,4.712319408820004e-05,6.343492171734191e-05
2021-01-03 11:15:00,179,67,1985.0,1639.0,4.726555558284107e-05,5.506843280171747e-05
2021-01-03 11:30:00,195,92,1786.0,1246.5,5.228845098279496e-05,7.504378233714071e-05
2021-01-03 11:45:00,177,91,1999.5,1339.0,4.6391160832650566e-05,7.096197140154571e-05
2021-01-03 12:00:00,207,84,1747.5,1538.0,5.385080050385618e-05,6.08863751514005e-05
2021-01-03 12:15:00,247,102,1456.5,1235.0,6.445753892243696e-05,7.733512265577909e-05
2021-01-03 12:30:00,241,118,1481.0,1062.0,6.360141284864659e-05,9.12722814589642e-05
2021-01-03 12:45:00,190,92,1791.5,1310.5,5.167909458226292e-05,7.258439908796124e-05
2021-01-03 13:00:00,199,81,1722.5,1528.0,5.405606564742461e-05,6.170793861202847e-05
2021-01-03 13:15:00,192,86,1815.5,1423.5,5.178865051723915e-05,6.636795940133013e-05
2021-01-03 13:30:00,203,114,1711.0,1073.5,5.441543747197136e-05,8.799066372746976e-05
2021-01-03 13:45:00,213,97,1658.0,1263.5,5.667570639748988e-05,7.569254779555209e-05
2021-01-03 14:00:00,203,87,1726.0,1419.0,5.377188588599248e-05,6.641900774583051e-05
2021-01-03 14:15:00,185,78,1850.5,1514.5,4.957507461718664e-05,6.1030141848133544e-05
2021-01-03 14:30:00,177,92,1940.5,1348.0,4.717948007146758e-05,7.151802448559495e-05
2021-01-03 14:45:00,167,74,2015.0,1576.0,4.56118280483245e-05,5.9399487237939894e-05
2021-01-03 15:00:00,155,66,2158.5,1759.5,4.247148998481165e-05,5.1732692475009583e-05
2021-01-03 15:15:00,179,98,1869.5,1220.0,4.946838072302875e-05,7.797227528668734e-05
2021-01-03 15:30:00,179,87,1864.0,1374.5,4.955806114468047e-05,6.824905098517897e-05
2021-01-03 15:45:00,150,76,2180.0,1517.0,4.182349314833594e-05,6.080179973327211e-05
2021-01-03 16:00:00,169,80,1992.0,1542.0,4.675146478701803e-05,6.131179654293435e-05
2021-01-03 16:15:00,234,75,1466.0,1594.5,6.477661066073527e-05,5.8114397028262195e-05
2021-01-03 16:30:00,179,63,1830.0,1767.0,5.136280735905644e-05,5.187665871499046e-05
2021-01-03 16:45:00,164,65,1958.0,1699.0,4.7401104387926006e-05,5.3839100605399985e-05
2021-01-03 17:00:00,172,82,1861.5,1378.5,4.9888403701603526e-05,6.738511249204936e-05
2021-01-03 17:15:00,178,74,1785.0,1497.5,5.198702894421646e-05,6.199285239166749e-05
2021-01-03 17:30:00,166,78,1891.0,1422.5,4.8825870181423406e-05,6.560106980206139e-05
2021-01-03 17:45:00,185,83,1716.5,1294.0,5.444797260766645e-05,7.107917020635226e-05
2021-01-03 18:00:00,197,69,1583.0,1548.0,5.870013468254252e-05,5.857539544758818e-05
2021-01-03 18:15:00,169,76,1847.0,1424.0,5.015071923253375e-05,6.576260392222016e-05
2021-01-03 18:30:00,158,64,1948.0,1622.0,4.722497950346222e-05,5.625503218842623e-05
2021-01-03 18:45:00,186,80,1675.0,1325.5,5.594994585489111e-05,7.031149751185188e-05
2021-01-03 19:00:00,169,86,1898.0,1303.0,5.0156955656799394e-05,7.234100540538722e-05
2021-01-03 19:15:00,168,76,1897.5,1414.5,5.023502816749794e-05,6.666152086505603e-05
2021-01-03 19:30:00,183,79,1729.5,1384.5,5.5245666611420994e-05,6.868299061390422e-05
2021-01-03 19:45:00,126,67,2399.0,1547.5,3.81416076808722e-05,5.8801227278152626e-05
2021-01-03 20:00:00,165,81,1858.0,1276.0,5.073076904156357e-05,7.290020412057154e-05
2021-01-03 20:15:00,156,65,1956.5,1546.5,4.780431121342051e-05,5.9649554280176706e-05
2021-01-03 20:30:00,165,71,1873.0,1451.0,4.996233143012178e-05,6.471028930056379e-05
2021-01-03 20:45:00,145,62,2039.0,1552.5,4.4760477424513e-05,5.801636435774013e-05
2021-01-03 21:00:00,156,75,1966.5,1364.5,4.797856465357631e-05,6.96343915903938e-05
2021-01-03 21:15:00,172,84,1781.5,1188.0,5.319043660689546e-05,7.878350761058061e-05
2021-01-03 21:30:00,148,69,1966.5,1372.5,4.700195788561057e-05,6.714740314716959e-05
2021-01-03 21:45:00,157,75,1879.5,1264.5,4.915480350445571e-05,7.392323417106428e-05
2021-01-03 22:00:00,184,83,1767.5,1195.5,5.5989201387071606e-05,7.921313678295409e-05
2021-01-03 22:15:00,157,77,1939.0,1261.5,4.859069949252121e-05,7.430811425306833e-05
2021-01-03 22:30:00,139,63,2176.0,1595.5,4.2935039285560944e-05,5.9119457902723145e-05
2021-01-03 22:45:00,144,67,2160.0,1563.0,4.4008044915099624e-05,6.109036267615907e-05
2021-01-03 23:00:00,142,69,2234.0,1526.5,4.2639607931807864e-05,6.287617494156617e-05
2021-01-03 23:15:00,124,60,2438.5,1719.0,3.816067985097639e-05,5.5538071347908995e-05
2021-01-03 23:30:00,146,52,2083.0,1813.0,4.6286858685269344e-05,5.09784429811017e-05
2021-01-03 23:45:00,164,81,1781.0,1132.5,5.4049279760390306e-05,8.521283747176667e-05
2021-01-04 00:00:00,143,68,1939.0,1305.5,4.87306018979036e-05,7.323395772462093e-05
2021-01-04 00:15:00,117,51,2246.5,1553.5,4.1670346953719565e-05,5.877587146754131e-05
2021-01-04 00:30:00,124,59,2047.0,1357.5,4.577687979618952e-05,6.967110514904894e-05
2021-01-04 00:45:00,128,62,1930.0,1239.0,4.887615393544682e-05,7.714522838098296e-05
2021-01-04 01:00:00,143,78,1700.5,1003.5,5.4608436506999996e-05,9.676410895142442e-05
2021-01-04 01:15:00,121,56,1901.5,1267.5,4.8800161322847354e-05,7.35291221279328e-05
2021-01-04 01:30:00,106,51,2081.5,1318.0,4.4256636721067545e-05,6.955544523667946e-05
2021-01-04 01:45:00,89,47,2401.5,1400.5,3.812070901092179e-05,6.652474720596061e-05
2021-01-04 02:00:00,100,39,2180.5,1705.0,4.2860859505960016e-05,5.414312944511622e-05
2021-01-04 02:15:00,108,50,2007.0,1348.5,4.635388097868494e-05,7.030657886781097e-05
2021-01-04 02:30:00,91,37,2333.0,1736.5,3.944043129628562e-05,5.3630727797965794e-05
2021-01-04 02:45:00,96,34,2230.0,1820.5,4.131484494022258e-05,5.020539914768952e-05
2021-01-04 03:00:00,81,38,2698.0,1819.0,3.388284900380241e-05,4.992845777563465e-05
2021-01-04 03:15:00,91,35,2359.5,1835.5,3.985681330324071e-05,5.054655265289972e-05
2021-01-04 03:30:00,98,43,2176.5,1519.0,4.323135879248639e-05,6.205156918317046e-05
2021-01-04 03:45:00,84,37,2450.5,1698.5,3.784813525842166e-05,5.443706192877867e-05
2021-01-04 04:00:00,96,55,2234.0,1256.5,4.203091636591941e-05,7.655337231523844e-05
2021-01-04 04:15:00,105,55,1952.5,1159.0,4.7864927908580716e-05,8.219603904760197e-05
2021-01-04 04:30:00,109,59,1891.0,1090.5,4.990310099700902e-05,8.771329941752423e-05
2021-01-04 04:45:00,80,36,2500.5,1676.0,3.725981970904738e-05,5.449162342655438e-05
2021-01-04 05:00:00,128,52,1684.0,1315.5,5.675711148870356e-05,7.264528008248034e-05
2021-01-04 05:15:00,101,47,2142.0,1382.0,4.4450273347176e-05,6.697350983940607e-05
2021-01-04 05:30:00,82,35,2574.5,1852.0,3.593065208875397e-05,4.806101276912451e-05
2021-01-04 05:45:00,85,43,2505.5,1546.5,3.67388043896388e-05,5.9864983578895774e-05
2021-01-04 06:00:00,82,47,2757.0,1614.5,3.3509681437352835e-05,5.865519853536721e-05
2021-01-04 06:15:00,98,39,2326.5,1797.0,4.024252279554129e-05,5.191409947007685e-05
2021-01-04 06:30:00,111,50,2176.5,1543.5,4.3628748436636515e-05,6.155649285575343e-05
2021-01-04 06:45:00,114,61,2106.5,1264.0,4.463759558416712e-05,7.747832194656028e-05
2021-01-04 07:00:00,107,45,2397.0,1822.5,3.906545215705188e-05,4.9918743378833335e-05
2021-01-04 07:15:00,115,54,2294.0,1495.0,4.1750348887698095e-05,6.355071994727644e-05
2021-01-04 07:30:00,115,52,2361.0,1664.5,3.938186228950395e-05,5.6806884994461325e-05
2021-01-04 07:45:00,130,69,2146.0,1247.0,4.407321985722311e-05,7.598600095588187e-05
2021-01-04 08:00:00,139,65,2152.5,1462.5,4.368415164120415e-05,6.412583659552974e-05
2021-01-04 08:15:00,116,50,2580.0,1803.5,3.590485337665027e-05,5.08106844707305e-05
2021-01-04 08:30:00,153,70,2088.0,1435.5,4.5202039823292516e-05,6.553583031088327e-05
2021-01-04 08:45:00,161,69,2021.0,1423.0,4.691743696744338e-05,6.506002966360193e-05
2021-01-04 09:00:00,218,73,1661.0,1488.5,5.9183131612968386e-05,6.017214178205156e-05
