time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,359,126,857.5,876.5,0.00011592690340511867,0.00011100930363687624
2021-01-02 16:15:00,358,138,843.0,778.5,0.00011854233981386866,0.0001252033420219614
2021-01-02 16:30:00,356,127,826.5,829.0,0.00011911557355821641,0.00011654658697449648
2021-01-02 16:45:00,372,150,813.0,728.5,0.0001226456243700812,0.00013571823446863144
2021-01-02 17:00:00,333,135,906.5,806.5,0.00011043358613670484,0.00012136784255624052
2021-01-02 17:15:00,335,125,877.5,830.5,0.00011401464628742783,0.00011744113615373701
2021-01-02 17:30:00,346,140,870.0,740.0,0.0001169886842188013,0.00013297228192783215
2021-01-02 17:45:00,325,121,950.5,841.0,0.0001087521014252214,0.00011587929399821872
2021-01-02 18:00:00,338,136,885.0,770.0,0.00011322623069878003,0.00012671059300557527
2021-01-02 18:15:00,348,141,867.0,730.5,0.00011711426414718435,0.00013498674545042014
2021-01-02 18:30:00,304,128,961.0,796.0,0.00010475212855291482,0.00012384008761686201
2021-01-02 18:45:00,364,185,805.5,556.5,0.00012552243541112047,0.00018062719620702412
2021-01-02 19:00:00,1031,680,288.5,178.5,0.0003452994727735887,0.0006262576958321629
2021-01-02 19:15:00,456,229,660.5,474.5,0.00015434658254326612,0.00022224378881987577
2021-01-02 19:30:00,388,143,767.0,692.0,0.0001341858979613081,0.00014291439427782757
2021-01-02 19:45:00,408,177,700.5,567.0,0.0001432037199272188,0.00017939928605165484
2021-01-02 20:00:00,378,137,773.5,719.0,0.0001317110802468921,0.00013713178364408197
2021-01-02 20:15:00,345,126,819.5,772.0,0.00012178556703360013,0.00012906384665576108
2021-01-02 20:30:00,374,134,754.5,724.0,0.00013228696934444026,0.00013878718642122736
2021-01-02 20:45:00,426,133,664.0,712.0,0.0001501007895090119,0.0001391220665380049
2021-01-02 21:00:00,386,138,732.5,706.5,0.00013436083402573254,0.00014131077003105765
2021-01-02 21:15:00,493,114,578.0,819.5,0.00017215003521568165,0.00011844389655484109
2021-01-02 21:30:00,559,141,512.0,676.0,0.0001930969398452945,0.00014754448309203008
2021-01-02 21:45:00,511,128,554.0,718.0,0.00017739162794831135,0.00013580757763843358
2021-01-02 22:00:00,565,119,516.0,800.0,0.0001912111244940097,0.0001235925765520995
2021-01-02 22:15:00,520,95,544.5,941.0,0.00017873389719294975,0.00010069906349870946
2021-01-02 22:30:00,457,121,628.0,741.5,0.00015600943566915074,0.00013043754790345897
2021-01-02 22:45:00,444,117,634.5,767.5,0.00015434550380075804,0.00012882866118392442
2021-01-02 23:00:00,415,114,662.5,787.0,0.00014597415589125316,0.00012594416696219354
2021-01-02 23:15:00,437,133,627.0,678.0,0.00015530797892076236,0.00014979569219125192
2021-01-02 23:30:00,445,153,609.0,606.0,0.0001587289131314111,0.00017219936860231512
2021-01-02 23:45:00,392,109,684.0,778.5,0.0001437874645208099,0.00012626013990550184
2021-01-03 00:00:00,379,100,723.0,834.5,0.00013847171797366553,0.0001161360603628787
2021-01-03 00:15:00,591,111,440.5,738.0,0.00022010771498024806,0.00013324706286260308
2021-01-03 00:30:00,458,98,566.5,811.0,0.00017442974232766207,0.00012018552720975808
2021-01-03 00:45:00,507,119,526.5,693.5,0.00019094139379685263,0.00014120824418821282
2021-01-03 01:00:00,466,123,531.0,669.5,0.00018186380742418016,0.00014511014213715382
2021-01-03 01:15:00,450,109,535.0,712.5,0.0001824857478630919,0.0001388635862731434
2021-01-03 01:30:00,403,105,589.5,737.5,0.00016878570205009708,0.00013645277369502416
2021-01-03 01:45:00,351,93,641.0,781.5,0.00015258892543487844,0.00012669540245543865
2021-01-03 02:00:00,390,109,576.0,687.5,0.0001687690676590865,0.00015069464702198345
2021-01-03 02:15:00,340,90,637.0,771.5,0.00015301419971773382,0.0001303599673231015
2021-01-03 02:30:00,366,86,565.5,769.5,0.00016998445989063404,0.0001288410745345616
2021-01-03 02:45:00,332,85,620.0,772.5,0.0001559376549982715,0.00013012003190237018
2021-01-03 03:00:00,362,116,591.0,649.5,0.00016262244414345817,0.00015932271365038552
2021-01-03 03:15:00,328,83,653.5,782.5,0.0001513746712331359,0.0001258162900262547
2021-01-03 03:30:00,305,77,685.5,844.0,0.00014191736407806292,0.0001183064659861228
2021-01-03 03:45:00,308,84,657.5,751.0,0.00014628215357726358,0.0001321652443168945
2021-01-03 04:00:00,295,97,703.0,696.5,0.0001368030291436826,0.00014444734000967945
2021-01-03 04:15:00,352,88,553.0,728.0,0.00016787789935147622,0.00013765120124136355
2021-01-03 04:30:00,330,105,617.5,651.0,0.00015307989796528986,0.00015841596108700506
2021-01-03 04:45:00,336,89,619.0,779.0,0.00015197953342283238,0.00013265090157899286
2021-01-03 05:00:00,359,103,581.5,668.0,0.0001595127352479601,0.00014632635607595332
