time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,950,381,312.0,294.0,0.0003067703572001748,0.0003356709895686496
2021-01-02 16:15:00,1000,381,289.0,294.5,0.0003311238542286834,0.00034567009645193684
2021-01-02 16:30:00,1071,422,265.0,256.0,0.0003583505035978926,0.0003872650370333663
2021-01-02 16:45:00,992,401,293.0,282.0,0.0003270549983202165,0.0003628200801461414
2021-01-02 17:00:00,939,380,302.0,296.5,0.0003114028149620596,0.00034162800126941775
2021-01-02 17:15:00,986,381,284.0,281.0,0.000335577436535534,0.00035796058299659045
2021-01-02 17:30:00,985,366,282.0,298.0,0.0003330458206806916,0.000347627537039904
2021-01-02 17:45:00,929,361,317.5,295.0,0.00031086369915086365,0.0003457225217632806
2021-01-02 18:00:00,980,393,303.0,284.0,0.0003282890712568179,0.0003661563459646403
2021-01-02 18:15:00,924,366,328.0,293.0,0.0003109585634252826,0.0003503911264883246
2021-01-02 18:30:00,858,351,339.0,302.0,0.0002956490996657925,0.00033959274026186374
2021-01-02 18:45:00,907,362,320.0,295.5,0.00031277156296122597,0.0003534434866321229
2021-01-02 19:00:00,910,381,327.0,301.5,0.00030477451040151864,0.0003508885031059619
2021-01-02 19:15:00,815,334,352.0,320.0,0.0002758606683613199,0.00032414596273291923
2021-01-02 19:30:00,815,347,349.0,302.0,0.0002818595537073869,0.00034679227142941384
2021-01-02 19:45:00,824,336,340.0,305.5,0.00028921535593144193,0.000340554576911616
2021-01-02 20:00:00,797,323,344.0,318.0,0.00027770828295442594,0.00032331070158422246
2021-01-02 20:15:00,843,325,329.5,317.0,0.00029758038553427506,0.0003329027790723997
2021-01-02 20:30:00,872,326,302.5,307.0,0.000308433789487572,0.00033764643860686663
2021-01-02 20:45:00,773,312,347.0,312.0,0.00027236598659733844,0.00032636153954780097
2021-01-02 21:00:00,797,324,335.0,311.0,0.0002774237946075358,0.000331773112246831
2021-01-02 21:15:00,736,309,365.0,330.0,0.00025700289233010487,0.00032104529855654293
2021-01-02 21:30:00,731,297,368.0,343.0,0.0002525113828746158,0.0003107851877895953
2021-01-02 21:45:00,729,284,367.0,342.5,0.0002530694653117788,0.00030132306288527445
2021-01-02 22:00:00,713,304,397.5,329.0,0.00024129828630836973,0.000315732296402002
2021-01-02 22:15:00,733,290,376.5,337.5,0.00025194605123544646,0.00030739714120658684
