time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,185,93,1590.0,1162.0,5.973949061266561e-05,8.193543839864674e-05
2021-01-02 16:15:00,138,65,2026.0,1539.5,4.5695091883558313e-05,5.8972588633532546e-05
2021-01-02 16:30:00,161,69,1758.5,1438.0,5.3869683547395615e-05,6.332058662393904e-05
2021-01-02 16:45:00,133,69,2105.5,1474.0,4.384910763769032e-05,6.243038785557047e-05
2021-01-02 17:00:00,124,55,2228.5,1795.5,4.112241645931352e-05,4.944615807846836e-05
2021-01-02 17:15:00,144,60,1904.5,1598.5,4.90092807922078e-05,5.6371745353793774e-05
2021-01-02 17:30:00,148,74,1924.0,1312.5,5.004140249821558e-05,7.0285349018997e-05
2021-01-02 17:45:00,164,66,1749.0,1442.0,5.487798348841941e-05,6.320688763539203e-05
2021-01-02 18:00:00,171,88,1666.0,1156.0,5.728309304583251e-05,8.198920723890165e-05
2021-01-02 18:15:00,144,66,1931.0,1458.0,4.846107481952456e-05,6.318528510445198e-05
2021-01-02 18:30:00,133,69,2034.5,1383.5,4.582905624190024e-05,6.675754723096467e-05
2021-01-02 18:45:00,124,54,2159.5,1690.5,4.276039008510697e-05,5.272361402799624e-05
2021-01-02 19:00:00,145,74,1930.5,1379.5,4.856297143760462e-05,6.815157278173538e-05
2021-01-02 19:15:00,140,64,2000.0,1462.5,4.738710867556416e-05,6.211180124223604e-05
2021-01-02 19:30:00,129,59,2113.5,1540.0,4.461335267270296e-05,5.8964680156586204e-05
2021-01-02 19:45:00,130,71,2071.0,1285.5,4.562863625131972e-05,7.196242547834742e-05
2021-01-02 20:00:00,139,56,1973.0,1608.0,4.843343956168783e-05,5.605386776692401e-05
2021-01-02 20:15:00,126,66,2123.5,1376.0,4.4478207090532206e-05,6.760487205777961e-05
2021-01-02 20:30:00,120,58,2208.0,1506.5,4.2445016901959444e-05,6.0072065764411864e-05
2021-01-02 20:45:00,126,57,2095.0,1522.0,4.439600816463731e-05,5.96237428020021e-05
2021-01-02 21:00:00,126,68,2134.0,1335.0,4.385871784259663e-05,6.963139392834724e-05
2021-01-02 21:15:00,127,58,2117.0,1506.5,4.434696647543929e-05,6.026092982614722e-05
2021-01-02 21:30:00,115,53,2339.0,1623.0,3.972477295565092e-05,5.545998300622409e-05
2021-01-02 21:45:00,138,75,1997.5,1172.0,4.7906153927332616e-05,7.957475252251966e-05
2021-01-02 22:00:00,143,77,2013.5,1184.5,4.839502796928033e-05,7.997166718077024e-05
2021-01-02 22:15:00,120,63,2271.5,1362.0,4.12462839676038e-05,6.677937895177574e-05
2021-01-02 22:30:00,114,61,2432.5,1369.5,3.891701458705293e-05,6.575777208356196e-05
