time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,210,73,1385.0,1412.5,6.78123947495123e-05,6.431491401184101e-05
2021-01-02 16:15:00,192,61,1497.0,1635.5,6.357578001190721e-05,5.5343506256084385e-05
2021-01-02 16:30:00,162,58,1745.0,1682.5,5.420427785514342e-05,5.3226000350557455e-05
2021-01-02 16:45:00,165,51,1770.0,1922.0,5.439926887382633e-05,4.6144199719334696e-05
2021-01-02 17:00:00,166,49,1719.5,1984.0,5.5050976872951965e-05,4.4052031742635434e-05
2021-01-02 17:15:00,166,51,1673.5,1863.5,5.649680980212843e-05,4.791598355072471e-05
2021-01-02 17:30:00,172,46,1657.0,2010.0,5.8156224524953246e-05,4.369089263343056e-05
2021-01-02 17:45:00,176,40,1645.5,2242.0,5.8893445694889124e-05,3.830720462751032e-05
2021-01-02 18:00:00,159,46,1779.5,2036.5,5.3263226867177586e-05,4.2857994693062224e-05
2021-01-02 18:15:00,161,46,1741.0,1996.0,5.418217393016288e-05,4.403822901219381e-05
2021-01-02 18:30:00,194,57,1433.0,1634.0,6.684839782653117e-05,5.514753901688386e-05
2021-01-02 18:45:00,158,42,1755.0,2120.0,5.448501317295888e-05,4.100725535510819e-05
2021-01-02 19:00:00,154,48,1830.0,1989.5,5.157722483718008e-05,4.420642558815268e-05
2021-01-02 19:15:00,158,55,1810.0,1666.5,5.3479736933850986e-05,5.337732919254658e-05
2021-01-02 19:30:00,128,30,2131.0,2770.5,4.4267512729503706e-05,2.9982040757586205e-05
2021-01-02 19:45:00,133,52,2034.0,1685.0,4.668160478019633e-05,5.270487499822628e-05
2021-01-02 20:00:00,152,44,1811.0,1978.5,5.296318570774496e-05,4.404232467401173e-05
2021-01-02 20:15:00,201,57,1364.5,1571.0,7.095333035870615e-05,5.838602586808241e-05
2021-01-02 20:30:00,189,38,1420.0,2199.0,6.685090162058612e-05,3.935756032840777e-05
2021-01-02 20:45:00,164,55,1646.0,1570.5,5.778528046825809e-05,5.753168165105466e-05
2021-01-02 21:00:00,144,47,1879.5,1860.5,5.0124248962967575e-05,4.8127581097534134e-05
2021-01-02 21:15:00,135,40,2006.5,2078.5,4.714047617467956e-05,4.1559261949067045e-05
2021-01-02 21:30:00,143,44,1937.0,1927.0,4.939689158833114e-05,4.6042250042903006e-05
2021-01-02 21:45:00,166,48,1693.0,1737.5,5.762624312997981e-05,5.0927841614412576e-05
2021-01-02 22:00:00,158,36,1823.5,2352.0,5.347142950451952e-05,3.738935088971077e-05
2021-01-02 22:15:00,152,40,1831.5,2037.5,5.224529302563148e-05,4.239960568366714e-05
2021-01-02 22:30:00,205,51,1404.0,1618.0,6.998235079250745e-05,5.4977809446912464e-05
2021-01-02 22:45:00,141,28,1973.0,2768.5,4.901512620699748e-05,3.0830790710682756e-05
2021-01-02 23:00:00,149,36,1835.0,2225.5,5.24099981392692e-05,3.9771842198587436e-05
2021-01-02 23:15:00,195,45,1425.5,1795.0,6.930218739027153e-05,5.068275299704013e-05
2021-01-02 23:30:00,139,37,1929.5,2154.0,4.958049196689022e-05,4.164298456395856e-05
2021-01-02 23:45:00,123,41,2099.5,1878.5,4.511698504096842e-05,4.749234620298692e-05
2021-01-03 00:00:00,121,36,2130.5,2128.5,4.4208648746209836e-05,4.180898173063634e-05
2021-01-03 00:15:00,118,39,2141.0,1905.0,4.394705645967727e-05,4.681653560037405e-05
2021-01-03 00:30:00,118,40,2108.0,1847.0,4.494041396214874e-05,4.9055317228472695e-05
2021-01-03 00:45:00,94,24,2576.0,2801.0,3.540136295247367e-05,2.8478973617790808e-05
2021-01-03 01:00:00,122,39,1959.5,1905.5,4.7612413102467765e-05,4.60105328727561e-05
2021-01-03 01:15:00,114,42,2013.0,1714.5,4.622972279198328e-05,5.3507069940110304e-05
2021-01-03 01:30:00,98,30,2231.0,2193.0,4.104466203699632e-05,3.8986506770006895e-05
2021-01-03 01:45:00,95,39,2247.5,1739.5,4.129899691257394e-05,5.313033006195814e-05
2021-01-03 02:00:00,113,37,1927.5,1826.0,4.8899755501222496e-05,5.115322880562741e-05
2021-01-03 02:15:00,119,36,1787.5,1782.0,5.355496990120683e-05,5.2143986929240614e-05
2021-01-03 02:30:00,107,35,1891.0,1755.0,4.969491040518536e-05,5.243532103150763e-05
2021-01-03 02:45:00,93,38,2152.0,1624.5,4.368133106879293e-05,5.817130837988314e-05
2021-01-03 03:00:00,70,30,2901.5,2163.5,3.1446328978016774e-05,4.120415008199625e-05
2021-01-03 03:15:00,90,33,2219.5,1859.5,4.153573296031168e-05,5.002334422730608e-05
2021-01-03 03:30:00,88,28,2252.5,2088.5,4.094664930776897e-05,4.3020533085862845e-05
2021-01-03 03:45:00,81,34,2397.0,1719.5,3.8470306622592045e-05,5.349545603302872e-05
2021-01-03 04:00:00,84,32,2408.5,1954.0,3.895408287481132e-05,4.765273072484271e-05
2021-01-03 04:15:00,72,23,2665.0,2434.0,3.433866123098377e-05,3.5977018506265474e-05
2021-01-03 04:30:00,81,21,2457.5,2759.5,3.7574156773298414e-05,3.168319221740101e-05
