time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,139,58,2111.0,1743.0,4.4885347000867684e-05,5.1099520721736685e-05
2021-01-02 16:15:00,139,63,2015.0,1591.5,4.6026215737786986e-05,5.715804744480846e-05
2021-01-02 16:30:00,108,38,2469.5,2442.5,3.613618523676228e-05,3.4872207126227296e-05
2021-01-02 16:45:00,127,40,2195.5,2367.0,4.187095240591482e-05,3.619152919163505e-05
2021-01-02 17:00:00,156,57,1826.0,1733.5,5.173465296494281e-05,5.124420019041266e-05
2021-01-02 17:15:00,122,54,2204.5,1765.0,4.152175178228717e-05,5.073457081841439e-05
2021-01-02 17:30:00,105,40,2563.5,2267.0,3.5502346366977275e-05,3.799208055080919e-05
2021-01-02 17:45:00,124,41,2213.0,2192.5,4.1493109466853704e-05,3.926488474319808e-05
2021-01-02 18:00:00,120,46,2312.0,2036.5,4.019866178654913e-05,4.2857994693062224e-05
2021-01-02 18:15:00,121,58,2251.0,1642.0,4.072076425807272e-05,5.5526462667548706e-05
2021-01-02 18:30:00,73,27,3393.5,3133.0,2.5154294027509148e-05,2.6122518481681825e-05
2021-01-02 18:45:00,142,54,1922.0,1690.5,4.896754348455798e-05,5.272361402799624e-05
2021-01-02 19:00:00,126,38,2180.0,2461.0,4.2199547594056424e-05,3.499675359062087e-05
2021-01-02 19:15:00,117,37,2338.0,2381.0,3.960208367886433e-05,3.5908385093167704e-05
2021-01-02 19:30:00,114,46,2335.0,1918.5,3.942575352471424e-05,4.597246249496552e-05
2021-01-02 19:45:00,88,40,2839.0,2125.0,3.0887076847047197e-05,4.054221153709714e-05
2021-01-02 20:00:00,132,42,2058.5,2076.5,4.599434548304168e-05,4.2040400825193014e-05
2021-01-02 20:15:00,127,40,2107.5,2147.0,4.483120873410786e-05,4.0972649731987654e-05
2021-01-02 20:30:00,106,39,2443.5,2146.0,3.7493098263397495e-05,4.039328560020797e-05
2021-01-02 20:45:00,104,44,2497.0,1924.0,3.664432419938318e-05,4.602534532084373e-05
2021-01-02 21:00:00,103,38,2565.5,2255.5,3.5852761411011526e-05,3.8911661312899936e-05
2021-01-02 21:15:00,120,37,2221.5,2241.5,4.1902645488604055e-05,3.844231730288702e-05
2021-01-02 21:30:00,90,29,2898.0,2751.5,3.108895274790072e-05,3.034602843736789e-05
2021-01-02 21:45:00,114,41,2353.0,2029.5,3.957464889649216e-05,4.350086471231075e-05
2021-01-02 22:00:00,107,39,2596.0,2186.0,3.6211664284706265e-05,4.0505130130519986e-05
2021-01-02 22:15:00,90,28,2918.0,2804.0,3.0934712975702836e-05,2.9679723978567e-05
2021-01-02 22:30:00,93,34,2887.5,2319.5,3.174809084733265e-05,3.6651872964608314e-05
2021-01-02 22:45:00,119,49,2290.5,1691.0,4.1367376018671636e-05,5.395388374369482e-05
2021-01-02 23:00:00,115,36,2351.0,2225.5,4.045066970480508e-05,3.9771842198587436e-05
2021-01-02 23:15:00,116,36,2290.5,2170.0,4.12259166013923e-05,4.05462023976321e-05
2021-01-02 23:30:00,83,27,3089.5,2805.0,2.9605617505409272e-05,3.038812387099679e-05
2021-01-02 23:45:00,104,34,2443.5,2230.5,3.814769466878631e-05,3.938389685125745e-05
2021-01-03 00:00:00,99,22,2508.5,3301.5,3.6170712610535326e-05,2.554993327983332e-05
2021-01-03 00:15:00,113,35,2229.0,2095.5,4.208489305036891e-05,4.201483964136133e-05
2021-01-03 00:30:00,111,37,2231.5,1958.5,4.22744572016823e-05,4.537616843633724e-05
2021-01-03 00:45:00,76,25,3075.5,2694.0,2.8622378557319133e-05,2.966559751853209e-05
2021-01-03 01:00:00,89,33,2602.0,2203.0,3.4733645623931407e-05,3.893198935387055e-05
2021-01-03 01:15:00,81,27,2739.5,2478.0,3.284743461535654e-05,3.439740210435662e-05
2021-01-03 01:30:00,91,34,2373.5,1998.5,3.811290046292516e-05,4.4184707672674484e-05
2021-01-03 01:45:00,102,36,2092.5,1860.5,4.43420808956057e-05,4.904338159565367e-05
2021-01-03 02:00:00,76,27,2774.0,2393.0,3.288833113356557e-05,3.7328031831133506e-05
2021-01-03 02:15:00,66,26,3009.5,2357.5,2.9702756415795385e-05,3.7659546115562657e-05
2021-01-03 02:30:00,124,40,1649.0,1567.0,5.759036346021482e-05,5.992608117886587e-05
2021-01-03 02:45:00,89,22,2240.5,2603.5,4.180256414110291e-05,3.367812590414287e-05
2021-01-03 03:00:00,99,36,2101.0,1857.0,4.4474093840338e-05,4.9444980098395505e-05
2021-01-03 03:15:00,83,30,2391.5,2008.0,3.830517595228744e-05,4.547576747936916e-05
2021-01-03 03:30:00,103,30,1952.0,1968.5,4.7926191803411405e-05,4.609342830628161e-05
2021-01-03 03:45:00,90,26,2183.5,2196.5,4.274478513621337e-05,4.09082899076102e-05
2021-01-03 04:00:00,79,20,2568.0,2957.0,3.663538746559636e-05,2.978295670302669e-05
2021-01-03 04:15:00,113,26,1753.0,2196.5,5.389262109862731e-05,4.0669673094039225e-05
2021-01-03 04:30:00,122,41,1679.5,1534.5,5.659317439928897e-05,6.185766099587816e-05
2021-01-03 04:45:00,92,27,2252.0,2227.0,4.161344367529934e-05,4.024240834418885e-05
2021-01-03 05:00:00,103,33,2062.5,1997.0,4.576549228562643e-05,4.688125971365495e-05
2021-01-03 05:15:00,122,35,1750.0,1813.0,5.457929207973945e-05,5.1400592722263505e-05
2021-01-03 05:30:00,100,27,2132.5,2290.5,4.475073838718339e-05,3.889935009271012e-05
2021-01-03 05:45:00,94,36,2205.0,1736.5,4.248165154199356e-05,5.370120648710574e-05
2021-01-03 06:00:00,102,24,2103.5,2637.5,4.469624301785527e-05,3.2748231595493846e-05
2021-01-03 06:15:00,109,29,1932.0,2154.5,4.842985091603508e-05,4.217519284243348e-05
2021-01-03 06:30:00,112,21,1944.5,2935.5,4.872978420972255e-05,2.9005244424432362e-05
2021-01-03 06:45:00,120,40,1823.0,1666.0,5.2118531438766804e-05,5.607935228348112e-05
2021-01-03 07:00:00,100,34,2273.5,2091.0,4.054686365954907e-05,4.222705487405781e-05
2021-01-03 07:15:00,106,31,2140.5,2186.5,4.283840827023761e-05,4.0332076100122426e-05
2021-01-03 07:30:00,122,42,1996.5,1787.0,4.701859701131298e-05,5.069965524234436e-05
2021-01-03 07:45:00,135,44,1919.5,1737.0,4.9980970208379916e-05,5.285297982697856e-05
2021-01-03 08:00:00,162,48,1703.0,1749.0,5.6026361440583004e-05,5.242229214288133e-05
2021-01-03 08:15:00,233,47,1232.0,1773.5,7.842398090897769e-05,5.277921891247858e-05
2021-01-03 08:30:00,202,47,1478.0,1845.5,6.564893484603212e-05,4.964692585178808e-05
2021-01-03 08:45:00,198,45,1489.5,1953.5,6.416016450925413e-05,4.7139570841347055e-05
2021-01-03 09:00:00,191,45,1700.0,2093.0,5.724549656272265e-05,4.1181600792883085e-05
2021-01-03 09:15:00,186,50,1787.5,1886.5,5.240706199248269e-05,4.776972698645633e-05
2021-01-03 09:30:00,168,49,1978.5,1944.5,4.673119465795687e-05,4.643722256128766e-05
2021-01-03 09:45:00,158,42,2081.0,2231.5,4.359258043244943e-05,3.887060530787371e-05
