time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,67.0,9.0,3858.5,8430.0,2.1635383086749167e-05,7.929235974062588e-06
2021-01-02 16:15:00,94.0,4.0,2822.5,15862.5,3.112564229749624e-05,3.629082377448156e-06
2021-01-02 16:30:00,93.0,13.0,2847.0,6002.5,3.111727062054529e-05,1.1929965595814603e-05
2021-01-02 16:45:00,100.0,8.0,2702.5,8959.5,3.296925386292505e-05,7.2383058383270115e-06
2021-01-02 17:00:00,149.0,4.0,1902.5,16106.0,4.94132262293364e-05,3.5960842238886077e-06
2021-01-02 17:15:00,130.0,12.0,2070.0,6281.5,4.424448960407648e-05,1.1274349070758756e-05
2021-01-02 17:30:00,125.0,14.0,2233.0,5505.0,4.2264698055925327e-05,1.3297228192783215e-05
2021-01-02 17:45:00,131.0,10.0,2109.0,7180.0,4.3835462420627705e-05,9.57680115687758e-06
2021-01-02 18:00:00,128.0,8.0,2166.0,8780.5,4.287857257231906e-05,7.453564294445604e-06
2021-01-02 18:15:00,122.0,10.0,2233.0,7189.5,4.1057299499874984e-05,9.573528046129088e-06
2021-01-02 18:30:00,126.0,13.0,2122.5,5765.5,4.341700065022127e-05,1.2577508898587545e-05
2021-01-02 18:45:00,103.0,9.0,2538.0,7727.0,3.551871111908079e-05,8.78726900466604e-06
2021-01-02 19:00:00,95.0,6.0,2794.0,11175.0,3.1817119217740955e-05,5.525803198519085e-06
2021-01-02 19:15:00,247.0,9.0,1198.5,7710.5,8.360439887760248e-05,8.734472049689439e-06
2021-01-02 19:30:00,214.0,12.0,1323.0,5937.5,7.400974784463901e-05,1.1992816303034482e-05
2021-01-02 19:45:00,179.0,9.0,1522.0,7445.0,6.2827122222971e-05,9.121997595846857e-06
2021-01-02 20:00:00,171.0,14.0,1603.0,5328.5,5.958358392121309e-05,1.4013466941731006e-05
2021-01-02 20:15:00,140.0,11.0,1918.0,6287.5,4.942023010059135e-05,1.1267478676296604e-05
2021-01-02 20:30:00,129.0,8.0,2068.0,8137.0,4.56283931696064e-05,8.285802174401636e-06
2021-01-02 20:45:00,130.0,4.0,2039.5,14632.0,4.580540524922897e-05,4.184122301894883e-06
2021-01-02 21:00:00,104.0,4.0,2541.5,15092.5,3.620084647325436e-05,4.095964348726309e-06
2021-01-02 21:15:00,124.0,10.0,2161.5,6824.0,4.329940033822419e-05,1.038981548726676e-05
2021-01-02 21:30:00,129.0,10.0,2091.0,6845.0,4.456083227199103e-05,1.046414773702341e-05
2021-01-02 21:45:00,122.0,10.0,2222.5,6754.0,4.235181724010564e-05,1.060996700300262e-05
2021-01-02 22:00:00,119.0,9.0,2375.5,7542.0,4.027278551289761e-05,9.347337722427693e-06
2021-01-02 22:15:00,106.0,7.0,2528.0,8943.5,3.643421750471668e-05,7.41993099464175e-06
2021-01-02 22:30:00,113.0,5.0,2454.0,11927.5,3.857563726611386e-05,5.389981318324751e-06
2021-01-02 22:45:00,101.0,5.0,2672.0,11797.0,3.5110125864586854e-05,5.5054983411933495e-06
2021-01-02 23:00:00,99.0,11.0,2661.0,6084.5,3.482275044152785e-05,1.2152507338457273e-05
2021-01-02 23:15:00,91.0,7.0,2824.5,8675.5,3.234102078212672e-05,7.883983799539577e-06
2021-01-02 23:30:00,134.0,5.0,1997.0,11622.0,4.779702103282942e-05,5.627430346480886e-06
2021-01-02 23:45:00,100.0,5.0,2529.0,11471.5,3.6680475643063755e-05,5.791749536949625e-06
2021-01-03 00:00:00,87.0,6.0,2831.5,9811.5,3.178638380925831e-05,6.968163621772723e-06
2021-01-03 00:15:00,105.0,15.0,2363.5,4432.5,3.910543159547554e-05,1.800635984629771e-05
2021-01-03 00:30:00,75.0,5.0,3114.0,11068.5,2.856382243356912e-05,6.131914653559087e-06
2021-01-03 00:45:00,94.0,11.0,2576.0,5515.5,3.540136295247367e-05,1.3052862908154124e-05
2021-01-03 01:00:00,101.0,10.0,2333.0,6117.0,3.941683379794463e-05,1.1797572531475924e-05
2021-01-03 01:15:00,64.0,8.0,3356.5,6983.0,2.595352858497307e-05,1.0191822845735296e-05
2021-01-03 01:30:00,77.0,5.0,2765.0,10295.0,3.224937731478282e-05,6.4977511283344844e-06
2021-01-03 01:45:00,68.0,3.0,3040.5,16018.5,2.9561387263737128e-05,4.086948466304472e-06
2021-01-03 02:00:00,66.0,6.0,3137.5,8571.0,2.8560919142306944e-05,8.295118184696336e-06
2021-01-03 02:15:00,54.0,3.0,3572.0,15670.5,2.4302255249287132e-05,4.345332244103384e-06
2021-01-03 02:30:00,56.0,4.0,3411.5,11597.0,2.6008551240097008e-05,5.992608117886586e-06
2021-01-03 02:45:00,43.0,3.0,4214.5,14919.5,2.0196744472667695e-05,4.5924717142013e-06
2021-01-03 03:00:00,42.0,6.0,4432.5,8606.5,1.8867797386810058e-05,8.240830016399252e-06
2021-01-03 03:15:00,33.0,4.0,5283.5,11492.5,1.5229768752114285e-05,6.063435663915887e-06
2021-01-03 03:30:00,39.0,5.0,4586.0,9387.5,1.814681048867034e-05,7.682238051046935e-06
2021-01-03 03:45:00,29.0,2.0,5793.0,22647.0,1.377331965500209e-05,3.1467915313546306e-06
2021-01-03 04:00:00,28.0,1.0,6142.5,69331.5,1.2984694291603772e-05,1.4891478351513348e-06
2021-01-03 04:15:00,24.0,1.0,6834.0,67584.0,1.1446220410327925e-05,1.5642181959245858e-06
2021-01-03 04:30:00,27.0,1.0,6317.5,68447.5,1.2524718924432805e-05,1.5087234389238575e-06
2021-01-03 04:45:00,21.0,2.0,7963.0,23323.0,9.498720838927024e-06,2.980919136606581e-06
2021-01-03 05:00:00,35.0,1.0,5280.5,71223.5,1.5551380873756556e-05,1.4206442337471197e-06
2021-01-03 05:15:00,31.0,4.0,5785.0,11807.0,1.3868508643212485e-05,5.874353453972973e-06
2021-01-03 05:30:00,25.0,1.0,6898.0,70096.0,1.1187684596795848e-05,1.4407166701003746e-06
2021-01-03 05:45:00,19.0,2.0,8729.5,23478.0,8.586716801041253e-06,2.9834003603947637e-06
2021-01-03 06:00:00,37.0,3.0,5010.0,16095.0,1.621334305549652e-05,4.093528949436731e-06
2021-01-03 06:15:00,38.0,7.0,4896.5,7353.5,1.6883801236782875e-05,1.0180218961966704e-05
2021-01-03 06:30:00,49.0,5.0,4046.0,10027.5,2.1319280591753612e-05,6.906010577245799e-06
2021-01-03 06:45:00,51.0,2.0,3925.5,24866.0,2.215037586147589e-05,2.8039676141740557e-06
2021-01-03 07:00:00,44.0,3.0,4622.0,17489.0,1.784062001020159e-05,3.725916606534512e-06
2021-01-03 07:15:00,49.0,3.0,4244.0,17172.5,1.9802660426807952e-05,3.903104138721525e-06
2021-01-03 07:30:00,53.0,2.0,4162.0,27289.0,2.0426111816390068e-05,2.414269297254493e-06
2021-01-03 07:45:00,60.0,6.0,3908.5,9759.0,2.2213764537057746e-05,7.207224521860713e-06
2021-01-03 08:00:00,61.0,9.0,4096.5,7342.0,2.109634597454052e-05,9.829179776790248e-06
2021-01-03 08:15:00,68.0,11.0,3779.0,6178.0,2.2887685415495637e-05,1.235258314972903e-05
2021-01-03 08:30:00,84.0,9.0,3256.5,7501.0,2.729955706468663e-05,9.50685814183176e-06
2021-01-03 08:45:00,73.0,15.0,3658.5,5000.0,2.3655010147351268e-05,1.571319028044902e-05
2021-01-03 09:00:00,76.0,7.0,3751.5,10018.5,2.2778312768413197e-05,6.406026790004035e-06
2021-01-03 09:15:00,107.0,15.0,2937.0,5316.0,3.0148148565568e-05,1.43309180959369e-05
2021-01-03 09:30:00,94.0,10.0,3283.0,7420.0,2.614721605861872e-05,9.476984196181154e-06
2021-01-03 09:45:00,80.0,5.0,3744.0,13403.0,2.2072192624025032e-05,4.627453012842108e-06
2021-01-03 10:00:00,80.0,9.0,3990.0,8870.0,1.9961484316012253e-05,7.457937234000238e-06
2021-01-03 10:15:00,82.0,9.0,3985.5,8755.5,2.061536875740865e-05,7.518665086076184e-06
2021-01-03 10:30:00,83.0,7.0,4038.5,10825.5,2.0913628227250008e-05,5.634705276740501e-06
2021-01-03 10:45:00,84.0,15.0,3803.0,5701.5,2.1796962333811132e-05,1.2564655623730445e-05
2021-01-03 11:00:00,80.0,11.0,4023.0,7756.0,2.0827931088707198e-05,8.722301736134514e-06
2021-01-03 11:15:00,92.0,9.0,3511.5,8920.0,2.4292911249281447e-05,7.397252167394885e-06
2021-01-03 11:30:00,92.0,10.0,3505.0,8211.0,2.4669423027780185e-05,8.156932862732687e-06
2021-01-03 11:45:00,73.0,10.0,4321.0,8415.0,1.9133077631545155e-05,7.798018835334695e-06
2021-01-03 12:00:00,80.0,12.0,4049.5,7627.0,2.081190357636954e-05,8.698053593057213e-06
2021-01-03 12:15:00,80.0,16.0,4044.5,5907.0,2.0876935683380394e-05,1.2130999632279075e-05
2021-01-03 12:30:00,80.0,14.0,3960.0,6430.5,2.11125021904221e-05,1.0828914749368636e-05
2021-01-03 12:45:00,63.0,5.0,4758.5,14780.0,1.713569978253981e-05,3.9448042982587635e-06
2021-01-03 13:00:00,60.0,12.0,4944.5,7385.5,1.6298311250479782e-05,9.141916831411627e-06
2021-01-03 13:15:00,54.0,9.0,5362.0,9182.0,1.456555795797351e-05,6.945484123395015e-06
2021-01-03 13:30:00,79.0,11.0,3870.5,7823.0,2.1176451035890333e-05,8.490327201773398e-06
2021-01-03 13:45:00,112.0,12.0,2875.5,7251.5,2.9801310406191857e-05,9.364026531408506e-06
2021-01-03 14:00:00,72.0,9.0,4214.5,9268.5,1.9071801890598317e-05,6.870931835775568e-06
2021-01-03 14:15:00,63.0,9.0,4668.0,8927.0,1.6882322707474372e-05,7.0419394440154065e-06
2021-01-03 14:30:00,73.0,9.0,4188.5,9101.5,1.9458203645294542e-05,6.996328482286462e-06
2021-01-03 14:45:00,45.0,9.0,5967.5,8779.5,1.2290612348350916e-05,7.224261961371068e-06
2021-01-03 15:00:00,59.0,4.0,4931.5,17484.0,1.6166567155508952e-05,3.1353146954551264e-06
2021-01-03 15:15:00,91.0,17.0,3356.0,5382.0,2.5148729864779973e-05,1.3525802855853927e-05
2021-01-03 15:30:00,68.0,12.0,4252.0,7111.5,1.882652602144286e-05,9.413662204852273e-06
2021-01-03 15:45:00,59.0,11.0,4725.5,7529.5,1.6450573971678806e-05,8.800260487710438e-06
2021-01-03 16:00:00,50.0,6.0,5461.5,12589.0,1.3831794315685807e-05,4.598384740720076e-06
2021-01-03 16:15:00,55.0,7.0,5116.0,11041.0,1.5225271736497604e-05,5.4240103893044715e-06
2021-01-03 16:30:00,44.0,8.0,5981.0,9530.0,1.2625494546360244e-05,6.587512217776566e-06
2021-01-03 16:45:00,48.0,9.0,5507.0,8626.5,1.3873493967197858e-05,7.454644699209227e-06
2021-01-03 17:00:00,50.0,4.0,5385.5,16881.5,1.4502442936512656e-05,3.28707865814875e-06
2021-01-03 17:15:00,43.0,7.0,5977.5,10485.5,1.2558664295512965e-05,5.86418873975233e-06
2021-01-03 17:30:00,64.0,3.0,4345.5,21470.0,1.882443187717529e-05,2.5231180693100533e-06
2021-01-03 17:45:00,67.0,6.0,4141.5,11676.5,1.971899548493866e-05,5.138253267929079e-06
