time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,597,254,503.0,450.0,0.00019278095078789932,0.00022378065971243307
2021-01-02 16:15:00,656,256,452.5,437.5,0.0002172172483740163,0.00023226127215668197
2021-01-02 16:30:00,584,244,516.0,448.5,0.00019540307572471453,0.00022391627733682793
2021-01-02 16:45:00,645,264,473.0,434.5,0.00021265168741586661,0.00023886409266479132
2021-01-02 17:00:00,596,264,509.0,437.0,0.0001976529049173456,0.0002373415587766481
2021-01-02 17:15:00,571,262,508.5,424.0,0.0001943354120302129,0.0002461566213782328
2021-01-02 17:30:00,547,210,530.0,504.0,0.0001849503186927292,0.00019945842289174824
2021-01-02 17:45:00,605,243,496.0,447.5,0.00020244621957618133,0.0002327162681121252
2021-01-02 18:00:00,573,263,510.0,420.5,0.00019194861003077207,0.00024503592617989916
2021-01-02 18:15:00,622,264,493.5,416.5,0.00020932492040100196,0.0002527411404178079
2021-01-02 18:30:00,549,225,536.0,479.5,0.00018917407426167842,0.00021768765401401522
2021-01-02 18:45:00,586,248,496.0,431.5,0.00020207732733768292,0.00024213807923968643
2021-01-02 19:00:00,592,225,534.0,523.0,0.00019827089028318573,0.00020721761994446568
2021-01-02 19:15:00,509,223,591.5,486.0,0.00017228598797044398,0.00021642080745341616
2021-01-02 19:30:00,703,224,419.5,465.0,0.00024312548006907115,0.00022386590432331034
2021-01-02 19:45:00,691,210,406.5,488.0,0.0002425337511512456,0.00021284661056976002
2021-01-02 20:00:00,660,217,434.5,487.0,0.0002299717274152084,0.00021720873759683052
2021-01-02 20:15:00,713,229,382.0,453.0,0.00025169017186944017,0.0002345684197156293
2021-01-02 20:30:00,634,215,440.0,470.0,0.00022425117263201905,0.000222680933437044
2021-01-02 20:45:00,609,202,460.0,484.5,0.00021458070612908036,0.0002112981762456917
2021-01-02 21:00:00,610,211,453.0,474.0,0.00021233188796812656,0.0002160621193953128
2021-01-02 21:15:00,571,182,492.5,536.0,0.00019938675478327428,0.00018909464186825503
2021-01-02 21:30:00,646,226,438.0,434.0,0.0002231495941682652,0.0002364897388567291
2021-01-02 21:45:00,584,214,480.5,457.0,0.0002027332890837844,0.0002270532938642561
2021-01-02 22:00:00,606,217,481.0,463.5,0.00020508662202366347,0.00022537469841853432
2021-01-02 22:15:00,692,225,399.5,443.0,0.00023785357087984852,0.00023849778197062769
2021-01-02 22:30:00,757,187,372.0,512.0,0.000258422631950869,0.00020158530130534567
2021-01-02 22:45:00,647,228,433.0,422.0,0.000224913380538492,0.00025105072435841673
2021-01-02 23:00:00,683,210,398.5,460.5,0.00024024180355114672,0.00023200241282509337
2021-01-02 23:15:00,635,196,431.0,478.0,0.00022567635380934574,0.0002207515463871081
2021-01-02 23:30:00,702,214,381.0,439.5,0.00025039931914213617,0.000240854018829382
2021-01-02 23:45:00,591,207,438.0,435.5,0.0002167816110505068,0.0002397784308297145
2021-01-03 00:00:00,612,208,433.0,436.0,0.00022360076886512745,0.00024156300555478775
2021-01-03 00:15:00,574,166,450.0,513.5,0.00021377635938859958,0.00019927038229902805
2021-01-03 00:30:00,597,168,432.0,494.0,0.0002273680265712102,0.00020603233235958528
2021-01-03 00:45:00,577,150,455.0,557.0,0.00021730411088912032,0.0001779935851111926
