time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,77,26,3435.5,3555.5,2.486454474148785e-05,2.2906681702847475e-05
2021-01-02 16:15:00,62,23,4023.5,3760.0,2.052967896217837e-05,2.0867223670326894e-05
2021-01-02 16:30:00,56,23,4394.5,3736.5,1.8737281233876736e-05,2.1106862207979683e-05
2021-01-02 16:45:00,55,29,4470.0,3136.5,1.8133089624608774e-05,2.623885866393541e-05
2021-01-02 17:00:00,51,19,4729.0,4463.0,1.691325193084669e-05,1.7081400063470885e-05
2021-01-02 17:15:00,72,21,3471.5,3948.0,2.4504640396103894e-05,1.9730110873827818e-05
2021-01-02 17:30:00,97,35,2739.0,2537.5,3.2797405691398056e-05,3.324307048195804e-05
2021-01-02 17:45:00,62,22,3921.5,3747.0,2.074655473342685e-05,2.106896254513068e-05
2021-01-02 18:00:00,59,19,4152.0,4375.0,1.976434204505332e-05,1.770221519930831e-05
2021-01-02 18:15:00,50,19,4729.5,4210.0,1.6826762090112697e-05,1.8189703287645265e-05
2021-01-02 18:30:00,49,23,4666.0,3622.0,1.6884389141752716e-05,2.225251574365489e-05
2021-01-02 18:45:00,63,29,3842.5,2923.0,2.1725036898078546e-05,2.831453345947946e-05
2021-01-02 19:00:00,50,19,4687.0,4351.0,1.6745852219863658e-05,1.7498376795310435e-05
2021-01-02 19:15:00,48,20,4867.5,4029.0,1.6247008688764855e-05,1.9409937888198762e-05
2021-01-02 19:30:00,58,23,4121.0,3483.5,2.005871670555637e-05,2.298623124748276e-05
2021-01-02 19:45:00,78,22,3158.0,3568.5,2.737718175079183e-05,2.2298216345403427e-05
2021-01-02 20:00:00,62,22,3892.0,3654.5,2.1603404696580185e-05,2.2021162337005866e-05
2021-01-02 20:15:00,56,13,4212.0,5461.5,1.9768092040236534e-05,1.3316111162895987e-05
2021-01-02 20:30:00,56,17,4217.5,4397.5,1.9807674554247734e-05,1.7607329620603476e-05
2021-01-02 20:45:00,55,18,4308.5,4144.0,1.9379209913135334e-05,1.882855035852698e-05
2021-01-02 21:00:00,59,21,4187.5,3734.5,2.0537018672326997e-05,2.150381283081312e-05
2021-01-02 21:15:00,59,29,4134.5,2766.5,2.060213403189699e-05,3.013046491307361e-05
2021-01-02 21:30:00,56,22,4386.5,3520.0,1.9344237265360445e-05,2.3021125021451503e-05
2021-01-02 21:45:00,41,12,5623.5,5772.0,1.423298776101911e-05,1.2731960403603144e-05
2021-01-02 22:00:00,25,10,8491.0,6951.5,8.460669225398658e-06,1.0385930802697434e-05
