time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1437,608,208.0,190.0,0.00046403052978594855,0.0005356639413588948
2021-01-02 16:15:00,1394,592,207.0,196.0,0.0004615866527947847,0.0005371041918623272
2021-01-02 16:30:00,1316,559,219.5,203.0,0.0004403261089961033,0.0005129885206200278
2021-01-02 16:45:00,1320,584,219.0,197.5,0.00043519415099061066,0.0005283963261978718
2021-01-02 17:00:00,1347,589,215.0,197.0,0.0004467088304088331,0.0005295234019675975
2021-01-02 17:15:00,1256,493,221.5,220.0,0.00042746983802092363,0.0004631878409903388
2021-01-02 17:30:00,1213,502,234.0,215.5,0.00041013662993469937,0.00047680061091265525
2021-01-02 17:45:00,1708,504,173.5,212.0,0.0005715341207208558,0.00048267077830662996
2021-01-02 18:00:00,1704,511,169.5,217.0,0.0005708209973689977,0.00047609641930771297
2021-01-02 18:15:00,1495,536,196.0,200.0,0.0005031201864943697,0.0005131411032725192
2021-01-02 18:30:00,1342,521,213.0,206.5,0.0004624255148618805,0.0005040678566280085
2021-01-02 18:45:00,1292,478,221.0,222.0,0.00044553567733837267,0.00046670162047004083
2021-01-02 19:00:00,1246,495,239.0,236.0,0.00041730663731900247,0.0004558787638778245
2021-01-02 19:15:00,1217,518,234.0,210.0,0.0004119293661297256,0.0005027173913043478
2021-01-02 19:30:00,1188,440,238.0,235.5,0.0004108578525207063,0.00043973659777793103
2021-01-02 19:45:00,1208,517,229.0,201.0,0.0004239953276276479,0.0005240080841169805
2021-01-02 20:00:00,1158,456,242.0,234.0,0.0004034958490103202,0.00045643863753066697
2021-01-02 20:15:00,1136,451,244.0,224.5,0.0004010098671019412,0.0004619666257281608
2021-01-02 20:30:00,1123,460,245.0,219.5,0.00039721461650750375,0.000476433625028094
2021-01-02 20:45:00,1190,483,233.0,205.0,0.00041929563266601916,0.0005052327679538073
2021-01-02 21:00:00,1140,472,241.0,214.5,0.0003968169709568266,0.0004833237931497044
2021-01-02 21:15:00,1104,441,246.0,229.5,0.00038550433849515725,0.00045819086298846414
2021-01-02 21:30:00,1128,464,246.0,217.5,0.000389648207773689,0.0004855364549978862
2021-01-02 21:45:00,1126,422,244.5,229.0,0.000390886444363598,0.00044774060752671065
2021-01-02 22:00:00,1163,467,245.0,213.5,0.0003935903323655456,0.00048502296848597023
2021-01-02 22:15:00,1111,489,261.0,206.0,0.0003818718457333985,0.0005183351794828308
2021-01-02 22:30:00,1138,448,255.0,220.0,0.0003884873912286511,0.00048294232612189765
