time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,62,26,4117.5,3555.5,2.0020802259379827e-05,2.2906681702847475e-05
2021-01-02 16:15:00,73,28,3514.0,3204.5,2.417204135869389e-05,2.540357664213709e-05
2021-01-02 16:30:00,61,24,4110.5,3615.5,2.0410252772615728e-05,2.2024551869196186e-05
2021-01-02 16:45:00,52,21,4689.5,4108.0,1.7144012008721028e-05,1.9000552825608402e-05
2021-01-02 17:00:00,69,24,3673.5,3652.5,2.2882634965263164e-05,2.1576505343331645e-05
2021-01-02 17:15:00,64,16,3872.5,4987.5,2.1781902574314574e-05,1.503246542767834e-05
2021-01-02 17:30:00,69,29,3654.0,2974.0,2.3330113326870778e-05,2.7544258399336656e-05
2021-01-02 17:45:00,62,33,3921.5,2656.5,2.074655473342685e-05,3.1603443817696016e-05
2021-01-02 18:00:00,64,22,3857.5,3858.5,2.143928628615953e-05,2.049730180972541e-05
2021-01-02 18:15:00,48,23,4874.0,3599.5,1.6153691606508187e-05,2.2019114506096906e-05
2021-01-02 18:30:00,73,27,3393.5,3133.0,2.5154294027509148e-05,2.6122518481681825e-05
2021-01-02 18:45:00,66,36,3693.5,2456.0,2.275956246465371e-05,3.514907601866416e-05
2021-01-02 19:00:00,46,25,4998.5,3492.0,1.540618404227457e-05,2.3024179993829518e-05
2021-01-02 19:15:00,39,18,5704.5,4414.5,1.3200694559621445e-05,1.7468944099378878e-05
2021-01-02 19:30:00,38,16,5739.5,4693.0,1.3141917841571416e-05,1.599042173737931e-05
2021-01-02 19:45:00,44,22,5109.5,3568.5,1.5443538423523595e-05,2.2298216345403427e-05
2021-01-02 20:00:00,58,29,4102.0,2876.5,2.0209636651639525e-05,2.902789580787136e-05
2021-01-02 20:15:00,64,20,3783.0,3838.5,2.259210518884176e-05,2.0486324865993827e-05
2021-01-02 20:30:00,79,30,3169.5,2680.0,2.794296946045663e-05,3.1071758154006136e-05
2021-01-02 20:45:00,86,22,2960.5,3487.5,3.0302037318720704e-05,2.3012672660421866e-05
2021-01-02 21:00:00,65,15,3856.5,4971.0,2.262552904578397e-05,1.5359866307723653e-05
2021-01-02 21:15:00,68,19,3662.0,4033.5,2.3744832443542292e-05,1.9740649425806847e-05
2021-01-02 21:30:00,68,16,3730.0,4623.5,2.3489430965080546e-05,1.6742636379237453e-05
2021-01-02 21:45:00,95,36,2777.0,2258.5,3.297887408041013e-05,3.8195881210809444e-05
2021-01-02 22:00:00,87,23,3095.0,3470.5,2.944312890438733e-05,2.3887640846204103e-05
2021-01-02 22:15:00,83,22,3132.5,3469.5,2.8528679744259288e-05,2.331978312601693e-05
2021-01-02 22:30:00,70,20,3702.0,3690.5,2.389641246573425e-05,2.1559925273299004e-05
2021-01-02 22:45:00,62,22,4052.0,3356.5,2.155275053073648e-05,2.422419270125074e-05
2021-01-02 23:00:00,64,11,3914.5,6084.5,2.2511677053108915e-05,1.2152507338457273e-05
2021-01-02 23:15:00,68,18,3667.5,3999.0,2.416691662840238e-05,2.0273101198816048e-05
2021-01-02 23:30:00,55,16,4364.5,4409.0,1.961818027466879e-05,1.8007777108738838e-05
2021-01-02 23:45:00,58,21,4118.5,3413.5,2.127467587297698e-05,2.4325348055188425e-05
2021-01-03 00:00:00,64,9,3803.0,6950.0,2.338308694014405e-05,1.0452245432659086e-05
2021-01-03 00:15:00,57,16,4109.0,4188.0,2.1228662866115293e-05,1.920678383605089e-05
2021-01-03 00:30:00,77,16,3042.5,4100.0,2.9325524365130958e-05,1.9622126891389075e-05
2021-01-03 00:45:00,88,25,2721.0,2694.0,3.314170148742216e-05,2.966559751853209e-05
2021-01-03 01:00:00,80,18,2857.5,3745.5,3.122125449342149e-05,2.1235630556656666e-05
2021-01-03 01:15:00,74,16,2974.0,3912.0,3.000876742637511e-05,2.0383645691470592e-05
2021-01-03 01:30:00,62,14,3339.0,4251.5,2.5967031084630327e-05,1.8193703159336553e-05
2021-01-03 01:45:00,56,16,3587.5,3778.5,2.434467186425411e-05,2.1797058486957185e-05
2021-01-03 02:00:00,64,19,3218.5,3252.5,2.769543674405522e-05,2.6267874251538396e-05
2021-01-03 02:15:00,70,17,2876.0,3343.5,3.150292347129813e-05,2.4623549383252508e-05
2021-01-03 02:30:00,52,7,3643.5,7099.0,2.4150797580090078e-05,1.0487064206301527e-05
2021-01-03 02:45:00,55,9,3434.5,5619.0,2.5833045255737757e-05,1.37774151426039e-05
2021-01-03 03:00:00,45,10,4195.0,5507.0,2.021549720015364e-05,1.3734716693998752e-05
2021-01-03 03:15:00,65,14,2968.5,3899.5,2.9998029360225104e-05,2.122202482370561e-05
2021-01-03 03:30:00,67,12,2886.5,4365.0,3.117528981386957e-05,1.8437371322512648e-05
2021-01-03 03:45:00,51,15,3576.0,3557.0,2.422204491052092e-05,2.3600936485159728e-05
2021-01-03 04:00:00,58,12,3361.0,4550.0,2.689686674689353e-05,1.7869774021816016e-05
2021-01-03 04:15:00,41,11,4358.5,4716.5,1.9553959867643536e-05,1.7206400155170444e-05
2021-01-03 04:30:00,38,10,4692.0,5214.5,1.7627382189942464e-05,1.5087234389238576e-05
2021-01-03 04:45:00,68,19,2908.5,3020.5,3.07577627165256e-05,2.8318731797762523e-05
