time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,333,184,919.0,608.0,0.00010753108310279809,0.00016210882435861292
2021-01-02 16:15:00,310,167,971.0,659.5,0.00010264839481089186,0.00015151418925846052
2021-01-02 16:30:00,301,168,975.5,637.5,0.00010071288663208746,0.00015417186308437332
2021-01-02 16:45:00,307,186,992.0,591.0,0.00010121560935917992,0.00016829061074110298
2021-01-02 17:00:00,308,170,968.0,656.0,0.00010214277636668196,0.00015283357951526583
2021-01-02 17:15:00,279,158,1037.5,667.0,9.49554815349026e-05,0.0001484455960983236
2021-01-02 17:30:00,289,162,1020.5,635.5,9.771598190529936e-05,0.00015386792623077718
2021-01-02 17:45:00,259,147,1162.0,699.0,8.666705928963798e-05,0.0001407789770061004
2021-01-02 18:00:00,284,161,1034.0,651.5,9.513683289483293e-05,0.00015000298142571779
2021-01-02 18:15:00,269,154,1074.5,682.0,9.05279800448063e-05,0.00014743233191038798
2021-01-02 18:30:00,248,132,1139.5,772.0,8.545568381948314e-05,0.00012771009035488892
2021-01-02 18:45:00,261,150,1099.5,683.0,9.000372429203967e-05,0.00014645448341110066
2021-01-02 19:00:00,274,171,1103.0,650.0,9.176727016485288e-05,0.00015748539115779391
2021-01-02 19:15:00,251,155,1175.5,666.0,8.495831626833289e-05,0.00015042701863354036
2021-01-02 19:30:00,256,140,1130.0,703.5,8.853502545900741e-05,0.00013991619020206896
2021-01-02 19:45:00,233,154,1205.0,644.0,8.178055574274996e-05,0.00015608751441782394
2021-01-02 20:00:00,225,133,1255.5,734.0,7.839945252791195e-05,0.00013312793594644453
2021-01-02 20:15:00,223,126,1249.0,772.0,7.871936651737049e-05,0.00012906384665576108
2021-01-02 20:30:00,259,132,1094.5,731.0,9.16104948133958e-05,0.000136715735877627
2021-01-02 20:45:00,233,138,1184.5,694.5,8.209738017746423e-05,0.0001443522194153735
2021-01-02 21:00:00,230,118,1213.0,791.5,8.005956431585099e-05,0.0001208309482874261
2021-01-02 21:15:00,229,141,1223.5,679.0,7.996421514075273e-05,0.00014649639837046135
2021-01-02 21:30:00,242,137,1187.0,692.0,8.359473961102194e-05,0.00014335882399722072
2021-01-02 21:45:00,218,127,1289.0,726.0,7.567783736346747e-05,0.00013474658093813328
2021-01-02 22:00:00,226,129,1291.0,739.0,7.648444979760388e-05,0.0001339785073547969
2021-01-02 22:15:00,217,119,1317.5,780.0,7.458703017475021e-05,0.00012613882690890976
2021-01-02 22:30:00,225,120,1285.0,746.0,7.680989721128867e-05,0.00012935955163979402
2021-01-02 22:45:00,224,147,1258.0,626.0,7.786800191749955e-05,0.00016186165123108448
2021-01-02 23:00:00,232,131,1206.0,699.5,8.160482931751982e-05,0.00014472531466708206
2021-01-02 23:15:00,211,125,1333.5,713.5,7.49885207146015e-05,0.00014078542499177814
2021-01-02 23:30:00,192,106,1445.0,816.5,6.848528386793468e-05,0.0001193015233453948
2021-01-02 23:45:00,196,101,1362.5,841.5,7.189373226040497e-05,0.0001169933406463824
2021-01-03 00:00:00,189,111,1414.5,767.5,6.905317862011289e-05,0.0001289110270027954
2021-01-03 00:15:00,213,116,1259.0,711.0,7.93281612365361e-05,0.00013924918281136897
2021-01-03 00:30:00,183,93,1409.0,860.0,6.969572673790865e-05,0.000114053612556199
2021-01-03 00:45:00,172,99,1485.0,803.0,6.477696199814331e-05,0.00011747576617338711
2021-01-03 01:00:00,181,99,1340.5,819.0,7.063808829136613e-05,0.00011679596806161165
2021-01-03 01:15:00,216,109,1112.0,712.5,8.759315897428411e-05,0.0001388635862731434
2021-01-03 01:30:00,183,88,1252.0,862.0,7.664462400786047e-05,0.00011436041985868692
2021-01-03 01:45:00,204,88,1110.0,818.5,8.86841617912114e-05,0.00011988382167826452
2021-01-03 02:00:00,180,90,1266.0,806.0,7.78934158426553e-05,0.00012442677277044504
2021-01-03 02:15:00,176,91,1212.5,763.5,7.920735044212103e-05,0.0001318084114044693
2021-01-03 02:30:00,172,89,1191.5,745.0,7.988340738029796e-05,0.00013333553062297657
2021-01-03 02:45:00,185,92,1133.0,721.0,8.689297040566336e-05,0.00014083579923550654
2021-01-03 03:00:00,186,85,1160.0,845.5,8.35573884273017e-05,0.0001167450918989894
2021-01-03 03:15:00,152,70,1361.5,933.0,7.01492378885264e-05,0.00010611012411852804
2021-01-03 03:30:00,189,94,1093.0,685.0,8.794223544509473e-05,0.00014442607535968238
2021-01-03 03:45:00,164,72,1256.0,863.5,7.789049735932216e-05,0.0001132844951287667
2021-01-03 04:00:00,178,91,1169.0,748.5,8.254555656805255e-05,0.00013551245299877146
2021-01-03 04:15:00,235,99,861.0,648.5,0.00011207757485112759,0.000154857601396534
2021-01-03 04:30:00,227,119,906.5,578.5,0.00010530041466097209,0.00017953808923193906
2021-01-03 04:45:00,243,110,883.5,623.0,0.00010991376970758414,0.00016395055251336197
2021-01-03 05:00:00,220,95,971.0,726.5,9.775153692075548e-05,0.00013496120220597637
2021-01-03 05:15:00,229,103,937.0,675.0,0.00010244801546115028,0.00015126460143980404
2021-01-03 05:30:00,253,102,827.5,690.0,0.00011321936811957396,0.0001469531003502382
2021-01-03 05:45:00,218,101,957.5,652.0,9.852127698036806e-05,0.00015066171819993557
2021-01-03 06:00:00,216,98,1000.5,732.0,9.465086756722292e-05,0.00013372194568159987
2021-01-03 06:15:00,227,108,936.0,619.5,0.00010085849686183452,0.00015706623541320057
2021-01-03 06:30:00,232,115,948.0,653.5,0.00010094026729156814,0.00015883824327665342
2021-01-03 06:45:00,202,99,1079.0,704.0,8.773286125525745e-05,0.0001387963969016158
2021-01-03 07:00:00,208,108,1129.0,742.0,8.433747641186207e-05,0.00013413299783524246
2021-01-03 07:15:00,227,117,1023.0,634.5,9.173885544664091e-05,0.00015222106141013947
2021-01-03 07:30:00,257,108,982.5,764.5,9.904737239268393e-05,0.00013037054205174262
2021-01-03 07:45:00,257,99,996.5,812.0,9.514895810039734e-05,0.00011891920461070176
2021-01-03 08:00:00,229,106,1216.0,848.0,7.919775783884881e-05,0.00011576589514886291
2021-01-03 08:15:00,258,151,1123.0,594.5,8.683857113526286e-05,0.00016956727778264394
2021-01-03 08:30:00,271,140,1105.0,678.5,8.807357100631043e-05,0.00014788445998404958
2021-01-03 08:45:00,252,129,1168.0,733.5,8.165839119359615e-05,0.00013513343641186155
2021-01-03 09:00:00,329,172,1021.5,646.5,9.860611711589395e-05,0.00015740522969724202
2021-01-03 09:15:00,277,143,1244.5,725.5,7.804707619310595e-05,0.00013662141918126508
2021-01-03 09:30:00,327,145,1077.5,716.0,9.095893245923746e-05,0.00013741627084462674
2021-01-03 09:45:00,338,157,1026.0,674.5,9.325501383650577e-05,0.00014530202460324217
2021-01-03 10:00:00,318,151,1234.0,802.5,7.934690015614871e-05,0.00012512761359267067
2021-01-03 10:15:00,344,191,1153.0,619.5,8.648398600668994e-05,0.00015956278127117235
2021-01-03 10:30:00,298,161,1321.5,778.0,7.508748447856025e-05,0.0001295982213650315
2021-01-03 10:45:00,331,180,1143.5,659.5,8.589041110108912e-05,0.00015077586748476536
2021-01-03 11:00:00,356,200,1040.5,626.0,9.268429334474705e-05,0.0001585873042933548
2021-01-03 11:15:00,355,189,1029.5,638.5,9.373895101624906e-05,0.0001553422955152926
2021-01-03 11:30:00,347,190,1036.0,651.5,9.304662815912745e-05,0.00015498172439192104
2021-01-03 11:45:00,316,164,1171.5,794.0,8.28226374187434e-05,0.00012788750889948899
2021-01-03 12:00:00,318,196,1167.0,706.0,8.272731671606892e-05,0.00014206820868660114
2021-01-03 12:15:00,325,191,1122.5,688.0,8.481255121373285e-05,0.00014481380811033146
2021-01-03 12:30:00,300,179,1193.0,701.5,7.917188321408289e-05,0.0001384554100097847
2021-01-03 12:45:00,314,182,1104.5,681.5,8.540650367805555e-05,0.00014359087645661898
2021-01-03 13:00:00,319,201,1083.0,648.5,8.665268814838417e-05,0.00015312710692614475
2021-01-03 13:15:00,334,211,1065.5,621.0,9.009067329561394e-05,0.00016283301667070538
2021-01-03 13:30:00,317,191,1134.5,667.5,8.497386048578778e-05,0.00014742295413988356
2021-01-03 13:45:00,362,208,1016.0,622.5,9.632209256287012e-05,0.00016230979321108077
2021-01-03 14:00:00,374,205,977.5,634.5,9.906741537616347e-05,0.00015650455848155459
2021-01-03 14:15:00,400,205,911.5,631.5,0.00010718935052364678,0.00016039973178035095
