time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,164,50,1809.5,1978.0,5.295825113771438e-05,4.4051310967014375e-05
2021-01-02 16:15:00,140,41,2005.5,2294.0,4.635733959201568e-05,3.71980943688436e-05
2021-01-02 16:30:00,169,53,1685.0,1818.0,5.654643800937801e-05,4.863755204447491e-05
2021-01-02 16:45:00,175,61,1676.0,1651.5,5.769619426011883e-05,5.519208201724346e-05
2021-01-02 17:00:00,280,62,1060.5,1615.0,9.285706942425632e-05,5.573930547027343e-05
2021-01-02 17:15:00,220,60,1271.0,1598.5,7.487529009920635e-05,5.6371745353793774e-05
2021-01-02 17:30:00,177,42,1614.0,2172.5,5.9846812447190256e-05,3.989168457834965e-05
2021-01-02 17:45:00,183,53,1586.5,1748.0,6.123579864866312e-05,5.075704613145117e-05
2021-01-02 18:00:00,155,55,1825.5,1738.5,5.192327147429262e-05,5.124325452431353e-05
2021-01-02 18:15:00,154,45,1817.0,2044.5,5.18264272375471e-05,4.308087620758089e-05
2021-01-02 18:30:00,152,36,1786.0,2435.5,5.237606427645741e-05,3.483002464224243e-05
2021-01-02 18:45:00,147,40,1860.5,2226.0,5.0691752762183255e-05,3.905452890962685e-05
2021-01-02 19:00:00,133,42,2088.5,2264.0,4.454396690483734e-05,3.86806223896336e-05
2021-01-02 19:15:00,159,59,1796.5,1569.5,5.381821628153358e-05,5.7259316770186343e-05
2021-01-02 19:30:00,120,37,2245.5,2321.5,4.1500793183909726e-05,3.6977850267689646e-05
2021-01-02 19:45:00,125,36,2145.0,2326.5,4.387368870319204e-05,3.6487990383387434e-05
2021-01-02 20:00:00,135,50,2024.5,1777.0,4.703967151674717e-05,5.004809622046787e-05
2021-01-02 20:15:00,118,36,2249.5,2338.0,4.1654193941927e-05,3.687538475878889e-05
2021-01-02 20:30:00,142,43,1894.0,1974.5,5.022660333398533e-05,4.4536186687408786e-05
2021-01-02 20:45:00,107,44,2433.5,1924.0,3.7701372012826926e-05,4.602534532084373e-05
2021-01-02 21:00:00,145,48,1869.0,1826.0,5.047233402521041e-05,4.91515721847157e-05
2021-01-02 21:15:00,139,32,1959.5,2542.5,4.8537231024299686e-05,3.324740955925364e-05
2021-01-02 21:30:00,141,35,1957.5,2359.0,4.8706025971711134e-05,3.662451707958194e-05
2021-01-02 21:45:00,132,39,2068.5,2111.0,4.5823277669622495e-05,4.1378871311710224e-05
2021-01-02 22:00:00,133,39,2130.5,2186.0,4.501076027912086e-05,4.0505130130519986e-05
2021-01-02 22:15:00,171,51,1642.5,1650.0,5.877595465383541e-05,5.40594972466756e-05
