time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,253,73,1174.0,1412.5,8.169778986488865e-05,6.431491401184101e-05
2021-01-02 16:15:00,209,65,1369.0,1539.5,6.920488553379482e-05,5.8972588633532546e-05
2021-01-02 16:30:00,279,76,1058.0,1348.5,9.335181186163588e-05,6.974441425245459e-05
2021-01-02 16:45:00,314,63,970.0,1596.0,0.00010352345712958468,5.700165847682521e-05
2021-01-02 17:00:00,295,79,1001.0,1300.0,9.783155528627006e-05,7.10226634218e-05
2021-01-02 17:15:00,315,95,939.5,1084.0,0.00010720780173295457,8.925526347684014e-05
2021-01-02 17:30:00,263,60,1120.0,1581.0,8.892492470966689e-05,5.6988120826213784e-05
2021-01-02 17:45:00,225,59,1321.0,1595.0,7.52899163713071e-05,5.650312682557772e-05
2021-01-02 18:00:00,276,80,1063.5,1261.5,9.2456922109063e-05,7.453564294445603e-05
2021-01-02 18:15:00,267,70,1084.0,1383.5,8.98549095612018e-05,6.701469632290361e-05
2021-01-02 18:30:00,254,79,1120.0,1215.5,8.752316004092224e-05,7.643255407603199e-05
2021-01-02 18:45:00,199,49,1414.5,1834.0,6.862352924948618e-05,4.784179791429288e-05
2021-01-02 19:00:00,219,65,1351.0,1527.0,7.334683272300284e-05,5.9862867983956754e-05
2021-01-02 19:15:00,207,65,1404.0,1436.5,7.006522497029844e-05,6.308229813664596e-05
2021-01-02 19:30:00,180,53,1552.5,1691.0,6.225118977586459e-05,5.296827200506897e-05
2021-01-02 19:45:00,179,51,1522.0,1713.5,6.2827122222971e-05,5.1691319709798854e-05
2021-01-02 20:00:00,184,56,1493.0,1608.0,6.411333006727022e-05,5.605386776692401e-05
2021-01-02 20:15:00,187,66,1445.0,1376.0,6.601130734864701e-05,6.760487205777961e-05
2021-01-02 20:30:00,181,48,1492.0,1804.0,6.402123382712215e-05,4.9714813046409805e-05
2021-01-02 20:45:00,192,55,1406.0,1570.5,6.765106006039971e-05,5.753168165105466e-05
2021-01-02 21:00:00,186,58,1462.5,1542.5,6.474382157716646e-05,5.939148305653148e-05
2021-01-02 21:15:00,172,51,1588.0,1696.5,6.006045853366581e-05,5.298805898506048e-05
2021-01-02 21:30:00,169,66,1656.0,1325.0,5.837814460439134e-05,6.90633750643545e-05
2021-01-02 21:45:00,157,57,1789.5,1493.5,5.4501928743414645e-05,6.047681191711494e-05
2021-01-02 22:00:00,165,58,1753.5,1538.0,5.5840416887631154e-05,6.023839865564512e-05
2021-01-02 22:15:00,155,63,1791.0,1362.0,5.327645012482157e-05,6.677937895177574e-05
2021-01-02 22:30:00,153,51,1873.5,1618.0,5.223073010367629e-05,5.4977809446912464e-05
2021-01-02 22:45:00,127,40,2162.0,2017.0,4.414837608715376e-05,4.40439867295468e-05
2021-01-02 23:00:00,158,49,1726.5,1672.0,5.557570272486264e-05,5.413389632585512e-05
2021-01-02 23:15:00,125,45,2143.5,1795.0,4.442447909632791e-05,5.068275299704013e-05
2021-01-02 23:30:00,133,48,2012.5,1700.0,4.744032684601726e-05,5.402333132621651e-05
2021-01-02 23:45:00,123,42,2099.5,1831.5,4.511698504096842e-05,4.865069611037685e-05
2021-01-03 00:00:00,162,56,1608.0,1441.0,5.918843881723962e-05,6.503619380321209e-05
2021-01-03 00:15:00,140,48,1858.0,1601.0,5.214057546063405e-05,5.7620351508152684e-05
2021-01-03 00:30:00,132,43,1896.0,1746.5,5.027232748308165e-05,5.2734466020608144e-05
2021-01-03 00:45:00,133,36,1874.0,1999.5,5.008916247530849e-05,4.271846042668623e-05
2021-01-03 01:00:00,180,66,1348.0,1187.5,7.024782261019835e-05,7.78639787077411e-05
2021-01-03 01:15:00,116,36,1982.5,1936.5,4.704077056026369e-05,4.586320280580882e-05
2021-01-03 01:30:00,146,50,1547.5,1429.0,6.114816997348431e-05,6.497751128334483e-05
2021-01-03 01:45:00,125,46,1737.0,1519.5,5.43407854112815e-05,6.26665431500019e-05
2021-01-03 02:00:00,104,33,2089.5,2016.0,4.5005084709089725e-05,4.562315001582985e-05
2021-01-03 02:15:00,117,29,1815.0,2132.5,5.265488637345546e-05,4.2004878359666054e-05
2021-01-03 02:30:00,120,41,1714.5,1533.0,5.573260980020789e-05,6.142423320833753e-05
2021-01-03 02:45:00,104,34,1949.0,1776.0,4.884794011994048e-05,5.2048012760948074e-05
2021-01-03 03:00:00,128,30,1665.0,2163.5,5.750185870265924e-05,4.120415008199625e-05
2021-01-03 03:15:00,141,49,1460.5,1297.0,6.507264830448829e-05,7.427708688296963e-05
2021-01-03 03:30:00,113,47,1780.0,1334.0,5.25792201338397e-05,7.221303767984119e-05
2021-01-03 03:45:00,116,44,1709.0,1349.5,5.509327862000836e-05,6.922941368980188e-05
2021-01-03 04:00:00,113,39,1807.5,1628.5,5.240251624825808e-05,5.807676557090205e-05
2021-01-03 04:15:00,118,43,1687.0,1440.0,5.6277250350778956e-05,6.726138242475719e-05
2021-01-03 04:30:00,136,49,1509.5,1308.0,6.308747310084672e-05,7.392744850726903e-05
2021-01-03 04:45:00,163,54,1286.5,1212.5,7.372816651167166e-05,8.048481668837769e-05
2021-01-03 05:00:00,146,47,1444.5,1459.5,6.487147450195594e-05,6.677027898611462e-05
2021-01-03 05:15:00,111,38,1910.0,1694.0,4.96582083676318e-05,5.5806357812743235e-05
2021-01-03 05:30:00,221,47,953.0,1425.5,9.889913183567529e-05,6.771368349471762e-05
2021-01-03 05:45:00,171,57,1222.5,1148.0,7.728045120937128e-05,8.502691027125076e-05
2021-01-03 06:00:00,154,48,1398.0,1437.0,6.748256298774227e-05,6.549646319098769e-05
2021-01-03 06:15:00,156,46,1360.5,1445.0,6.931244718258232e-05,6.68985817500669e-05
2021-01-03 06:30:00,174,58,1225.0,1206.0,7.57052004686761e-05,8.010972269605128e-05
2021-01-03 06:45:00,146,42,1505.5,1604.0,6.341087991716627e-05,5.8883319897655185e-05
2021-01-03 07:00:00,185,54,1258.5,1399.5,7.501169777016579e-05,6.706649891762123e-05
2021-01-03 07:15:00,212,80,1099.5,909.5,8.567681654047522e-05,0.000104082777032574
2021-01-03 07:30:00,175,51,1409.0,1499.0,6.744470882770305e-05,6.156386707998957e-05
2021-01-03 07:45:00,187,55,1394.0,1421.5,6.923289947382996e-05,6.606622478372321e-05
2021-01-03 08:00:00,199,57,1392.5,1512.0,6.882250572022233e-05,6.225147191967158e-05
2021-01-03 08:15:00,198,60,1439.5,1419.0,6.664355459217846e-05,6.737772627124925e-05
2021-01-03 08:30:00,182,68,1622.0,1338.0,5.914904030682102e-05,7.182959484939552e-05
2021-01-03 08:45:00,220,69,1353.5,1344.0,7.128907167694903e-05,7.228067529006549e-05
2021-01-03 09:00:00,238,87,1374.5,1170.0,7.133208472213606e-05,7.96177615329073e-05
2021-01-03 09:15:00,201,76,1673.5,1313.0,5.66334379596184e-05,7.260998501941362e-05
2021-01-03 09:30:00,223,79,1548.0,1264.5,6.203009767097846e-05,7.486817514983111e-05
2021-01-03 09:45:00,232,68,1472.0,1464.5,6.40093586096726e-05,6.293336097465266e-05
2021-01-03 10:00:00,252,83,1508.5,1371.5,6.28786755954386e-05,6.877875449133554e-05
2021-01-03 10:15:00,247,65,1575.0,1663.5,6.209751320829189e-05,5.4301470066105764e-05
2021-01-03 10:30:00,277,74,1418.5,1540.0,6.979608456564158e-05,5.956688435411386e-05
2021-01-03 10:45:00,287,88,1336.0,1275.0,7.447295464052138e-05,7.371264632588528e-05
2021-01-03 11:00:00,220,102,1654.0,1187.0,5.72768104939448e-05,8.087952518961094e-05
2021-01-03 11:15:00,247,95,1470.5,1198.5,6.52211856366578e-05,7.808210621139046e-05
2021-01-03 11:30:00,241,73,1472.0,1531.5,6.462316249668505e-05,5.9545609897948605e-05
2021-01-03 11:45:00,244,83,1481.5,1435.5,6.395165674105502e-05,6.472355633327797e-05
2021-01-03 12:00:00,245,94,1474.0,1398.5,6.373645470263172e-05,6.813475314561484e-05
2021-01-03 12:15:00,228,87,1558.5,1411.0,5.949926669763412e-05,6.596231050051746e-05
2021-01-03 12:30:00,254,88,1401.5,1366.0,6.703219445459017e-05,6.806746413888856e-05
2021-01-03 12:45:00,224,76,1510.5,1529.5,6.0926932560141555e-05,5.99610253335332e-05
2021-01-03 13:00:00,233,92,1488.5,1352.0,6.329177535602982e-05,7.008802904082246e-05
2021-01-03 13:15:00,209,91,1665.0,1351.5,5.637410394845303e-05,7.022656169210514e-05
2021-01-03 13:30:00,200,75,1737.0,1584.5,5.361126844529198e-05,5.7888594557545895e-05
2021-01-03 13:45:00,252,98,1413.5,1254.0,6.705294841393168e-05,7.647288333983613e-05
2021-01-03 14:00:00,193,93,1823.0,1331.5,5.112302451229826e-05,7.099962896968087e-05
2021-01-03 14:15:00,171,88,1993.5,1374.0,4.5823447348859004e-05,6.885451900815064e-05
2021-01-03 14:30:00,202,83,1732.0,1479.0,5.38432484431438e-05,6.452169600330848e-05
2021-01-03 14:45:00,192,77,1768.5,1520.0,5.243994601963056e-05,6.180757455839694e-05
2021-01-03 15:00:00,203,73,1684.0,1616.0,5.5623951399463e-05,5.721949319205605e-05
2021-01-03 15:15:00,191,74,1767.5,1570.5,5.278469674915358e-05,5.8877024196070046e-05
