time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,244,99,1212.0,1102.5,7.879154437562383e-05,8.722159571468846e-05
2021-01-02 16:15:00,192,80,1497.0,1287.0,6.357578001190721e-05,7.258164754896313e-05
2021-01-02 16:30:00,215,73,1316.5,1388.5,7.193777616577676e-05,6.699134526880507e-05
2021-01-02 16:45:00,194,80,1496.5,1289.5,6.39603524940746e-05,7.238305838327009e-05
2021-01-02 17:00:00,187,74,1542.5,1368.5,6.201525707977119e-05,6.652755814193925e-05
2021-01-02 17:15:00,194,87,1432.0,1168.0,6.602639217839106e-05,8.173903076300096e-05
2021-01-02 17:30:00,198,73,1453.0,1326.5,6.694728172058571e-05,6.933554700522676e-05
2021-01-02 17:45:00,190,91,1529.5,1106.5,6.357815160243711e-05,8.714889052758597e-05
2021-01-02 18:00:00,192,88,1501.5,1156.0,6.43178588584786e-05,8.198920723890165e-05
2021-01-02 18:15:00,195,78,1461.0,1260.5,6.562437215143951e-05,7.467351875980689e-05
2021-01-02 18:30:00,150,57,1812.0,1634.0,5.16869055359777e-05,5.514753901688386e-05
2021-01-02 18:45:00,159,67,1743.5,1403.5,5.482985502848394e-05,6.541633592362496e-05
2021-01-02 19:00:00,208,78,1420.0,1314.5,6.966274523463282e-05,7.18354415807481e-05
2021-01-02 19:15:00,218,71,1341.5,1326.0,7.378849779480705e-05,6.890527950310559e-05
2021-01-02 19:30:00,200,66,1411.5,1369.0,6.916798863984955e-05,6.596048966668965e-05
2021-01-02 19:45:00,197,70,1405.0,1301.5,6.914493339623067e-05,7.094887018991998e-05
2021-01-02 20:00:00,168,65,1633.0,1400.5,5.8538257887507594e-05,6.506252508660824e-05
2021-01-02 20:15:00,174,73,1545.0,1249.5,6.142228598216354e-05,7.477508576087746e-05
2021-01-02 20:30:00,180,67,1498.0,1320.0,6.366752535293916e-05,6.939359321061368e-05
2021-01-02 20:45:00,194,51,1392.5,1677.5,6.835575860269555e-05,5.334755934915977e-05
2021-01-02 21:00:00,171,67,1586.0,1357.0,5.9522545643524e-05,6.860740284116567e-05
2021-01-02 21:15:00,160,62,1700.5,1429.0,5.587019398480541e-05,6.441685602105393e-05
2021-01-02 21:30:00,155,49,1789.0,1749.5,5.354208528805124e-05,5.127432391141471e-05
2021-01-02 21:45:00,167,51,1678.0,1646.5,5.797338917293149e-05,5.411083171531336e-05
2021-01-02 22:00:00,151,51,1904.0,1718.5,5.11024421214079e-05,5.296824709375691e-05
2021-01-02 22:15:00,156,51,1781.0,1650.0,5.362016915788493e-05,5.40594972466756e-05
2021-01-02 22:30:00,205,79,1404.0,1090.5,6.998235079250745e-05,8.516170482953105e-05
2021-01-02 22:45:00,195,66,1439.5,1279.5,6.778687666925183e-05,7.267257810375222e-05
2021-01-02 23:00:00,177,62,1570.0,1357.0,6.225885685000435e-05,6.849595045312281e-05
2021-01-02 23:15:00,173,65,1591.5,1305.0,6.148347906931782e-05,7.320842099572463e-05
2021-01-02 23:30:00,159,63,1701.5,1328.5,5.6714375703133425e-05,7.090562236565917e-05
2021-01-02 23:45:00,138,41,1881.0,1878.5,5.061905638742799e-05,4.749234620298692e-05
2021-01-03 00:00:00,148,59,1755.0,1365.5,5.4073388549083115e-05,6.852027561409845e-05
2021-01-03 00:15:00,119,43,2117.5,1764.5,4.431948914153895e-05,5.161823155938678e-05
2021-01-03 00:30:00,128,38,1959.0,1924.0,4.8748923619957956e-05,4.660255136704906e-05
2021-01-03 00:45:00,162,50,1566.0,1509.0,6.101085955639079e-05,5.9331195037064195e-05
2021-01-03 01:00:00,144,45,1672.5,1651.0,5.6198258088158666e-05,5.308907639164166e-05
2021-01-03 01:15:00,147,50,1591.5,1459.5,5.9612010968610024e-05,6.369889278584559e-05
2021-01-03 01:30:00,142,33,1586.0,2048.5,5.9472877645443654e-05,4.28851574470076e-05
2021-01-03 01:45:00,172,53,1318.0,1340.0,7.477292072592334e-05,7.220275623804568e-05
2021-01-03 02:00:00,159,48,1423.0,1422.5,6.88058506610122e-05,6.636094547757069e-05
2021-01-03 02:15:00,125,34,1698.5,1882.5,5.625522048446096e-05,4.9247098766505016e-05
2021-01-03 02:30:00,104,40,1928.5,1567.0,4.8301595160180156e-05,5.992608117886587e-05
2021-01-03 02:45:00,127,50,1595.0,1272.0,5.9650849954158094e-05,7.654119523668833e-05
2021-01-03 03:00:00,111,39,1917.5,1730.0,4.986489309371231e-05,5.356539510659514e-05
2021-01-03 03:15:00,117,41,1740.0,1514.5,5.399645284840519e-05,6.215021555513786e-05
2021-01-03 03:30:00,102,41,1970.0,1482.5,4.7460888970368593e-05,6.299435201858488e-05
2021-01-03 03:45:00,134,52,1489.5,1171.0,6.364223564725102e-05,8.18165798152204e-05
2021-01-03 04:00:00,126,50,1630.0,1290.5,5.843112431221698e-05,7.445739175756673e-05
2021-01-03 04:15:00,122,50,1634.5,1236.5,5.8184953752500293e-05,7.821090979622928e-05
2021-01-03 04:30:00,113,40,1806.0,1567.5,5.24182680911447e-05,6.0348937556954306e-05
2021-01-03 04:45:00,138,44,1500.0,1467.0,6.242016551294902e-05,6.558022100534478e-05
2021-01-03 05:00:00,139,42,1523.0,1605.0,6.176119832720461e-05,5.966705781737903e-05
2021-01-03 05:15:00,137,42,1560.5,1568.5,6.128986077806806e-05,6.168071126671621e-05
2021-01-03 05:30:00,123,40,1766.5,1649.0,5.504340821623557e-05,5.762866680401499e-05
2021-01-03 05:45:00,139,45,1509.0,1412.5,6.281861238656495e-05,6.712650810888218e-05
