time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,157,50,1884.5,1978.0,5.0697837979397304e-05,4.4051310967014375e-05
2021-01-02 16:15:00,176,58,1632.5,1715.0,5.827779834424828e-05,5.262169447299826e-05
2021-01-02 16:30:00,154,58,1826.0,1682.5,5.152752339316103e-05,5.3226000350557455e-05
2021-01-02 16:45:00,182,58,1613.0,1729.0,6.0004042030523596e-05,5.247771732787083e-05
2021-01-02 17:00:00,186,63,1551.5,1594.0,6.168362468897027e-05,5.663832652624557e-05
2021-01-02 17:15:00,190,48,1456.5,1960.5,6.46650232674964e-05,4.5097396283035025e-05
2021-01-02 17:30:00,273,47,1080.5,1970.0,9.230610055414092e-05,4.464069464720079e-05
2021-01-02 17:45:00,302,61,1022.0,1541.0,0.00010105579886282112,5.8418487056953236e-05
2021-01-02 18:00:00,261,48,1125.0,1962.0,8.743208938574433e-05,4.472138576667362e-05
2021-01-02 18:15:00,325,48,919.5,1912.0,0.00010937395358573252,4.595293462141962e-05
2021-01-02 18:30:00,329,62,894.5,1516.5,0.00011336661280891109,5.998504243941753e-05
2021-01-02 18:45:00,233,44,1217.5,2029.0,8.03481523373381e-05,4.295998180058953e-05
2021-01-02 19:00:00,264,49,1145.5,1954.5,8.841809972088013e-05,4.512739278790586e-05
2021-01-02 19:15:00,294,50,1031.0,1829.0,9.951292821868474e-05,4.8524844720496884e-05
2021-01-02 19:30:00,242,61,1194.5,1482.0,8.369326625421795e-05,6.0963482873758616e-05
2021-01-02 19:45:00,231,54,1213.5,1631.0,8.107857672349887e-05,5.473198557508114e-05
2021-01-02 20:00:00,212,47,1332.0,1874.0,7.386970638185482e-05,4.70452104472398e-05
2021-01-02 20:15:00,209,47,1329.5,1843.0,7.377734350731138e-05,4.8142863435085495e-05
2021-01-02 20:30:00,227,50,1232.0,1735.0,8.029182363953993e-05,5.178626359001022e-05
2021-01-02 20:45:00,201,46,1346.0,1849.0,7.082220350073095e-05,4.811740647179117e-05
2021-01-02 21:00:00,161,31,1683.5,2710.5,5.60416950210957e-05,3.174372370262889e-05
2021-01-02 21:15:00,321,41,882.0,2032.0,0.00011208957668201585,4.259824349779372e-05
2021-01-02 21:30:00,379,50,744.0,1720.0,0.00013091903434949302,5.232073868511705e-05
2021-01-02 21:45:00,325,44,879.0,1889.0,0.00011282246395929783,4.668385481321153e-05
2021-01-02 22:00:00,309,38,952.5,2243.5,0.00010457387162592742,3.946653705025025e-05
2021-01-02 22:15:00,258,33,1121.5,2416.0,8.867951053034816e-05,3.497967468902539e-05
2021-01-02 22:30:00,248,32,1182.0,2451.0,8.466157559288707e-05,3.44958804372784e-05
2021-01-02 22:45:00,204,33,1389.0,2380.5,7.091550174629422e-05,3.633628905187611e-05
