time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,232,48,1267.5,2064.5,7.491655038993741e-05,4.2289258528333806e-05
2021-01-02 16:15:00,168,42,1701.5,2248.5,5.562880751041881e-05,3.810536496320564e-05
2021-01-02 16:30:00,165,40,1717.0,2338.5,5.520806077838682e-05,3.670758644866031e-05
2021-01-02 16:45:00,199,42,1458.0,2269.5,6.560881518722085e-05,3.8001105651216804e-05
2021-01-02 17:00:00,228,50,1273.5,1945.5,7.561218510260872e-05,4.49510527986076e-05
2021-01-02 17:15:00,189,43,1464.0,2158.5,6.432468103977273e-05,4.0399750836885535e-05
2021-01-02 17:30:00,188,31,1533.0,2817.0,6.356610587611169e-05,2.9443862426877118e-05
2021-01-02 17:45:00,206,49,1420.0,1881.0,6.89321012110634e-05,4.692632566870014e-05
2021-01-02 18:00:00,159,37,1779.5,2476.5,5.3263226867177586e-05,3.447273486181092e-05
2021-01-02 18:15:00,197,39,1446.5,2326.5,6.629744263504402e-05,3.7336759379903444e-05
2021-01-02 18:30:00,208,52,1347.5,1783.0,7.167250900988909e-05,5.031003559435018e-05
2021-01-02 18:45:00,201,47,1400.0,1910.0,6.93132129605363e-05,4.588907146881154e-05
2021-01-02 19:00:00,152,44,1853.0,2161.5,5.090739074838553e-05,4.0522556789139957e-05
2021-01-02 19:15:00,142,44,1975.0,2041.0,4.806406737092936e-05,4.2701863354037265e-05
2021-01-02 19:30:00,151,29,1841.0,2855.0,5.2221831423086405e-05,2.8982639399e-05
2021-01-02 19:45:00,128,47,2099.5,1838.5,4.492665723206865e-05,4.7637098556089144e-05
2021-01-02 20:00:00,109,27,2412.0,3062.0,3.7980179224632896e-05,2.702597195905265e-05
2021-01-02 20:15:00,121,36,2203.0,2338.0,4.271319887265395e-05,3.687538475878889e-05
2021-01-02 20:30:00,134,45,2001.5,1898.5,4.7396935540521366e-05,4.660763723100921e-05
2021-01-02 20:45:00,89,28,2881.0,2842.0,3.135908513216445e-05,2.928885611326419e-05
2021-01-02 21:00:00,116,34,2304.5,2522.0,4.037786722016833e-05,3.481569696417362e-05
2021-01-02 21:15:00,91,35,2836.0,2353.0,3.1776172828858066e-05,3.6364354205433667e-05
2021-01-02 21:30:00,155,38,1789.0,2194.5,5.354208528805124e-05,3.9763761400688956e-05
2021-01-02 21:45:00,182,42,1532.0,1982.5,6.318057981720678e-05,4.456186141261101e-05
2021-01-02 22:00:00,122,36,2314.0,2352.0,4.128806581994545e-05,3.738935088971077e-05
2021-01-02 22:15:00,190,39,1486.0,2085.0,6.530661628203936e-05,4.1339615541575466e-05
2021-01-02 22:30:00,252,35,1165.5,2256.0,8.602708487664329e-05,3.7729869228273246e-05
2021-01-02 22:45:00,182,19,1536.5,3813.5,6.326775155796838e-05,2.0920893696534728e-05
2021-01-02 23:00:00,166,28,1649.0,2767.5,5.838966235650124e-05,3.093365504334578e-05
2021-01-02 23:15:00,166,26,1649.0,2923.5,5.899570823992346e-05,2.928336839828985e-05
2021-01-02 23:30:00,139,26,1929.5,2903.5,4.958049196689022e-05,2.926263780170061e-05
2021-01-02 23:45:00,141,39,1841.5,1975.5,5.17194706567199e-05,4.5175646388207066e-05
2021-01-03 00:00:00,109,31,2313.5,2450.0,3.982431994493283e-05,3.600217871249241e-05
2021-01-03 00:15:00,82,23,2968.0,3083.5,3.053947991265709e-05,2.7609751764323162e-05
2021-01-03 00:30:00,98,26,2483.5,2674.5,3.732339464653032e-05,3.188595619850725e-05
2021-01-03 00:45:00,110,31,2247.5,2267.0,4.14271268592777e-05,3.6785340922979796e-05
2021-01-03 01:00:00,98,32,2401.0,2265.5,3.824603675444132e-05,3.7752232100722946e-05
2021-01-03 01:15:00,76,22,2902.5,2955.0,3.081981519465552e-05,2.8027512825772063e-05
2021-01-03 01:30:00,96,20,2283.0,3159.0,4.020701587297599e-05,2.599100451333793e-05
2021-01-03 01:45:00,82,21,2564.0,2987.0,3.564755522980066e-05,2.8608639264131306e-05
2021-01-03 02:00:00,72,17,2900.0,3561.5,3.115736633706212e-05,2.350283485663962e-05
2021-01-03 02:15:00,81,17,2554.5,3343.5,3.64533828739307e-05,2.4623549383252508e-05
2021-01-03 02:30:00,85,27,2343.0,2218.0,3.947726527514725e-05,4.045010479573446e-05
2021-01-03 02:45:00,91,17,2196.5,3234.0,4.2741947604947916e-05,2.6024006380474037e-05
2021-01-03 03:00:00,64,18,3119.5,3387.5,2.8750929351329614e-05,2.472249004919776e-05
2021-01-03 03:15:00,67,24,2893.0,2436.5,3.092104564823203e-05,3.638061398349533e-05
2021-01-03 03:30:00,66,15,2925.0,3594.5,3.0709986980826725e-05,2.3046714153140805e-05
2021-01-03 03:45:00,95,22,2086.0,2561.0,4.511949542155857e-05,3.461470684490094e-05
2021-01-03 04:00:00,73,28,2750.0,2202.5,3.385295297453841e-05,4.169613938423737e-05
2021-01-03 04:15:00,72,18,2665.0,3023.5,3.433866123098377e-05,2.815592752664255e-05
2021-01-03 04:30:00,69,16,2828.0,3482.5,3.200761502910605e-05,2.4139575022781727e-05
2021-01-03 04:45:00,71,17,2791.0,3326.5,3.211472283637232e-05,2.5337812661155937e-05
2021-01-03 05:00:00,64,20,3174.0,3044.5,2.8436810740583416e-05,2.8412884674942388e-05
2021-01-03 05:15:00,72,21,2834.0,2850.0,3.221072975197738e-05,3.0840355633358106e-05
2021-01-03 05:30:00,70,23,2936.0,2628.5,3.132551687102837e-05,3.313648341230862e-05
2021-01-03 05:45:00,68,18,2968.5,3190.0,3.073140749846343e-05,2.685060324355287e-05
2021-01-03 06:00:00,64,18,3171.5,3354.5,2.804470150139939e-05,2.456117369662038e-05
2021-01-03 06:15:00,77,26,2638.5,2367.0,3.4211913032428445e-05,3.7812241858733456e-05
2021-01-03 06:30:00,67,21,3098.0,2935.5,2.915085305403045e-05,2.9005244424432362e-05
2021-01-03 06:45:00,84,24,2483.0,2632.0,3.648297200713677e-05,3.364761137008868e-05
2021-01-03 07:00:00,90,26,2503.0,2649.5,3.649217729359416e-05,3.229127725663244e-05
2021-01-03 07:15:00,107,23,2120.5,2840.0,4.3242544197315334e-05,2.9923798396865033e-05
2021-01-03 07:30:00,98,24,2453.5,2898.5,3.776903694351371e-05,2.8971231567053914e-05
2021-01-03 07:45:00,127,25,2038.5,2878.5,4.7019134936772224e-05,3.003010217441964e-05
2021-01-03 08:00:00,121,31,2258.5,2574.5,4.1846850211793484e-05,3.3856063675610855e-05
2021-01-03 08:15:00,213,26,1331.0,2937.0,7.169230872794957e-05,2.9197014717541346e-05
2021-01-03 08:30:00,197,28,1512.0,2875.5,6.402396121122935e-05,2.9576891996809918e-05
2021-01-03 08:45:00,197,32,1494.5,2624.5,6.38361232743589e-05,3.352147259829125e-05
2021-01-03 09:00:00,183,32,1765.5,2754.0,5.484777942920546e-05,2.928469389716131e-05
2021-01-03 09:15:00,201,39,1673.5,2327.0,5.66334379596184e-05,3.726038704943594e-05
2021-01-03 09:30:00,189,35,1789.0,2647.0,5.257259399020147e-05,3.316944468663404e-05
