time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,126,27,2278.0,3441.0,4.0687436849707394e-05,2.3787707922187767e-05
2021-01-02 16:15:00,128,12,2162.0,6474.5,4.2383853341271476e-05,1.088724713234447e-05
2021-01-02 16:30:00,166,22,1707.5,3879.5,5.554265508613461e-05,2.018917254676317e-05
2021-01-02 16:45:00,238,13,1231.5,6087.5,7.846682419376162e-05,1.1762246987281391e-05
2021-01-02 17:00:00,206,20,1397.0,4266.5,6.831627250498859e-05,1.798042111944304e-05
2021-01-02 17:15:00,207,23,1335.5,3668.5,7.04508411387987e-05,2.1609169052287613e-05
2021-01-02 17:30:00,161,13,1771.5,5860.5,5.443693109603182e-05,1.2347426179012986e-05
2021-01-02 17:45:00,181,27,1603.0,3143.5,6.0566554947584836e-05,2.5857363123569465e-05
2021-01-02 18:00:00,160,26,1769.5,3348.0,5.359821571539884e-05,2.422408395694821e-05
2021-01-02 18:15:00,149,21,1864.0,3862.0,5.014375102853584e-05,2.0104408896871084e-05
2021-01-02 18:30:00,193,24,1441.0,3479.5,6.650381845629132e-05,2.3220016428161624e-05
2021-01-02 18:45:00,204,18,1380.5,4319.0,7.034773852711146e-05,1.757453800933208e-05
2021-01-02 19:00:00,205,23,1440.5,3721.0,6.865799410144102e-05,2.118224559432316e-05
2021-01-02 19:15:00,162,23,1758.0,3574.0,5.4833654324581376e-05,2.232142857142857e-05
2021-01-02 19:30:00,177,18,1579.5,4291.5,6.121366994626685e-05,1.7989224454551723e-05
2021-01-02 19:45:00,166,27,1639.5,3025.0,5.826425859783903e-05,2.736599278754057e-05
2021-01-02 20:00:00,186,22,1480.0,3654.5,6.481021408974055e-05,2.2021162337005866e-05
2021-01-02 20:15:00,161,19,1673.0,4007.0,5.683326461568005e-05,1.9462008622694136e-05
2021-01-02 20:30:00,158,25,1711.5,3164.5,5.588593892091326e-05,2.589313179500511e-05
2021-01-02 20:45:00,162,18,1668.0,4144.0,5.7080581925962254e-05,1.882855035852698e-05
2021-01-02 21:00:00,147,19,1843.5,4058.0,5.116850414969607e-05,1.9455830656449968e-05
2021-01-02 21:15:00,146,33,1870.0,2481.5,5.098155201113493e-05,3.4286391107980315e-05
2021-01-02 21:30:00,133,18,2047.0,4188.0,4.594256350523106e-05,1.883546592664214e-05
2021-01-02 21:45:00,152,22,1846.0,3495.5,5.2766198528656204e-05,2.3341927406605764e-05
2021-01-02 22:00:00,147,16,1958.5,4691.5,4.974873504534411e-05,1.6617489284315894e-05
2021-01-02 22:15:00,302,21,963.0,3607.5,0.00010380314798513621,2.225979298392525e-05
2021-01-02 22:30:00,359,19,805.0,3856.0,0.0001225544582171228,2.048192900963405e-05
2021-01-02 22:45:00,273,15,1049.0,4648.5,9.490162733695256e-05,1.6516495023580052e-05
2021-01-02 23:00:00,233,17,1199.5,4194.5,8.195657427147465e-05,1.878114770488851e-05
2021-01-02 23:15:00,180,14,1540.0,4920.0,6.397124989871218e-05,1.576796759907915e-05
2021-01-02 23:30:00,180,17,1520.5,4190.0,6.420495362618877e-05,1.9133263178035013e-05
2021-01-02 23:45:00,168,14,1570.5,4823.0,6.162319908034711e-05,1.621689870345895e-05
2021-01-03 00:00:00,120,9,2140.5,6950.0,4.3843288012770094e-05,1.0452245432659086e-05
2021-01-03 00:15:00,137,17,1893.5,3969.0,5.1023277415049045e-05,2.0407207825804075e-05
2021-01-03 00:30:00,138,15,1823.0,4345.0,5.255743327776718e-05,1.8395743960677262e-05
2021-01-03 00:45:00,106,15,2316.0,4230.0,3.992068588257669e-05,1.779935851111926e-05
2021-01-03 01:00:00,99,14,2380.5,4583.5,3.863630243560909e-05,1.6516601544066297e-05
2021-01-03 01:15:00,118,11,1946.5,5350.5,4.78518183285441e-05,1.4013756412886031e-05
2021-01-03 01:30:00,101,14,2178.5,4251.5,4.2301131283026815e-05,1.8193703159336553e-05
2021-01-03 01:45:00,61,8,3329.5,6745.5,2.651830328070537e-05,1.0898529243478592e-05
2021-01-03 02:00:00,80,14,2660.5,4186.5,3.461929593006902e-05,1.9355275764291448e-05
2021-01-03 02:15:00,76,7,2693.5,7137.5,3.4203174054552256e-05,1.0139108569574564e-05
2021-01-03 02:30:00,63,12,3083.0,4420.0,2.9259620145109136e-05,1.797782435365976e-05
2021-01-03 02:45:00,59,11,3228.0,4728.5,2.771181218342777e-05,1.6839062952071435e-05
2021-01-03 03:00:00,71,9,2863.5,6038.5,3.18955622491313e-05,1.2361245024598876e-05
2021-01-03 03:15:00,61,12,3128.0,4458.5,2.8151996784211248e-05,1.8190306991747666e-05
2021-01-03 03:30:00,68,7,2851.5,7023.5,3.164059264691239e-05,1.0755133271465711e-05
2021-01-03 03:45:00,56,12,3323.5,4250.5,2.6596755195866102e-05,1.8880749188127787e-05
2021-01-03 04:00:00,51,8,3720.0,6406.5,2.3650693173992583e-05,1.1913182681210675e-05
2021-01-03 04:15:00,56,9,3344.0,5565.5,2.670784762409849e-05,1.4077963763321274e-05
2021-01-03 04:30:00,43,7,4225.5,7073.0,1.9946774583355947e-05,1.0561064072467004e-05
2021-01-03 04:45:00,56,10,3439.5,5274.5,2.532992223713873e-05,1.4904595683032904e-05
2021-01-03 05:00:00,46,10,4205.5,5478.0,2.0438957719794325e-05,1.4206442337471194e-05
2021-01-03 05:15:00,69,11,2936.5,4904.0,3.086861601231166e-05,1.615447199842567e-05
2021-01-03 05:30:00,56,9,3546.5,5707.5,2.5060413496822696e-05,1.2966450030903372e-05
2021-01-03 05:45:00,66,11,3057.0,4845.5,2.9827542572038036e-05,1.64087019821712e-05
2021-01-03 06:00:00,58,11,3479.5,5140.0,2.5415510735643193e-05,1.5009606147934678e-05
2021-01-03 06:15:00,67,13,3003.5,4381.5,2.976880744380138e-05,1.8906120929366728e-05
2021-01-03 06:30:00,70,13,2936.5,4375.5,3.0456115131076593e-05,1.795562750083908e-05
2021-01-03 06:45:00,83,9,2511.5,6165.0,3.60486509118137e-05,1.2617854263783255e-05
2021-01-03 07:00:00,58,8,3693.0,7294.5,2.351718092253846e-05,9.935777617425367e-06
2021-01-03 07:15:00,78,16,2835.0,3953.5,3.1522602312061636e-05,2.08165554065148e-05
2021-01-03 07:30:00,86,13,2745.0,4879.5,3.3144256909614066e-05,1.5692750432154204e-05
2021-01-03 07:45:00,92,18,2721.0,3774.5,3.406110562348854e-05,2.162167356558214e-05
2021-01-03 08:00:00,102,20,2624.0,3756.5,3.527585720333004e-05,2.1842621726200554e-05
2021-01-03 08:15:00,87,21,3076.5,3509.5,2.9282773987472358e-05,2.358220419493724e-05
2021-01-03 08:30:00,114,22,2503.5,3559.0,3.7049398873503275e-05,2.323898656892208e-05
2021-01-03 08:45:00,100,17,2801.5,4456.0,3.240412348952229e-05,1.7808282317842223e-05
2021-01-03 09:00:00,115,21,2619.0,3995.0,3.4467183794309444e-05,1.9218080370012106e-05
2021-01-03 09:15:00,120,15,2635.5,5316.0,3.38110077370856e-05,1.43309180959369e-05
2021-01-03 09:30:00,129,24,2503.0,3606.0,3.588288161235973e-05,2.274476207083477e-05
2021-01-03 09:45:00,115,15,2777.0,5345.5,3.172877689703598e-05,1.3882359038526325e-05
2021-01-03 10:00:00,132,34,2665.5,2988.0,3.293644912142022e-05,2.8174429550667573e-05
2021-01-03 10:15:00,247,18,1575.0,4997.5,6.209751320829189e-05,1.5037330172152368e-05
2021-01-03 10:30:00,228,28,1696.0,3524.0,5.744948476883134e-05,2.2538821106962e-05
2021-01-03 10:45:00,216,19,1707.5,4716.0,5.6049331715514355e-05,1.5915230456725232e-05
2021-01-03 11:00:00,228,42,1592.5,2563.5,5.9359603602815515e-05,3.330333390160451e-05
2021-01-03 11:15:00,255,30,1429.5,3265.0,6.733361270181271e-05,2.4657507224649616e-05
2021-01-03 11:30:00,218,22,1609.5,4321.0,5.845580673974e-05,1.794525229801191e-05
2021-01-03 11:45:00,219,20,1641.0,4827.0,5.739923289463545e-05,1.559603767066939e-05
2021-01-03 12:00:00,228,33,1585.0,3403.5,5.931392519265319e-05,2.3919647380907337e-05
2021-01-03 12:15:00,205,28,1740.0,3753.0,5.3497147688662264e-05,2.122924935648838e-05
2021-01-03 12:30:00,184,26,1913.0,3889.5,4.855875503797084e-05,2.011084167739889e-05
2021-01-03 12:45:00,221,32,1527.5,3215.5,6.0110946856211084e-05,2.5246747508856085e-05
2021-01-03 13:00:00,219,21,1568.0,4725.5,5.948883606425121e-05,1.5998354454970348e-05
2021-01-03 13:15:00,176,20,1957.0,4834.5,4.747292964080255e-05,1.5434409163100033e-05
2021-01-03 13:30:00,178,23,1919.0,4344.0,4.7714028916309855e-05,1.7752502330980742e-05
2021-01-03 13:45:00,187,26,1852.5,3867.5,4.9757545053195345e-05,2.0288724151385096e-05
2021-01-03 14:00:00,186,28,1883.0,3771.0,4.9268821550712324e-05,2.1376232377968437e-05
2021-01-03 14:15:00,205,27,1685.0,3771.0,5.493454214336898e-05,2.1125818332046225e-05
2021-01-03 14:30:00,219,30,1609.5,3445.0,5.8374610935883616e-05,2.3321094940954874e-05
2021-01-03 14:45:00,197,25,1719.0,3938.5,5.380556961389178e-05,2.0067394337141855e-05
2021-01-03 15:00:00,140,22,2350.0,4435.5,3.83613457927331e-05,1.7244230825003194e-05
2021-01-03 15:15:00,170,31,1964.0,3286.5,4.698114370343512e-05,2.4664699325380688e-05
2021-01-03 15:30:00,210,30,1609.0,3458.5,5.8140742125044125e-05,2.3534155512130678e-05
2021-01-03 15:45:00,176,32,1873.5,3191.0,4.907289862738084e-05,2.5600757782430357e-05
2021-01-03 16:00:00,134,23,2415.5,4379.0,3.706920876603797e-05,1.7627141506093626e-05
2021-01-03 16:15:00,140,28,2385.0,3671.0,3.875523714744845e-05,2.1696041557217886e-05
2021-01-03 16:30:00,118,21,2645.5,4447.5,3.385928082887519e-05,1.729221957166349e-05
2021-01-03 16:45:00,158,21,2040.5,4413.0,4.566691764202628e-05,1.739417096482153e-05
2021-01-03 17:00:00,178,37,1788.0,2786.5,5.162869685398505e-05,3.040547758787594e-05
2021-01-03 17:15:00,140,36,2215.0,2794.0,4.088867445050732e-05,3.0158684947297693e-05
2021-01-03 17:30:00,122,26,2490.0,3648.5,3.5884073265865384e-05,2.1867023267353795e-05
2021-01-03 17:45:00,144,20,2147.5,4433.0,4.2381124624345775e-05,1.712751089309693e-05
2021-01-03 18:00:00,136,30,2210.0,3161.0,4.052395084683137e-05,2.5467563238081814e-05
2021-01-03 18:15:00,177,23,1775.5,3943.5,5.252471777608565e-05,1.9901840660671885e-05
2021-01-03 18:30:00,152,28,2010.5,3293.0,4.543162585143201e-05,2.4611576582436474e-05
2021-01-03 18:45:00,189,24,1637.5,3733.0,5.6852364336421605e-05,2.1093449253555567e-05
2021-01-03 19:00:00,170,21,1886.5,4387.5,5.0453742376662124e-05,1.766466411061781e-05
2021-01-03 19:15:00,147,19,2120.5,4562.0,4.3955649646560696e-05,1.6665380216264008e-05
2021-01-03 19:30:00,129,16,2369.5,5274.0,3.8943666627722997e-05,1.3910479111676804e-05
2021-01-03 19:45:00,117,19,2579.5,4535.0,3.541720713223847e-05,1.6674974899774624e-05
2021-01-03 20:00:00,109,17,2690.5,4907.0,3.351305348806321e-05,1.5300042840119953e-05
2021-01-03 20:15:00,105,20,2824.5,4208.0,3.2175978701340724e-05,1.8353709009285143e-05
2021-01-03 20:30:00,83,18,3436.0,4650.0,2.513256671939459e-05,1.6405425456480962e-05
2021-01-03 20:45:00,109,20,2671.5,4134.0,3.3647531305323574e-05,1.8714956244432298e-05
2021-01-03 21:00:00,90,21,3201.0,4069.0,2.7679941146294026e-05,1.9497629645310266e-05
2021-01-03 21:15:00,110,20,2665.0,4156.0,3.40171396904564e-05,1.87579780025192e-05
2021-01-03 21:30:00,85,15,3238.5,5180.5,2.699436770457364e-05,1.4597261553732519e-05
2021-01-03 21:45:00,95,18,2969.0,4349.5,2.9743352439001868e-05,1.7741576201055427e-05
2021-01-03 22:00:00,96,23,3052.5,3703.5,2.9211757245428663e-05,2.195062826515596e-05
2021-01-03 22:15:00,74,14,3769.0,5492.0,2.290262269074248e-05,1.3510566227830608e-05
2021-01-03 22:30:00,71,12,3891.5,6364.0,2.1930847404854873e-05,1.1260849124328219e-05
2021-01-03 22:45:00,69,11,4016.5,6899.5,2.1087188188485235e-05,1.0029761036384326e-05
2021-01-03 23:00:00,81,10,3622.5,7490.0,2.4322593256876308e-05,9.11248912196611e-06
2021-01-03 23:15:00,84,19,3420.0,4398.5,2.585078312485497e-05,1.7587055926837847e-05
2021-01-03 23:30:00,125,25,2383.0,3386.5,3.962915983327854e-05,2.450886681783736e-05
2021-01-03 23:45:00,83,15,3259.0,4873.0,2.735420865922193e-05,1.57801550873642e-05
2021-01-04 00:00:00,77,13,3364.5,5363.5,2.6239554868101936e-05,1.400060956500106e-05
2021-01-04 00:15:00,73,20,3417.5,3564.0,2.5999447244628447e-05,2.3049361359820128e-05
2021-01-04 00:30:00,49,8,4601.5,7452.0,1.808925088720392e-05,9.446929511735448e-06
2021-01-04 00:45:00,59,11,3833.5,5508.0,2.2528852204620015e-05,1.3687056648238913e-05
2021-01-04 01:00:00,51,6,4293.0,9337.0,1.9475736096902093e-05,7.4433929962634156e-06
2021-01-04 01:15:00,65,14,3325.0,4305.0,2.621496269409155e-05,1.83822805319832e-05
2021-01-04 01:30:00,70,10,3049.5,5584.5,2.922608085353516e-05,1.3638322595427344e-05
2021-01-04 01:45:00,47,7,4208.5,7468.0,2.013116093835196e-05,9.907941073228176e-06
2021-01-04 02:00:00,44,8,4452.0,6738.5,1.8858778182622407e-05,1.1106282963100764e-05
2021-01-04 02:15:00,55,14,3612.0,4123.0,2.360614309099696e-05,1.9685842082987076e-05
2021-01-04 02:30:00,36,7,5056.0,7313.0,1.5602807985343766e-05,1.014635390772326e-05
2021-01-04 02:45:00,46,4,4136.0,11731.5,1.9796696533856656e-05,5.906517546787003e-06
2021-01-04 03:00:00,39,8,4882.0,6990.0,1.6313964335164122e-05,1.0511254268554664e-05
2021-01-04 03:15:00,25,9,6905.0,6015.5,1.0949673984406788e-05,1.2997684967888495e-05
2021-01-04 03:30:00,24,13,7086.5,4368.5,1.0587271541017076e-05,1.875977672979572e-05
