time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,57,10,4446.5,7749.5,1.840622143201049e-05,8.810262193402876e-06
2021-01-02 16:15:00,75,14,3435.0,5696.5,2.483428906715125e-05,1.2701788321068547e-05
2021-01-02 16:30:00,63,10,3996.5,7434.0,2.1079441388111332e-05,9.176896612165078e-06
2021-01-02 16:45:00,55,11,4470.0,6938.0,1.8133089624608774e-05,9.95267052769964e-06
2021-01-02 17:00:00,51,9,4729.0,8302.5,1.691325193084669e-05,8.091189503749367e-06
2021-01-02 17:15:00,49,3,4816.5,20242.5,1.6676769158459598e-05,2.818587267689689e-06
2021-01-02 17:30:00,69,17,3654.0,4668.5,2.3330113326870778e-05,1.6146634234093905e-05
2021-01-02 17:45:00,32,7,6676.0,9614.0,1.0707899217252569e-05,6.703760809814306e-06
2021-01-02 18:00:00,52,15,4623.5,5315.5,1.741942010750462e-05,1.3975433052085506e-05
2021-01-02 18:15:00,50,8,4729.5,8664.0,1.6826762090112697e-05,7.65882243690327e-06
2021-01-02 18:30:00,37,9,5896.5,7825.5,1.27494366988745e-05,8.707506160560608e-06
2021-01-02 18:45:00,49,19,4722.0,4131.5,1.6897250920727753e-05,1.855090123207275e-05
2021-01-02 19:00:00,54,12,4398.0,6328.5,1.8085520397452754e-05,1.105160639703817e-05
2021-01-02 19:15:00,48,5,4867.5,12438.0,1.6247008688764855e-05,4.8524844720496905e-06
2021-01-02 19:30:00,59,12,4062.0,5937.5,2.0404556648755617e-05,1.1992816303034482e-05
2021-01-02 19:45:00,46,8,4919.5,8168.5,1.6145517442774672e-05,8.108442307419427e-06
2021-01-02 20:00:00,45,12,5041.0,6027.0,1.567989050558239e-05,1.2011543092912289e-05
2021-01-02 20:15:00,37,8,5869.0,8124.0,1.306106081229914e-05,8.19452994639753e-06
2021-01-02 20:30:00,34,2,6309.5,28683.5,1.202608812222184e-05,2.071450543600409e-06
2021-01-02 20:45:00,37,10,5946.0,6716.0,1.3036923032472861e-05,1.046030575473721e-05
2021-01-02 21:00:00,40,6,5681.5,10631.5,1.3923402489713215e-05,6.143946523089462e-06
2021-01-02 21:15:00,33,6,6611.0,10478.5,1.1523227509366115e-05,6.233889292360058e-06
2021-01-02 21:30:00,36,7,6279.5,9178.5,1.2435581099160287e-05,7.324903415916388e-06
2021-01-02 21:45:00,33,6,6688.0,10379.0,1.1455819417405624e-05,6.365980201801572e-06
2021-01-02 22:00:00,52,10,4835.5,6951.5,1.7598191988829213e-05,1.0385930802697434e-05
2021-01-02 22:15:00,50,8,4857.5,8003.5,1.7185951653168248e-05,8.479921136733428e-06
2021-01-02 22:30:00,55,9,4466.5,7266.5,1.877575265164834e-05,9.701966372984551e-06
2021-01-02 22:45:00,55,9,4503.0,7173.0,1.911937547081462e-05,9.90989701414803e-06
2021-01-02 23:00:00,61,12,4060.0,5634.5,2.1456442191244432e-05,1.325728073286248e-05
2021-01-02 23:15:00,49,4,4874.5,14027.0,1.7414395805760542e-05,4.505133599736901e-06
2021-01-02 23:30:00,47,8,4966.5,7867.5,1.6764626780171514e-05,9.003888554369419e-06
2021-01-02 23:45:00,43,7,5272.5,8623.5,1.5772604526517418e-05,8.108449351729475e-06
2021-01-03 00:00:00,43,10,5323.5,6365.5,1.571051153790928e-05,1.1613606036287876e-05
2021-01-03 00:15:00,35,4,6101.0,13462.0,1.3035143865158513e-05,4.801695959012724e-06
2021-01-03 00:30:00,42,8,5184.0,7382.0,1.5995740562798705e-05,9.811063445694538e-06
2021-01-03 00:45:00,40,12,5254.5,5111.5,1.5064409767010074e-05,1.4239486808895407e-05
2021-01-03 01:00:00,40,9,5191.5,6687.0,1.5610627246710746e-05,1.0617815278328333e-05
2021-01-03 01:15:00,41,5,4930.5,10349.5,1.6626479249748373e-05,6.3698892785845595e-06
2021-01-03 01:30:00,39,9,5006.0,6242.5,1.6334100198396492e-05,1.169595203100207e-05
2021-01-03 01:45:00,47,5,4171.0,10014.0,2.0432135314641846e-05,6.811580777174121e-06
2021-01-03 02:00:00,35,7,5335.5,7473.0,1.5145941969405194e-05,9.677637882145726e-06
2021-01-03 02:15:00,45,9,4173.0,5754.0,2.0251879374405945e-05,1.3035996732310154e-05
2021-01-03 02:30:00,39,3,4609.0,15195.5,1.8113098185067567e-05,4.49445608841494e-06
2021-01-03 02:45:00,47,10,3928.0,5152.5,2.207551140035772e-05,1.5308239047337666e-05
2021-01-03 03:00:00,27,5,6478.0,10069.0,1.2129298320092182e-05,6.867358346999376e-06
2021-01-03 03:15:00,36,7,4919.5,7064.5,1.6614293184124673e-05,1.0611012411852803e-05
2021-01-03 03:30:00,28,4,6135.0,11473.0,1.302847932519922e-05,6.1457904408375484e-06
2021-01-03 03:45:00,40,5,4431.0,9172.5,1.8997682282761506e-05,7.866978828386577e-06
2021-01-03 04:00:00,35,3,5110.5,15168.0,1.6230867864504717e-05,4.467443505454004e-06
2021-01-03 04:15:00,39,9,4537.0,5565.5,1.8600108166782878e-05,1.4077963763321274e-05
2021-01-03 04:30:00,37,10,4794.5,5214.5,1.716350371125977e-05,1.5087234389238576e-05
2021-01-03 04:45:00,43,8,4326.0,6375.0,1.9449761717802955e-05,1.1923676546426325e-05
2021-01-03 05:00:00,40,9,4718.0,5987.5,1.7773006712864637e-05,1.2785798103724075e-05
2021-01-03 05:15:00,61,9,3282.0,5798.0,2.7289646039869725e-05,1.3217295271439188e-05
2021-01-03 05:30:00,50,7,3892.5,7161.5,2.2375369193591692e-05,1.0085016690702625e-05
2021-01-03 05:45:00,47,7,4066.0,7067.0,2.124082577099678e-05,1.0441901261381672e-05
2021-01-03 06:00:00,43,13,4432.0,4454.5,1.884253382125271e-05,1.7738625447559167e-05
2021-01-03 06:15:00,31,4,5843.0,11960.5,1.3773627324743921e-05,5.817267978266688e-06
2021-01-03 06:30:00,34,11,5478.5,5047.0,1.4792970206522916e-05,1.5193223269940759e-05
