time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,363,97,850.5,1122.5,0.00011721856806701417,8.545954327600789e-05
2021-01-02 16:15:00,348,95,862.0,1110.5,0.00011523110127158184,8.619070646439371e-05
2021-01-02 16:30:00,356,103,826.5,1032.0,0.00011911557355821641,9.452203510530029e-05
2021-01-02 16:45:00,337,99,900.0,1078.5,0.00011110638551805742,8.957403474929675e-05
2021-01-02 17:00:00,285,77,1039.0,1325.5,9.45152313782609e-05,6.92246213098557e-05
2021-01-02 17:15:00,306,84,965.5,1213.0,0.00010414472168344156,7.892044349531129e-05
2021-01-02 17:30:00,327,92,914.5,1096.0,0.00011056445011430063,8.738178526686112e-05
2021-01-02 17:45:00,331,91,938.5,1106.5,0.00011075983252845625,8.714889052758597e-05
2021-01-02 18:00:00,284,79,1034.0,1274.0,9.513683289483293e-05,7.360394740765034e-05
2021-01-02 18:15:00,350,72,861.5,1352.0,0.00011778733463078889,6.892940193212943e-05
2021-01-02 18:30:00,322,96,908.0,1011.5,0.00011095455721723214,9.28800657126465e-05
2021-01-02 18:45:00,290,80,1015.0,1212.0,0.00010000413810226629,7.810905781925369e-05
2021-01-02 19:00:00,317,92,966.0,1123.5,0.00010616870307393562,8.472898237729264e-05
2021-01-02 19:15:00,320,80,951.0,1213.0,0.00010831339125843236,7.763975155279503e-05
2021-01-02 19:30:00,265,89,1103.5,1073.5,9.164758494780063e-05,8.89467209141724e-05
2021-01-02 19:45:00,273,79,1045.0,1172.0,9.58201361277714e-05,8.007086778576684e-05
2021-01-02 20:00:00,298,74,990.5,1248.0,0.00010383571934807892,7.407118240629245e-05
2021-01-02 20:15:00,311,77,909.5,1196.5,0.00010978351115202792,7.887235073407625e-05
2021-01-02 20:30:00,336,77,848.0,1170.5,0.00011884604732548645,7.975084592861573e-05
2021-01-02 20:45:00,313,83,912.5,1103.5,0.00011028532186929744,8.682053776431885e-05
2021-01-02 21:00:00,297,79,962.5,1167.5,0.00010338126348612064,8.089529588734459e-05
2021-01-02 21:15:00,289,83,985.0,1104.5,0.00010091553788505477,8.623546854431412e-05
2021-01-02 21:30:00,294,64,988.0,1361.0,0.00010155724564314236,6.697054551694983e-05
2021-01-02 21:45:00,301,74,961.0,1187.0,0.00010449095892845736,7.851375582221941e-05
2021-01-02 22:00:00,270,73,1092.5,1243.5,9.137522763430551e-05,7.581729485969127e-05
2021-01-02 22:15:00,248,78,1158.0,1132.0,8.52423201997145e-05,8.267923108315093e-05
2021-01-02 22:30:00,249,73,1177.0,1175.5,8.500295291382612e-05,7.869372724754136e-05
2021-01-02 22:45:00,228,61,1230.5,1383.0,7.925850195174061e-05,6.716707976255886e-05
2021-01-02 23:00:00,240,70,1166.5,1214.0,8.441878894915844e-05,7.733413760836447e-05
2021-01-02 23:15:00,228,55,1238.5,1511.5,8.103024987170211e-05,6.194558699638237e-05
2021-01-02 23:30:00,258,79,1089.5,1078.0,9.202710019753724e-05,8.8913399474398e-05
2021-01-02 23:45:00,227,56,1196.5,1434.0,8.326467970975473e-05,6.486759481383579e-05
2021-01-03 00:00:00,210,60,1280.5,1343.5,7.672575402234766e-05,6.968163621772725e-05
2021-01-03 00:15:00,235,71,1140.0,1128.5,8.752168023749287e-05,8.523010327247584e-05
