time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,359,130,857.5,844.5,0.00011592690340511867,0.00011453340851423738
2021-01-02 16:15:00,362,116,835.0,926.0,0.0001198668352307834,0.00010524338894599653
2021-01-02 16:30:00,356,108,826.5,984.5,0.00011911557355821641,9.911048341138284e-05
2021-01-02 16:45:00,295,76,1021.5,1363.0,9.725929889562892e-05,6.87639054641066e-05
2021-01-02 17:00:00,321,104,938.0,1030.0,0.00010645399744709384,9.34981898211038e-05
2021-01-02 17:15:00,362,115,819.5,901.0,0.00012320388643596682,0.00010804584526143806
2021-01-02 17:30:00,377,111,786.5,910.5,0.00012747032933667078,0.00010542802352849548
2021-01-02 17:45:00,355,97,875.0,1045.0,0.00011879075694139565,9.289497122171252e-05
2021-01-02 18:00:00,340,99,881.0,1052.5,0.00011389620839522251,9.223785814376436e-05
2021-01-02 18:15:00,322,88,926.5,1135.5,0.00010836434786032576,8.424704680593598e-05
2021-01-02 18:30:00,307,113,952.0,882.5,0.00010578586666363436,0.00010932757734926096
2021-01-02 18:45:00,308,109,952.5,908.5,0.00010621129150171733,0.00010642359127873315
2021-01-02 19:00:00,323,122,953.0,870.0,0.00010817820534031926,0.00011235799836988806
2021-01-02 19:15:00,292,97,1036.5,1014.5,9.883596952331955e-05,9.413819875776398e-05
2021-01-02 19:30:00,255,86,1134.0,1099.5,8.818918551580817e-05,8.59485168384138e-05
2021-01-02 19:45:00,287,101,1001.5,934.0,0.00010073398926252892,0.00010236908413117027
2021-01-02 20:00:00,229,62,1234.5,1458.0,7.979322057285259e-05,6.205963931338016e-05
2021-01-02 20:15:00,241,80,1171.5,1151.0,8.507339610173227e-05,8.194529946397531e-05
2021-01-02 20:30:00,223,57,1248.5,1530.0,7.887698974280796e-05,5.903634049261165e-05
2021-01-02 20:45:00,300,75,942.0,1199.0,0.00010570478134437457,7.845229316052908e-05
2021-01-02 21:00:00,281,92,1004.5,1007.0,9.781190249023534e-05,9.420718002070509e-05
2021-01-02 21:15:00,244,82,1161.5,1116.0,8.520204582682824e-05,8.519648699558744e-05
2021-01-02 21:30:00,263,87,1118.0,1042.0,9.084882858553209e-05,9.103808531210367e-05
2021-01-02 21:45:00,288,113,1008.5,814.5,9.997806037008543e-05,0.0001198926271339296
2021-01-02 22:00:00,257,73,1148.0,1243.5,8.69756796370982e-05,7.581729485969127e-05
2021-01-02 22:15:00,244,71,1178.5,1225.5,8.386744406746104e-05,7.525930008850918e-05
2021-01-02 22:30:00,263,83,1118.0,1050.0,8.978223540697297e-05,8.947368988419086e-05
2021-01-02 22:45:00,264,78,1081.0,1110.5,9.17730022599102e-05,8.588577412261625e-05
2021-01-02 23:00:00,245,71,1149.0,1196.5,8.617751371893257e-05,7.843891100276966e-05
2021-01-02 23:15:00,237,71,1191.0,1205.0,8.422881236663771e-05,7.996612139532997e-05
2021-01-02 23:30:00,239,84,1169.0,1016.5,8.524991064810621e-05,9.454082982087891e-05
2021-01-02 23:45:00,256,84,1055.5,990.0,9.390201764624324e-05,9.730139222075367e-05
2021-01-03 00:00:00,235,69,1152.0,1172.5,8.585977235834142e-05,8.013388165038631e-05
2021-01-03 00:15:00,238,75,1125.0,1052.5,8.863897828307789e-05,9.003179923148856e-05
2021-01-03 00:30:00,240,67,1091.0,1157.5,9.140423178742116e-05,8.216765635769175e-05
2021-01-03 00:45:00,266,76,996.0,1030.5,0.00010017832495061698,9.018341645633758e-05
2021-01-03 01:00:00,230,56,1064.0,1358.5,8.976110666858676e-05,6.606640617626519e-05
2021-01-03 01:15:00,220,58,1093.0,1274.0,8.921525451084494e-05,7.389071563158089e-05
2021-01-03 01:30:00,222,55,1045.5,1324.0,9.297872420625695e-05,7.147526241167932e-05
