time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,108,53,2589.0,1878.0,3.487494587117776e-05,4.669438962503524e-05
2021-01-02 16:15:00,119,63,2297.5,1591.5,3.940373865321333e-05,5.715804744480846e-05
2021-01-02 16:30:00,87,53,3029.0,1818.0,2.9109704774058502e-05,4.863755204447491e-05
2021-01-02 16:45:00,90,49,2970.0,1993.0,2.967232847663255e-05,4.4334623259752937e-05
2021-01-02 17:00:00,95,49,2810.5,1984.0,3.150507712608697e-05,4.4052031742635434e-05
2021-01-02 17:15:00,96,53,2728.0,1801.5,3.2672853861471866e-05,4.97950417291845e-05
2021-01-02 17:30:00,99,57,2691.5,1653.5,3.3473640860292855e-05,5.413871478490309e-05
2021-01-02 17:45:00,75,37,3390.5,2392.5,2.5096638790435707e-05,3.5434164280447054e-05
2021-01-02 18:00:00,92,47,2876.0,1997.0,3.081897403635433e-05,4.378969022986792e-05
2021-01-02 18:15:00,81,42,3164.0,2177.5,2.7259354585982573e-05,4.020881779374217e-05
2021-01-02 18:30:00,88,44,2907.5,2072.0,3.032298458110692e-05,4.2570030118296306e-05
2021-01-02 18:45:00,90,48,2864.0,1868.0,3.103576699725506e-05,4.686543469155221e-05
2021-01-02 19:00:00,106,55,2540.0,1777.5,3.5501206706110966e-05,5.065319598642494e-05
2021-01-02 19:15:00,96,58,2756.0,1593.0,3.249401737752971e-05,5.62888198757764e-05
2021-01-02 19:30:00,86,44,2970.5,1991.5,2.97422351151353e-05,4.39736597777931e-05
2021-01-02 19:45:00,83,45,2986.5,1904.5,2.9132129298919514e-05,4.5609987979234275e-05
2021-01-02 20:00:00,89,43,2867.5,2026.5,3.101133899992961e-05,4.3041362749602366e-05
2021-01-02 20:15:00,77,44,3229.0,1961.0,2.7181126555325243e-05,4.5069914705186416e-05
2021-01-02 20:30:00,79,47,3169.5,1838.0,2.794296946045663e-05,4.8679087774609615e-05
2021-01-02 20:45:00,94,56,2740.5,1547.0,3.312083148790402e-05,5.857771222652838e-05
2021-01-02 21:00:00,70,38,3615.5,2255.5,2.436595435699813e-05,3.8911661312899936e-05
2021-01-02 21:15:00,84,46,3071.5,1843.0,2.933185184202284e-05,4.779315124142711e-05
2021-01-02 21:30:00,82,40,3156.5,2105.5,2.8325490281420647e-05,4.185659094809364e-05
2021-01-02 21:45:00,93,47,2842.0,1771.5,3.2284581994506764e-05,4.986684491411232e-05
2021-01-02 22:00:00,91,63,2979.5,1418.0,3.0796835980451125e-05,6.543136405699384e-05
2021-01-02 22:15:00,88,35,2974.5,2283.5,3.024727490957612e-05,3.709965497320875e-05
2021-01-02 22:30:00,69,32,3743.0,2451.0,2.355503514479519e-05,3.44958804372784e-05
2021-01-02 22:45:00,94,54,2850.5,1555.5,3.267675080466499e-05,5.9459382084888184e-05
2021-01-02 23:00:00,83,38,3126.0,2111.0,2.919483117825062e-05,4.198138898739785e-05
2021-01-02 23:15:00,84,48,3025.5,1679.5,2.9853249952732354e-05,5.406160319684281e-05
2021-01-02 23:30:00,82,45,3121.5,1808.5,2.9248923318597115e-05,5.064687311832798e-05
2021-01-02 23:45:00,76,39,3216.5,1975.5,2.7877161488728454e-05,4.5175646388207066e-05
2021-01-03 00:00:00,72,43,3407.5,1836.5,2.630597280766205e-05,4.993850595603786e-05
2021-01-03 00:15:00,73,30,3292.0,2411.0,2.718758577590204e-05,3.601271969259542e-05
2021-01-03 00:30:00,89,45,2713.5,1666.5,3.389573595450202e-05,5.518723188203178e-05
2021-01-03 00:45:00,75,42,3103.5,1744.0,2.8245768313143885e-05,4.983820383113392e-05
2021-01-03 01:00:00,71,43,3183.5,1729.5,2.770886336291157e-05,5.072956188534647e-05
2021-01-03 01:15:00,86,44,2580.0,1651.0,3.4875054036057564e-05,5.6055025651544126e-05
2021-01-03 01:30:00,66,35,3156.5,1951.5,2.764232341267099e-05,4.548425789834138e-05
2021-01-03 01:45:00,78,38,2709.0,1778.5,3.390865009663965e-05,5.176801390652332e-05
2021-01-03 02:00:00,68,33,3050.0,2016.0,2.9426401540558666e-05,4.562315001582985e-05
2021-01-03 02:15:00,65,32,3050.5,1965.5,2.9252714651919698e-05,4.6350210603769425e-05
2021-01-03 02:30:00,65,26,2989.5,2296.0,3.01884969751126e-05,3.895195276626282e-05
2021-01-03 02:45:00,104,37,1949.0,1667.5,4.884794011994048e-05,5.664048447514936e-05
2021-01-03 03:00:00,111,33,1917.5,1988.0,4.986489309371231e-05,4.532456509019589e-05
2021-01-03 03:15:00,89,26,2237.5,2271.5,4.107422481630822e-05,3.941233181545327e-05
2021-01-03 03:30:00,68,31,2851.5,1907.0,3.164059264691239e-05,4.7629875916491e-05
2021-01-03 03:45:00,76,26,2527.5,2196.5,3.6095596337246855e-05,4.09082899076102e-05
2021-01-03 04:00:00,157,27,1326.5,2273.5,7.280703584934972e-05,4.0206991549086044e-05
2021-01-03 04:15:00,194,30,1054.5,1950.5,9.252361498348404e-05,4.692654587773758e-05
2021-01-03 04:30:00,130,34,1581.5,1814.5,6.0304202228750534e-05,5.129659692341117e-05
2021-01-03 04:45:00,125,39,1660.5,1627.0,5.654000499361325e-05,5.812792316382835e-05
2021-01-03 05:00:00,96,35,2194.5,1866.5,4.2655216110875124e-05,4.9722548181149185e-05
2021-01-03 05:15:00,93,36,2246.5,1776.5,4.160552592963745e-05,5.286918108575674e-05
2021-01-03 05:30:00,79,26,2639.5,2361.5,3.535308332587488e-05,3.7458633422609746e-05
2021-01-03 05:45:00,76,19,2682.0,3035.5,3.434686720416501e-05,2.834230342375025e-05
2021-01-03 06:00:00,71,22,2886.5,2822.5,3.1112090728114945e-05,3.001921229586936e-05
2021-01-03 06:15:00,73,27,2777.5,2304.0,3.2434670796977624e-05,3.9266558853300144e-05
2021-01-03 06:30:00,77,29,2718.0,2201.0,3.350172664418425e-05,4.005486134802564e-05
2021-01-03 06:45:00,77,31,2722.5,2106.5,3.3442724339875375e-05,4.346149801969787e-05
2021-01-03 07:00:00,69,26,3140.5,2649.5,2.7977335925088863e-05,3.229127725663244e-05
2021-01-03 07:15:00,75,34,2937.0,2025.0,3.0310194530828498e-05,4.423518023884395e-05
2021-01-03 07:30:00,76,30,3042.0,2406.5,2.929027354803104e-05,3.621403945881739e-05
2021-01-03 07:45:00,75,29,3233.0,2497.5,2.7767205671322174e-05,3.483491852232678e-05
2021-01-03 08:00:00,81,36,3208.0,2257.0,2.8013180720291502e-05,3.931671910716099e-05
2021-01-03 08:15:00,70,29,3688.5,2677.5,2.356085263359845e-05,3.2565901031103804e-05
2021-01-03 08:30:00,91,37,3034.0,2231.5,2.957452015341051e-05,3.908375013864168e-05
2021-01-03 08:45:00,77,36,3488.5,2378.0,2.4951175086932158e-05,3.771165667307765e-05
2021-01-03 09:00:00,76,35,3751.5,2545.0,2.2778312768413197e-05,3.203013395002018e-05
2021-01-03 09:15:00,128,43,2492.0,2153.0,3.606507491955798e-05,4.108196520835244e-05
2021-01-03 09:30:00,87,34,3518.0,2714.5,2.420008294787052e-05,3.2221746267015925e-05
2021-01-03 09:45:00,94,49,3283.5,1975.0,2.593482633322941e-05,4.534903952585265e-05
2021-01-03 10:00:00,86,38,3774.5,2710.5,2.145859563971317e-05,3.148906832133434e-05
2021-01-03 10:15:00,110,49,3141.0,2126.0,2.7654762967255506e-05,4.093495435752589e-05
2021-01-03 10:30:00,89,39,3793.5,2667.0,2.24254567737982e-05,3.139335797041136e-05
2021-01-03 10:45:00,96,42,3418.5,2445.5,2.491081409578416e-05,3.5181035746445254e-05
2021-01-03 11:00:00,125,52,2741.0,2127.0,3.2543642326105e-05,4.1232699116272246e-05
2021-01-03 11:15:00,100,44,3267.0,2381.5,2.6405338314436357e-05,3.61643439294861e-05
2021-01-03 11:30:00,92,39,3505.0,2670.0,2.4669423027780185e-05,3.181203816465748e-05
2021-01-03 11:45:00,111,47,3013.0,2353.0,2.90927618781029e-05,3.6650688526073066e-05
2021-01-03 12:00:00,119,61,2873.0,2023.5,3.095770656984969e-05,4.42151057647075e-05
2021-01-03 12:15:00,131,69,2620.0,1725.0,3.4185982181535395e-05,5.231493591420351e-05
2021-01-03 12:30:00,119,53,2818.5,2143.5,3.140484700825288e-05,4.099517726546698e-05
2021-01-03 12:45:00,94,48,3358.0,2299.0,2.556755205648797e-05,3.787012126328413e-05
2021-01-03 13:00:00,110,60,2948.5,1996.5,2.988023729254627e-05,4.570958415705813e-05
2021-01-03 13:15:00,91,43,3502.0,2618.0,2.4545662484733134e-05,3.3183979700665066e-05
2021-01-03 13:30:00,73,41,4138.5,2693.5,1.9568112982531574e-05,3.164576502479176e-05
2021-01-03 13:45:00,107,56,3005.5,2024.5,2.8470894763058293e-05,4.369879047990636e-05
2021-01-03 14:00:00,112,46,2918.5,2493.0,2.9667247385375157e-05,3.5118096049519566e-05
2021-01-03 14:15:00,135,53,2455.5,2115.0,3.6176405801730795e-05,4.1469198948090734e-05
2021-01-03 14:30:00,180,80,1911.0,1518.0,4.797913227606873e-05,6.218958650921299e-05
2021-01-03 14:45:00,120,55,2693.0,2012.5,3.2774966262269106e-05,4.4148267541712076e-05
2021-01-03 15:00:00,127,56,2562.0,2016.0,3.4799220826265026e-05,4.389440573637176e-05
2021-01-03 15:15:00,117,52,2721.5,2124.0,3.2334081254717106e-05,4.137304402967084e-05
2021-01-03 15:30:00,122,58,2623.5,1959.5,3.377700256788277e-05,4.5499367323452646e-05
2021-01-03 15:45:00,130,68,2467.0,1693.5,3.624702739522448e-05,5.4401610287664524e-05
2021-01-03 16:00:00,144,80,2287.0,1542.0,3.983556762917513e-05,6.131179654293435e-05
2021-01-03 16:15:00,141,68,2371.0,1740.5,3.903206026993023e-05,5.269038663895772e-05
2021-01-03 16:30:00,106,63,2898.5,1767.0,3.041596413441331e-05,5.187665871499046e-05
2021-01-03 16:45:00,131,49,2412.5,2153.5,3.786307728547749e-05,4.0586398917916916e-05
2021-01-03 17:00:00,168,69,1900.5,1621.0,4.872820826668253e-05,5.670210685306594e-05
2021-01-03 17:15:00,172,67,1839.5,1642.0,5.023465718205186e-05,5.612866365191516e-05
2021-01-03 17:30:00,158,62,1989.0,1756.5,4.647281619677649e-05,5.214444009907443e-05
2021-01-03 17:45:00,157,49,1992.0,2095.0,4.620719837515477e-05,4.196240168808747e-05
2021-01-03 18:00:00,136,63,2210.0,1672.0,4.052395084683137e-05,5.348188279997182e-05
2021-01-03 18:15:00,145,61,2114.5,1726.0,4.302872360187807e-05,5.278314262178196e-05
2021-01-03 18:30:00,148,62,2061.5,1670.5,4.4236056750078535e-05,5.449706243253791e-05
2021-01-03 18:45:00,168,75,1844.5,1394.5,5.05354349657081e-05,6.591702891736114e-05
2021-01-03 19:00:00,154,70,2049.5,1546.0,4.5705154858858616e-05,5.888221370205936e-05
2021-01-03 19:15:00,113,54,2661.5,1910.0,3.378903680313849e-05,4.736476482517139e-05
2021-01-03 19:30:00,127,65,2408.5,1620.0,3.8339888850549e-05,5.651132139118702e-05
2021-01-03 19:45:00,133,63,2293.5,1639.0,4.0260585885365096e-05,5.5290706246621116e-05
2021-01-03 20:00:00,126,48,2373.5,2041.5,3.873985999537581e-05,4.320012096033869e-05
2021-01-03 20:15:00,127,62,2351.5,1602.5,3.89176123340026e-05,5.689649792878394e-05
2021-01-03 20:30:00,107,54,2791.0,1812.5,3.23998149274123e-05,4.921627636944289e-05
2021-01-03 20:45:00,111,56,2635.5,1696.0,3.426491720083409e-05,5.240187748441044e-05
2021-01-03 21:00:00,109,58,2698.5,1700.5,3.352348427717832e-05,5.385059616323787e-05
2021-01-03 21:15:00,103,52,2811.5,1822.5,3.185241261924554e-05,4.877074280654991e-05
2021-01-03 21:30:00,108,61,2601.0,1524.5,3.429872602463474e-05,5.9362196985178906e-05
2021-01-03 21:45:00,114,48,2524.0,1846.5,3.569202292680224e-05,4.731086986948114e-05
2021-01-03 22:00:00,96,41,3052.5,2239.0,2.9211757245428663e-05,3.9129380820495395e-05
2021-01-03 22:15:00,102,51,2848.0,1820.5,3.1568479925077476e-05,4.9217062687097226e-05
2021-01-03 22:30:00,112,51,2594.0,1894.0,3.459513956822177e-05,4.785860877839494e-05
2021-01-03 22:45:00,142,79,2187.5,1360.5,4.339682206905657e-05,7.203192017039652e-05
2021-01-03 23:00:00,130,76,2397.5,1400.0,3.9036260782640996e-05,6.925491732694246e-05
2021-01-03 23:15:00,115,79,2600.5,1360.5,3.5390953087599075e-05,7.312512727474684e-05
2021-01-03 23:30:00,97,53,2936.0,1775.5,3.0752228030624154e-05,5.1958797653815204e-05
2021-01-03 23:45:00,112,63,2526.5,1425.5,3.6911703250998274e-05,6.627665136692963e-05
2021-01-04 00:00:00,91,55,2910.5,1584.0,3.1010383025938647e-05,5.923334815961989e-05
2021-01-04 00:15:00,84,54,3034.5,1465.5,2.9917172171901226e-05,6.223327567151433e-05
2021-01-04 00:30:00,92,44,2687.0,1761.5,3.3963491461689e-05,5.195811231454497e-05
2021-01-04 00:45:00,62,27,3673.0,2586.0,2.367438706248205e-05,3.3595502682040964e-05
2021-01-04 01:00:00,64,32,3560.0,2236.0,2.4440139415720277e-05,3.969809598007156e-05
2021-01-04 01:15:00,82,40,2697.5,1719.5,3.307118370639242e-05,5.2520801519952005e-05
2021-01-04 01:30:00,67,32,3161.0,2033.0,2.79735345312408e-05,4.3642632305367496e-05
2021-01-04 01:45:00,72,24,2893.0,2576.0,3.083922526726258e-05,3.3970083679639466e-05
2021-01-04 02:00:00,68,37,3015.0,1790.0,2.9145384464052807e-05,5.136655870434103e-05
2021-01-04 02:15:00,72,37,2871.0,1778.0,3.090258731912329e-05,5.202686836218012e-05
2021-01-04 02:30:00,65,28,3112.5,2237.0,2.817173664020401e-05,4.058541563089304e-05
2021-01-04 02:45:00,69,26,2967.5,2301.5,2.9695044800784985e-05,3.839236405411552e-05
2021-01-04 03:00:00,70,35,3048.5,1954.0,2.9281474447730475e-05,4.598673742492666e-05
2021-01-04 03:15:00,61,33,3291.5,1926.0,2.6717204521952564e-05,4.765817821559116e-05
2021-01-04 03:30:00,62,40,3234.0,1613.0,2.735045148096078e-05,5.7722389937832993e-05
2021-01-04 03:45:00,61,26,3200.0,2297.0,2.7484955366234782e-05,3.825307054454717e-05
2021-01-04 04:00:00,71,30,2916.5,2169.0,3.108536522896123e-05,4.175638489922097e-05
2021-01-04 04:15:00,67,32,2941.5,1899.0,3.054238257023722e-05,4.7823149991332064e-05
2021-01-04 04:30:00,65,26,3036.5,2300.0,2.975872995234483e-05,3.865331838738356e-05
2021-01-04 04:45:00,65,34,2993.0,1779.5,3.0273603513601002e-05,5.146431101396802e-05
2021-01-04 05:00:00,69,40,2970.0,1672.0,3.059563041187926e-05,5.588098467883103e-05
2021-01-04 05:15:00,65,30,3192.0,2069.0,2.8606611560063763e-05,4.274904883366345e-05
2021-01-04 05:30:00,58,26,3506.5,2411.0,2.5414363672533288e-05,3.570246662849249e-05
2021-01-04 05:45:00,56,18,3618.0,3294.5,2.4204388774350265e-05,2.5059760567909866e-05
2021-01-04 06:00:00,71,36,3106.5,1978.5,2.901448026892745e-05,4.492738611219616e-05
2021-01-04 06:15:00,69,36,3177.0,1927.5,2.8334021151962743e-05,4.792070720314786e-05
2021-01-04 06:30:00,69,32,3340.0,2240.0,2.7120573352503774e-05,3.93961554276822e-05
2021-01-04 06:45:00,98,41,2421.5,1792.5,3.837266988814367e-05,5.207559343949133e-05
2021-01-04 07:00:00,85,30,2917.5,2614.5,3.1033303115415044e-05,3.327916225255556e-05
2021-01-04 07:15:00,100,35,2593.5,2222.5,3.6304651206694e-05,4.1190281447308795e-05
2021-01-04 07:30:00,110,53,2462.5,1634.0,3.76696074073516e-05,5.789932509050865e-05
2021-01-04 07:45:00,85,41,3131.0,1996.5,2.8817105291261267e-05,4.515110201726314e-05
2021-01-04 08:00:00,86,27,3315.0,3202.5,2.702760461254357e-05,2.6636885970450816e-05
2021-01-04 08:15:00,102,50,2880.0,1803.5,3.1571509003606265e-05,5.08106844707305e-05
2021-01-04 08:30:00,101,43,3073.5,2203.0,2.9839255046748657e-05,4.0257724333828286e-05
2021-01-04 08:45:00,109,36,2869.0,2573.5,3.176397906491508e-05,3.3944363302748825e-05
2021-01-04 09:00:00,97,40,3367.5,2528.0,2.633377874521988e-05,3.297103659290496e-05
2021-01-04 09:15:00,91,34,3596.5,2913.5,2.4555644033828507e-05,2.9458347629296156e-05
2021-01-04 09:30:00,114,36,3030.0,2828.0,3.001580569136537e-05,3.0454405102804773e-05
2021-01-04 09:45:00,124,47,2851.0,2244.5,3.2074238411435394e-05,3.9046306427105124e-05
2021-01-04 10:00:00,150,68,2753.0,1837.5,3.235632336391869e-05,4.908623802349931e-05
2021-01-04 10:15:00,111,51,3426.5,2278.5,2.605224672463409e-05,3.864933458728952e-05
2021-01-04 10:30:00,193,48,2130.0,2446.5,4.522661227600232e-05,3.5300970188330685e-05
2021-01-04 10:45:00,168,47,2375.5,2432.0,3.9795705901205735e-05,3.5595705491735744e-05
2021-01-04 11:00:00,180,47,2255.0,2623.0,4.186511895973552e-05,3.297172008553004e-05
2021-01-04 11:15:00,177,44,2221.5,2612.5,4.249088786510656e-05,3.2970013772473936e-05
2021-01-04 11:30:00,147,53,2599.0,2239.0,3.5682816175239035e-05,3.955793632963554e-05
2021-01-04 11:45:00,135,57,2794.5,2096.5,3.267134730102e-05,4.2286842782711655e-05
