time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,336,159,908.0,694.5,0.00010849983159921971,0.0001400831688751057
2021-01-02 16:15:00,292,141,1022.5,763.5,9.668816543477556e-05,0.0001279251538050475
2021-01-02 16:30:00,269,120,1093.5,872.5,9.000586878415791e-05,0.00011012275934598094
2021-01-02 16:45:00,302,133,1010.0,818.0,9.956714666603364e-05,0.00012033683456218655
2021-01-02 17:00:00,290,130,1017.0,836.5,9.617339333226548e-05,0.00011687273727637976
2021-01-02 17:15:00,282,141,1030.0,748.0,9.59765082180736e-05,0.00013247360158141536
2021-01-02 17:30:00,244,112,1192.5,905.5,8.250069060516623e-05,0.00010637782554226572
2021-01-02 17:45:00,227,124,1310.0,821.5,7.59591600723854e-05,0.000118752334345282
2021-01-02 18:00:00,273,151,1074.0,690.5,9.145195556439926e-05,0.0001406860260576608
2021-01-02 18:15:00,264,119,1098.0,854.5,8.884530383579503e-05,0.00011392498374893613
2021-01-02 18:30:00,234,114,1200.5,873.5,8.063157263612523e-05,0.00011029507803376772
2021-01-02 18:45:00,221,109,1278.5,908.5,7.621005007103741e-05,0.00010642359127873315
2021-01-02 19:00:00,254,134,1186.5,800.5,8.506892927690741e-05,0.00012340960476692623
2021-01-02 19:15:00,246,128,1205.0,792.5,8.326591952991988e-05,0.00012422360248447205
2021-01-02 19:30:00,220,108,1291.5,887.5,7.60847875038345e-05,0.00010793534672731034
2021-01-02 19:45:00,218,105,1279.0,894.0,7.651571309836692e-05,0.00010642330528487998
2021-01-02 20:00:00,218,106,1288.5,891.0,7.596035844926579e-05,0.00010610196398739188
2021-01-02 20:15:00,232,123,1210.0,786.5,8.189638130955136e-05,0.00012599089792586203
2021-01-02 20:30:00,210,96,1301.5,959.5,7.427877957842902e-05,9.942962609281961e-05
2021-01-02 20:45:00,239,108,1161.0,852.5,8.421147580435174e-05,0.00011297130215116189
2021-01-02 21:00:00,202,97,1359.0,961.5,7.031318257305175e-05,9.9327135456613e-05
2021-01-02 21:15:00,241,106,1175.5,878.5,8.415447968961314e-05,0.00011013204416502768
2021-01-02 21:30:00,244,126,1178.0,742.5,8.428560522764195e-05,0.00013184826148649498
2021-01-02 21:45:00,246,119,1176.0,767.5,8.539792656611466e-05,0.00012625860733573118
2021-01-02 22:00:00,212,96,1368.0,949.5,7.174647503138062e-05,9.970493570589537e-05
2021-01-02 22:15:00,218,86,1309.5,1041.5,7.493074920781356e-05,9.115915221988436e-05
2021-01-02 22:30:00,214,100,1356.5,885.0,7.3054746680959e-05,0.000107799626366495
2021-01-02 22:45:00,201,102,1403.0,856.0,6.987262672061343e-05,0.00011231216616034432
2021-01-02 23:00:00,182,63,1522.0,1336.5,6.401758161977848e-05,6.960072384752802e-05
2021-01-02 23:15:00,183,78,1513.5,1101.0,6.503743739702406e-05,8.785010519486956e-05
2021-01-02 23:30:00,185,76,1487.0,1118.0,6.598842456024958e-05,8.553694126650947e-05
2021-01-02 23:45:00,196,99,1362.5,856.0,7.189373226040497e-05,0.00011467664083160256
2021-01-03 00:00:00,178,80,1476.5,1033.5,6.503421055227563e-05,9.2908848290303e-05
2021-01-03 00:15:00,202,78,1303.5,1011.5,7.523140173605771e-05,9.36330712007481e-05
2021-01-03 00:30:00,194,86,1340.5,921.0,7.388508736149879e-05,0.00010546893204121629
2021-01-03 00:45:00,197,75,1308.0,1043.5,7.41922181025246e-05,8.899679255559629e-05
2021-01-03 01:00:00,240,88,1031.0,912.5,9.366376348026447e-05,0.00010381863827698812
2021-01-03 01:15:00,219,78,1097.5,971.5,8.880973062670472e-05,9.937027274591912e-05
2021-01-03 01:30:00,193,71,1192.0,1042.5,8.083285482796213e-05,9.226806602234966e-05
2021-01-03 01:45:00,194,80,1169.0,913.5,8.433689895830888e-05,0.00010898529243478593
2021-01-03 02:00:00,358,73,631.5,986.5,0.00015492134928705891,0.00010092393791380544
2021-01-03 02:15:00,248,67,886.0,1033.0,0.00011161035744117053,9.704575345164224e-05
2021-01-03 02:30:00,231,79,906.0,837.0,0.00010728527386540018,0.00011835401032826008
2021-01-03 02:45:00,212,61,985.5,1052.0,9.957464716757099e-05,9.338025818875978e-05
2021-01-03 03:00:00,228,56,949.0,1248.5,0.00010242518581411176,7.691441348639302e-05
2021-01-03 03:15:00,254,76,827.5,862.0,0.00011722306857687963,0.00011520527761440188
2021-01-03 03:30:00,207,64,1002.5,1003.0,9.631768643986566e-05,9.833264705340078e-05
2021-01-03 03:45:00,219,72,937.0,863.5,0.00010401231049811923,0.0001132844951287667
2021-01-03 04:00:00,213,75,985.5,902.5,9.877642443255726e-05,0.0001116860876363501
2021-01-03 04:15:00,216,69,941.0,926.0,0.00010301598369295132,0.00010793105551879642
2021-01-03 04:30:00,165,44,1242.5,1443.5,7.653994898264491e-05,6.638383131264976e-05
2021-01-03 04:45:00,198,62,1067.5,1082.0,8.955936790988337e-05,9.240849323480402e-05
2021-01-03 05:00:00,224,88,952.5,777.0,9.952883759204196e-05,0.00012501669256974652
2021-01-03 05:15:00,214,78,994.0,883.5,9.573744676282168e-05,0.00011454989235247295
2021-01-03 05:30:00,184,61,1141.5,1131.0,8.234135863241744e-05,8.788371687612286e-05
2021-01-03 05:45:00,200,85,1062.5,772.5,9.03864926425395e-05,0.00012679451531677746
2021-01-03 06:00:00,193,80,1117.0,886.0,8.457230296515752e-05,0.00010916077198497947
2021-01-03 06:15:00,193,66,1097.5,1005.5,8.575193786050246e-05,9.598492164140032e-05
2021-01-03 06:30:00,196,73,1105.5,976.5,8.527712236701446e-05,0.00010082775442778869
2021-01-03 06:45:00,190,75,1146.0,926.0,8.252100811138078e-05,0.00010514878553152712
2021-01-03 07:00:00,188,82,1238.0,948.0,7.622810367995224e-05,0.00010184172057861
2021-01-03 07:15:00,198,69,1172.5,1062.5,8.001891356138724e-05,8.977139519059508e-05
2021-01-03 07:30:00,220,85,1142.0,960.0,8.478763395482669e-05,0.00010260644513331595
2021-01-03 07:45:00,199,84,1300.0,958.5,7.367565238124152e-05,0.00010090114330604997
2021-01-03 08:00:00,231,107,1203.0,841.5,7.988944131342392e-05,0.00011685802623517295
2021-01-03 08:15:00,277,111,1045.5,803.0,9.323365970723958e-05,0.00012464879360181107
2021-01-03 08:30:00,260,96,1138.5,988.0,8.449862900974432e-05,0.00010140648684620545
2021-01-03 08:45:00,238,97,1240.5,956.5,7.712181390506305e-05,0.00010161196381357034
2021-01-03 09:00:00,280,129,1197.0,814.5,8.392009967310124e-05,0.00011805392227293152
2021-01-03 09:15:00,249,108,1374.0,953.0,7.015784105445263e-05,0.00010318261029074565
2021-01-03 09:30:00,286,121,1240.0,859.0,7.955429566771228e-05,0.00011467150877379196
2021-01-03 09:45:00,254,115,1359.5,912.0,7.007921158127947e-05,0.00010643141929536848
2021-01-03 10:00:00,280,131,1386.0,917.5,6.986519510604289e-05,0.0001085544197393368
2021-01-03 10:15:00,503,156,800.0,754.5,0.00012645768884117744,0.00013032352815865386
2021-01-03 10:30:00,354,130,1133.5,962.0,8.919788424634339e-05,0.00010464452656803784
2021-01-03 10:45:00,339,160,1112.5,740.0,8.79663122757378e-05,0.00013402299331979144
2021-01-03 11:00:00,321,133,1175.0,932.0,8.357207349343765e-05,0.00010546055735508092
2021-01-03 11:15:00,339,144,1080.5,830.0,8.951409688593925e-05,0.00011835603467831816
2021-01-03 11:30:00,322,146,1113.5,833.0,8.634298059723065e-05,0.00011909121979589721
2021-01-03 11:45:00,334,194,1114.0,677.5,8.754038258816549e-05,0.00015128156540549309
2021-01-03 12:00:00,397,173,932.5,791.0,0.00010327907149773384,0.00012539693929990818
2021-01-03 12:15:00,371,174,983.0,757.5,9.681678923167656e-05,0.00013192462100103492
2021-01-03 12:30:00,343,154,1052.5,822.0,9.051985314143477e-05,0.00011911806224305501
2021-01-03 12:45:00,352,180,985.5,691.5,9.574232259450816e-05,0.00014201295473731547
2021-01-03 13:00:00,328,173,1062.0,752.0,8.909743483595613e-05,0.00013179596765285095
2021-01-03 13:15:00,371,170,976.5,758.5,0.00010007077782237356,0.00013119247788635026
2021-01-03 13:30:00,313,146,1152.5,865.5,8.390163511688195e-05,0.00011268979740535601
2021-01-03 13:45:00,285,137,1258.5,908.0,7.583369165861321e-05,0.00010690596956691376
2021-01-03 14:00:00,310,150,1166.5,854.0,8.211470258452053e-05,0.00011451553059625944
2021-01-03 14:15:00,312,158,1159.5,790.5,8.360769340844449e-05,0.00012362515912827052
2021-01-03 14:30:00,318,135,1150.5,929.0,8.476313368772142e-05,0.00010494492723429693
2021-01-03 14:45:00,361,150,990.0,814.0,9.859802350565956e-05,0.00012040436602285114
2021-01-03 15:00:00,309,157,1157.0,795.5,8.466897035681806e-05,0.0001230611017966137
2021-01-03 15:15:00,318,156,1114.0,787.5,8.788237469230805e-05,0.0001241191320890125
2021-01-03 15:30:00,308,154,1141.0,820.5,8.527308845006472e-05,0.00012080866496227082
2021-01-03 15:45:00,299,162,1170.0,768.5,8.336816300901631e-05,0.00012960383627355371
2021-01-03 16:00:00,306,171,1150.0,758.5,8.465058121199716e-05,0.0001310539651105222
2021-01-03 16:15:00,337,176,1037.0,734.0,9.328939227635805e-05,0.00013637511835965527
2021-01-03 16:30:00,296,155,1152.5,769.0,8.493514513005981e-05,0.00012763304921942098
2021-01-03 16:45:00,278,139,1226.5,852.0,8.035065256002094e-05,0.0001151328459100092
2021-01-03 17:00:00,260,149,1283.5,798.5,7.541270326986581e-05,0.00012244368001604097
2021-01-03 17:15:00,307,162,1083.0,719.0,8.966302183075536e-05,0.00013571408226283966
2021-01-03 17:30:00,243,122,1360.0,950.0,7.147401478364992e-05,0.0001026068014852755
2021-01-03 17:45:00,272,141,1196.5,815.0,8.005323540154201e-05,0.00012074895179633335
2021-01-03 18:00:00,277,140,1162.0,819.0,8.253775282773746e-05,0.00011884862844438182
2021-01-03 18:15:00,251,130,1311.0,864.0,7.448420430394065e-05,0.00011248866460379761
2021-01-03 18:30:00,281,145,1161.0,782.5,8.398872937008154e-05,0.00012745280730190318
2021-01-03 18:45:00,221,110,1436.5,996.0,6.647816147274697e-05,9.667830907879634e-05
2021-01-03 19:00:00,298,143,1125.5,824.0,8.844244251909006e-05,0.0001202879508484927
2021-01-03 19:15:00,444,138,749.5,821.0,0.0001327640030141017,0.00012104328788654913
2021-01-03 19:30:00,337,120,958.0,940.0,0.000101736555453819,0.00010432859333757603
2021-01-03 19:45:00,283,114,1147.5,964.0,8.566726169592725e-05,0.00010004984939864775
2021-01-03 20:00:00,318,134,1002.5,814.5,9.777202760737704e-05,0.0001206003376809455
2021-01-03 20:15:00,301,136,1068.5,815.0,9.223780561051008e-05,0.00012480522126313896
2021-01-03 20:30:00,286,118,1126.0,930.0,8.660137447887774e-05,0.00010754667799248632
2021-01-03 20:45:00,295,110,1053.5,921.5,9.106441958780232e-05,0.00010293225934437763
2021-01-03 21:00:00,256,118,1200.5,882.0,7.873405481612523e-05,0.0001095581094355529
2021-01-03 21:15:00,244,105,1253.5,973.5,7.545620076792147e-05,9.84793845132258e-05
2021-01-03 21:30:00,251,102,1183.0,959.5,7.971277992762334e-05,9.926137856538112e-05
2021-01-03 21:45:00,253,109,1203.0,887.5,7.921124386386812e-05,0.00010743510032861341
2021-01-03 22:00:00,223,102,1437.5,1009.5,6.7856477768027e-05,9.734626448025684e-05
2021-01-03 22:15:00,254,111,1249.5,920.5,7.861170491146744e-05,0.00010711948937779984
2021-01-03 22:30:00,251,118,1263.5,905.0,7.753017885378272e-05,0.00011073168305589416
2021-01-03 22:45:00,278,108,1159.0,1040.5,8.495997559998399e-05,9.847401744813703e-05
2021-01-03 23:00:00,286,117,1159.5,955.5,8.587977372181021e-05,0.0001066161227270035
2021-01-03 23:15:00,247,115,1295.0,958.5,7.601361228379974e-05,0.00010644797008349223
2021-01-03 23:30:00,244,91,1251.0,1125.5,7.735611999455971e-05,8.921227521692798e-05
2021-01-03 23:45:00,222,95,1298.5,984.0,7.316426894394298e-05,9.994098221997324e-05
2021-01-04 00:00:00,248,105,1146.5,882.0,8.451181308167895e-05,0.00011308184648654705
2021-01-04 00:15:00,248,94,1112.5,913.0,8.832688926942266e-05,0.00010833199839115457
2021-01-04 00:30:00,253,99,1054.0,845.0,9.339960151964474e-05,0.00011690575270772618
2021-01-04 00:45:00,206,96,1203.0,822.5,7.866006023985973e-05,0.00011945067620281233
2021-01-04 01:00:00,224,89,1114.5,887.0,8.554048795502098e-05,0.00011041032944457402
2021-01-04 01:15:00,198,68,1195.5,1060.0,7.985480943738657e-05,8.928536258391841e-05
2021-01-04 01:30:00,189,76,1207.0,918.0,7.891041830454495e-05,0.0001036512517252478
2021-01-04 01:45:00,184,68,1226.0,1011.5,7.881135346078214e-05,9.624857042564517e-05
2021-01-04 02:00:00,206,90,1080.5,777.0,8.829337058227764e-05,0.00012494568333488358
2021-01-04 02:15:00,143,64,1560.5,1070.0,6.13759720365921e-05,8.999242095079805e-05
2021-01-04 02:30:00,163,64,1402.0,1064.5,7.064604726697315e-05,9.276666429918409e-05
2021-01-04 02:45:00,144,62,1577.0,1051.5,6.197226741033388e-05,9.155102197519852e-05
2021-01-04 03:00:00,193,90,1235.5,849.0,8.073320812017118e-05,0.00011825161052123997
2021-01-04 03:15:00,179,66,1252.5,1015.5,7.839966572835259e-05,9.531635643118232e-05
2021-01-04 03:30:00,188,67,1181.0,980.0,8.293362707130042e-05,9.668500314587027e-05
2021-01-04 03:45:00,175,75,1235.5,867.5,7.885028178837846e-05,0.00011034539580157836
