time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,508,212,608.0,530.5,0.00016404141206072506,0.00018677755850014097
2021-01-02 16:15:00,568,247,526.0,460.5,0.00018807834920189217,0.00022409583680742362
2021-01-02 16:30:00,592,257,507.5,431.5,0.00019807983018669693,0.00023584624293264249
2021-01-02 16:45:00,578,246,532.0,460.0,0.00019056228732770682,0.0002225779045285556
2021-01-02 17:00:00,551,221,545.0,513.0,0.0001827294473313044,0.0001986836533698456
2021-01-02 17:15:00,699,222,407.5,492.5,0.000237899217178842,0.00020857545780903692
2021-01-02 17:30:00,699,220,403.5,491.5,0.00023634419152873443,0.0002089564430294505
2021-01-02 17:45:00,737,234,406.5,462.5,0.0002466163038473481,0.00022409714707093535
2021-01-02 18:00:00,676,218,439.0,502.0,0.00022645246139756006,0.00020310962702364268
2021-01-02 18:15:00,666,208,447.5,512.5,0.00022413247104030107,0.000199129383359485
2021-01-02 18:30:00,624,213,470.5,501.0,0.00021501752702966724,0.0002060776457999344
2021-01-02 18:45:00,580,204,501.0,515.5,0.00020000827620453258,0.0001991780974390969
2021-01-02 19:00:00,643,220,489.0,531.5,0.00021535165954744668,0.00020261278394569977
2021-01-02 19:15:00,659,211,470.5,517.0,0.00022305789012283417,0.0002047748447204969
2021-01-02 19:30:00,578,184,510.0,557.0,0.0001998954871691652,0.0001838898499798621
2021-01-02 19:45:00,557,194,516.5,519.0,0.00019550115686142367,0.00019662972595492115
2021-01-02 20:00:00,579,191,513.0,553.0,0.0002017479245051601,0.00019118372756218727
2021-01-02 20:15:00,599,186,481.0,536.5,0.00021144798450181584,0.0001905228212537426
2021-01-02 20:30:00,582,193,477.0,518.5,0.00020585833197450331,0.00019989497745743947
2021-01-02 20:45:00,613,205,456.5,478.0,0.000215990103213672,0.0002144362679721128
2021-01-02 21:00:00,590,173,480.5,575.5,0.00020537018672326998,0.00017715045808241285
2021-01-02 21:15:00,576,167,486.0,576.0,0.00020113269834529945,0.00017350991863735493
2021-01-02 21:30:00,560,182,511.0,538.5,0.0001934423726536045,0.0001904474888138261
2021-01-02 21:45:00,515,151,548.5,620.5,0.0001787802121201181,0.00016021050174533954
2021-01-02 22:00:00,546,182,536.0,546.0,0.00018478101588270668,0.00018902394060909332
2021-01-02 22:15:00,475,160,606.5,607.0,0.00016326654070509836,0.00016959842273466856
2021-01-02 22:30:00,463,145,619.0,641.0,0.00015805769959478512,0.00015630945823141775
2021-01-02 22:45:00,520,183,554.0,523.0,0.00018076500445133825,0.0002015012392876766
2021-01-02 23:00:00,452,152,613.0,604.5,0.00015898871918758168,0.0001679255559495914
2021-01-02 23:15:00,508,169,544.0,542.0,0.00018054108304747663,0.00019034189458888402
2021-01-02 23:30:00,472,160,571.0,585.5,0.00016835965617533944,0.00018007777108738836
2021-01-02 23:45:00,436,140,621.0,623.5,0.00015992687380375801,0.00016216898703458947
2021-01-03 00:00:00,403,152,676.0,592.0,0.00014724037557621955,0.00017652681175157566
2021-01-03 00:15:00,370,135,713.0,624.0,0.00013780009228881856,0.0001620572386166794
2021-01-03 00:30:00,446,170,580.5,490.0,0.00016985953073829103,0.0002084850982210089
2021-01-03 00:45:00,388,149,703.0,560.5,0.00014612477473999769,0.00017680696121045132
2021-01-03 01:00:00,354,133,707.5,620.5,0.0001381540511333901,0.00015690771466862977
2021-01-03 01:15:00,376,128,642.0,626.5,0.00015247698043671678,0.00016306916553176473
2021-01-03 01:30:00,354,150,670.5,542.0,0.00014826337103159896,0.0001949325338500345
2021-01-03 01:45:00,347,146,648.5,532.5,0.00015085002030171743,0.0001988981586934843
2021-01-03 02:00:00,276,103,840.5,719.0,0.0001194365709587381,0.00014239952883728712
2021-01-03 02:15:00,330,123,656.5,564.5,0.00014851378207897693,0.00017815862200823876
2021-01-03 02:30:00,322,127,647.0,539.0,0.00014954916963055782,0.00019026530774289918
2021-01-03 02:45:00,274,106,754.0,633.0,0.0001286955345467663,0.00016226733390177928
2021-01-03 03:00:00,298,115,721.0,654.5,0.00013387151479212853,0.00015794924198098565
2021-01-03 03:15:00,320,112,671.5,599.5,0.00014768260608110818,0.00016977619858964487
2021-01-03 03:30:00,277,106,749.5,615.5,0.0001288888847528637,0.00016286344668219502
2021-01-03 03:45:00,262,98,763.5,648.5,0.00012443481895208785,0.0001541927850363769
2021-01-03 04:00:00,314,102,647.0,665.5,0.00014561407169869943,0.0001518930791854361
2021-01-03 04:15:00,297,97,660.0,664.5,0.00014164697757780806,0.00015172916500468483
2021-01-03 04:30:00,330,117,617.5,585.0,0.00015307989796528986,0.00017652064235409136
2021-01-03 04:45:00,332,128,630.0,530.5,0.00015017025326303677,0.0001907788247428212
2021-01-03 05:00:00,329,119,637.0,590.5,0.00014618298021331163,0.00016905666381590725
2021-01-03 05:15:00,300,104,696.5,671.0,0.0001342113739665724,0.0001527331898032973
2021-01-03 05:30:00,341,118,601.5,608.5,0.00015260001790029536,0.00017000456707184423
2021-01-03 05:45:00,384,140,527.0,489.5,0.00017354206587367582,0.00020883802522763344
2021-01-03 06:00:00,375,141,549.5,554.5,0.00016432442285976202,0.00019239586062352632
2021-01-03 06:15:00,324,118,635.5,577.0,0.00014395662107151712,0.0001716094053588673
2021-01-03 06:30:00,360,132,578.0,570.0,0.00015663144924553678,0.00018231867923928916
2021-01-03 06:45:00,347,139,618.5,529.5,0.0001507094200771007,0.0001948757491850969
2021-01-03 07:00:00,320,124,709.5,668.5,0.00012974996371055701,0.00015400455307009318
2021-01-03 07:15:00,341,127,663.0,592.0,0.00013781035113350024,0.00016523140853921123
2021-01-03 07:30:00,377,143,640.0,582.5,0.00014529517273168032,0.00017262025475369626
2021-01-03 07:45:00,407,133,622.5,611.0,0.00015068336944304168,0.00015976014356791247
2021-01-03 08:00:00,467,135,588.0,677.5,0.00016150809131328559,0.00014743769665185374
2021-01-03 08:15:00,456,151,643.5,594.5,0.00015348212572744132,0.00016956727778264394
2021-01-03 08:30:00,453,147,656.0,645.5,0.00014722261131313146,0.00015527868298325208
2021-01-03 08:45:00,477,168,623.0,566.0,0.0001545676690450213,0.00017598773114102902
2021-01-03 09:00:00,448,179,739.5,622.5,0.00013427215947696202,0.00016381125648724605
2021-01-03 09:15:00,494,183,721.0,579.0,0.00013918864851766906,0.00017483720077043015
2021-01-03 09:30:00,569,197,638.0,550.0,0.00015827410571653248,0.00018669658866476876
2021-01-03 09:45:00,585,197,615.5,557.0,0.00016140290856318302,0.00018232164870597903
2021-01-03 10:00:00,552,201,725.0,604.5,0.00013773424178048458,0.00016656059822600533
2021-01-03 10:15:00,604,228,668.0,525.5,0.00015184978938383934,0.00019047284884726333
2021-01-03 10:30:00,675,232,586.0,564.0,0.00017008071148667174,0.0001867502320291137
2021-01-03 10:45:00,663,221,565.0,549.5,0.00017204030984900934,0.0001851192595229619
2021-01-03 11:00:00,571,179,646.5,703.5,0.00014865935814564762,0.0001419356373425525
2021-01-03 11:15:00,652,252,552.5,502.5,0.00017216280581012502,0.0002071230606870568
2021-01-03 11:30:00,595,245,592.0,514.5,0.00015954681197314358,0.00019984485513695083
2021-01-03 11:45:00,673,255,545.0,519.0,0.00017639124994561488,0.00019884948030103472
2021-01-03 12:00:00,585,233,623.0,599.5,0.00015218704490220226,0.00016888720726519424
2021-01-03 12:15:00,615,253,593.5,525.0,0.0001604914430659868,0.00019182143168541284
2021-01-03 12:30:00,612,250,595.0,535.0,0.00016151064175672907,0.00019337347766729707
2021-01-03 12:45:00,597,258,590.5,497.0,0.00016238115508216298,0.00020355190179015216
2021-01-03 13:00:00,671,276,526.0,483.0,0.00018226944748453224,0.0002102640871224674
2021-01-03 13:15:00,615,250,590.0,526.5,0.00016588552118803164,0.0001929301145387504
2021-01-03 13:30:00,706,282,515.5,464.0,0.0001892477776118807,0.00021766111553637256
2021-01-03 13:45:00,698,284,535.0,454.0,0.0001857260237814457,0.00022161529457666803
2021-01-03 14:00:00,700,245,529.5,531.5,0.00018542029615859474,0.00018704203330722382
2021-01-03 14:15:00,720,305,509.0,426.5,0.0001929408309425642,0.00023864350338052216
2021-01-03 14:30:00,711,261,520.0,498.0,0.00018951757249047147,0.0002028935259863074
2021-01-03 14:45:00,746,259,480.0,490.0,0.00020375104026377293,0.00020789820533278965
2021-01-03 15:00:00,732,237,474.0,543.0,0.0002005750365734331,0.00018576739570571623
2021-01-03 15:15:00,765,258,455.0,493.0,0.00021141514666545803,0.00020527394922413607
2021-01-03 15:30:00,757,248,458.0,516.5,0.0002095835323269448,0.00019454901890028032
2021-01-03 15:45:00,706,255,494.0,495.5,0.0001968492410848345,0.00020400603857874196
2021-01-03 16:00:00,678,236,517.0,566.5,0.0001875591309206996,0.00018086979980165636
2021-01-03 16:15:00,659,250,540.0,532.0,0.0001824264377154895,0.000193714656760874
2021-01-03 16:30:00,590,224,582.5,557.5,0.00016929640414437596,0.00018445034209774383
2021-01-03 16:45:00,646,228,532.0,531.0,0.00018671410630853783,0.00018885099904663376
2021-01-03 17:00:00,710,252,468.5,482.5,0.00020593468969847968,0.0002070859554633713
2021-01-03 17:15:00,684,224,479.5,542.5,0.0001997703808867644,0.00018765403967207456
2021-01-03 17:30:00,652,222,502.0,545.0,0.00019177389974872323,0.00018671073712894396
2021-01-03 17:45:00,678,231,487.5,522.0,0.00019954446177296135,0.00019782275081526955
2021-01-03 18:00:00,639,238,503.0,517.0,0.00019040297493474453,0.00020204266835544907
2021-01-03 18:15:00,673,237,491.5,502.0,0.00019971262747630304,0.00020507548854692336
2021-01-03 18:30:00,631,243,523.5,478.0,0.00018860102573851046,0.00021359332534043082
2021-01-03 18:45:00,669,230,486.5,508.0,0.00020123932138130192,0.00020214555534657416
2021-01-03 19:00:00,606,233,536.5,522.0,0.00017985275223680733,0.00019599365417971188
2021-01-03 19:15:00,567,241,584.0,496.5,0.00016954322006530552,0.00021138719116419084
2021-01-03 19:30:00,580,213,565.0,566.0,0.00017509555538046002,0.00018518325317419743
2021-01-03 19:45:00,601,207,536.0,578.0,0.00018192941441431897,0.0001816694633817551
2021-01-03 20:00:00,518,171,612.0,660.5,0.00015926386886987834,0.00015390043092120657
2021-01-03 20:15:00,548,202,579.5,555.5,0.00016792796503175924,0.00018537246099377996
2021-01-03 20:30:00,560,200,565.5,573.5,0.00016956912485374662,0.0001822825050720107
2021-01-03 20:45:00,547,216,559.0,506.5,0.00016885504242212837,0.00020212152743986884
2021-01-03 21:00:00,546,183,581.5,585.5,0.0001679249762875171,0.00016990791548056086
2021-01-03 21:15:00,546,204,565.0,535.0,0.00016884871155444718,0.0001913313756256958
2021-01-03 21:30:00,520,187,581.0,555.0,0.0001651420141926858,0.00018197919403653207
2021-01-03 21:45:00,560,211,554.0,502.0,0.00017532923542990572,0.00020797069880126084
2021-01-03 22:00:00,517,206,625.5,527.5,0.00015731748433215232,0.00019660127924444028
2021-01-03 22:15:00,511,194,625.5,551.5,0.00015815189452661365,0.00018721784629993846
2021-01-03 22:30:00,539,209,591.0,535.0,0.00016648910917206727,0.00019612645558204984
2021-01-03 22:45:00,550,209,587.5,557.0,0.00016808628266183883,0.00019056545969130216
2021-01-03 23:00:00,584,217,560.0,547.0,0.00017536289459278722,0.0001977410139466646
2021-01-03 23:15:00,527,214,608.5,545.0,0.00016218288936664966,0.0001980857878075421
2021-01-03 23:30:00,514,188,599.0,573.0,0.00016295510523444136,0.0001843066784701369
2021-01-03 23:45:00,482,181,607.0,553.5,0.00015885215149090325,0.000190413871387528
2021-01-04 00:00:00,452,171,628.0,569.0,0.00015402959481015683,0.00018416186427809087
2021-01-04 00:15:00,424,124,647.5,721.0,0.0001510104881057871,0.00014290604043088476
2021-01-04 00:30:00,478,161,531.5,546.5,0.00017646248824660152,0.00019011945642367589
2021-01-04 00:45:00,428,138,582.0,594.5,0.0001634296397216503,0.00017171034704154271
2021-01-04 01:00:00,455,148,538.5,551.0,0.00017375411615863634,0.00018360369390783092
2021-01-04 01:15:00,421,122,555.5,629.5,0.00016979229683403908,0.0001601884446358536
2021-01-04 01:30:00,399,128,565.0,574.0,0.00016658866086515046,0.00017457052922146998
2021-01-04 01:45:00,400,128,534.5,570.0,0.00017132902926256984,0.00018117377962474383
2021-01-04 02:00:00,362,138,611.0,540.5,0.00015515631141157525,0.0001915833811134881
2021-01-04 02:15:00,354,118,632.0,623.5,0.00015193772098568952,0.0001659235261280339
2021-01-04 02:30:00,344,117,659.5,596.0,0.00014909349852661817,0.0001695890581719459
2021-01-04 02:45:00,305,101,740.5,686.0,0.00013126070527883218,0.0001491395680563718
2021-01-04 03:00:00,452,255,502.0,301.0,0.00018907466357677395,0.00033504622981017987
2021-01-04 03:15:00,269,91,824.0,758.5,0.00011781849207221704,0.00013142103689753922
2021-01-04 03:30:00,324,122,673.5,573.5,0.00014292816580373048,0.0001760532893103906
