time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,168,29,1765.5,3236.0,5.4249915799609854e-05,2.5549760360868343e-05
2021-01-02 16:15:00,180,34,1601.5,2686.0,5.960229376116302e-05,3.0847200208309334e-05
2021-01-02 16:30:00,182,32,1560.0,2857.0,6.089616401009939e-05,2.9366069158928248e-05
2021-01-02 16:45:00,159,30,1829.0,3052.0,5.242111364205083e-05,2.714364689372629e-05
2021-01-02 17:00:00,192,26,1496.0,3426.5,6.367341903377576e-05,2.337454745527595e-05
2021-01-02 17:15:00,148,21,1857.0,3948.0,5.037064970310246e-05,1.9730110873827818e-05
2021-01-02 17:30:00,138,22,2050.5,3738.0,4.666022665374156e-05,2.089564430294505e-05
2021-01-02 17:45:00,122,35,2241.5,2520.5,4.0823865765775415e-05,3.3518804049071525e-05
2021-01-02 18:00:00,154,38,1836.5,2415.0,5.158828262607138e-05,3.540443039861662e-05
2021-01-02 18:15:00,154,33,1817.0,2662.5,5.18264272375471e-05,3.159264255222599e-05
2021-01-02 18:30:00,147,47,1850.0,1947.5,5.065316742525815e-05,4.547253217181651e-05
2021-01-02 18:45:00,115,26,2295.0,3216.0,3.9656813385381456e-05,2.538544379125745e-05
2021-01-02 19:00:00,118,28,2292.0,3183.5,3.9520211238878245e-05,2.5787081593089065e-05
2021-01-02 19:15:00,99,30,2695.0,2844.5,3.350945542057751e-05,2.9114906832298133e-05
2021-01-02 19:30:00,152,36,1829.0,2382.5,5.2567671366285665e-05,3.5978448909103446e-05
2021-01-02 19:45:00,145,28,1864.0,2932.5,5.089347889570277e-05,2.8379548075968e-05
2021-01-02 20:00:00,122,20,2190.5,3960.0,4.250992537069004e-05,2.0019238488187145e-05
2021-01-02 20:15:00,142,24,1895.0,3279.0,5.012623338774265e-05,2.4583589839192596e-05
2021-01-02 20:30:00,137,28,1968.0,2835.0,4.845806096307036e-05,2.9000307610405725e-05
2021-01-02 20:45:00,120,28,2192.0,2842.0,4.228191253774982e-05,2.928885611326419e-05
2021-01-02 21:00:00,162,41,1669.0,2092.0,5.638978008333853e-05,4.198363457444466e-05
2021-01-02 21:15:00,175,31,1559.0,2609.5,6.110802467088091e-05,3.2208428010526964e-05
2021-01-02 21:30:00,134,18,2033.5,4188.0,4.6287996313541074e-05,1.883546592664214e-05
2021-01-02 21:45:00,148,31,1877.0,2598.5,5.137761435684947e-05,3.2890897709308127e-05
2021-01-02 22:00:00,132,32,2144.5,2585.5,4.467233351010492e-05,3.323497856863179e-05
2021-01-02 22:15:00,121,24,2254.0,3228.5,4.159000300066716e-05,2.5439763410200284e-05
2021-01-02 22:30:00,113,21,2454.0,3528.5,3.857563726611386e-05,2.2637921536963956e-05
2021-01-02 22:45:00,118,25,2307.0,3033.0,4.1019751010111374e-05,2.7527491705966748e-05
2021-01-02 23:00:00,121,22,2239.5,3355.5,4.256113942853404e-05,2.4305014676914545e-05
2021-01-02 23:15:00,145,22,1866.5,3354.0,5.1532395751740366e-05,2.477823479855295e-05
2021-01-02 23:30:00,117,21,2261.0,3479.0,4.1733219857022706e-05,2.3635207455219724e-05
2021-01-02 23:45:00,124,19,2080.0,3719.0,4.548378979739906e-05,2.2008648240408573e-05
2021-01-03 00:00:00,155,29,1675.5,2605.0,5.663091368316136e-05,3.3679457505234835e-05
2021-01-03 00:15:00,118,11,2141.0,5750.0,4.394705645967727e-05,1.320466388728499e-05
2021-01-03 00:30:00,118,18,2108.0,3696.5,4.494041396214874e-05,2.2074892752812708e-05
2021-01-03 00:45:00,91,20,2656.5,3302.0,3.4271532219947913e-05,2.3732478014825682e-05
2021-01-03 01:00:00,90,12,2578.0,5217.0,3.512391130509917e-05,1.415708703777111e-05
2021-01-03 01:15:00,73,12,3013.5,4993.5,2.9603243542234906e-05,1.5287734268602942e-05
2021-01-03 01:30:00,88,24,2453.0,2679.5,3.6856431216894644e-05,3.118920541600552e-05
2021-01-03 01:45:00,78,18,2709.0,3405.5,3.390865009663965e-05,2.4521690797826834e-05
2021-01-03 02:00:00,62,8,3307.0,6661.0,2.682995434580349e-05,1.1060157579595115e-05
2021-01-03 02:15:00,54,10,3572.0,5280.0,2.4302255249287132e-05,1.4484440813677948e-05
2021-01-03 02:30:00,66,8,2940.5,6288.0,3.0652935390114334e-05,1.1985216235773171e-05
2021-01-03 02:45:00,86,12,2320.5,4378.0,4.03934889453354e-05,1.83698868568052e-05
2021-01-03 03:00:00,68,9,2974.5,6038.5,3.054786243578772e-05,1.2361245024598876e-05
2021-01-03 03:15:00,46,10,4003.5,5204.5,2.1229374624159306e-05,1.5158589159789719e-05
2021-01-03 03:30:00,37,6,4816.0,8016.5,1.7216204822584687e-05,9.218685661256324e-06
2021-01-03 03:45:00,54,8,3425.0,6026.0,2.564687108172803e-05,1.2587166125418526e-05
2021-01-03 04:00:00,54,12,3568.5,4550.0,2.504191041952156e-05,1.7869774021816016e-05
2021-01-03 04:15:00,37,7,4727.5,6905.5,1.7646256465922213e-05,1.0949527371472099e-05
2021-01-03 04:30:00,48,8,3845.0,6322.0,2.226616697676943e-05,1.2069787511390864e-05
2021-01-03 04:45:00,47,7,4019.5,7124.0,2.1259041877598575e-05,1.0433216978123036e-05
2021-01-03 05:00:00,30,3,6032.5,15881.5,1.3329755034648475e-05,4.261932701241359e-06
2021-01-03 05:15:00,31,9,5785.0,5798.0,1.3868508643212485e-05,1.3217295271439188e-05
2021-01-03 05:30:00,31,6,5732.5,8256.0,1.3872728900026849e-05,8.644300020602248e-06
2021-01-03 05:45:00,35,3,5220.0,15381.5,1.5817636212444412e-05,4.475100540592145e-06
2021-01-03 06:00:00,43,5,4432.0,10087.0,1.884253382125271e-05,6.822548249061217e-06
2021-01-03 06:15:00,48,10,4022.0,5413.0,2.1326906825409938e-05,1.4543169945666714e-05
2021-01-03 06:30:00,48,6,4111.0,8518.5,2.088419323273824e-05,8.28721269269496e-06
2021-01-03 06:45:00,45,6,4382.0,8675.5,1.9544449289537548e-05,8.41190284252217e-06
2021-01-03 07:00:00,49,10,4235.5,6060.0,1.9867963193179046e-05,1.2419722021781707e-05
2021-01-03 07:15:00,67,16,3239.0,3953.5,2.7077107114206792e-05,2.08165554065148e-05
2021-01-03 07:30:00,65,9,3529.5,6704.5,2.5050891850289707e-05,1.0864211837645219e-05
