time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1468,686,204.0,178.0,0.0004740409309156385,0.0006043839864674373
2021-01-02 16:15:00,1485,697,194.0,172.0,0.000491718923529595,0.0006323676042703412
2021-01-02 16:30:00,1387,658,204.0,177.0,0.00046408230484619705,0.0006038397970804621
2021-01-02 16:45:00,1444,691,197.5,175.0,0.0004760760257806378,0.0006252086667854956
2021-01-02 17:00:00,1353,652,214.0,181.0,0.00044869862475363867,0.000586161728493843
2021-01-02 17:15:00,1345,626,211.5,182.0,0.0004577602962883298,0.000588145209857915
2021-01-02 17:30:00,1515,657,187.0,175.0,0.0005122481404378149,0.0006240199230470409
2021-01-02 17:45:00,1613,609,181.0,182.0,0.0005397450449196372,0.0005832271904538446
2021-01-02 18:00:00,1480,662,198.0,174.0,0.0004957834953674392,0.0006167824453653738
2021-01-02 18:15:00,1443,653,206.5,171.5,0.00048562035392065236,0.0006251513814122294
2021-01-02 18:30:00,1390,602,210.0,182.0,0.00047896532463339333,0.000582435412073054
2021-01-02 18:45:00,1475,654,195.0,173.5,0.0005086417368994579,0.0006385415476723988
2021-01-02 19:00:00,1356,646,220.5,190.0,0.0004541475122027025,0.0005949448110405547
2021-01-02 19:15:00,1408,645,206.0,176.0,0.00047657892153710234,0.00062597049689441
2021-01-02 19:30:00,1547,592,184.0,180.0,0.0005350143921292362,0.0005916456042830343
2021-01-02 19:45:00,1458,628,190.0,168.0,0.0005117427050340321,0.000636512721132425
2021-01-02 20:00:00,1364,619,206.0,170.0,0.000475274903324764,0.0006195954312093923
2021-01-02 20:15:00,1343,567,205.0,187.0,0.0004740812073221013,0.000580787309950925
2021-01-02 20:30:00,1321,594,209.5,171.5,0.0004672488943957368,0.0006152208114493215
2021-01-02 20:45:00,1317,600,209.0,169.0,0.0004640439901018043,0.0006276183452842327
2021-01-02 21:00:00,1323,598,207.5,168.0,0.00046051653734726467,0.0006123466701345832
2021-01-02 21:15:00,1300,595,215.0,166.0,0.0004539453261265438,0.0006181940214923723
2021-01-02 21:30:00,1263,585,222.0,169.5,0.0004362816368955401,0.0006121526426158695
2021-01-02 21:45:00,1280,583,217.5,171.0,0.0004443469349781576,0.0006185610762750527
2021-01-02 22:00:00,1391,607,203.0,166.0,0.00047075163570118136,0.0006304259997237342
2021-01-02 22:15:00,1272,565,225.0,179.0,0.0004372106100566001,0.0005988944302817984
2021-01-02 22:30:00,1244,589,231.0,172.0,0.0004246733872481916,0.0006349397992986556
2021-01-02 22:45:00,1277,597,219.0,162.0,0.00044391713593145945,0.000657356501938486
2021-01-02 23:00:00,1280,578,210.0,164.0,0.0004502335410621783,0.0006385590219662094
2021-01-02 23:15:00,1302,621,203.5,148.0,0.00046272537426735147,0.0006994219913591537
2021-01-02 23:30:00,1205,580,221.5,161.5,0.00042981649510865266,0.0006527819201917829
2021-01-02 23:45:00,1231,561,209.0,161.5,0.0004515366551661148,0.0006498342980457479
2021-01-03 00:00:00,1176,545,220.0,168.0,0.00042966422252514687,0.0006329415289776892
2021-01-03 00:15:00,1254,569,209.5,151.5,0.0004670305830545365,0.0006830412501695599
2021-01-03 00:30:00,1096,468,227.0,182.0,0.00041741265849589007,0.0005739472115731303
2021-01-03 00:45:00,1173,538,235.0,175.0,0.0004417638164175704,0.0006384036585988107
2021-01-03 01:00:00,1154,527,226.0,177.0,0.000450366596067605,0.0006217320724087813
2021-01-03 01:15:00,1073,476,237.0,185.5,0.0004351271276824391,0.0006064134593212501
2021-01-03 01:30:00,1104,485,209.0,179.0,0.00046238068253922384,0.0006302818594484449
2021-01-03 01:45:00,1072,505,206.0,151.0,0.0004660265756871501,0.0006879696584945862
2021-01-03 02:00:00,1007,444,220.0,170.5,0.0004357703875197438,0.0006138387456675289
2021-01-03 02:15:00,979,432,215.0,164.5,0.00044059088683429814,0.0006257278431508872
2021-01-03 02:30:00,1004,454,205.0,153.0,0.00046629616866173936,0.0006801610213801277
2021-01-03 02:45:00,911,420,218.0,159.0,0.0004278891677814017,0.0006429460399881822
2021-01-03 03:00:00,952,436,223.0,176.0,0.00042767007410102805,0.0005988336478583456
2021-01-03 03:15:00,1064,386,192.0,171.0,0.0004910446652196847,0.0005851215415678832
2021-01-03 03:30:00,980,403,209.0,161.5,0.0004559967763819728,0.000619188386914383
2021-01-03 03:45:00,929,389,216.0,168.0,0.00044122117101713583,0.0006120509528484757
2021-01-03 04:00:00,888,385,228.0,178.0,0.0004118003046765768,0.0005733219165332638
2021-01-03 04:15:00,925,377,212.0,166.5,0.0004411564116480554,0.0005897102598635688
2021-01-03 04:30:00,852,330,242.0,202.0,0.00039522446383765737,0.0004978787348448731
2021-01-03 04:45:00,949,387,225.0,182.5,0.00042925171791151167,0.0005768078529333735
2021-01-03 05:00:00,1083,414,201.0,182.0,0.00048120415675081,0.0005881467127713076
2021-01-03 05:15:00,956,362,227.0,191.0,0.0004276869117068108,0.000531628987584554
2021-01-03 05:30:00,871,351,244.0,203.0,0.0003897789313523673,0.0005056915512052316
