time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,371,182,827.5,616.0,0.00011980189739080507,0.00016034677191993234
2021-01-02 16:15:00,409,195,745.0,576.0,0.00013542965637953152,0.00017691776590059762
2021-01-02 16:30:00,372,162,796.0,662.0,0.00012446908248218118,0.0001486657251170743
2021-01-02 16:45:00,348,172,866.5,641.5,0.00011473300344297918,0.00015562357552403072
2021-01-02 17:00:00,377,153,797.5,716.0,0.00012502541133194508,0.00013755022156373923
2021-01-02 17:15:00,371,180,802.5,586.0,0.0001262669664854798,0.00016911523606138134
2021-01-02 17:30:00,368,186,807.5,568.0,0.00012442727107664416,0.00017666317456126271
2021-01-02 17:45:00,368,156,841.0,659.5,0.0001231408409984045,0.00014939809804729023
2021-01-02 18:00:00,344,166,865.0,635.0,0.0001152361637881075,0.00015466145910974632
2021-01-02 18:15:00,374,186,798.5,568.0,0.00012586418043404298,0.00017806762165800102
2021-01-02 18:30:00,361,190,815.5,558.5,0.00012439315265658633,0.0001838251300562795
2021-01-02 18:45:00,361,177,810.5,588.0,0.00012448790984454527,0.00017281629042509874
2021-01-02 19:00:00,396,183,773.0,619.0,0.00013262714958132022,0.00016853699755483211
2021-01-02 19:15:00,442,181,685.0,587.5,0.0001496078716757097,0.00017565993788819877
2021-01-02 19:30:00,345,161,860.0,625.5,0.00011931478040374048,0.00016090361873237932
2021-01-02 19:45:00,356,153,807.0,649.0,0.00012495226542669094,0.00015507395912939655
2021-01-02 20:00:00,328,164,897.5,620.0,0.00011428897968513388,0.00016415775560313462
2021-01-02 20:15:00,344,150,824.0,659.5,0.00012143256539002446,0.00015364743649495368
2021-01-02 20:30:00,289,150,990.0,652.0,0.00010222174903888564,0.0001553587907700307
2021-01-02 20:45:00,349,156,820.5,616.0,0.00012296989563062238,0.00016318076977390048
2021-01-02 21:00:00,367,176,773.0,565.0,0.00012774721784311876,0.0001802224313439576
2021-01-02 21:15:00,312,156,905.0,617.0,0.00010894687827037052,0.00016208112160136148
2021-01-02 21:30:00,313,156,916.0,612.5,0.0001081204690010325,0.00016324070469756518
2021-01-02 21:45:00,320,165,894.0,581.0,0.0001110867337445394,0.00017506445554954324
2021-01-02 22:00:00,351,195,846.0,510.5,0.00011878779592459717,0.0002025256506526
2021-01-02 22:15:00,308,180,938.0,540.0,0.00010586546218351641,0.00019079822557650214
2021-01-02 22:30:00,281,157,1046.5,598.5,9.592702718387607e-05,0.00016924541339539718
