time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,581,173,527.0,651.5,0.0001876142921403174,0.00015241753594586976
2021-01-02 16:15:00,540,156,559.5,702.5,0.00017880688128348905,0.0001415342127204781
2021-01-02 16:30:00,525,150,558.0,719.0,0.00017566201156759442,0.00013765344918247616
2021-01-02 16:45:00,552,137,557.5,796.0,0.0001819902813233463,0.00012395598748135006
2021-01-02 17:00:00,588,162,516.5,685.5,0.00019499984579093827,0.0001456414110674886
2021-01-02 17:15:00,556,145,520.0,723.0,0.00018923027861435788,0.00013623171793833495
2021-01-02 17:30:00,520,145,559.0,723.0,0.00017582114391264934,0.00013772129199668328
2021-01-02 17:45:00,620,163,490.0,639.5,0.00020746554733426848,0.00015610185885710454
2021-01-02 18:00:00,508,159,582.5,656.5,0.00017017433489639129,0.00014813959035210638
2021-01-02 18:15:00,500,161,597.0,657.5,0.00016826762090112695,0.00015413380154267832
2021-01-02 18:30:00,540,136,543.5,749.0,0.00018607285992951973,0.00013158009309291587
2021-01-02 18:45:00,488,143,590.5,706.0,0.00016828282549622743,0.00013961994085191597
2021-01-02 19:00:00,617,155,505.0,709.0,0.0002066438163931176,0.00014274991596174302
2021-01-02 19:15:00,511,168,587.0,615.5,0.00017296294666580917,0.00016304347826086958
2021-01-02 19:30:00,497,139,607.5,712.0,0.0001718824517700261,0.00013891678884348277
2021-01-02 19:45:00,528,155,545.5,639.5,0.0001853224610822832,0.00015710106970625142
2021-01-02 20:00:00,486,118,600.5,827.5,0.0001693428174602898,0.00011811350708030418
2021-01-02 20:15:00,514,164,564.0,607.0,0.00018144284479788535,0.00016798786390114938
2021-01-02 20:30:00,526,154,539.5,640.5,0.00018605065742025557,0.0001595016918572315
2021-01-02 20:45:00,450,123,622.0,765.5,0.00015855717201656184,0.0001286617607832677
2021-01-02 21:00:00,477,120,593.0,778.5,0.00016603657468983011,0.00012287893046178923
2021-01-02 21:15:00,494,124,576.5,764.0,0.0001724992239280867,0.00012883371204210786
2021-01-02 21:30:00,509,154,566.0,621.5,0.00017582529942979406,0.00016114787515016053
2021-01-02 21:45:00,586,158,479.0,601.0,0.00020342758116968776,0.00016763747864744142
2021-01-02 22:00:00,601,170,486.0,583.5,0.0002033944881785837,0.00017656082364585638
2021-01-02 22:15:00,522,147,543.0,654.0,0.0001794213352590765,0.00015581855088747675
2021-01-02 22:30:00,527,150,548.0,622.5,0.000179905848134885,0.0001616994395497425
2021-01-02 22:45:00,533,133,538.0,697.0,0.00018528412956262167,0.0001464462558757431
2021-01-02 23:00:00,481,119,582.0,762.5,0.00016918932285227167,0.0001314680339342196
2021-01-02 23:15:00,510,136,541.5,667.0,0.00018125187471301787,0.00015317454239105458
2021-01-02 23:30:00,450,116,595.5,748.5,0.00016051238406547194,0.0001305563840383566
2021-01-02 23:45:00,450,120,594.5,718.0,0.00016506214039378693,0.00013900198888679098
2021-01-03 00:00:00,423,119,645.0,722.0,0.00015454759024501456,0.00013820191183182572
2021-01-03 00:15:00,445,116,596.0,711.0,0.00016573254342844396,0.00013924918281136897
2021-01-03 00:30:00,441,113,590.0,705.5,0.00016795527590938642,0.00013858127117043534
2021-01-03 00:45:00,433,118,613.5,699.0,0.00016307223572788404,0.0001400216202874715
2021-01-03 01:00:00,466,148,531.0,565.0,0.00018186380742418016,0.00017460407346584368
2021-01-03 01:15:00,426,128,567.5,626.5,0.00017275317464372702,0.00016306916553176473
2021-01-03 01:30:00,400,107,597.0,722.0,0.0001675292328040666,0.00013905187414635795
2021-01-03 01:45:00,365,87,621.0,828.5,0.000158675093400942,0.00011852150552282969
2021-01-03 02:00:00,351,104,651.5,709.0,0.00015189216089317784,0.0001437820485347365
2021-01-03 02:15:00,372,101,583.5,687.5,0.0001674155361617558,0.0001462928522181473
2021-01-03 02:30:00,318,78,659.5,847.5,0.0001476914159705509,0.00011685585829878845
2021-01-03 02:45:00,380,106,543.0,633.0,0.00017848285813055177,0.00016226733390177928
2021-01-03 03:00:00,373,102,572.5,725.0,0.00016756401012571793,0.00014009411027878727
2021-01-03 03:15:00,317,86,677.5,763.5,0.00014629808164909786,0.0001303638667741916
2021-01-03 03:30:00,336,86,611.0,748.5,0.00015634175190239064,0.0001321344944780073
2021-01-03 03:45:00,306,84,664.5,751.0,0.00014533226946312548,0.0001321652443168945
2021-01-03 04:00:00,314,80,647.0,847.0,0.00014561407169869943,0.00011913182681210676
2021-01-03 04:15:00,295,79,667.0,810.0,0.0001406931258769474,0.00012357323747804228
2021-01-03 04:30:00,308,80,655.5,815.5,0.0001428745714342705,0.00012069787511390861
2021-01-03 04:45:00,361,96,574.5,704.5,0.00016328753442155502,0.00014308411855711592
2021-01-03 05:00:00,321,88,664.5,777.0,0.0001426283788707387,0.00012501669256974652
2021-01-03 05:15:00,328,94,635.5,739.5,0.00014673776887011918,0.00013804730616836483
2021-01-03 05:30:00,299,78,688.0,894.0,0.00013380470777767833,0.00011237590026782925
2021-01-03 05:45:00,326,93,620.5,706.5,0.00014732998300733934,0.0001387281167583565
2021-01-03 06:00:00,333,86,628.0,824.0,0.00014592008749946867,0.00011734782988385294
2021-01-03 06:15:00,351,81,581.0,819.5,0.00015595300616081021,0.00011779967655990042
2021-01-03 06:30:00,323,86,658.0,841.0,0.0001405332169619677,0.00011878338192862775
2021-01-03 06:45:00,336,107,641.0,653.5,0.00014593188802854707,0.00015001226735831202
2021-01-03 07:00:00,361,103,628.5,774.0,0.00014637417781097214,0.00012792313682435157
2021-01-03 07:15:00,381,103,588.0,708.0,0.00015397578821660878,0.00013400657542943903
2021-01-03 07:30:00,349,99,699.5,838.0,0.0001345040193192478,0.00011950633021409742
2021-01-03 07:45:00,414,117,616.0,688.0,0.00015327497530569844,0.00014054087817628392
2021-01-03 08:00:00,458,114,604.5,799.0,0.00015839551567769762,0.00012450294383934316
2021-01-03 08:15:00,432,116,677.5,763.0,0.00014540411911020756,0.00013026360412441522
2021-01-03 08:30:00,497,143,606.5,664.5,0.00016152237929939584,0.00015105341269799354
2021-01-03 08:45:00,489,128,604.5,743.5,0.000158456163863764,0.00013408589039316497
2021-01-03 09:00:00,556,146,601.0,732.0,0.0001666413407794439,0.0001336114159057985
2021-01-03 09:15:00,509,133,706.5,778.0,0.00014341502448480476,0.00012706747378397383
2021-01-03 09:30:00,541,145,679.0,716.0,0.00015048557327353965,0.00013741627084462674
2021-01-03 09:45:00,487,134,725.5,796.5,0.00013436447259875236,0.00012401574074416848
2021-01-03 10:00:00,555,166,719.5,734.0,0.000138482797442335,0.00013755750898267107
2021-01-03 10:15:00,609,177,661.0,673.0,0.00015310682406416908,0.00014786708002616496
2021-01-03 10:30:00,549,155,734.5,806.5,0.00013833231200915965,0.00012476847398496823
2021-01-03 10:45:00,594,153,637.5,782.0,0.00015413566221766443,0.00012815948736205054
2021-01-03 11:00:00,565,151,654.0,825.0,0.0001470972633139946,0.00011973341474148288
2021-01-03 11:15:00,501,177,723.0,681.5,0.00013229074495532613,0.00014547929262543274
