time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,285,121,1067.0,901.0,9.203110716005241e-05,0.00010660417254017479
2021-01-02 16:15:00,336,133,894.0,812.5,0.00011125761502083762,0.0001206669890501512
2021-01-02 16:30:00,311,112,943.0,944.0,0.00010405882970956544,0.00010278124205624888
2021-01-02 16:45:00,374,136,809.0,802.5,0.0001233050094473397,0.00012305119925155918
2021-01-02 17:00:00,342,126,884.0,855.5,0.00011341827765391309,0.00011327665305249114
2021-01-02 17:15:00,342,133,861.5,795.0,0.00011639704188149353,0.0001249573688675762
2021-01-02 17:30:00,316,104,948.5,979.5,0.0001068451566853792,9.877940943210389e-05
2021-01-02 17:45:00,296,99,1038.5,1024.0,9.904806775958625e-05,9.481033145308803e-05
2021-01-02 18:00:00,294,111,998.5,942.0,9.848672137704536e-05,0.00010341820458543276
2021-01-02 18:15:00,313,121,951.0,837.0,0.00010533553068410549,0.00011583968935816196
2021-01-02 18:30:00,479,123,605.5,821.0,0.0001650535183448888,0.00011900258419432833
2021-01-02 18:45:00,464,101,619.0,965.0,0.00016000662096362609,9.861268549680778e-05
2021-01-02 19:00:00,398,103,767.5,1020.5,0.00013329698367011474,9.485962157457762e-05
2021-01-02 19:15:00,433,106,698.0,936.5,0.00014656155754656628,0.00010287267080745342
2021-01-02 19:30:00,420,113,699.0,840.0,0.00014525277614368406,0.00011293235352024136
2021-01-02 19:45:00,359,90,795.0,1045.5,0.00012600523395556754,9.121997595846855e-05
2021-01-02 20:00:00,354,109,826.0,872.0,0.00012334847197724812,0.00010910484976061996
2021-01-02 20:15:00,363,99,787.5,944.0,0.00012813959661796186,0.00010140730808666944
2021-01-02 20:30:00,379,96,742.0,959.5,0.00013405551171535526,9.942962609281961e-05
2021-01-02 20:45:00,349,122,820.5,771.5,0.00012296989563062238,0.00012761573020779397
2021-01-02 21:00:00,346,95,835.0,984.0,0.0001204374315360193,9.727915328224984e-05
2021-01-02 21:15:00,271,78,1050.5,1164.5,9.463014106176416e-05,8.104056080068074e-05
2021-01-02 21:30:00,272,98,1089.5,922.0,9.395772386032216e-05,0.00010254864782282942
2021-01-02 21:45:00,307,93,937.5,966.0,0.00010657383518616748,9.867269312792437e-05
2021-01-02 22:00:00,278,88,1057.0,1057.0,9.408264178643308e-05,9.13961910637374e-05
2021-01-02 22:15:00,308,92,938.0,968.5,0.00010586546218351641,9.751909307243443e-05
2021-01-02 22:30:00,314,84,932.0,1043.5,0.00010719247877486508,9.05516861478558e-05
2021-01-02 22:45:00,265,77,1076.5,1124.0,9.212062726847043e-05,8.478467445437758e-05
2021-01-02 23:00:00,290,78,971.0,1107.0,0.00010200603664689976,8.617232476360612e-05
2021-01-02 23:15:00,336,107,813.0,819.0,0.00011941299981092942,0.00012051232379296209
2021-01-02 23:30:00,323,95,849.0,909.0,0.00011521222234032763,0.00010692117658313684
2021-01-02 23:45:00,348,84,768.0,990.0,0.0001276480552378619,9.730139222075367e-05
2021-01-03 00:00:00,354,84,766.5,982.5,0.00012933769963767176,9.755429070481814e-05
2021-01-03 00:15:00,264,70,1014.5,1143.0,9.832222801148136e-05,8.402967928272266e-05
2021-01-03 00:30:00,239,54,1096.5,1417.0,9.102338082164024e-05,6.622467825843812e-05
2021-01-03 00:45:00,246,73,1077.5,1072.0,9.264612006711194e-05,8.662354475411373e-05
2021-01-03 01:00:00,223,46,1098.5,1621.0,8.70292469004124e-05,5.426883364478925e-05
2021-01-03 01:15:00,220,51,1093.0,1429.5,8.921525451084494e-05,6.497287064156251e-05
2021-01-03 01:30:00,217,55,1065.0,1324.0,9.088460879620612e-05,7.147526241167932e-05
2021-01-03 01:45:00,206,56,1101.0,1283.5,8.955361435779191e-05,7.628970470435015e-05
2021-01-03 02:00:00,182,56,1253.0,1265.5,7.875889824090702e-05,7.742110305716579e-05
2021-01-03 02:15:00,183,54,1158.5,1264.5,8.235764278925086e-05,7.821598039386091e-05
2021-01-03 02:30:00,193,68,1077.5,960.0,8.963661409533435e-05,0.00010187433800407199
2021-01-03 02:45:00,141,35,1443.0,1740.0,6.622653420107315e-05,5.357883666568184e-05
2021-01-03 03:00:00,208,58,1054.0,1205.0,9.344052039182127e-05,7.966135682519276e-05
2021-01-03 03:15:00,255,68,822.0,956.5,0.0001176845767208831,0.00010307840628657008
2021-01-03 03:30:00,240,50,864.5,1268.0,0.00011167267993027903,7.682238051046936e-05
2021-01-03 03:45:00,205,46,997.0,1306.0,9.73631216991527e-05,7.23762052211565e-05
2021-01-03 04:00:00,220,67,951.5,1001.0,0.00010202259800545822,9.977290495513942e-05
2021-01-03 04:15:00,206,71,984.5,900.0,9.824672518864802e-05,0.00011105949191064561
2021-01-03 04:30:00,209,78,992.5,846.0,9.695060204468355e-05,0.00011768042823606091
2021-01-03 04:45:00,181,66,1166.5,1029.0,8.186992723075198e-05,9.83703315080172e-05
2021-01-03 05:00:00,216,77,993.0,910.0,9.597423624946904e-05,0.00010938960599852819
2021-01-03 05:15:00,199,59,1067.0,1132.5,8.902687806449303e-05,8.664671344610133e-05
2021-01-03 05:30:00,215,66,979.0,1048.5,9.621408753244428e-05,9.508730022662475e-05
2021-01-03 05:45:00,189,71,1112.5,925.5,8.541523554719982e-05,0.0001059107127940141
2021-01-03 06:00:00,187,62,1150.5,1122.5,8.194311219940134e-05,8.459959828835909e-05
2021-01-03 06:15:00,174,68,1226.5,974.5,7.731003724211105e-05,9.889355563053368e-05
2021-01-03 06:30:00,189,80,1144.0,905.0,8.22315108539068e-05,0.00011049616923593278
2021-01-03 06:45:00,213,71,1030.0,985.0,9.251039330381109e-05,9.954085030317901e-05
2021-01-03 07:00:00,220,83,1073.0,933.5,8.920310005100796e-05,0.00010308369278078818
2021-01-03 07:15:00,215,75,1084.0,978.0,8.688922432170836e-05,9.757760346803812e-05
2021-01-03 07:30:00,261,101,968.0,821.5,0.00010058896573731711,0.00012192059951135191
2021-01-03 07:45:00,260,94,985.5,865.5,9.62596463272502e-05,0.00011291318417581785
2021-01-03 08:00:00,262,107,1053.5,841.5,9.061053516933796e-05,0.00011685802623517295
2021-01-03 08:15:00,264,91,1097.0,962.0,8.88580727895713e-05,0.00010218955151139468
2021-01-03 08:30:00,276,81,1088.0,1149.5,8.969854464111321e-05,8.556172327648584e-05
2021-01-03 08:45:00,323,113,932.5,840.0,0.00010466531887115699,0.00011837270011271597
2021-01-03 09:00:00,303,123,1110.0,853.5,9.081353643196313e-05,0.00011256304216721377
2021-01-03 09:15:00,324,118,1084.0,879.0,9.128972089013112e-05,0.00011273655568803691
2021-01-03 09:30:00,302,96,1172.0,1063.0,8.400488563513674e-05,9.097904828333908e-05
2021-01-03 09:45:00,305,110,1139.5,941.0,8.415023437909542e-05,0.00010180396628252635
2021-01-03 10:00:00,311,119,1255.0,1009.0,7.760027027849764e-05,9.861050342733647e-05
2021-01-03 10:15:00,375,156,1077.5,754.5,9.427760102473468e-05,0.00013032352815865386
2021-01-03 10:30:00,340,132,1182.5,946.0,8.567028430439761e-05,0.00010625444236139228
2021-01-03 10:45:00,313,140,1215.0,840.0,8.121963345812959e-05,0.0001172701191548175
2021-01-03 11:00:00,318,146,1183.5,855.5,8.279102607761111e-05,0.000115768732134149
2021-01-03 11:15:00,374,157,976.0,761.5,9.875596529599196e-05,0.0001290409544756663
2021-01-03 11:30:00,470,136,763.5,888.5,0.00012602857416365963,0.00011093428693316456
2021-01-03 11:45:00,418,147,882.0,880.5,0.00010955652671213524,0.00011463087687942002
2021-01-03 12:00:00,464,170,798.0,806.5,0.0001207090407429433,0.00012322242590164385
2021-01-03 12:15:00,490,158,758.0,838.5,0.0001278712310607049,0.00011979362136875586
2021-01-03 12:30:00,447,155,810.0,819.0,0.0001179661059889835,0.00011989155615372417
2021-01-03 12:45:00,405,163,873.5,769.0,0.00011015807003061306,0.00012860062012323568
2021-01-03 13:00:00,432,176,829.0,734.5,0.00011734784100345444,0.00013408144686070383
2021-01-03 13:15:00,390,149,934.0,861.0,0.00010519569636314202,0.00011498634826509524
2021-01-03 13:30:00,424,143,870.0,882.5,0.000113655889104019,0.00011037425362305416
2021-01-03 13:45:00,424,161,877.5,788.0,0.00011281924653772631,0.00012563402262973078
2021-01-03 14:00:00,369,133,993.5,959.0,9.774298468931636e-05,0.00010153710379535006
2021-01-03 14:15:00,353,134,1043.0,925.0,9.459460183711828e-05,0.0001048466539442294
2021-01-03 14:30:00,442,144,821.0,867.5,0.00011781542481123545,0.0001119412557165834
