time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,132,25,2198.5,3679.5,4.262493384255061e-05,2.2025655483507188e-05
2021-01-02 16:15:00,135,28,2063.0,3204.5,4.470172032087226e-05,2.540357664213709e-05
2021-01-02 16:30:00,128,25,2144.5,3502.5,4.282807139171826e-05,2.294224153041269e-05
2021-01-02 16:45:00,119,37,2324.0,2535.5,3.923341209688081e-05,3.347716450226242e-05
2021-01-02 17:00:00,93,22,2863.0,3938.0,3.0841812344485135e-05,1.9778463231387344e-05
2021-01-02 17:15:00,175,36,1574.5,2516.5,5.955988985164142e-05,3.3823047212276255e-05
2021-01-02 17:30:00,164,30,1733.0,2887.5,5.5451283849374033e-05,2.8494060413106892e-05
2021-01-02 17:45:00,150,24,1895.5,3467.5,5.0193277580871414e-05,2.298432277650619e-05
2021-01-02 18:00:00,191,34,1508.5,2672.5,6.398287001025736e-05,3.1677648251393816e-05
2021-01-02 18:15:00,206,42,1376.0,2177.5,6.932625981126429e-05,4.020881779374217e-05
2021-01-02 18:30:00,180,28,1539.0,3025.0,6.202428664317324e-05,2.709001916618856e-05
2021-01-02 18:45:00,182,38,1543.5,2333.0,6.276121770556024e-05,3.71018024641455e-05
2021-01-02 19:00:00,180,39,1591.0,2402.5,6.028506799150918e-05,3.591772079037405e-05
2021-01-02 19:15:00,145,30,1942.0,2844.5,4.907950541397717e-05,2.9114906832298133e-05
2021-01-02 19:30:00,123,22,2204.0,3621.5,4.253831301350747e-05,2.198682988889655e-05
2021-01-02 19:45:00,146,36,1844.5,2326.5,5.1244468405328304e-05,3.6487990383387434e-05
2021-01-02 20:00:00,136,31,2009.5,2715.5,4.738811352798233e-05,3.102981965669008e-05
2021-01-02 20:15:00,136,51,1973.0,1722.0,4.800822352628874e-05,5.224012840828426e-05
2021-01-02 20:30:00,94,28,2713.5,2835.0,3.324859657320156e-05,2.9000307610405725e-05
2021-01-02 20:45:00,93,33,2766.5,2462.0,3.276848221675611e-05,3.4519008990632795e-05
2021-01-02 21:00:00,106,32,2490.0,2649.0,3.689701659774002e-05,3.276771478981047e-05
2021-01-02 21:15:00,93,28,2778.5,2863.0,3.247455025366814e-05,2.909148336434693e-05
2021-01-02 21:30:00,113,33,2377.5,2477.0,3.9033907339030905e-05,3.453168753217725e-05
2021-01-02 21:45:00,120,33,2246.0,2462.5,4.165752515420227e-05,3.501289110990865e-05
2021-01-02 22:00:00,119,22,2375.5,3608.5,4.027278551289761e-05,2.2849047765934353e-05
2021-01-02 22:15:00,134,27,2047.0,2910.0,4.60583504304909e-05,2.861973383647532e-05
2021-01-02 22:30:00,163,30,1763.0,2601.5,5.5644503313066895e-05,3.2339887909948504e-05
2021-01-02 22:45:00,139,37,1992.5,2153.5,4.831987618987695e-05,4.074068772483079e-05
2021-01-02 23:00:00,142,35,1934.5,2278.5,4.994778346158541e-05,3.8667068804182235e-05
2021-01-02 23:15:00,162,41,1690.0,1947.0,5.757412490884097e-05,4.6177619397303225e-05
2021-01-02 23:30:00,108,18,2440.5,3985.5,3.852297217571327e-05,2.0258749247331192e-05
2021-01-02 23:45:00,94,25,2671.5,2946.5,3.447964710447993e-05,2.895874768474812e-05
2021-01-03 00:00:00,112,15,2265.5,4541.5,4.0920402145252084e-05,1.7420409054431812e-05
2021-01-03 00:15:00,80,21,3042.5,3336.5,2.9794614548933748e-05,2.52089037848168e-05
2021-01-03 00:30:00,63,11,3651.0,5640.0,2.3993610844198058e-05,1.3490212237829988e-05
2021-01-03 00:45:00,74,19,3139.0,3453.5,2.7869158068968634e-05,2.25458541140844e-05
2021-01-03 01:00:00,49,12,4351.5,5217.0,1.912301837722066e-05,1.415708703777111e-05
2021-01-03 01:15:00,51,15,4103.5,4141.0,2.0681718091150413e-05,1.910966783575368e-05
2021-01-03 01:30:00,64,19,3243.0,3298.0,2.6804677248650657e-05,2.469145428767104e-05
2021-01-03 01:45:00,53,14,3758.0,4229.5,2.3040493014383356e-05,1.9072426176087533e-05
2021-01-03 02:00:00,41,17,4653.0,3561.5,1.7742389164160377e-05,2.350283485663962e-05
2021-01-03 02:15:00,31,4,5742.0,11958.0,1.3951294680146316e-05,5.793776325471178e-06
2021-01-03 02:30:00,25,7,6779.5,7099.0,1.1610960375043307e-05,1.0487064206301527e-05
2021-01-03 02:45:00,35,11,4995.5,4728.5,1.6439210617287658e-05,1.6839062952071435e-05
2021-01-03 03:00:00,37,4,4960.5,12213.5,1.6621631031237435e-05,5.493886677599501e-06
2021-01-03 03:15:00,23,9,7126.5,5679.0,1.0614687312079653e-05,1.3642730243810747e-05
2021-01-03 03:30:00,32,6,5470.5,8016.5,1.4889690657370536e-05,9.218685661256324e-06
2021-01-03 03:45:00,26,7,6335.5,6788.0,1.2348493483794975e-05,1.1013770359741207e-05
2021-01-03 04:00:00,30,8,5817.5,6406.5,1.3912172455289756e-05,1.1913182681210675e-05
2021-01-03 04:15:00,25,8,6598.0,6158.5,1.1923146260758254e-05,1.2513745567396687e-05
2021-01-03 04:30:00,22,5,7544.5,9570.5,1.0205326531019322e-05,7.543617194619288e-06
2021-01-03 04:45:00,19,6,8670.5,8175.5,8.594080759029212e-06,8.942757409819742e-06
2021-01-03 05:00:00,27,7,6556.0,7411.0,1.1996779531183627e-05,9.944509636229836e-06
2021-01-03 05:15:00,36,19,5110.0,3112.5,1.610536487598869e-05,2.7903178906371614e-05
2021-01-03 05:30:00,28,12,6254.0,4487.5,1.2530206748411348e-05,1.7288600041204496e-05
2021-01-03 05:45:00,33,9,5490.5,5739.0,1.4913771286019018e-05,1.3425301621776435e-05
2021-01-03 06:00:00,29,14,6225.0,4181.0,1.2707755367821595e-05,1.910313509737141e-05
2021-01-03 06:15:00,44,13,4336.5,4381.5,1.9549664589959117e-05,1.8906120929366728e-05
2021-01-03 06:30:00,38,15,5001.0,3895.5,1.6533319642584437e-05,2.07180317317374e-05
2021-01-03 06:45:00,47,12,4217.5,4848.0,2.0413091480183667e-05,1.6823805685044337e-05
2021-01-03 07:00:00,38,12,5240.0,5156.5,1.5407808190628648e-05,1.4903666426138049e-05
2021-01-03 07:15:00,49,15,4244.0,4178.5,1.9802660426807952e-05,1.9515520693607628e-05
2021-01-03 07:30:00,54,10,4103.5,6145.0,2.081151015254837e-05,1.2071346486272465e-05
2021-01-03 07:45:00,52,12,4437.0,5391.5,1.9251929265450046e-05,1.4414449043721426e-05
2021-01-03 08:00:00,74,21,3469.5,3606.0,2.5592288559278656e-05,2.293475281251058e-05
2021-01-03 08:15:00,80,39,3309.0,2075.0,2.6926688724112517e-05,4.3795522076312015e-05
2021-01-03 08:30:00,100,39,2801.0,2146.0,3.2499472696055504e-05,4.119638528127096e-05
2021-01-03 08:45:00,86,35,3190.5,2435.0,2.786754620098917e-05,3.6664110654381044e-05
2021-01-03 09:00:00,90,36,3252.5,2489.0,2.6974317752068248e-05,3.294528063430647e-05
2021-01-03 09:15:00,121,50,2616.5,1886.5,3.4092766134894646e-05,4.776972698645633e-05
2021-01-03 09:30:00,95,42,3254.5,2243.0,2.6425377931582753e-05,3.980333362396085e-05
2021-01-03 09:45:00,83,40,3630.0,2319.5,2.2899899847425972e-05,3.7019624102736856e-05
2021-01-03 10:00:00,94,32,3543.5,3128.5,2.34547440713144e-05,2.6517110165334185e-05
2021-01-03 10:15:00,112,45,3098.5,2297.5,2.8157576839387425e-05,3.759332543038092e-05
2021-01-03 10:30:00,107,49,3267.5,2191.0,2.696094241344277e-05,3.9442936937183504e-05
2021-01-03 10:45:00,110,47,3062.0,2217.5,2.854364115141934e-05,3.9369254287688734e-05
2021-01-03 11:00:00,131,47,2632.5,2319.0,3.410573715775804e-05,3.726801650893838e-05
2021-01-03 11:15:00,137,57,2491.5,1926.0,3.6175313490777796e-05,4.6849263726834274e-05
2021-01-03 11:30:00,116,47,2864.0,2258.5,3.1104924687201096e-05,3.833758445484363e-05
