time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,613,288,491.0,395.0,0.0001979476094354812,0.0002537355511700028
2021-01-02 16:15:00,600,257,500.0,436.0,0.00019867431253721004,0.00023316854275104405
2021-01-02 16:30:00,704,278,409.5,402.0,0.0002355543926544504,0.00025511772581818915
2021-01-02 16:45:00,635,245,478.5,464.0,0.00020935476202957407,0.0002216731162987647
2021-01-02 17:00:00,646,271,466.0,424.5,0.00021423452445739136,0.00024363470616845323
2021-01-02 17:15:00,578,239,504.0,456.0,0.0001967178076242785,0.00022454745232594516
2021-01-02 17:30:00,579,248,495.0,441.0,0.00019577008139504606,0.00023555089941501694
2021-01-02 17:45:00,565,215,543.0,498.0,0.00018906134555461565,0.000205901224872868
2021-01-02 18:00:00,669,267,444.0,415.5,0.00022410753946001138,0.00024876270832712203
2021-01-02 18:15:00,570,234,542.0,469.0,0.00019182508782728477,0.00022402055627942065
2021-01-02 18:30:00,543,231,541.0,469.5,0.0001871065980402393,0.0002234926581210556
2021-01-02 18:45:00,639,251,455.0,425.0,0.00022035394568051088,0.0002450671689079085
2021-01-02 19:00:00,639,242,492.5,484.0,0.0002140119913698576,0.00022287406234026971
2021-01-02 19:15:00,699,237,445.0,462.0,0.0002365970640301382,0.00023000776397515528
2021-01-02 19:30:00,647,217,463.5,478.5,0.00022375844324991332,0.00021687009481320688
2021-01-02 19:45:00,621,237,472.5,439.5,0.00021796448547745803,0.00024021260335730055
2021-01-02 20:00:00,615,210,479.5,505.0,0.000214291836909626,0.00021020200412596505
2021-01-02 20:15:00,645,233,440.5,445.0,0.00022768606010629584,0.0002386656846888281
2021-01-02 20:30:00,643,225,432.0,453.0,0.00022743454889966603,0.000233038186155046
2021-01-02 20:45:00,666,241,413.5,415.5,0.00023466461458451153,0.0002520933686891668
2021-01-02 21:00:00,669,242,415.0,417.0,0.00023286890664045356,0.0002478058430979417
2021-01-02 21:15:00,714,232,384.0,429.0,0.0002493207406571941,0.00024104371930458888
2021-01-02 21:30:00,723,224,371.0,438.0,0.00024974792040813575,0.00023439690930932442
2021-01-02 21:45:00,696,223,390.5,435.5,0.0002416136458943732,0.00023660226416695845
2021-01-02 22:00:00,630,204,466.0,490.0,0.0002132088644800462,0.00021187298837502765
2021-01-02 22:15:00,713,242,387.0,413.0,0.0002450716705741792,0.0002565176143861862
