time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,280,92,1083.0,1173.5,9.041652633268308e-05,8.105441217930646e-05
2021-01-02 16:15:00,259,82,1144.5,1255.0,8.5761078245229e-05,7.43961887376872e-05
2021-01-02 16:30:00,345,86,859.0,1201.0,0.0001154350361729906,7.892131086461966e-05
2021-01-02 16:45:00,303,83,1006.5,1251.0,9.989683920466292e-05,7.509742307264273e-05
2021-01-02 17:00:00,289,97,1022.0,1093.5,9.584176094146456e-05,8.720504242929874e-05
2021-01-02 17:15:00,273,83,1062.5,1230.0,9.291342816856062e-05,7.798091440608138e-05
2021-01-02 17:30:00,282,72,1045.0,1342.0,9.534915881416752e-05,6.838574499145655e-05
2021-01-02 17:45:00,252,78,1188.0,1260.5,8.432470633586396e-05,7.469904902364513e-05
2021-01-02 18:00:00,285,84,1031.0,1212.5,9.547182174305416e-05,7.826242509167883e-05
2021-01-02 18:15:00,285,85,1027.5,1165.0,9.591254391364236e-05,8.137498839209725e-05
2021-01-02 18:30:00,260,75,1093.0,1279.5,8.959063626236135e-05,7.256255133800508e-05
2021-01-02 18:45:00,284,81,1036.5,1199.5,9.793508696911595e-05,7.908542104199435e-05
2021-01-02 19:00:00,233,77,1274.0,1330.0,7.803567134456466e-05,7.091447438099493e-05
2021-01-02 19:15:00,254,73,1163.5,1297.5,8.597375431138069e-05,7.084627329192546e-05
2021-01-02 19:30:00,248,83,1161.5,1135.5,8.576830591341344e-05,8.295031276265518e-05
2021-01-02 19:45:00,253,79,1123.5,1172.0,8.880034593526069e-05,8.007086778576684e-05
2021-01-02 20:00:00,231,86,1227.5,1108.0,8.049010459532292e-05,8.608272549920472e-05
2021-01-02 20:15:00,258,82,1090.5,1126.5,9.107442404251836e-05,8.399393195057469e-05
2021-01-02 20:30:00,241,77,1158.5,1170.5,8.524374227810187e-05,7.975084592861573e-05
2021-01-02 20:45:00,225,61,1231.0,1437.0,7.927858600828092e-05,6.380786510389699e-05
2021-01-02 21:00:00,232,72,1207.5,1267.5,8.075573444033664e-05,7.372735827707356e-05
2021-01-02 21:15:00,248,84,1140.5,1091.0,8.659880067644836e-05,8.727445009304079e-05
2021-01-02 21:30:00,217,65,1313.0,1344.0,7.495891940327173e-05,6.801696029065217e-05
2021-01-02 21:45:00,226,71,1249.5,1236.5,7.845500570708095e-05,7.533076572131861e-05
2021-01-02 22:00:00,190,51,1522.5,1718.5,6.43010861130298e-05,5.296824709375691e-05
2021-01-02 22:15:00,221,67,1290.0,1295.0,7.596190630700365e-05,7.101933952014246e-05
2021-01-02 22:30:00,187,51,1521.0,1618.0,6.383755901560436e-05,5.4977809446912464e-05
2021-01-02 22:45:00,224,64,1258.0,1324.0,7.786800191749955e-05,7.047037876727488e-05
2021-01-02 23:00:00,169,48,1629.5,1708.5,5.944489721836573e-05,5.302912293144992e-05
2021-01-02 23:15:00,168,61,1629.5,1379.0,5.970649990546471e-05,6.870328739598773e-05
2021-01-02 23:30:00,193,58,1436.0,1432.5,6.884197805474685e-05,6.52781920191783e-05
2021-01-02 23:45:00,178,61,1477.5,1330.5,6.529124664465351e-05,7.065934435078542e-05
2021-01-03 00:00:00,174,58,1507.0,1390.5,6.357276761851662e-05,6.735891501046967e-05
2021-01-03 00:15:00,156,40,1642.5,1866.5,5.80994983704208e-05,4.801695959012723e-05
2021-01-03 00:30:00,148,40,1688.0,1847.0,5.63659429355764e-05,4.9055317228472695e-05
2021-01-03 00:45:00,163,52,1556.0,1449.0,6.138746980056604e-05,6.170444283854676e-05
2021-01-03 01:00:00,150,48,1601.5,1568.0,5.8539852175165296e-05,5.662834815108444e-05
2021-01-03 01:15:00,166,54,1428.0,1348.5,6.73169647672739e-05,6.879480420871325e-05
2021-01-03 01:30:00,166,56,1381.5,1304.0,6.952463161368763e-05,7.277481263734621e-05
2021-01-03 01:45:00,146,44,1518.0,1578.5,6.347003736037678e-05,5.994191083913226e-05
2021-01-03 02:00:00,142,47,1583.0,1448.0,6.144925027587251e-05,6.49784257801213e-05
2021-01-03 02:15:00,129,38,1647.0,1684.0,5.805538753996371e-05,5.5040875091976206e-05
2021-01-03 02:30:00,133,42,1527.0,1499.5,6.17703091952304e-05,6.292238523780916e-05
2021-01-03 02:45:00,125,44,1612.5,1428.5,5.871146649031309e-05,6.735625180828574e-05
2021-01-03 03:00:00,118,39,1804.0,1730.0,5.3009525991513976e-05,5.356539510659514e-05
2021-01-03 03:15:00,134,42,1526.5,1483.0,6.184209129646406e-05,6.366607447111682e-05
2021-01-03 03:30:00,133,37,1514.5,1623.0,6.188527679469629e-05,5.684856157774731e-05
2021-01-03 03:45:00,131,40,1520.0,1491.0,6.221740947604392e-05,6.293583062709261e-05
2021-01-03 04:00:00,132,47,1560.0,1367.0,6.121355880327493e-05,6.998994825211273e-05
2021-01-03 04:15:00,144,54,1385.0,1163.5,6.867732246196755e-05,8.446778257992762e-05
2021-01-03 04:30:00,154,47,1339.5,1356.0,7.143728571713525e-05,7.091000162942131e-05
2021-01-03 04:45:00,167,53,1245.5,1235.0,7.553744667146729e-05,7.899435712007441e-05
2021-01-03 05:00:00,138,47,1536.0,1459.5,6.131687315938299e-05,6.677027898611462e-05
2021-01-03 05:15:00,176,51,1208.5,1302.5,7.873733939372249e-05,7.489800653815541e-05
2021-01-03 05:30:00,158,37,1357.0,1758.5,7.070616665174976e-05,5.330651679371386e-05
2021-01-03 05:45:00,139,50,1509.0,1292.5,6.281861238656495e-05,7.458500900986908e-05
2021-01-03 06:00:00,144,30,1501.0,2179.5,6.310057837814863e-05,4.0935289494367294e-05
2021-01-03 06:15:00,167,53,1284.0,1254.0,7.419986333007209e-05,7.707880071203359e-05
2021-01-03 06:30:00,151,48,1434.5,1428.0,6.569819121132236e-05,6.629770154155969e-05
2021-01-03 06:45:00,152,48,1441.5,1423.5,6.601680648910461e-05,6.729522274017736e-05
2021-01-03 07:00:00,158,55,1489.5,1372.5,6.406404458208754e-05,6.830847111979939e-05
2021-01-03 07:15:00,147,50,1582.0,1452.0,5.940798128042386e-05,6.505173564535875e-05
2021-01-03 07:30:00,162,57,1519.5,1346.5,6.24345304576451e-05,6.880667497175307e-05
2021-01-03 07:45:00,211,57,1226.5,1378.5,7.811840528865306e-05,6.846863295767677e-05
2021-01-03 08:00:00,188,54,1483.0,1592.0,6.501824661005927e-05,5.897507866074149e-05
2021-01-03 08:15:00,177,66,1605.5,1304.0,5.957529880209893e-05,7.411549889837417e-05
2021-01-03 08:30:00,217,76,1362.5,1212.5,7.052385575044046e-05,8.028013541991264e-05
2021-01-03 08:45:00,212,84,1407.0,1096.0,6.869674179778725e-05,8.799386557051451e-05
2021-01-03 09:00:00,197,62,1650.5,1577.5,5.904378441286052e-05,5.673909442575002e-05
2021-01-03 09:15:00,221,75,1537.5,1327.0,6.226860591579933e-05,7.165459047968449e-05
2021-01-03 09:30:00,204,62,1657.5,1569.0,5.674502208466191e-05,5.875730201632316e-05
2021-01-03 09:45:00,223,79,1529.0,1273.0,6.152623693946977e-05,7.31137576029053e-05
2021-01-03 10:00:00,220,75,1707.0,1485.5,5.48940818690337e-05,6.214947695000199e-05
2021-01-03 10:15:00,234,89,1651.5,1243.5,5.882922303943444e-05,7.43512436289756e-05
2021-01-03 10:30:00,384,179,1063.5,711.5,9.675702697908437e-05,0.00014408746350522136
2021-01-03 10:45:00,294,114,1299.0,1014.0,7.628936816833898e-05,9.54913827403514e-05
2021-01-03 11:00:00,279,107,1320.0,1136.0,7.263740967186637e-05,8.484420779694483e-05
2021-01-03 11:15:00,289,93,1263.5,1226.0,7.631142772872106e-05,7.643827239641382e-05
2021-01-03 11:30:00,293,115,1231.0,1040.0,7.856674942543037e-05,9.380472792142588e-05
2021-01-03 11:45:00,291,131,1255.0,966.5,7.627021357232382e-05,0.00010215404674288449
2021-01-03 12:00:00,276,117,1307.0,1156.5,7.180106733847491e-05,8.480602253230782e-05
2021-01-03 12:15:00,342,142,1069.0,915.5,8.924890004645118e-05,0.00010766262173647678
2021-01-03 12:30:00,264,114,1338.5,1095.5,6.967125722839294e-05,8.817830581628746e-05
2021-01-03 12:45:00,291,113,1171.0,1076.0,7.915061328125531e-05,8.915257714064805e-05
2021-01-03 13:00:00,283,122,1226.5,1034.5,7.687370139809631e-05,9.294282111935153e-05
2021-01-03 13:15:00,255,114,1391.0,1126.5,6.878180146820824e-05,8.797613222967018e-05
2021-01-03 13:30:00,245,111,1445.5,1120.5,6.567380384548267e-05,8.567511994516793e-05
2021-01-03 13:45:00,248,106,1432.5,1158.5,6.598861589942484e-05,8.271556769410846e-05
2021-01-03 14:00:00,269,102,1327.5,1226.0,7.125437095237427e-05,7.787056080545643e-05
2021-01-03 14:15:00,243,101,1453.5,1222.0,6.511753044311541e-05,7.902620931617291e-05
2021-01-03 14:30:00,251,109,1410.5,1149.0,6.690423445162918e-05,8.473331161880269e-05
2021-01-03 14:45:00,219,98,1570.5,1207.5,5.981431342864113e-05,7.866418580159608e-05
2021-01-03 15:00:00,223,105,1551.0,1158.0,6.110414365556772e-05,8.230201075569706e-05
2021-01-03 15:15:00,203,102,1683.5,1179.5,5.6101012775278404e-05,8.115481713512357e-05
2021-01-03 15:30:00,240,119,1420.5,1038.0,6.644656242862186e-05,9.335215019811836e-05
2021-01-03 15:45:00,219,91,1528.5,1317.0,6.106229999657048e-05,7.280215494378634e-05
2021-01-03 16:00:00,240,90,1426.0,1386.0,6.639261271529188e-05,6.897577111080113e-05
2021-01-03 16:15:00,226,98,1516.5,1264.0,6.256202568088108e-05,7.593614545026259e-05
2021-01-03 16:30:00,204,91,1625.5,1284.5,5.8536383805852026e-05,7.493295147720843e-05
2021-01-03 16:45:00,254,112,1330.5,1045.5,7.341390557642198e-05,9.276891181238149e-05
2021-01-03 17:00:00,314,94,1064.5,1232.5,9.107534164129947e-05,7.724634846649563e-05
2021-01-03 17:15:00,242,99,1366.5,1152.0,7.067899440730553e-05,8.293638360506867e-05
2021-01-03 17:30:00,260,85,1276.5,1319.0,7.647425450102461e-05,7.148834529711816e-05
2021-01-03 17:45:00,247,106,1307.5,1048.0,7.269540126537089e-05,9.077580773341372e-05
2021-01-03 18:00:00,235,78,1355.0,1390.5,7.002300330151011e-05,6.621566441901273e-05
2021-01-03 18:15:00,264,99,1241.0,1118.5,7.834195193721249e-05,8.566444458289204e-05
2021-01-03 18:30:00,242,84,1337.5,1271.5,7.233193063188518e-05,7.383472974730944e-05
2021-01-03 18:45:00,207,74,1527.5,1417.5,6.226687522560463e-05,6.503813519846299e-05
2021-01-03 19:00:00,216,92,1528.0,1235.5,6.410593149034716e-05,7.738805229413517e-05
2021-01-03 19:15:00,236,91,1387.0,1230.0,7.056825385434234e-05,7.98183999831592e-05
2021-01-03 19:30:00,211,71,1519.0,1505.5,6.369855549185699e-05,6.172775105806581e-05
2021-01-03 19:45:00,200,80,1589.0,1347.5,6.054223441408285e-05,7.021042063063001e-05
2021-01-03 20:00:00,197,66,1575.5,1530.0,6.056946364356377e-05,5.94001663204657e-05
2021-01-03 20:15:00,213,77,1474.5,1334.5,6.527127107986262e-05,7.066177968574779e-05
2021-01-03 20:30:00,232,83,1359.5,1252.0,7.025006601083791e-05,7.564723960488444e-05
2021-01-03 20:45:00,234,77,1309.0,1297.5,7.223414977473134e-05,7.205258154106436e-05
2021-01-03 21:00:00,230,71,1330.0,1428.5,7.073762737386251e-05,6.592055737223946e-05
2021-01-03 21:15:00,200,68,1517.0,1435.0,6.18493448917389e-05,6.377712520856527e-05
2021-01-03 21:30:00,229,74,1310.5,1287.5,7.272600240408665e-05,7.201315699841377e-05
2021-01-03 21:45:00,241,81,1256.5,1183.5,7.545418881894156e-05,7.983709290474942e-05
2021-01-03 22:00:00,222,73,1447.0,1348.5,6.755218863005379e-05,6.966938536332107e-05
2021-01-03 22:15:00,207,71,1502.0,1365.0,6.40654445538337e-05,6.851787158399808e-05
2021-01-03 22:30:00,220,79,1432.0,1286.5,6.795473843757848e-05,7.413392340182744e-05
2021-01-03 22:45:00,223,77,1450.5,1388.5,6.81513473338001e-05,7.020832725469028e-05
2021-01-03 23:00:00,251,89,1315.0,1231.5,7.537001120340685e-05,8.110115318549838e-05
2021-01-03 23:15:00,244,77,1314.5,1399.0,7.509037002934064e-05,7.127385822981654e-05
2021-01-03 23:30:00,305,72,1015.5,1378.5,9.669514999319965e-05,7.058553643537159e-05
2021-01-03 23:45:00,258,72,1130.0,1256.5,8.502874498890673e-05,7.574474441934816e-05
2021-01-04 00:00:00,238,80,1190.5,1122.0,8.110407868322416e-05,8.615759732308345e-05
2021-01-04 00:15:00,224,74,1223.5,1123.0,7.977912579173659e-05,8.528263703133445e-05
2021-01-04 00:30:00,190,65,1359.5,1226.0,7.014199323609684e-05,7.675630228285052e-05
2021-01-04 00:45:00,186,53,1332.5,1421.5,7.102316118744615e-05,6.59467274869693e-05
2021-01-04 01:00:00,221,70,1123.0,1124.0,8.439485641990909e-05,8.683958495640653e-05
