time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,734,419,402.5,268.5,0.00023702046545781924,0.0003691499859035805
2021-01-02 16:15:00,734,398,393.0,280.5,0.00024304490900385362,0.0003610936965560916
2021-01-02 16:30:00,728,385,392.0,287.0,0.0002435846560403976,0.00035331051956835553
2021-01-02 16:45:00,703,397,426.5,286.5,0.00023177385465636318,0.00035920092722697787
2021-01-02 17:00:00,717,403,411.0,277.0,0.0002377804242042564,0.0003623054855567772
2021-01-02 17:15:00,670,373,436.0,289.0,0.00022802929257485565,0.00035044435028275126
2021-01-02 17:30:00,737,387,380.5,285.0,0.0002491926597377357,0.00036757337932907883
2021-01-02 17:45:00,690,380,433.5,279.0,0.0002308890768720085,0.000363918443961348
2021-01-02 18:00:00,723,398,410.0,276.5,0.0002421969372639585,0.0003708148236486688
2021-01-02 18:15:00,714,372,424.0,289.0,0.00024028616264680928,0.00035613524331600205
2021-01-02 18:30:00,756,401,390.5,259.0,0.00026050200390132763,0.00038796777448720047
2021-01-02 18:45:00,734,415,401.0,247.0,0.00025311392195539133,0.0004051907374373785
2021-01-02 19:00:00,852,440,343.0,265.0,0.0002853493218264768,0.00040522556789139954
2021-01-02 19:15:00,819,392,350.0,270.0,0.00027721458575205034,0.0003804347826086957
2021-01-02 19:30:00,691,403,426.5,256.5,0.00023897540075068017,0.00040275874751024134
2021-01-02 19:45:00,749,372,369.5,271.0,0.0002628911427095267,0.00037704256729500336
2021-01-02 20:00:00,631,344,463.0,302.0,0.0002198669090893886,0.0003443309019968189
2021-01-02 20:15:00,731,400,373.0,257.5,0.000258044201453802,0.0004097264973198765
2021-01-02 20:30:00,690,378,400.5,267.0,0.0002440588471862668,0.0003915041527404773
2021-01-02 20:45:00,670,413,409.0,239.0,0.00023607401166910323,0.0004320106276706468
2021-01-02 21:00:00,698,384,401.0,263.5,0.0002429633734454956,0.0003932125774777256
2021-01-02 21:15:00,653,341,425.5,288.5,0.00022802022920048707,0.00035429270811579655
2021-01-02 21:30:00,716,368,378.0,267.0,0.00024732989074996567,0.00038508063672246153
2021-01-02 21:45:00,677,381,402.0,258.0,0.00023501787107829122,0.0004042397428143999
2021-01-02 22:00:00,639,374,457.0,265.0,0.0002162547054011897,0.000388433812020884
2021-01-02 22:15:00,663,374,430.0,267.0,0.00022788571892101093,0.0003964363131422877
2021-01-02 22:30:00,625,336,466.0,289.0,0.00021336082558691296,0.0003622067445914233
2021-01-02 22:45:00,585,326,490.0,294.0,0.00020336063000775552,0.0003589584918458064
2021-01-02 23:00:00,594,319,469.0,297.0,0.00020893650264916711,0.0003524227128152609
2021-01-02 23:15:00,656,323,405.5,280.5,0.00023313966629752886,0.0003637895381787547
2021-01-02 23:30:00,644,338,422.5,265.0,0.0002297110563070309,0.000380414291422108
2021-01-02 23:45:00,624,314,417.0,273.5,0.0002288861680127178,0.00036372187092043636
2021-01-03 00:00:00,608,317,437.0,271.5,0.00022213932593136845,0.0003681513113503256
2021-01-03 00:15:00,616,310,416.0,269.0,0.00022941853202678984,0.00037213143682348607
2021-01-03 00:30:00,675,343,367.5,245.0,0.0002570744019021221,0.00042064934523415327
2021-01-03 00:45:00,605,303,427.0,291.5,0.00022784919772602733,0.00035954704192460896
2021-01-03 01:00:00,587,328,423.5,270.5,0.00022908595484548018,0.0003869603790324103
2021-01-03 01:15:00,583,326,421.0,253.0,0.00023642042445373907,0.00041531678096371334
2021-01-03 01:30:00,542,295,431.0,272.0,0.00022700211044951026,0.0003833673165717345
2021-01-03 01:45:00,507,269,433.5,289.0,0.0002204062256281577,0.0003664630458119677
2021-01-03 02:00:00,511,285,437.5,256.5,0.00022113075275331592,0.00039401811377307597
2021-01-03 02:15:00,478,248,450.0,285.0,0.00021511996313257868,0.0003592141321792131
2021-01-03 02:30:00,459,228,437.5,300.0,0.00021317723248579518,0.00034157866271953543
2021-01-03 02:45:00,443,233,454.0,284.5,0.00020807343724166955,0.00035668196980296766
2021-01-03 03:00:00,479,249,432.5,289.0,0.0002151827368638576,0.00034199444568056887
2021-01-03 03:15:00,441,221,469.0,303.0,0.00020352509150552725,0.0003350048204313528
2021-01-03 03:30:00,423,225,483.0,288.0,0.0001968230983771168,0.00034570071229711214
2021-01-03 03:45:00,429,208,468.0,309.0,0.00020375014248261711,0.0003272663192608816
2021-01-03 04:00:00,376,198,533.5,354.0,0.00017436589477296498,0.0002948512713599643
2021-01-03 04:15:00,358,176,541.0,380.0,0.00017073945445405817,0.0002753024024827271
2021-01-03 04:30:00,368,183,559.5,373.0,0.00017070728015523232,0.00027609638932306595
2021-01-03 04:45:00,426,214,487.0,316.5,0.00019268833701823395,0.0003189583476169042
