time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,495,236,624.5,484.5,0.00015984350190956478,0.00020792218776430788
2021-01-02 16:15:00,502,252,603.0,447.0,0.00016622417482279906,0.00022863218977923385
2021-01-02 16:30:00,472,219,635.0,498.5,0.00015792851325696107,0.00020097403580641518
2021-01-02 16:45:00,526,235,581.0,477.0,0.00017341827531898576,0.00021262523400085597
2021-01-02 17:00:00,492,239,619.0,483.0,0.00016316313627405042,0.00021486603237734432
2021-01-02 17:15:00,470,229,616.0,474.5,0.00015996084703012267,0.00021515216143364624
2021-01-02 17:30:00,486,216,596.5,496.5,0.00016432514604143767,0.0002051572349743696
2021-01-02 17:45:00,491,226,632.5,475.0,0.0001642993286147191,0.0002164357061454333
2021-01-02 18:00:00,445,210,673.0,513.5,0.00014907003745845301,0.0001956560627291971
2021-01-02 18:15:00,510,231,589.0,476.5,0.00017163297331914952,0.00022114849786558188
2021-01-02 18:30:00,425,201,680.5,530.5,0.00014644623235193682,0.00019446763758585359
2021-01-02 18:45:00,428,203,676.5,517.5,0.00014759231416472407,0.00019820173421635626
2021-01-02 19:00:00,438,186,695.5,609.0,0.00014669366544600569,0.00017129989915409162
2021-01-02 19:15:00,467,214,645.5,507.5,0.00015806985536777473,0.00020768633540372671
2021-01-02 19:30:00,470,197,629.5,527.0,0.00016254477330364644,0.00019688206764148275
2021-01-02 19:45:00,481,193,611.0,522.0,0.00016882595412988295,0.00019561617066649368
2021-01-02 20:00:00,452,189,647.5,561.5,0.00015749578907829422,0.00018918180371336853
2021-01-02 20:15:00,487,252,589.0,410.0,0.00017191180042134275,0.00025812769331152216
2021-01-02 20:30:00,433,194,651.0,516.0,0.00015315576932123698,0.00020093070272923967
2021-01-02 20:45:00,458,224,609.5,443.5,0.00016137596618574516,0.0002343108489061136
2021-01-02 21:00:00,453,214,627.0,467.0,0.00015768253319600216,0.0002191340926568575
2021-01-02 21:15:00,456,213,620.0,466.0,0.0001592300528566954,0.000221303069878782
2021-01-02 21:30:00,427,211,663.5,468.0,0.0001474998091483734,0.000220793517251194
2021-01-02 21:45:00,496,235,576.5,411.0,0.00017218443730403606,0.0002493342245705616
2021-01-02 22:00:00,437,218,665.5,460.0,0.00014789249805996854,0.00022641329149880411
2021-01-02 22:15:00,441,194,662.0,502.5,0.00015158009358094397,0.00020563808756578564
2021-01-02 22:30:00,462,206,620.0,469.5,0.00015771632227384606,0.00022206723031497973
2021-01-02 22:45:00,451,195,626.0,492.0,0.00015677887886067992,0.00021471443530654064
2021-01-02 23:00:00,443,225,623.5,424.0,0.0001558230146019883,0.0002485740137411715
2021-01-02 23:15:00,458,191,603.5,500.0,0.00016277129140894543,0.00021512012938743698
2021-01-02 23:30:00,443,183,614.0,504.5,0.00015801552475778682,0.00020596395068120044
2021-01-02 23:45:00,437,206,618.5,438.5,0.00016029367856018863,0.00023862008092232447
2021-01-03 00:00:00,433,178,626.5,511.0,0.00015820119757941207,0.00020672218744592418
2021-01-03 00:15:00,469,217,556.0,400.0,0.00017467092779312407,0.00026049200577644017
2021-01-03 00:30:00,421,181,618.0,471.0,0.00016033825659376796,0.0002219753104588389
2021-01-03 00:45:00,442,170,598.5,506.5,0.0001664617279254613,0.00020172606312601827
2021-01-03 01:00:00,434,187,573.5,467.0,0.00016937530562681158,0.00022061460633859974
2021-01-03 01:15:00,406,178,599.0,473.0,0.0001646426969609229,0.0002267680583176103
2021-01-03 01:30:00,418,170,565.0,479.0,0.00017506804828024957,0.00022092353836337245
2021-01-03 01:45:00,422,165,522.0,475.5,0.00018345449154848632,0.000224782165646746
2021-01-03 02:00:00,428,164,525.5,459.5,0.0001852132332258693,0.0002267332303816999
2021-01-03 02:15:00,371,154,585.5,477.5,0.00016696549439788012,0.00022306038853064038
2021-01-03 02:30:00,355,127,587.0,539.0,0.00016487563732561498,0.00019026530774289918
2021-01-03 02:45:00,387,151,532.5,455.5,0.00018177070025400928,0.00023115440961479877
2021-01-03 03:00:00,362,127,591.0,607.0,0.00016262244414345817,0.00017443090201378416
2021-01-03 03:15:00,331,118,648.5,572.5,0.0001527591956651463,0.0001788713520855187
2021-01-03 03:30:00,343,118,597.5,567.5,0.00015959887173369044,0.0001813008180047077
2021-01-03 03:45:00,334,127,599.5,517.5,0.00015863064706105856,0.00019982126224101903
2021-01-03 04:00:00,368,119,556.5,576.0,0.000170655982118221,0.00017720859238300882
2021-01-03 04:15:00,374,129,517.5,523.5,0.0001783702680609435,0.0002017841472742716
2021-01-03 04:30:00,375,128,548.5,539.5,0.00017395442950601117,0.00019311660018225382
2021-01-03 04:45:00,371,118,561.0,581.5,0.00016781073482104408,0.0001758742290597883
2021-01-03 05:00:00,326,107,645.5,652.5,0.00014485000470984674,0.00015200893301094183
2021-01-03 05:15:00,359,114,577.0,607.5,0.00016060627751333166,0.00016741907343822968
2021-01-03 05:30:00,344,114,593.5,627.0,0.00015394254005191086,0.00016424170039144268
