time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,5164,2429,65.0,53.0,0.0016675390785070552,0.0021400126867775586
2021-01-02 16:15:00,4986,2289,64.0,56.0,0.0016509835371842155,0.0020767423904947072
2021-01-02 16:30:00,5106,2397,64.0,48.0,0.001708438535360261,0.002199702117935969
2021-01-02 16:45:00,5055,2326,66.0,54.5,0.0016665957827708615,0.0021045374224935784
2021-01-02 17:00:00,5052,2322,65.0,55.0,0.0016754068383262248,0.002087526891967337
2021-01-02 17:15:00,5032,2100,66.0,60.0,0.0017126020899054836,0.001973011087382782
2021-01-02 17:30:00,5282,2213,61.0,56.0,0.0017859370810511806,0.002101911856473518
2021-01-02 17:45:00,5209,2284,63.0,50.0,0.0017430452194583945,0.002187341384230839
2021-01-02 18:00:00,5138,2203,61.0,57.0,0.0017211727021607453,0.0020525252675829588
2021-01-02 18:15:00,5122,2199,62.0,55.0,0.0017237335085111445,0.0021052188173437862
2021-01-02 18:30:00,4970,2188,62.0,54.0,0.0017125594700920614,0.0021168914977007344
2021-01-02 18:45:00,5149,2249,61.0,49.0,0.0017755907140985145,0.002195840887943769
2021-01-02 19:00:00,5030,2286,64.0,55.0,0.0016846327333182845,0.002105331018635771
2021-01-02 19:15:00,5184,2290,62.0,52.0,0.0017546769383866045,0.002222437888198758
2021-01-02 19:30:00,5140,2082,60.0,57.0,0.0017776173080441336,0.002080753628576483
2021-01-02 19:45:00,4966,2104,62.0,53.0,0.0017430139048004133,0.002132520326851309
2021-01-02 20:00:00,4842,2102,65.0,54.0,0.0016871562184006652,0.002104021965108469
2021-01-02 20:15:00,4714,2010,65.0,56.0,0.0016640497478156255,0.00205887564903238
2021-01-02 20:30:00,4682,1946,67.0,57.0,0.001656063076124784,0.0020155213789231977
2021-01-02 20:45:00,4736,2008,66.0,52.0,0.0016687261481565265,0.002100429395551232
2021-01-02 21:00:00,4611,1917,66.0,59.0,0.001605020222001691,0.0019629909141270835
2021-01-02 21:15:00,4642,1891,66.0,58.0,0.0016209340029841668,0.0019647141086421445
2021-01-02 21:30:00,4760,1942,64.0,55.0,0.001644260167555638,0.0020321374905299464
2021-01-02 21:45:00,4516,1852,69.0,57.0,0.0015677115299698122,0.0019649658889560853
2021-01-02 22:00:00,4645,1897,68.0,56.0,0.0015719923420790707,0.0019702110732717033
2021-01-02 22:15:00,4603,1820,68.0,60.0,0.001582138709190669,0.001929182058606855
2021-01-02 22:30:00,4391,1827,73.0,57.0,0.0014989878162434158,0.001969499173715864
2021-01-02 22:45:00,4488,1777,71.0,56.0,0.0015601410384184732,0.0019566541104601167
2021-01-02 23:00:00,4235,1750,74.0,55.0,0.0014896398799986914,0.0019333534402091114
2021-01-02 23:15:00,4257,1699,71.0,57.0,0.0015129200601045432,0.0019135554964882485
2021-01-02 23:30:00,4193,1783,71.0,55.0,0.001495618725303386,0.002006741661555084
2021-01-02 23:45:00,4089,1750,72.0,50.0,0.0014998646490448774,0.0020271123379323685
2021-01-03 00:00:00,4105,1690,72.0,56.0,0.0014998058107701768,0.0019626994201326505
2021-01-03 00:15:00,3982,1578,71.0,58.0,0.0014830269391731769,0.0018942690558305195
2021-01-03 00:30:00,3777,1568,73.0,56.0,0.001438474097754541,0.0019229684353561293
2021-01-03 00:45:00,3713,1489,80.0,64.5,0.0013983538366227099,0.0017668829882037719
2021-01-03 01:00:00,3637,1484,77.0,62.0,0.0014193962824071743,0.001750759763671027
2021-01-03 01:15:00,3689,1488,71.5,59.0,0.0014959776085932133,0.0018956790493067648
2021-01-03 01:30:00,3432,1355,72.0,61.0,0.0014374008174588915,0.0017608905557786449
2021-01-03 01:45:00,3423,1435,70.0,55.0,0.0014880680677025323,0.0019549236830489728
2021-01-03 02:00:00,3370,1328,70.0,59.0,0.0014583378410541574,0.0018359861582127887
2021-01-03 02:15:00,3215,1253,73.0,59.0,0.0014468842708603355,0.001814900433953847
2021-01-03 02:30:00,3224,1318,67.0,54.0,0.001497349449965585,0.0019745643748436304
2021-01-03 02:45:00,3113,1180,70.0,57.0,0.001462150361474757,0.0018063722075858449
2021-01-03 03:00:00,3328,1364,64.0,57.0,0.00149504832626914,0.0018734153570614301
2021-01-03 03:15:00,3090,1162,73.0,58.0,0.0014260601649707012,0.0017614280603675655
2021-01-03 03:30:00,3005,1138,73.0,59.0,0.001398235013293702,0.0017484773804182824
2021-01-03 03:45:00,2723,1074,79.0,61.5,0.0012932672213989893,0.0016898270523374368
2021-01-03 04:00:00,2955,1107,77.0,62.0,0.001370348986846041,0.0016484866535125275
2021-01-03 04:15:00,2892,1098,75.0,60.0,0.0013792695594445148,0.0017175115791251954
2021-01-03 04:30:00,2882,1103,79.0,62.0,0.0013368977755635312,0.0016641219531330152
2021-01-03 04:45:00,3119,1191,75.0,59.0,0.0014107862046006375,0.001775137345849219
2021-01-03 05:00:00,3225,1219,70.0,59.0,0.0014329486662247113,0.0017317653209377388
2021-01-03 05:15:00,3182,1188,70.0,61.0,0.0014235353065387784,0.0017446829758299726
2021-01-03 05:30:00,3059,1193,75.0,64.0,0.0013689250872639398,0.001718774987429747
2021-01-03 05:45:00,3053,1181,75.0,60.0,0.0013797498101883654,0.0017616979128131079
2021-01-03 06:00:00,3271,1342,73.0,59.0,0.0014333471657980842,0.0018311719500480308
2021-01-03 06:15:00,3140,1138,75.0,63.0,0.0013951351548289006,0.0016550127398168725
2021-01-03 06:30:00,3242,1270,75.0,60.5,0.0014105532179278615,0.0017541266866204332
2021-01-03 06:45:00,3265,1224,73.0,60.0,0.0014180583762297802,0.0017160281798745225
2021-01-03 07:00:00,3427,1419,72.0,60.0,0.0013895410176127465,0.0017623585548908246
2021-01-03 07:15:00,3376,1266,75.0,64.0,0.0013643628898143605,0.0016471099465404837
2021-01-03 07:30:00,3479,1384,79.0,67.0,0.0013408008114947367,0.0016706743537001092
2021-01-03 07:45:00,3470,1336,78.0,70.5,0.0012846960490598394,0.0016048086602009856
2021-01-03 08:00:00,3934,1622,76.0,60.0,0.0013605413944892193,0.0017714366219948648
2021-01-03 08:15:00,4002,1586,74.0,59.0,0.0013470076034237284,0.001781017897770022
2021-01-03 08:30:00,4384,1727,70.0,58.0,0.0014247768829950733,0.0018242604456603832
2021-01-03 08:45:00,4217,1644,74.0,60.0,0.001366481887553155,0.0017221656547372127
2021-01-03 09:00:00,4572,2024,78.0,55.0,0.0013702953418050676,0.0018522568889954528
2021-01-03 09:15:00,4515,1791,76.0,64.0,0.0012721391661078456,0.0017111116206548654
2021-01-03 09:30:00,4694,1905,79.0,61.0,0.001305691831693152,0.0018053654893725101
2021-01-03 09:45:00,4842,1896,79.0,64.0,0.0013359194585691148,0.0017547301824697274
2021-01-03 10:00:00,5183,2240,83.0,59.0,0.0012932546651236439,0.0018561977115733926
2021-01-03 10:15:00,5495,2196,79.0,66.0,0.0013814811136824453,0.001834554281002589
2021-01-03 10:30:00,6201,2954,66.0,45.0,0.0015624748028575575,0.002377845626784491
2021-01-03 10:45:00,5343,2178,74.0,63.0,0.001386442497018487,0.001824387996565661
2021-01-03 11:00:00,5597,2472,73.0,58.0,0.0014571741287936776,0.001960139081065865
2021-01-03 11:15:00,5507,2395,73.0,59.0,0.00145414198097601,0.001968490993434528
2021-01-03 11:30:00,5536,2345,72.0,59.0,0.001484455716106425,0.0019128007563108148
2021-01-03 11:45:00,5687,2539,71.0,57.0,0.0014905453765835244,0.001979916982291479
2021-01-03 12:00:00,5925,2911,72.0,51.0,0.0015413816086248693,0.002110002834115796
2021-01-03 12:15:00,5834,2680,73.0,56.0,0.0015224505347105153,0.002031942438406745
2021-01-03 12:30:00,5649,2569,73.0,58.0,0.0014908065609211807,0.0019871058565091447
2021-01-03 12:45:00,5435,2471,72.0,58.0,0.001478294100287363,0.0019495222841994808
2021-01-03 13:00:00,5701,2698,71.0,57.0,0.0015486112073164204,0.0020554076342623804
2021-01-03 13:15:00,5580,2686,71.0,54.0,0.0015051076556572627,0.0020728411506043343
2021-01-03 13:30:00,5806,2771,70.0,52.0,0.0015563351229668262,0.0021387906069194624
2021-01-03 13:45:00,5666,2694,72.0,53.0,0.001507627006798956,0.0021022239563012095
2021-01-03 14:00:00,5700,2744,72.0,56.0,0.0015098509830057,0.0020948707730409064
2021-01-03 14:15:00,5442,2704,75.0,52.0,0.0014583111138742144,0.002115711584068629
2021-01-03 14:30:00,5486,2775,73.0,50.0,0.0014622973314806279,0.0021572012820383264
2021-01-03 14:45:00,5308,2575,75.0,54.0,0.0014497460076677033,0.0020669416167256108
2021-01-03 15:00:00,5518,2686,72.0,54.0,0.0015119850434592947,0.002105363817998117
2021-01-03 15:15:00,5435,2642,73.0,53.0,0.0015020148001657053,0.0021020688908921217
2021-01-03 15:30:00,5563,2731,72.0,53.0,0.0015401759449600975,0.0021423926234542963
2021-01-03 15:45:00,6098,2802,69.0,47.0,0.0017002644081236839,0.0022416663533240577
2021-01-03 16:00:00,5917,2719,69.0,54.0,0.0016368545393182585,0.0020838346850029807
2021-01-03 16:15:00,5763,2824,70.0,49.0,0.0015953316548624676,0.002188200762770833
2021-01-03 16:30:00,5829,2700,69.0,49.0,0.0016725910843348602,0.0022232853734995913
2021-01-03 16:45:00,5326,2572,71.0,53.0,0.0015393797681103288,0.002130371796262904
2021-01-03 17:00:00,5368,2605,70.0,51.0,0.0015569822736639987,0.0021407099761193735
2021-01-03 17:15:00,5381,2510,70.0,53.0,0.0015715854087012852,0.0021027305338254783
2021-01-03 17:30:00,5269,2537,70.0,53.0,0.0015497801806380715,0.0021337168472798686
2021-01-03 17:45:00,5114,2466,71.0,55.0,0.0015051185508951688,0.0021118220931188513
2021-01-03 18:00:00,5217,2557,70.0,52.0,0.0015545106732935245,0.0021706853066591736
2021-01-03 18:15:00,5199,2471,70.0,52.0,0.0015428023034907868,0.002138149924892184
2021-01-03 18:30:00,5111,2509,70.0,48.0,0.0015276384192544012,0.002205373058761897
2021-01-03 18:45:00,5389,2426,68.0,50.5,0.0016210443989892911,0.0021321961620469087
2021-01-03 19:00:00,5249,2397,69.0,55.0,0.0015578334925594086,0.0020162952320548037
2021-01-03 19:15:00,5243,2399,68.0,56.0,0.0015677515040606648,0.002104223533621966
2021-01-03 19:30:00,5065,2371,70.0,52.0,0.001529067220693155,0.0020613591233616065
2021-01-03 19:45:00,5099,2408,68.0,53.0,0.0015435242663870425,0.002113333660981963
2021-01-03 20:00:00,5119,2336,68.0,53.0,0.0015738836771137207,0.0021024058867364828
2021-01-03 20:15:00,5270,2347,68.0,50.0,0.0016149276929149107,0.0021538077522396115
2021-01-03 20:30:00,5165,2284,69.0,56.0,0.0015639723747671453,0.0020816662079223623
2021-01-03 20:45:00,5023,2170,69.0,55.0,0.0015505646765746814,0.0020305727525209046
2021-01-03 21:00:00,5243,2289,68.0,51.0,0.0016125103492224398,0.0021252416313388193
2021-01-03 21:15:00,5272,2288,68.0,52.5,0.0016303487313462375,0.002145912683488196
2021-01-03 21:30:00,4879,2114,68.0,55.0,0.0015494767062425269,0.002057240728306036
2021-01-03 21:45:00,5036,2149,68.0,50.0,0.001576710767187509,0.002118147069781562
2021-01-03 22:00:00,4869,2069,69.0,59.0,0.001481583812791585,0.0019746021687220726
2021-01-03 22:15:00,4912,2076,69.0,58.5,0.0015202389548233386,0.00200342396349831
2021-01-03 22:30:00,4939,2135,68.0,56.0,0.0015255838779236366,0.0020034927400367293
2021-01-03 22:45:00,5195,2406,68.0,47.0,0.0015876513425968233,0.002193782277594608
2021-01-03 23:00:00,5074,2262,69.0,54.0,0.0015236152862393875,0.0020612450393887338
2021-01-03 23:15:00,4933,2192,68.0,55.0,0.0015181180137489234,0.0020289908732436085
2021-01-03 23:30:00,4731,2056,68.0,56.0,0.0014998844413699262,0.002015609207098944
2021-01-03 23:45:00,4706,1957,68.0,56.0,0.0015509506740999804,0.0020587842337314493
2021-01-04 00:00:00,4416,1857,69.0,55.0,0.0015048555103576386,0.0019999332278620744
2021-01-04 00:15:00,4252,1795,68.0,53.0,0.0015143787627967145,0.002068680182043856
2021-01-04 00:30:00,4084,1732,67.0,53.0,0.001507683686190629,0.0020452602392907245
2021-01-04 00:45:00,3805,1498,70.0,60.0,0.0014529200447216811,0.0018639282599147173
2021-01-04 01:00:00,3845,1525,71.0,58.0,0.00146831775083507,0.001891862386550285
2021-01-04 01:15:00,3586,1460,70.0,58.5,0.0014462593264771126,0.001917009255478248
2021-01-04 01:30:00,3538,1398,67.0,59.0,0.0014771696294258202,0.0019066374988407427
2021-01-04 01:45:00,3434,1419,70.0,53.0,0.0014708597162191625,0.0020084811975586837
2021-01-04 02:00:00,3263,1293,72.0,60.0,0.0013985498456794752,0.001795052983911161
2021-01-04 02:15:00,3226,1355,71.0,59.0,0.0013846075929373851,0.0019053082873176773
2021-01-04 02:30:00,3273,1316,70.0,58.0,0.0014185552926675035,0.0019075145346519726
2021-01-04 02:45:00,3479,1350,65.0,53.0,0.0014972327661149413,0.0019934496720406133
2021-01-04 03:00:00,3455,1479,68.0,54.0,0.0014452499173844113,0.0019432681328990433
2021-01-04 03:15:00,3193,1241,71.0,59.0,0.001398492361288435,0.0017922363383499585
2021-01-04 03:30:00,3227,1205,70.0,59.0,0.0014235468859525875,0.0017388869968772186
2021-01-04 03:45:00,3135,1208,74.0,60.0,0.001412546476608951,0.0017772965083774227
2021-01-04 04:00:00,3330,1345,71.0,56.0,0.0014579474114428295,0.0018720779229817399
2021-01-04 04:15:00,3201,1257,68.0,57.0,0.0014591965165273036,0.0018785531105970125
2021-01-04 04:30:00,3014,1106,73.0,65.0,0.001379889416559497,0.0016442526975556234
2021-01-04 04:45:00,2905,1191,74.0,58.0,0.0013529972031847831,0.0018027645416951734
2021-01-04 05:00:00,2994,1189,72.0,62.0,0.001327584310915457,0.0016610622695782526
2021-01-04 05:15:00,2957,1149,74.0,63.0,0.0013013807751247471,0.0016372885703293102
2021-01-04 05:30:00,3208,1326,71.0,59.0,0.0014056772183014966,0.0018208257980531172
2021-01-04 05:45:00,3063,1260,74.0,60.0,0.0013238936217113367,0.0017541832397536905
2021-01-04 06:00:00,3333,1391,73.0,60.0,0.0013620459540328901,0.0017359442800573572
2021-01-04 06:15:00,3301,1317,72.0,59.0,0.0013555159974294065,0.0017530992051818259
2021-01-04 06:30:00,3503,1502,72.0,58.0,0.0013768604123742135,0.001849157045386833
2021-01-04 06:45:00,3345,1334,74.0,59.0,0.0013097610283249036,0.0016943619914214984
2021-01-04 07:00:00,3827,1696,72.0,56.0,0.0013972288355610985,0.0018813819726778078
2021-01-04 07:15:00,3638,1516,74.0,57.0,0.0013207632108995276,0.0017841276192605755
2021-01-04 07:30:00,4087,1728,72.0,55.0,0.0013995971406713273,0.0018877364859697923
2021-01-04 07:45:00,4037,1670,74.0,58.0,0.0013686429889508435,0.0018390814724104747
2021-01-04 08:00:00,4282,1837,73.0,58.0,0.001345723290126879,0.0018122947973228944
2021-01-04 08:15:00,4345,1713,74.0,60.0,0.001344884378634012,0.001740774049967227
2021-01-04 08:30:00,4722,2022,72.0,56.0,0.0013950590329776947,0.001893049269837228
2021-01-04 08:45:00,4526,1872,74.0,59.0,0.0013189336628239054,0.001765106891742939
2021-01-04 09:00:00,5136,2313,73.0,57.0,0.0013943328622211266,0.0019065501909847292
2021-01-04 09:15:00,5255,2179,73.0,57.0,0.0014180209823930635,0.0018879335142422445
2021-01-04 09:30:00,5411,2246,72.0,58.0,0.001424697584175246,0.0019000164961360973
2021-01-04 09:45:00,5621,2270,71.0,60.0,0.0014539459202474062,0.0018858535231814602
2021-01-04 10:00:00,6196,2698,84.0,58.0,0.0013365318637522678,0.001947568679226488
2021-01-04 10:15:00,5956,2471,72.0,58.0,0.001397902535963249,0.0018725981522586747
2021-01-04 10:30:00,6349,2703,71.0,55.0,0.0014877915095354336,0.001987885883730371
2021-01-04 10:45:00,6471,2620,70.0,58.0,0.0015328453148017993,0.0019842712423052693
2021-01-04 11:00:00,6397,2790,71.0,56.5,0.0014878398110301564,0.0019572574263538047
2021-01-04 11:15:00,6399,2633,70.0,58.0,0.0015361536240046149,0.001972955596884633
2021-01-04 11:30:00,6605,2711,67.0,57.0,0.0016032993254248562,0.002023425762068716
2021-01-04 11:45:00,6449,2797,68.0,54.0,0.0015607223610687258,0.002075022794092009
2021-01-04 12:00:00,6450,2853,68.0,57.0,0.0015556897120189213,0.001996081998180928
2021-01-04 12:15:00,6357,2821,69.0,55.0,0.001580084325846844,0.00210432404650847
2021-01-04 12:30:00,6200,2714,69.0,58.0,0.0015441415270463859,0.0020116801976990946
2021-01-04 12:45:00,6390,2792,68.0,58.0,0.0016011839239129426,0.0020793659423393018
2021-01-04 13:00:00,6398,2842,68.0,59.0,0.0016038247133395198,0.002001832782864537
2021-01-04 13:15:00,6381,2868,68.0,56.0,0.0015924258327855547,0.002096310405973754
2021-01-04 13:30:00,6324,2890,69.0,55.0,0.0015945709950965178,0.0021336806286162747
2021-01-04 13:45:00,6250,2755,67.0,58.0,0.0016143784552542075,0.0020573811442325
2021-01-04 14:00:00,6239,2929,67.0,53.0,0.0016383029397808787,0.002131743029258519
2021-01-04 14:15:00,6123,2823,67.0,55.0,0.0016522208649347894,0.0021644042521381445
2021-01-04 14:30:00,6014,2795,67.0,54.0,0.0016335515295328134,0.0021432043934539865
2021-01-04 14:45:00,6192,2862,67.0,52.5,0.0016923715641126488,0.002215353748336743
2021-01-04 15:00:00,6284,3004,67.0,56.0,0.0016875117151016186,0.0021187083214314678
