time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,519,221,599.0,514.5,0.00016759348988093758,0.00019470679447420358
2021-01-02 16:15:00,558,235,531.5,482.5,0.00018476711065960533,0.0002132085896750792
2021-01-02 16:30:00,550,246,542.5,446.0,0.00018402686926128942,0.00022575165665926088
2021-01-02 16:45:00,527,249,579.5,454.5,0.00017374796785761502,0.00022529226921792818
2021-01-02 17:00:00,518,235,582.0,491.0,0.0001717855784348742,0.0002112699481534557
2021-01-02 17:15:00,517,219,563.0,499.5,0.0001759569317331349,0.0002057568705413473
2021-01-02 17:30:00,470,223,617.5,485.5,0.00015891526469027922,0.00021180584907076118
2021-01-02 17:45:00,491,213,632.5,509.0,0.0001642993286147191,0.00020398586464149244
2021-01-02 18:00:00,477,203,615.5,534.0,0.00015978968060153278,0.00018913419397155717
2021-01-02 18:15:00,489,217,610.5,497.0,0.00016456573324130216,0.00020774555860100119
2021-01-02 18:30:00,475,213,609.5,501.0,0.0001636752008639294,0.0002060776457999344
2021-01-02 18:45:00,519,225,565.5,474.0,0.00017897292301750418,0.000219681725116651
2021-01-02 19:00:00,585,252,540.5,463.5,0.00019592647097240484,0.00023208373433780162
2021-01-02 19:15:00,535,207,561.5,524.0,0.0001810864510101916,0.00020089285714285717
2021-01-02 19:30:00,528,232,567.0,456.5,0.0001826034900092028,0.000231861115192
2021-01-02 19:45:00,496,200,584.0,509.5,0.00017409079677426599,0.00020271105768548568
2021-01-02 20:00:00,475,166,620.0,610.0,0.000165509955336703,0.00016615967945195334
2021-01-02 20:15:00,517,207,561.0,487.5,0.00018250184972861235,0.00021203346236303608
2021-01-02 20:30:00,492,187,582.0,537.5,0.00017402456929803368,0.00019368062582663824
2021-01-02 20:45:00,507,205,544.0,478.0,0.000178641080471993,0.0002144362679721128
2021-01-02 21:00:00,521,190,545.0,520.0,0.00018135231742851465,0.00019455830656449967
2021-01-02 21:15:00,541,203,522.0,483.5,0.00018891109341112329,0.00021091325439151522
2021-01-02 21:30:00,566,178,507.0,548.5,0.00019551496950346453,0.0001862618297190167
2021-01-02 21:45:00,576,196,488.0,491.5,0.0001999561207401709,0.00020795535325885133
2021-01-02 22:00:00,617,208,474.0,484.0,0.00020880931648283892,0.00021602736069610665
2021-01-02 22:15:00,550,174,517.5,555.5,0.00018904546818485071,0.00018443828472395208
2021-01-02 22:30:00,542,185,537.5,520.0,0.00018502650794897086,0.00019942930877801582
2021-01-02 22:45:00,539,191,532.0,501.0,0.0001873698796139833,0.00021031003663358601
