time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1225,534,241.0,223.5,0.00039557230270548846,0.0004704680011277137
2021-01-02 16:15:00,1235,549,235.0,216.0,0.00040893795997242404,0.0004980915563047594
2021-01-02 16:30:00,1229,500,232.5,229.0,0.00041121640422204483,0.0004588448306082538
2021-01-02 16:45:00,1286,567,227.0,204.0,0.00042398460467721615,0.0005130149262914268
2021-01-02 17:00:00,1262,539,227.0,212.5,0.00041852007719075533,0.00048457234916898985
2021-01-02 17:15:00,1153,487,244.0,223.0,0.0003924145885653861,0.00045755066645495945
2021-01-02 17:30:00,1138,480,249.0,228.0,0.00038477781110114414,0.00045590496660971017
2021-01-02 17:45:00,1198,501,241.5,214.0,0.00040087697694589304,0.0004797977379595667
2021-01-02 18:00:00,1156,489,253.0,226.0,0.0003872471085437565,0.0004555991174979875
2021-01-02 18:15:00,1142,488,269.0,221.0,0.000384323246138174,0.0004671881686510995
2021-01-02 18:30:00,1216,541,234.0,199.0,0.00041900851421165927,0.0005234178703181434
2021-01-02 18:45:00,1160,517,249.0,212.0,0.00040001655240906516,0.000504779786156927
2021-01-02 19:00:00,1209,529,252.5,227.0,0.0004049147066763034,0.0004871916486694326
2021-01-02 19:15:00,1215,527,235.0,204.0,0.00041125240743436036,0.0005114518633540372
2021-01-02 19:30:00,1130,474,247.0,219.5,0.00039079913581514987,0.0004737162439698621
2021-01-02 19:45:00,1155,543,243.5,189.0,0.00040539288361749447,0.0005503605216160937
2021-01-02 20:00:00,1061,440,262.0,243.0,0.00036969697392050916,0.0004404232467401173
2021-01-02 20:15:00,1133,504,245.0,202.0,0.0003999508621712143,0.0005162553866230443
2021-01-02 20:30:00,1097,466,250.0,214.0,0.0003880181961787459,0.0004826479766588953
2021-01-02 20:45:00,1071,403,255.0,248.0,0.00037736606939941717,0.0004215503219159096
2021-01-02 21:00:00,1074,436,252.0,231.0,0.0003738433568487999,0.00044646011401116767
2021-01-02 21:15:00,1081,449,251.0,223.0,0.00037747299810984153,0.00046650271537827765
2021-01-02 21:30:00,1045,447,266.0,226.0,0.0003609772846839583,0.0004677474038449464
2021-01-02 21:45:00,1008,407,266.0,241.0,0.0003499232112952991,0.00043182565702220665
2021-01-02 22:00:00,1040,424,264.0,240.5,0.00035196383977658416,0.0004403634660343712
2021-01-02 22:15:00,1068,408,266.0,250.0,0.0003670919273116738,0.0004324759779734048
2021-01-02 22:30:00,939,367,297.0,270.0,0.00032055330436177803,0.0003956246287650367
2021-01-02 22:45:00,1093,437,258.0,215.0,0.00037995413435637054,0.0004811805550202988
2021-01-02 23:00:00,961,371,284.0,256.5,0.00033802690075058854,0.0004098709293243316
2021-01-02 23:15:00,997,404,266.0,229.0,0.0003543296452723114,0.0004550184935734269
2021-01-02 23:30:00,966,387,266.0,232.5,0.0003445665844605464,0.00043556310881762064
2021-01-02 23:45:00,959,389,263.0,227.0,0.00035176576141698147,0.00045059811397468085
2021-01-03 00:00:00,943,339,269.0,257.0,0.0003445351716336849,0.0003937012446301589
2021-01-03 00:15:00,940,367,265.5,237.0,0.0003500867209499715,0.00044055560423941737
2021-01-03 00:30:00,874,355,280.0,231.0,0.00033286374409252547,0.0004353659404026951
2021-01-03 00:45:00,853,320,305.0,278.5,0.0003212485382814898,0.0003797196482372109
2021-01-03 01:00:00,927,405,272.5,219.0,0.0003617762864425215,0.0004778016875247749
2021-01-03 01:15:00,843,322,289.0,258.0,0.00034185663433019213,0.0004102208695408456
2021-01-03 01:30:00,791,307,294.0,262.0,0.0003312890578700417,0.00039896191927973727
2021-01-03 01:45:00,744,286,277.0,267.0,0.00032343635476794747,0.00038962242045435965
2021-01-03 02:00:00,756,291,275.0,247.5,0.00032715234653915223,0.00040231323195777233
2021-01-03 02:15:00,758,280,272.0,247.0,0.00034113165701777124,0.0004055643427829825
2021-01-03 02:30:00,674,251,289.0,272.0,0.0003130314917111676,0.0003760361593973833
2021-01-03 02:45:00,667,237,291.0,276.0,0.00031328438519231066,0.00036280526542190267
2021-01-03 03:00:00,694,278,292.5,260.5,0.00031176789015348056,0.0003818251240931654
2021-01-03 03:15:00,642,234,307.0,290.0,0.00029628822845022333,0.0003547109863390795
2021-01-03 03:30:00,687,250,282.5,256.0,0.0003196630463004237,0.00038411190255234685
2021-01-03 03:45:00,679,269,277.0,244.5,0.0003224856567498765,0.00042324346096719786
2021-01-03 04:00:00,672,244,288.5,272.5,0.00031163266299849053,0.00036335207177692566
2021-01-03 04:15:00,660,227,280.5,280.0,0.000314771061284018,0.000355077530474881
2021-01-03 04:30:00,678,282,283.0,231.5,0.00031450960854686815,0.0004254600097765279
2021-01-03 04:45:00,662,233,301.0,286.0,0.00029943586644617573,0.00034727707941466674
