time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,55,27,4579.5,3441.0,1.776038910106275e-05,2.3787707922187767e-05
2021-01-02 16:15:00,41,24,5667.5,3624.5,1.3576078023376019e-05,2.177449426468894e-05
2021-01-02 16:30:00,44,20,5364.0,4204.5,1.4722149540903153e-05,1.8353793224330155e-05
2021-01-02 16:45:00,34,25,6609.5,3536.5,1.1209546313394516e-05,2.2619705744771906e-05
2021-01-02 17:00:00,45,22,5250.5,3938.0,1.4923457586041196e-05,1.9778463231387344e-05
2021-01-02 17:15:00,46,25,5062.5,3441.5,1.5655742475288606e-05,2.3488227230747405e-05
2021-01-02 17:30:00,33,18,6583.0,4448.0,1.1157880286764287e-05,1.7096436247864137e-05
2021-01-02 17:45:00,30,14,7040.5,5418.0,1.003865551617428e-05,1.3407521619628612e-05
2021-01-02 18:00:00,41,23,5557.0,3694.5,1.3734542777070952e-05,2.1428997346531112e-05
2021-01-02 18:15:00,57,19,4217.0,4210.0,1.9182508782728476e-05,1.8189703287645265e-05
2021-01-02 18:30:00,43,15,5191.0,5143.5,1.4816912920313608e-05,1.4512510267601016e-05
2021-01-02 18:45:00,42,18,5348.5,4319.0,1.448335793205236e-05,1.757453800933208e-05
2021-01-02 19:00:00,57,22,4225.5,3859.0,1.9090271530644572e-05,2.0261278394569975e-05
2021-01-02 19:15:00,72,22,3551.0,3712.5,2.437051303314728e-05,2.1350931677018633e-05
2021-01-02 19:30:00,81,23,3123.5,3483.5,2.8013035399139062e-05,2.298623124748276e-05
2021-01-02 19:45:00,74,23,3293.0,3438.5,2.597322371228969e-05,2.331177163383085e-05
2021-01-02 20:00:00,53,18,4429.5,4316.5,1.8467426595463704e-05,1.8017314639368437e-05
2021-01-02 20:15:00,65,23,3733.5,3410.0,2.294510683241741e-05,2.3559273595892906e-05
2021-01-02 20:30:00,41,14,5409.5,5145.0,1.4502047441502808e-05,1.4500153805202862e-05
2021-01-02 20:45:00,49,19,4747.5,3964.0,1.7265114286247842e-05,1.98745809340007e-05
2021-01-02 21:00:00,39,11,5806.0,6448.5,1.3575317427470386e-05,1.1263901958997349e-05
2021-01-02 21:15:00,49,23,4779.0,3436.0,1.7110246907846654e-05,2.3896575620713556e-05
2021-01-02 21:30:00,55,16,4463.0,4623.5,1.899880445705044e-05,1.6742636379237453e-05
2021-01-02 21:45:00,56,22,4381.0,3495.5,1.9440178405294393e-05,2.3341927406605764e-05
2021-01-02 22:00:00,41,21,5809.5,3755.0,1.38754975296538e-05,2.1810454685664607e-05
2021-01-02 22:15:00,49,21,4932.0,3607.5,1.6842232620104886e-05,2.225979298392525e-05
2021-01-02 22:30:00,35,13,6445.0,5316.5,1.1948206232867125e-05,1.401395142764435e-05
2021-01-02 22:45:00,45,21,5242.0,3485.5,1.564312538521196e-05,2.312309303301207e-05
2021-01-02 23:00:00,30,12,7262.5,5634.5,1.0552348618644804e-05,1.325728073286248e-05
2021-01-02 23:15:00,34,12,6520.0,5596.5,1.208345831420119e-05,1.35154007992107e-05
2021-01-02 23:30:00,25,12,8311.5,5604.0,8.917354670303996e-06,1.3505832831554128e-05
2021-01-02 23:45:00,34,17,6354.0,4088.5,1.2471361718641674e-05,1.9691948425628725e-05
2021-01-03 00:00:00,16,10,11500.5,6365.5,5.845771735036012e-06,1.1613606036287876e-05
2021-01-03 00:15:00,40,19,5465.5,3625.0,1.4897307274466874e-05,2.2808055805310435e-05
2021-01-03 00:30:00,17,7,10696.5,8270.5,6.474466418275666e-06,8.58468051498272e-06
