time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,745,342,396.0,336.0,0.00024057254327803184,0.00030131096701437835
2021-01-02 16:15:00,606,268,494.0,419.0,0.00020066105566258214,0.00024314851928902646
2021-01-02 16:30:00,730,331,391.0,330.0,0.0002442538446558932,0.0003037552778626641
2021-01-02 16:45:00,663,315,454.0,358.0,0.0002185861531111931,0.00028500829238412603
2021-01-02 17:00:00,657,311,454.0,371.0,0.00021788248075620145,0.0002795955484073393
2021-01-02 17:15:00,627,287,469.5,384.0,0.00021339457678273808,0.00026964484860898016
2021-01-02 17:30:00,643,281,447.0,387.5,0.00021740960679967987,0.0002668943658694345
2021-01-02 17:45:00,567,272,539.0,399.0,0.00018973058925569392,0.0002604889914670702
2021-01-02 18:00:00,653,305,454.0,361.0,0.0002187477178884715,0.0002841671387257386
2021-01-02 18:15:00,630,291,486.0,373.5,0.00021201720233541998,0.00027858966614235643
2021-01-02 18:30:00,579,277,506.0,381.0,0.00019951145536887394,0.00026799768960836544
2021-01-02 18:45:00,641,272,454.0,400.0,0.00022104362939156104,0.0002655707965854625
2021-01-02 19:00:00,646,302,484.5,377.5,0.0002163564106806385,0.0002781320943254606
2021-01-02 19:15:00,629,284,489.0,388.0,0.00021290350969235613,0.00027562111801242235
2021-01-02 19:30:00,624,306,480.5,340.5,0.00021580412455633058,0.0003058168157273793
2021-01-02 19:45:00,620,277,474.0,364.5,0.00021761349596783247,0.00028075481489439765
2021-01-02 20:00:00,651,287,441.5,364.5,0.00022683574931409194,0.00028727607230548565
2021-01-02 20:15:00,647,315,437.0,323.0,0.00022839206339344718,0.00032265961663940283
2021-01-02 20:30:00,650,291,428.5,355.5,0.00022991050821894696,0.00030139605409385954
2021-01-02 20:45:00,631,261,441.5,379.5,0.00022233239009433446,0.0002730139801986413
2021-01-02 21:00:00,667,293,417.0,340.5,0.00023217273651596787,0.0003000293885442021
2021-01-02 21:15:00,721,326,376.0,302.5,0.0002517650616440293,0.00033870798488489645
2021-01-02 21:30:00,683,308,408.0,326.0,0.00023593060807573546,0.00032229575030032106
2021-01-02 21:45:00,709,331,381.0,296.0,0.00024612654445274514,0.0003511899077993868
2021-01-02 22:00:00,748,282,370.0,358.5,0.00025314322322392784,0.00029288324863606765
2021-01-02 22:15:00,728,325,378.0,304.0,0.0002502274560701297,0.0003444967961797955
2021-01-02 22:30:00,653,283,441.0,342.0,0.0002229193905732067,0.00030507294261718085
2021-01-02 22:45:00,704,290,396.0,335.0,0.0002447280060264271,0.0003193189037892143
2021-01-02 23:00:00,646,256,420.0,369.0,0.0002272272402548181,0.00028282198896773284
2021-01-02 23:15:00,633,242,434.5,380.5,0.00022496556214380455,0.00027256058278408253
2021-01-02 23:30:00,695,282,384.5,325.0,0.0002479024598344511,0.00031738707154152203
2021-01-02 23:45:00,683,276,376.0,329.5,0.0002505276486421255,0.00031970457443961927
2021-01-03 00:00:00,831,301,307.0,290.5,0.00030361476948843284,0.000349569541692265
2021-01-03 00:15:00,676,267,380.5,325.0,0.00025176449293849007,0.00032051320526409926
2021-01-03 00:30:00,719,258,340.5,328.5,0.00027383184439648263,0.0003164067961236488
2021-01-03 00:45:00,749,264,338.0,326.5,0.0002820810728872636,0.00031326870979569895
2021-01-03 01:00:00,698,254,348.0,349.0,0.00027240544545510247,0.00029965834229948846
2021-01-03 01:15:00,687,246,341.0,343.5,0.0002785949084043203,0.0003133985525063603
2021-01-03 01:30:00,648,245,353.0,333.5,0.0002713973571425879,0.0003183898052883897
2021-01-03 01:45:00,650,216,322.5,370.0,0.00028257208413866384,0.00029426028957392204
2021-01-03 02:00:00,734,254,284.0,290.5,0.0003176320401583833,0.00035116000315214493
2021-01-03 02:15:00,742,229,280.0,312.5,0.00033393098879576025,0.000331693694633225
2021-01-03 02:30:00,659,203,295.0,339.5,0.00030606491548614164,0.00030412486198274426
2021-01-03 02:45:00,690,197,278.0,334.5,0.0003240872950265282,0.0003015723092325521
2021-01-03 03:00:00,714,203,285.0,371.0,0.00032075255557577104,0.00027881474888817473
2021-01-03 03:15:00,681,195,286.5,347.5,0.0003142870460663584,0.00029559248861589954
2021-01-03 03:30:00,719,231,269.0,274.5,0.00033455273695779417,0.00035491939795836844
2021-01-03 03:45:00,687,201,274.0,325.5,0.0003262851932064288,0.00031625254890114035
2021-01-03 04:00:00,672,205,288.5,338.5,0.00031163266299849053,0.0003052753062060236
2021-01-03 04:15:00,656,215,283.0,294.5,0.00031286335788229664,0.000336306912123786
2021-01-03 04:30:00,739,182,271.0,377.0,0.00034280619574651266,0.0002745876658841421
2021-01-03 04:45:00,789,208,267.5,333.0,0.00035688051151968675,0.00031001559020708445
2021-01-03 05:00:00,745,182,277.0,402.5,0.0003310222500271039,0.00025855725054197575
2021-01-03 05:15:00,651,153,311.5,473.0,0.0002912386815074621,0.00022469401961446622
2021-01-03 05:30:00,750,194,276.0,381.0,0.00033563053790387537,0.00027949903399947267
2021-01-03 05:45:00,745,181,274.0,388.0,0.0003366896850934596,0.00026999773261572607
2021-01-03 06:00:00,715,186,282.0,412.0,0.0003133118995859463,0.0002537987948650773
2021-01-03 06:15:00,753,213,269.0,317.5,0.00033456585082361853,0.000309769519842701
2021-01-03 06:30:00,685,194,293.0,381.5,0.00029803484092553523,0.000267953210397137
2021-01-03 06:45:00,623,171,339.0,444.0,0.0002705820423862643,0.0002397392310118818
2021-01-03 07:00:00,701,190,316.5,448.0,0.000284233514253439,0.00023597471841385248
2021-01-03 07:15:00,687,204,317.0,385.0,0.00027764138190238913,0.00026541108143306364
2021-01-03 07:30:00,768,191,303.0,451.0,0.00029598592216957683,0.0002305627178878041
2021-01-03 07:45:00,699,198,342.5,436.5,0.00025879035685672273,0.00023783840922140357
2021-01-03 08:00:00,813,225,316.0,414.0,0.0002811693324147777,0.0002457294944197562
2021-01-03 08:15:00,825,247,327.0,373.0,0.0002776814774674103,0.00027737163981664275
2021-01-03 08:30:00,948,221,304.0,442.5,0.0003080950011586062,0.00023344618326053544
2021-01-03 08:45:00,861,244,315.0,398.0,0.0002789995032447869,0.0002556012285619707
2021-01-03 09:00:00,940,266,326.0,444.5,0.00028173176318826846,0.00024342901802015333
2021-01-03 09:15:00,1023,281,347.0,379.5,0.00028823884095865483,0.0002684658656638845
2021-01-03 09:30:00,931,280,383.0,382.5,0.00025896870372951096,0.0002653555574930723
2021-01-03 09:45:00,920,273,387.0,397.0,0.00025383021517628784,0.0002526589345011791
2021-01-03 10:00:00,888,279,453.0,440.5,0.00022157247590773603,0.00023119605425400743
2021-01-03 10:15:00,898,293,430.0,400.0,0.0002257634285872313,0.0002447743189133691
2021-01-03 10:30:00,868,314,445.0,404.5,0.0002187111964006386,0.0002527567795566453
2021-01-03 10:45:00,811,264,456.0,458.0,0.0002104444815800099,0.00022113793897765585
2021-01-03 11:00:00,864,292,419.5,443.0,0.00022494165575803776,0.000231537464268298
2021-01-03 11:15:00,817,330,441.0,373.5,0.000215731614028945,0.00027123257947114576
2021-01-03 11:30:00,837,317,425.0,388.0,0.0002244381203723045,0.0002585747717486262
2021-01-03 11:45:00,878,324,414.0,400.0,0.00023012112548625538,0.0002526558102648441
2021-01-03 12:00:00,915,356,395.0,386.5,0.00023803614715472667,0.0002580422565940307
2021-01-03 12:15:00,1075,370,334.0,361.5,0.000280533823245424,0.00028052936649645364
2021-01-03 12:30:00,994,344,353.5,381.0,0.0002623228397159946,0.0002660819052702008
2021-01-03 12:45:00,931,340,380.0,366.5,0.00025322756345308835,0.0002682466922815959
2021-01-03 13:00:00,895,359,387.0,366.0,0.0002431164761529901,0.00027349567853973114
2021-01-03 13:15:00,931,365,375.0,357.5,0.0002511210084976544,0.00028167796722657556
2021-01-03 13:30:00,876,334,414.0,395.0,0.00023481735579037886,0.0002577972077629377
2021-01-03 13:45:00,860,367,427.5,358.0,0.0002288314906189732,0.00028638314475224353
2021-01-03 14:00:00,893,390,402.5,339.5,0.00023654332067089303,0.0002977403795502746
2021-01-03 14:15:00,861,348,425.0,377.5,0.00023072507700214965,0.0002722883251685957
2021-01-03 14:30:00,853,360,434.0,366.0,0.00022736777684159238,0.0002798531392914585
2021-01-03 14:45:00,755,364,475.0,351.0,0.0002062091627334431,0.00029218126154878537
2021-01-03 15:00:00,755,343,457.5,386.5,0.00020687725766795352,0.0002688532351352771
2021-01-03 15:15:00,772,416,451.0,304.0,0.0002133496643473642,0.0003309843522373667
2021-01-03 15:30:00,771,389,445.5,337.0,0.00021345958180194773,0.00030515954980729447
2021-01-03 15:45:00,780,353,446.0,356.5,0.0002174821643713469,0.00028240835928743487
2021-01-03 16:00:00,954,432,377.0,303.0,0.0002639106355432852,0.0003310837013318455
2021-01-03 16:15:00,914,410,394.5,325.0,0.00025301633394834197,0.0003176920370878333
2021-01-03 16:30:00,892,385,385.0,324.0,0.0002559532076216667,0.00031702402548049733
2021-01-03 16:45:00,747,361,457.0,341.0,0.00021590624986451667,0.00029901408182383683
2021-01-03 17:00:00,760,341,443.0,367.0,0.00022043713263499238,0.00028022345560718096
2021-01-03 17:15:00,733,344,456.0,363.0,0.00021408141694444192,0.00028818298949640024
