time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,313,142,977.0,772.5,0.00010107275979332072,0.00012510572314632082
2021-01-02 16:15:00,282,109,1054.0,976.5,9.337692689248871e-05,9.889249478546225e-05
2021-01-02 16:30:00,302,112,970.0,944.0,0.00010104748093983525,0.00010278124205624888
2021-01-02 16:45:00,267,101,1120.5,1061.0,8.802790781400991e-05,9.13836112088785e-05
2021-01-02 17:00:00,274,106,1085.5,1009.0,9.086727507945084e-05,9.52962319330481e-05
2021-01-02 17:15:00,246,103,1163.5,995.5,8.372418802002166e-05,9.677149619067932e-05
2021-01-02 17:30:00,256,110,1152.5,917.5,8.655810161853506e-05,0.00010447822151472526
2021-01-02 17:45:00,254,95,1181.0,1065.5,8.499395003694225e-05,9.0979610990337e-05
2021-01-02 18:00:00,262,110,1123.0,950.0,8.776707823396559e-05,0.00010248650904862706
2021-01-02 18:15:00,287,115,1024.0,887.0,9.658561439724688e-05,0.00011009557253048452
2021-01-02 18:30:00,272,130,1051.5,782.5,9.372558870523956e-05,0.00012577508898587545
2021-01-02 18:45:00,293,132,1006.0,752.0,0.00010103866366884149,0.00012887994540176855
2021-01-02 19:00:00,287,152,1061.0,721.0,9.612119174201742e-05,0.00013998701436248348
2021-01-02 19:15:00,268,138,1110.5,740.5,9.071246517893713e-05,0.00013392857142857144
2021-01-02 19:30:00,274,122,1079.5,788.5,9.476014443659388e-05,0.00012192696574751723
2021-01-02 19:45:00,274,105,1037.0,894.0,9.617112563739695e-05,0.00010642330528487998
2021-01-02 20:00:00,324,120,908.5,816.5,0.00011289521164019321,0.00012011543092912288
2021-01-02 20:15:00,336,85,839.5,1088.5,0.00011860855224141923,8.706688068047376e-05
2021-01-02 20:30:00,361,99,784.5,929.0,0.0001276887591800613,0.00010253680190822024
2021-01-02 20:45:00,355,96,802.0,966.0,0.00012508399125750992,0.00010041893524547724
2021-01-02 21:00:00,342,110,848.5,845.5,0.000119045091287048,0.00011263901958997349
2021-01-02 21:15:00,311,93,908.0,998.0,0.0001085976895579655,9.662528403158088e-05
2021-01-02 21:30:00,316,89,907.5,1010.5,0.00010915676742596252,9.313091485950836e-05
2021-01-02 21:45:00,309,95,931.0,941.5,0.00010726812727207086,0.00010079468652852488
2021-01-02 22:00:00,321,94,919.5,973.5,0.00010863499285411876,9.762774954535588e-05
2021-01-02 22:15:00,300,92,970.0,968.5,0.00010311570991900949,9.751909307243443e-05
2021-01-02 22:30:00,274,91,1070.5,971.0,9.353738593730263e-05,9.809765999351049e-05
2021-01-02 22:45:00,304,70,934.0,1220.5,0.0001056780026023208,7.707697677670691e-05
2021-01-02 23:00:00,332,99,844.5,899.5,0.00011677932471300249,0.00010937256604611544
2021-01-02 23:15:00,333,106,823.5,827.5,0.00011834681231261753,0.00011938604039302786
2021-01-02 23:30:00,293,95,936.5,909.0,0.00010451139673596284,0.00010692117658313684
2021-01-02 23:45:00,287,76,933.0,1079.5,0.000105272965095593,8.803459296163429e-05
2021-01-03 00:00:00,278,105,986.5,802.0,0.00010157028389625072,0.00012194286338102269
2021-01-03 00:15:00,299,108,891.5,759.0,0.00011135737187663987,0.00012964579089334353
2021-01-03 00:30:00,241,74,1086.0,1056.5,9.17850827532021e-05,9.075233687267448e-05
