time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1130,450,260.0,254.0,0.000364895266985471,0.00039646179870312943
2021-01-02 16:15:00,1166,458,245.0,243.0,0.00038609041403064485,0.0004155299322178139
2021-01-02 16:30:00,1004,409,286.0,261.5,0.00033593268497879005,0.0003753350714375517
2021-01-02 16:45:00,1090,428,268.0,266.5,0.00035936486710588306,0.00038724936235049503
2021-01-02 17:00:00,1117,428,255.0,267.0,0.00037043338052462254,0.000384781011956081
2021-01-02 17:15:00,1054,404,267.5,256.5,0.00035872070802074314,0.0003795697520488781
2021-01-02 17:30:00,1069,437,264.0,243.0,0.0003614476977742734,0.0004150634800175903
2021-01-02 17:45:00,1026,357,290.0,303.5,0.00034332201865316036,0.00034189180130052966
2021-01-02 18:00:00,1178,484,247.5,228.5,0.00039461686320462386,0.00045094063981395896
2021-01-02 18:15:00,1048,384,292.0,280.0,0.0003526889334087621,0.00036762347697135697
2021-01-02 18:30:00,1080,419,259.0,246.5,0.00037214571985903945,0.0004053827868083217
2021-01-02 18:45:00,1025,390,278.0,263.0,0.0003534629019131826,0.00038078165686886167
2021-01-02 19:00:00,1019,428,292.0,269.0,0.00034128046824082145,0.0003941739614943614
2021-01-02 19:15:00,1071,422,269.0,261.0,0.0003625113813680658,0.0004095496894409938
2021-01-02 19:30:00,1081,453,261.0,229.0,0.0003738529785983868,0.00045272881543955166
2021-01-02 19:45:00,1097,412,251.0,247.5,0.0003850354920592134,0.00041758477883210046
2021-01-02 20:00:00,1095,436,252.0,246.5,0.00038154400230250486,0.00043641939904247984
2021-01-02 20:15:00,1152,447,238.5,229.0,0.0004066578933991517,0.0004578693607549621
2021-01-02 20:30:00,1243,511,223.0,198.0,0.0004396596334094632,0.0005292556138899045
2021-01-02 20:45:00,1230,461,225.0,217.5,0.0004333896035119357,0.00048222009529338543
2021-01-02 21:00:00,1260,454,221.0,222.0,0.0004385871784259663,0.000464891953580436
2021-01-02 21:15:00,1254,452,221.0,221.0,0.0004378826453559123,0.0004696196600244576
2021-01-02 21:30:00,1313,469,213.0,214.0,0.00045355327731104054,0.0004907685288663981
2021-01-02 21:45:00,1189,411,229.0,236.0,0.00041275664506955416,0.00043606964382340765
2021-01-02 22:00:00,1306,499,219.0,201.0,0.0004419853603348259,0.000518257947054602
2021-01-02 22:15:00,1203,425,240.0,235.0,0.00041349399677522797,0.0004504958103889634
2021-01-02 22:30:00,1235,463,234.0,215.5,0.00042160099135974,0.0004991122700768719
2021-01-02 22:45:00,1180,403,236.0,241.0,0.0004101975101011137,0.000443743166300184
