time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,761,361,385.0,314.5,0.0002457392019256137,0.0003180504651818438
2021-01-02 16:15:00,763,381,376.0,294.5,0.00025264750077648543,0.00034567009645193684
2021-01-02 16:30:00,761,352,375.0,311.5,0.0002546262681960749,0.0003230267607482108
2021-01-02 16:45:00,763,397,387.5,286.5,0.00025155540697411813,0.00035920092722697787
2021-01-02 17:00:00,786,361,369.5,314.0,0.0002606630591695196,0.00032454660120594684
2021-01-02 17:15:00,782,346,366.0,319.0,0.00026614762207990625,0.00032507706487354415
2021-01-02 17:30:00,1021,380,274.0,289.0,0.00034521805372079805,0.00036092476523268726
2021-01-02 17:45:00,894,342,328.0,322.5,0.0002991519343819936,0.00032752659956521325
2021-01-02 18:00:00,807,350,365.0,320.0,0.00027033600051454287,0.0003260934378819952
2021-01-02 18:15:00,793,352,384.0,306.0,0.00026687244674918737,0.0003369881872237439
2021-01-02 18:30:00,783,350,372.0,303.0,0.0002698056468978037,0.000338625239577357
2021-01-02 18:45:00,775,357,378.0,298.0,0.00026725243803191857,0.00034856167051841965
2021-01-02 19:00:00,795,356,376.5,318.0,0.00026625905029583225,0.00032786432311213235
2021-01-02 19:15:00,800,325,366.0,330.5,0.0002707834781460809,0.0003154114906832298
2021-01-02 19:30:00,839,342,333.0,309.5,0.00029015971234416885,0.00034179526463648275
2021-01-02 19:45:00,813,336,343.0,305.5,0.00028535447132556097,0.000340554576911616
2021-01-02 20:00:00,772,337,356.5,311.0,0.00026899723267354676,0.0003373241685259534
2021-01-02 20:15:00,754,302,361.0,348.5,0.000266163239256042,0.00030934350547650685
2021-01-02 20:30:00,768,343,355.0,292.5,0.0002716481081725404,0.0003552537682274701
2021-01-02 20:45:00,796,323,330.0,301.0,0.00028047001983374045,0.000337867875878012
2021-01-02 21:00:00,781,316,344.5,321.5,0.00027185443361165047,0.0003235811835493784
2021-01-02 21:15:00,834,322,318.0,308.5,0.0002912233861457982,0.0003345520586899897
2021-01-02 21:30:00,835,329,321.0,300.0,0.00028843639493885667,0.00034427046054807015
2021-01-02 21:45:00,811,341,334.0,286.5,0.000281535440833817,0.0003617998748023894
2021-01-02 22:00:00,754,291,364.5,346.5,0.0002551737838380236,0.0003022305863584953
2021-01-02 22:15:00,816,325,336.0,304.0,0.0002804747309797058,0.0003444967961797955
2021-01-02 22:30:00,785,311,353.0,308.0,0.0002679811969371627,0.00033525683799979947
2021-01-02 22:45:00,765,308,356.5,310.0,0.00026593313154860343,0.0003391386978175103
2021-01-02 23:00:00,733,295,363.5,322.0,0.0002578290512488881,0.000325908151349536
2021-01-02 23:15:00,713,296,371.0,315.0,0.0002533972287654544,0.0003333798863805306
2021-01-02 23:30:00,713,317,375.5,280.5,0.00025432295519706995,0.0003567790839668882
2021-01-02 23:45:00,747,290,347.5,306.0,0.00027400315305368636,0.00033592147314307825
2021-01-03 00:00:00,722,277,363.0,317.0,0.00026379044954350005,0.00032169688720517413
2021-01-03 00:15:00,719,269,347.0,320.0,0.00026777909825854204,0.00032291405324360564
2021-01-03 00:30:00,699,269,352.5,312.0,0.00026621482508086417,0.0003298970083614789
2021-01-03 00:45:00,696,254,365.0,349.0,0.0002621207299459753,0.0003014024707882861
2021-01-03 01:00:00,663,248,369.0,359.0,0.0002587461466142306,0.00029257979878060287
2021-01-03 01:15:00,676,251,348.0,335.0,0.00027413414567877806,0.0003197684417849449
2021-01-03 01:30:00,655,267,348.5,299.0,0.0002743291187166591,0.00034697991025306143
2021-01-03 01:45:00,624,265,337.0,300.5,0.00027126920077311724,0.0003610137811902284
2021-01-03 02:00:00,723,240,289.0,311.5,0.00031287188696799877,0.0003318047273878534
2021-01-03 02:15:00,646,219,321.0,330.5,0.00029072697946369417,0.000317209253819547
2021-01-03 02:30:00,620,231,311.0,295.5,0.00028795181730107404,0.00034607311880795037
2021-01-03 02:45:00,667,223,291.0,302.5,0.00031328438519231066,0.00034137373075562996
2021-01-03 03:00:00,699,223,291.0,334.0,0.0003140140565090532,0.00030628418227617217
2021-01-03 03:15:00,679,208,288.0,322.0,0.0003133640297783515,0.0003152986545236261
2021-01-03 03:30:00,708,205,277.0,325.0,0.00032943440579432314,0.0003149717600929244
2021-01-03 03:45:00,674,260,280.0,253.5,0.0003201109464645313,0.000409082899076102
2021-01-03 04:00:00,731,261,266.0,257.0,0.000338993268827227,0.0003886675849744984
2021-01-03 04:15:00,689,195,269.0,336.5,0.0003286019109464975,0.00030502254820529426
2021-01-03 04:30:00,683,199,282.0,331.0,0.0003168290009402817,0.0003002359643458477
2021-01-03 04:45:00,651,212,308.5,321.0,0.00029446034600673777,0.00031597742848029763
2021-01-03 05:00:00,697,209,292.0,344.5,0.00030969464197166626,0.000296914644853148
2021-01-03 05:15:00,611,205,330.5,336.0,0.0002733438316452525,0.00030106061451611483
2021-01-03 05:30:00,639,201,315.5,364.5,0.00028595721829410186,0.00028958405069017527
2021-01-03 05:45:00,617,205,323.0,325.5,0.0002788423298022344,0.00030579853694046326
2021-01-03 06:00:00,559,175,369.0,460.5,0.0002449529396762853,0.00023878918871714257
2021-01-03 06:15:00,696,213,285.5,317.5,0.0003092401489684442,0.000309769519842701
2021-01-03 06:30:00,740,215,278.0,337.5,0.0003219646456713811,0.0002969584548215694
2021-01-03 06:45:00,738,212,283.0,345.0,0.0003205289683484159,0.00029722056710245
2021-01-03 07:00:00,701,238,316.5,344.5,0.000284233514253439,0.00029558938411840464
2021-01-03 07:15:00,687,212,317.0,371.0,0.00027764138190238913,0.0002758193591363211
2021-01-03 07:30:00,664,210,356.5,407.5,0.00025590449520911335,0.00025349827621172174
2021-01-03 07:45:00,708,219,340.0,386.0,0.00026212242153728137,0.000263063695047916
2021-01-03 08:00:00,701,239,370.5,380.5,0.0002424350578385721,0.0002610193296280966
2021-01-03 08:15:00,728,257,388.5,355.5,0.0002450328673894238,0.00028860126086185093
2021-01-03 08:30:00,785,287,357.0,327.5,0.0002551208606640357,0.0003031631429673017
2021-01-03 08:45:00,784,281,353.0,348.5,0.00025404832815785467,0.00029436043125374503
2021-01-03 09:00:00,771,278,410.0,424.0,0.00023107998874271802,0.00025441077823158887
2021-01-03 09:15:00,905,308,383.0,347.0,0.00025499135001718726,0.000294261518236571
2021-01-03 09:30:00,875,304,407.5,358.0,0.00024339163884352534,0.00028810031956390714
2021-01-03 09:45:00,937,335,382.0,324.0,0.0002585205561088932,0.0003100393518604212
