time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,596,273,505.0,420.5,0.00019245803462242543,0.00024052015787989848
2021-01-02 16:15:00,586,269,512.0,416.0,0.00019403857857800848,0.00024405578988338848
2021-01-02 16:30:00,612,242,487.0,453.5,0.0002047717163416529,0.00022208089801439488
2021-01-02 16:45:00,696,276,430.5,413.0,0.00022946600688595838,0.00024972155142228186
2021-01-02 17:00:00,654,278,459.0,416.5,0.0002168875835837987,0.0002499278535602582
2021-01-02 17:15:00,628,277,467.5,399.5,0.00021373491901046182,0.0002602495577166813
2021-01-02 17:30:00,595,263,480.5,417.0,0.00020117996274620451,0.00024979792962157043
2021-01-02 17:45:00,572,246,530.0,441.5,0.00019140369850838965,0.00023558930845918847
2021-01-02 18:00:00,575,256,509.0,442.0,0.00019261858772721456,0.00023851405742225933
2021-01-02 18:15:00,536,240,563.0,457.0,0.00018038288960600812,0.00022976467310709809
2021-01-02 18:30:00,551,232,533.0,466.5,0.00018986323300215812,0.00022446015880556234
2021-01-02 18:45:00,575,288,506.5,366.0,0.00019828406692690734,0.00028119260814931334
2021-01-02 19:00:00,562,296,556.0,384.0,0.0001882233789512676,0.0002726062911269415
2021-01-02 19:15:00,552,298,549.0,365.5,0.00018684059992079584,0.0002892080745341615
2021-01-02 19:30:00,507,269,592.5,393.5,0.0001753408512020186,0.0002688389654596897
2021-01-02 19:45:00,536,266,537.0,391.5,0.00018813037715928747,0.00026960570672169594
2021-01-02 20:00:00,523,258,557.0,412.0,0.00018223517187599092,0.0002582481764976142
2021-01-02 20:15:00,415,207,685.0,487.5,0.00014649568208389578,0.00021203346236303608
2021-01-02 20:30:00,472,231,611.0,439.5,0.0001669503998143738,0.0002392525377858472
2021-01-02 20:45:00,472,215,581.5,454.5,0.00016630885598181597,0.00022489657372685005
2021-01-02 21:00:00,483,246,585.0,412.5,0.0001681250850632871,0.000251901807446668
2021-01-02 21:15:00,459,230,615.5,434.5,0.0001602776189939105,0.00023896575620713548
2021-01-02 21:30:00,468,245,604.0,410.0,0.0001616625542890837,0.0002563716195570736
2021-01-02 21:45:00,503,261,562.0,376.0,0.00017461445960469785,0.0002769201387783684
2021-01-02 22:00:00,439,208,661.0,484.0,0.00014856935159800045,0.00021602736069610665
2021-01-02 22:15:00,476,250,604.5,403.5,0.00016361025973816168,0.00026499753552291957
