time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,499,238,619.0,480.5,0.00016113516657146018,0.00020968424020298846
2021-01-02 16:15:00,526,277,574.5,402.0,0.00017417114732428746,0.00025131395463828484
2021-01-02 16:30:00,526,231,557.0,471.0,0.00017599660587534218,0.0002119863117410133
2021-01-02 16:45:00,571,300,538.5,379.5,0.00018825443955730205,0.0002714364689372629
2021-01-02 17:00:00,507,270,601.5,426.5,0.0001681376221360641,0.00024273568511248104
2021-01-02 17:15:00,488,267,594.0,415.5,0.00016608700712914863,0.0002508542668243822
2021-01-02 17:30:00,505,288,577.0,378.5,0.00017074938014593834,0.00027354297996582614
2021-01-02 17:45:00,471,264,657.5,413.5,0.00015760689160393618,0.00025282755054156813
2021-01-02 18:00:00,516,268,573.5,414.0,0.00017285424568216123,0.00024969440386392766
2021-01-02 18:15:00,462,259,641.5,427.5,0.0001554792817126413,0.00024795437639474344
2021-01-02 18:30:00,499,273,586.0,388.0,0.00017194510574968582,0.00026412768687033845
2021-01-02 18:45:00,491,251,587.5,425.0,0.0001693173510628026,0.0002450671689079085
2021-01-02 19:00:00,563,324,554.5,354.0,0.0001885582959956648,0.0002983933727200305
2021-01-02 19:15:00,607,302,508.0,359.5,0.00020545696404333888,0.00029309006211180124
2021-01-02 19:30:00,533,276,560.0,383.5,0.00018433268972519904,0.0002758347749697931
2021-01-02 19:45:00,546,274,524.0,372.0,0.0001916402722555428,0.0002777141490291154
2021-01-02 20:00:00,504,246,578.5,433.0,0.00017561477366252276,0.00024623663340470194
2021-01-02 20:15:00,494,240,580.0,430.0,0.00017438281192637232,0.0002458358983919259
2021-01-02 20:30:00,532,229,533.0,442.5,0.00018817290826535348,0.00023718108724224684
2021-01-02 20:45:00,480,247,573.5,402.5,0.00016912765015099932,0.0002583695521420092
2021-01-02 21:00:00,553,213,512.0,469.5,0.00019249103942028522,0.00021811010156967594
2021-01-02 21:15:00,585,234,476.0,424.0,0.00020427539675694475,0.0002431216824020422
2021-01-02 21:30:00,530,237,539.0,421.0,0.00018307938840430424,0.0002480003013674548
2021-01-02 21:45:00,471,199,600.0,484.0,0.00016350578623024393,0.00021113834335975213
2021-01-02 22:00:00,464,200,627.0,500.5,0.0001570300208233991,0.00020771861605394868
2021-01-02 22:15:00,466,229,623.5,432.5,0.00016017306940752806,0.00024273774253899438
2021-01-02 22:30:00,394,185,725.0,520.0,0.00013450266444998992,0.00019942930877801582
2021-01-02 22:45:00,432,208,652.0,460.0,0.00015017400369803484,0.00022902873099364332
2021-01-02 23:00:00,439,208,629.5,465.5,0.00015441603478616897,0.0002297928660362829
2021-01-02 23:15:00,429,218,640.0,418.5,0.00015246481225859737,0.00024552978118566105
2021-01-02 23:30:00,398,165,689.5,562.0,0.0001419642863512396,0.00018570520143386924
2021-01-02 23:45:00,420,178,642.5,498.0,0.00015405799770086778,0.00020618628351540665
2021-01-03 00:00:00,425,190,644.0,473.5,0.0001552783117118941,0.00022065851468946958
2021-01-03 00:15:00,376,159,695.5,541.5,0.0001400346883799886,0.00019086741437075573
2021-01-03 00:30:00,373,153,700.0,547.0,0.00014205741023628376,0.000187636588398908
2021-01-03 00:45:00,388,169,703.0,508.5,0.00014612477473999769,0.00020053943922527696
2021-01-03 01:00:00,331,151,752.0,558.0,0.0001291779404665314,0.00017814334522528645
2021-01-03 01:15:00,343,142,708.0,575.0,0.00013909469226009005,0.0001809048555118015
2021-01-03 01:30:00,332,150,705.0,542.0,0.00013904926322737526,0.0001949325338500345
2021-01-03 01:45:00,327,144,683.5,540.0,0.0001421554946359124,0.00019617352638261467
2021-01-03 02:00:00,313,143,733.5,529.0,0.00013544799532639505,0.00019770031673526267
2021-01-03 02:15:00,310,155,698.0,475.5,0.00013951294680146321,0.00022450883261200815
2021-01-03 02:30:00,262,94,795.5,709.0,0.00012168286473045389,0.00014082629077033482
2021-01-03 02:45:00,317,124,646.0,542.5,0.00014889227901943396,0.00018982216418698709
2021-01-03 03:00:00,247,88,876.0,820.0,0.00011096061796528774,0.00012086550690718901
2021-01-03 03:15:00,298,87,718.0,753.5,0.00013752942691303203,0.00013187972569017056
2021-01-03 03:30:00,233,84,893.0,766.0,0.00010841556009897924,0.00012906159925758851
2021-01-03 03:45:00,250,102,796.0,626.5,0.0001187355142672594,0.00016048636809908615
2021-01-03 04:00:00,270,110,765.5,618.0,0.0001252095520976078,0.0001638062618666468
2021-01-03 04:15:00,262,99,760.0,648.5,0.00012495457281274652,0.000154857601396534
2021-01-03 04:30:00,263,110,777.5,620.0,0.00012200003989354917,0.00016595957828162436
2021-01-03 04:45:00,331,147,633.0,480.5,0.0001497179332230879,0.00021909755654058368
2021-01-03 05:00:00,314,133,674.0,536.5,0.0001395181026959874,0.00018894568308836686
2021-01-03 05:15:00,311,108,670.0,646.5,0.00013913245767868007,0.00015860754325727026
2021-01-03 05:30:00,284,97,729.0,728.0,0.00012709209701960083,0.00013974951699973634
2021-01-03 05:45:00,304,107,658.5,624.5,0.00013738746881666004,0.00015961191928111985
2021-01-03 06:00:00,260,85,820.0,833.0,0.000113931599849435,0.00011598332023404068
