time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,431,183,714.0,612.5,0.00013917686731923718,0.00016122779813927264
2021-01-02 16:15:00,420,171,725.0,644.0,0.00013907201877604705,0.0001551432716359087
2021-01-02 16:30:00,421,188,698.5,573.5,0.0001408642035618233,0.00017252565630870346
2021-01-02 16:45:00,379,178,798.5,618.0,0.00012495347214048594,0.00016105230490277598
2021-01-02 17:00:00,412,172,731.5,643.0,0.00013663254500997715,0.00015463162162721012
2021-01-02 17:15:00,425,210,689.5,517.5,0.00014464544678255772,0.0001973011087382782
2021-01-02 17:30:00,450,186,653.5,568.0,0.00015215291300133116,0.00017666317456126271
2021-01-02 17:45:00,433,167,718.5,621.5,0.0001448912612834488,0.00015993257931985557
2021-01-02 18:00:00,410,202,727.5,539.0,0.00013734542777070951,0.00018820249843475148
2021-01-02 18:15:00,421,188,708.5,561.0,0.00014168133679874888,0.00017998232726722683
2021-01-02 18:30:00,419,197,695.0,545.5,0.00014437875613049772,0.00019059763484782663
2021-01-02 18:45:00,392,160,744.0,647.5,0.00013517800736582202,0.00015621811563850738
2021-01-02 19:00:00,419,189,722.5,600.0,0.00014033024160245748,0.00017406280075335116
2021-01-02 19:15:00,456,206,660.5,526.5,0.00015434658254326612,0.0001999223602484472
2021-01-02 19:30:00,472,195,625.5,532.5,0.00016323645319004493,0.00019488326492431035
2021-01-02 19:45:00,431,178,664.0,562.5,0.00015127647864860615,0.00018041284134008226
2021-01-02 20:00:00,414,168,698.5,602.5,0.000144254992651358,0.00016816160330077206
2021-01-02 20:15:00,449,184,638.0,541.5,0.00015849773796546796,0.0001884741887671432
2021-01-02 20:30:00,440,166,640.5,602.5,0.00015563172864051797,0.0001719303951188339
2021-01-02 20:45:00,467,156,592.0,616.0,0.00016454710962607641,0.00016318076977390048
2021-01-02 21:00:00,494,204,571.0,486.5,0.00017195402074795822,0.00020889418178504171
2021-01-02 21:15:00,480,165,594.0,583.5,0.00016761058195441622,0.00017143195553990156
2021-01-02 21:30:00,512,181,561.5,540.0,0.0001768615978547241,0.00018940107404012373
2021-01-02 21:45:00,502,168,565.0,563.5,0.00017426731356174618,0.00017824744565044404
2021-01-02 22:00:00,491,176,594.0,564.5,0.00016616754358682963,0.00018279238212747483
2021-01-02 22:15:00,491,185,582.0,525.5,0.00016876604523411218,0.00019609817628696053
2021-01-02 22:30:00,530,160,546.0,586.5,0.0001809299800977022,0.00017247940218639203
2021-01-02 22:45:00,517,172,557.0,549.0,0.00017972212942565745,0.00018938914293705123
2021-01-02 23:00:00,527,167,527.0,559.0,0.00018536959073419366,0.0001844971568656695
2021-01-02 23:15:00,502,146,553.5,624.5,0.00017840870805085288,0.00016443737639039685
2021-01-02 23:30:00,531,171,507.5,540.0,0.00018940461319725692,0.0001924581178496463
2021-01-02 23:45:00,511,165,522.0,538.0,0.0001874372305360558,0.0001911277347193376
2021-01-03 00:00:00,467,152,580.5,592.0,0.0001706234625163636,0.00017652681175157566
2021-01-03 00:15:00,449,113,585.0,726.5,0.00016722227415589064,0.00013564791084210944
2021-01-03 00:30:00,468,155,553.5,537.0,0.0001782382519854713,0.00019008935426033168
2021-01-03 00:45:00,438,145,603.0,576.0,0.0001649552869487603,0.00017206046560748616
2021-01-03 01:00:00,419,139,591.0,596.5,0.00016352132040929504,0.00016398625818751534
2021-01-03 01:15:00,395,125,615.5,639.0,0.0001601819342353807,0.000159247231964614
2021-01-03 01:30:00,403,135,589.5,585.0,0.00016878570205009708,0.00017543928046503103
2021-01-03 01:45:00,381,125,594.5,610.0,0.00016563071393358602,0.000170289519429353
2021-01-03 02:00:00,385,137,587.0,549.0,0.00016660536166345717,0.00018940519855056642
2021-01-03 02:15:00,403,121,527.0,574.5,0.0001813668308419021,0.00017526173384550315
2021-01-03 02:30:00,398,119,513.0,571.0,0.00018484648917068948,0.00017828009150712594
2021-01-03 02:45:00,319,110,639.5,613.0,0.00014983166248327896,0.00016839062952071434
2021-01-03 03:00:00,355,115,603.5,654.5,0.00015947781124565647,0.00015794924198098565
2021-01-03 03:15:00,365,104,587.5,646.0,0.00016845047256126405,0.00015764932726181308
2021-01-03 03:30:00,378,106,534.5,615.5,0.00017588447089018946,0.00016286344668219502
2021-01-03 03:45:00,371,123,548.0,535.0,0.00017620350317261294,0.00019352767917830982
2021-01-03 04:00:00,371,140,545.0,502.0,0.00017204719936374994,0.00020848069692118684
2021-01-03 04:15:00,330,101,592.0,634.0,0.00015738553064200897,0.00015798603778838314
2021-01-03 04:30:00,389,119,528.0,578.5,0.00018044872820756886,0.00017953808923193906
2021-01-03 04:45:00,428,127,482.5,534.5,0.0001935929770981317,0.0001892883651745179
2021-01-03 05:00:00,399,128,531.0,552.0,0.00017728574196082474,0.00018184246191963133
2021-01-03 05:15:00,368,99,562.0,698.5,0.00016463261873232883,0.00014539024798583102
