time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,5407,2366,60.0,57.0,0.001746007706717205,0.0020845080349591203
2021-01-02 16:15:00,5446,2311,58.0,54.0,0.0018033005101294093,0.0020967023435706717
2021-01-02 16:30:00,5549,2290,58.0,55.0,0.001856663813692536,0.0021015093241858033
2021-01-02 16:45:00,5367,2254,61.0,58.0,0.0017694598548231874,0.0020393926699486357
2021-01-02 17:00:00,5448,2317,58.0,56.0,0.0018067332650833876,0.002083031786687476
2021-01-02 17:15:00,5388,2202,58.0,56.0,0.0018337639229751086,0.0020688430544842317
2021-01-02 17:30:00,5582,2153,55.0,58.0,0.0018873723563854008,0.0020449237356473045
2021-01-02 17:45:00,5684,2248,54.0,52.5,0.0019019905984644875,0.0021528649000660803
2021-01-02 18:00:00,5726,2350,54.5,48.0,0.001918146144914836,0.002189484511493396
2021-01-02 18:15:00,5628,2240,54.0,50.0,0.001894020340863085,0.002144470282332916
2021-01-02 18:30:00,5305,2214,57.0,52.0,0.0018279935591224113,0.0021420465154979103
2021-01-02 18:45:00,5353,2134,58.0,56.5,0.0018459384526256254,0.002083559117328592
2021-01-02 19:00:00,5314,2252,60.0,56.0,0.00177974917392711,0.0020740181338441627
2021-01-02 19:15:00,5321,2215,60.0,54.0,0.0018010486090191207,0.0021496506211180124
2021-01-02 19:30:00,5102,2107,61.0,55.0,0.0017644753902025618,0.002105738662541138
2021-01-02 19:45:00,5119,2062,58.0,57.0,0.0017967152997731203,0.0020899510047373573
2021-01-02 20:00:00,5130,2066,58.0,56.0,0.0017875075176363925,0.0020679873358297324
2021-01-02 20:15:00,4964,1940,57.0,58.0,0.001752300158709539,0.001987173512001401
2021-01-02 20:30:00,4861,1991,62.0,53.5,0.0017193768930035404,0.002062129016154207
2021-01-02 20:45:00,4932,1933,60.0,56.0,0.0017377866053015175,0.002021977102390703
2021-01-02 21:00:00,5002,1968,59.0,54.0,0.0017411214813386378,0.002015214459573344
2021-01-02 21:15:00,4897,1941,59.0,57.0,0.0017099771246474502,0.0020166631860784787
2021-01-02 21:30:00,4819,1935,61.0,56.0,0.0016646407032459285,0.00202481258711403
2021-01-02 21:45:00,4858,1950,62.0,54.0,0.0016864354766592887,0.002068943565585511
2021-01-02 22:00:00,4907,1860,62.0,58.0,0.0016606601555612483,0.0019317831293017226
2021-01-02 22:15:00,4820,1882,63.0,56.0,0.0016567257393654189,0.001994901447416539
2021-01-02 22:30:00,4842,1900,65.0,51.0,0.001652948987986932,0.002048192900963405
2021-01-02 22:45:00,4898,1782,60.0,55.0,0.001702667291928182,0.0019621596088013104
2021-01-02 23:00:00,5062,1865,55.0,47.0,0.0017805329569193333,0.0020604023805657107
2021-01-02 23:15:00,4979,1859,56.0,49.0,0.0017695158513649331,0.002093760840477725
2021-01-02 23:30:00,4926,1874,58.0,48.0,0.0017570755642366991,0.002109160893861036
2021-01-02 23:45:00,4794,1708,57.0,54.0,0.0017584620023284765,0.001978461641821992
2021-01-03 00:00:00,4885,1727,57.0,54.0,0.0017847871828531824,0.002005669762466916
