time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,351,133,878.5,821.5,0.00011334357408132771,0.00011717648717225825
2021-01-02 16:15:00,336,109,894.0,976.5,0.00011125761502083762,9.889249478546225e-05
2021-01-02 16:30:00,333,118,881.0,885.5,0.00011141990448001702,0.00010828738002354792
2021-01-02 16:45:00,346,106,871.5,1003.5,0.00011407361836572068,9.590755235783288e-05
2021-01-02 17:00:00,333,104,906.5,1030.0,0.00011043358613670484,9.34981898211038e-05
2021-01-02 17:15:00,348,122,845.0,855.0,0.00011843909524783549,0.00011462254888604732
2021-01-02 17:30:00,338,116,888.0,880.0,0.00011428374354322207,0.00011017703359734662
2021-01-02 17:45:00,372,122,824.5,832.5,0.0001244793284005611,0.00011683697411390647
2021-01-02 18:00:00,398,123,753.0,856.0,0.0001333255615920546,0.00011459855102710118
2021-01-02 18:15:00,386,99,771.0,1017.0,0.00012990260333567002,9.477792765667796e-05
2021-01-02 18:30:00,373,122,788.0,827.0,0.00012852810509946455,0.00011803508350982158
2021-01-02 18:45:00,369,108,792.5,917.5,0.00012724664468874574,0.00010544722805599247
2021-01-02 19:00:00,384,108,804.5,979.5,0.00012860814504855292,9.946445757334352e-05
2021-01-02 19:15:00,356,98,853.0,1006.0,0.00012049864777500601,9.510869565217393e-05
2021-01-02 19:30:00,340,111,869.5,865.5,0.00011758558068774423,0.00011093355080306897
2021-01-02 19:45:00,330,79,883.5,1172.0,0.00011582653817642698,8.007086778576684e-05
2021-01-02 20:00:00,316,113,935.0,858.0,0.00011010767555031189,0.00011310869745825737
2021-01-02 20:15:00,316,88,901.5,1051.5,0.00011154851936990618,9.013982941037283e-05
2021-01-02 20:30:00,323,99,892.0,929.0,0.00011424783716110746,0.00010253680190822024
2021-01-02 20:45:00,297,86,953.0,1066.5,0.0001046477335309308,8.995862949074002e-05
2021-01-02 21:00:00,368,100,770.0,925.5,0.0001280953029053616,0.00010239910871815772
2021-01-02 21:15:00,318,97,889.5,959.0,0.00011104201054480074,0.00010078121022648758
