time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,63,7,4066.0,10321.0,2.0343718424853694e-05,6.167183535382012e-06
2021-01-02 16:15:00,56,8,4387.0,8941.0,1.8542935836806272e-05,7.258164754896312e-06
2021-01-02 16:30:00,53,11,4605.5,6892.5,1.773349831063334e-05,1.0094586273381586e-05
2021-01-02 16:45:00,53,9,4611.5,8178.0,1.7473704547350278e-05,8.143094068117888e-06
2021-01-02 17:00:00,35,5,6441.0,13286.0,1.160713367803204e-05,4.49510527986076e-06
2021-01-02 17:15:00,40,6,5672.5,10962.5,1.3613689108946609e-05,5.637174535379378e-06
2021-01-02 17:30:00,30,8,7105.5,8608.0,1.0143527533422078e-05,7.598416110161838e-06
2021-01-02 17:45:00,41,7,5483.0,9614.0,1.3719495872104852e-05,6.703760809814306e-06
2021-01-02 18:00:00,38,7,5899.5,9781.5,1.2729576232407225e-05,6.521868757639902e-06
2021-01-02 18:15:00,45,9,5117.5,7866.5,1.5144085881101426e-05,8.616175241516179e-06
2021-01-02 18:30:00,37,5,5896.5,12687.5,1.27494366988745e-05,4.837503422533671e-06
2021-01-02 18:45:00,41,9,5441.5,7727.0,1.4138516076527305e-05,8.78726900466604e-06
2021-01-02 19:00:00,37,8,5989.0,8819.0,1.2391930642699111e-05,7.367737598025446e-06
2021-01-02 19:15:00,49,5,4787.5,12438.0,1.6585488036447455e-05,4.8524844720496905e-06
2021-01-02 19:30:00,50,8,4642.0,8340.5,1.7291997159962387e-05,7.995210868689655e-06
2021-01-02 19:45:00,44,8,5109.5,8168.5,1.5443538423523595e-05,8.108442307419427e-06
2021-01-02 20:00:00,41,8,5440.0,8392.5,1.4286122460641733e-05,8.00769539527486e-06
2021-01-02 20:15:00,36,4,6004.0,14645.0,1.2708059168723489e-05,4.097264973198765e-06
2021-01-02 20:30:00,36,7,6023.0,9043.5,1.2733505070587829e-05,7.250076902601431e-06
2021-01-02 20:45:00,31,5,6861.0,12064.0,1.0922827405585373e-05,5.230152877368605e-06
2021-01-02 21:00:00,23,3,8826.5,19518.5,8.0059564315851e-06,3.071973261544732e-06
2021-01-02 21:15:00,32,10,6767.5,6824.0,1.117403879696108e-05,1.038981548726676e-05
2021-01-02 21:30:00,28,6,7588.5,10458.0,9.672118632680222e-06,6.278488642214046e-06
2021-01-02 21:45:00,34,6,6525.5,10379.0,1.180296546035731e-05,6.365980201801572e-06
2021-01-02 22:00:00,25,5,8491.0,12378.0,8.460669225398658e-06,5.192965401348717e-06
2021-01-02 22:15:00,31,5,7085.5,11925.0,1.0655290024964313e-05,5.2999507104583916e-06
2021-01-02 22:30:00,26,7,8146.0,8933.5,8.875810344415582e-06,7.545973845654651e-06
2021-01-02 22:45:00,17,1,11174.0,80720.0,5.9096251455245186e-06,1.10109966823867e-06
2021-01-02 23:00:00,19,4,10355.5,14308.0,6.68315412514171e-06,4.419093577620826e-06
2021-01-02 23:15:00,22,4,9140.0,14027.0,7.818708320953713e-06,4.505133599736901e-06
2021-01-02 23:30:00,21,3,9483.5,18366.0,7.490577923055356e-06,3.376458207888532e-06
2021-01-02 23:45:00,15,3,12019.0,18015.5,5.502071346459563e-06,3.4750497221697745e-06
2021-01-03 00:00:00,14,6,12741.5,9811.5,5.115050268156511e-06,6.968163621772723e-06
2021-01-03 00:15:00,21,7,9190.5,8362.5,7.821086319095108e-06,8.402967928272266e-06
2021-01-03 00:30:00,20,5,9426.0,11068.5,7.617019315618431e-06,6.131914653559087e-06
2021-01-03 00:45:00,39,5,5366.5,10721.0,1.4687799522834821e-05,5.9331195037064205e-06
2021-01-03 01:00:00,23,4,8169.5,13331.0,8.976110666858678e-06,4.719029012590368e-06
2021-01-03 01:15:00,19,2,9264.0,24921.5,7.70495379866388e-06,2.547955711433824e-06
2021-01-03 01:30:00,14,2,11605.5,25016.5,5.863523148142332e-06,2.599100451333793e-06
2021-01-03 01:45:00,13,1,12034.0,71373.5,5.651441682773277e-06,1.362316155434824e-06
2021-01-03 02:00:00,14,3,11429.0,16053.5,6.058376787762079e-06,4.147559092348168e-06
2021-01-03 02:15:00,10,4,14394.0,11958.0,4.500417638756876e-06,5.793776325471178e-06
2021-01-03 02:30:00,13,2,11490.0,23175.0,6.0376993950225195e-06,2.996304058943293e-06
2021-01-03 02:45:00,16,2,9709.5,22661.5,7.515067710760074e-06,3.061647809467533e-06
2021-01-03 03:00:00,11,2,13371.0,24298.5,4.941565982259778e-06,2.74694333879975e-06
2021-01-03 03:15:00,22,4,7408.0,11492.5,1.0153179168076191e-05,6.063435663915887e-06
2021-01-03 03:30:00,9,0,15388.0,160415.5,4.187725497385464e-06,0.0
2021-01-03 03:45:00,7,1,18624.5,66722.0,3.324594399483263e-06,1.5733957656773153e-06
2021-01-03 04:00:00,10,2,14292.0,23145.0,4.637390818429919e-06,2.9782956703026687e-06
2021-01-03 04:15:00,9,0,15276.5,160451.5,4.292332653872972e-06,0.0
2021-01-03 04:30:00,6,1,21417.5,68447.5,2.7832708720961792e-06,1.5087234389238575e-06
2021-01-03 04:45:00,4,1,30371.5,68465.5,1.809280159795624e-06,1.4904595683032906e-06
2021-01-03 05:00:00,6,0,22279.0,166812.0,2.6659510069296952e-06,0.0
2021-01-03 05:15:00,10,2,14798.0,23538.5,4.4737124655524136e-06,2.9371767269864864e-06
2021-01-03 05:30:00,4,1,30698.0,70096.0,1.7900295354873356e-06,1.4407166701003746e-06
2021-01-03 05:45:00,7,2,19354.0,23478.0,3.1635272424888826e-06,2.9834003603947637e-06
2021-01-03 06:00:00,7,2,19938.0,24583.5,3.0673892267155583e-06,2.7290192996244868e-06
2021-01-03 06:15:00,5,1,26008.5,71083.0,2.221552794313536e-06,1.4543169945666716e-06
2021-01-03 06:30:00,11,4,13756.5,12341.5,4.785960949169179e-06,5.52480846179664e-06
2021-01-03 06:45:00,8,1,18100.5,73655.0,3.4745687625844537e-06,1.4019838070870279e-06
2021-01-03 07:00:00,2,0,62673.5,185516.0,8.109372731909814e-07,0.0
2021-01-03 07:15:00,8,2,19247.5,26382.0,3.233087416621706e-06,2.60206942581435e-06
2021-01-03 07:30:00,24,6,7972.0,9477.5,9.249560067799276e-06,7.2428078917634785e-06
2021-01-03 07:45:00,6,0,25316.0,189508.5,2.2213764537057737e-06,0.0
2021-01-03 08:00:00,20,4,10329.0,14692.0,6.9168347457509884e-06,4.3685243452401104e-06
2021-01-03 08:15:00,24,3,9109.0,18974.0,8.078006617233752e-06,3.3688863135624628e-06
2021-01-03 08:30:00,27,1,8386.0,89441.5,8.774857627934987e-06,1.05631757131464e-06
2021-01-03 08:45:00,26,7,8720.5,9429.0,8.425072107275795e-06,7.33282213087621e-06
2021-01-03 09:00:00,29,6,8285.0,11405.5,8.691724608999771e-06,5.490880105717746e-06
2021-01-03 09:15:00,34,10,7508.5,7394.0,9.579785525507589e-06,9.553945397291266e-06
2021-01-03 09:30:00,25,8,9682.0,8847.0,6.9540468241007235e-06,7.5815873569449235e-06
2021-01-03 09:45:00,23,4,10394.5,16288.0,6.345755379407196e-06,3.701962410273686e-06
2021-01-03 10:00:00,27,6,9635.5,12331.0,6.737000956654136e-06,4.97195815600016e-06
2021-01-03 10:15:00,26,8,9889.5,9657.5,6.536580337714938e-06,6.683257854289943e-06
2021-01-03 10:30:00,20,9,12164.5,8827.0,5.0394284884939765e-06,7.244621070094928e-06
