time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,392,84,778.5,1253.0,0.00012658313686575632,7.400620242458416e-05
2021-01-02 16:15:00,373,90,810.0,1158.5,0.0001235091976272989,8.165435349258351e-05
2021-01-02 16:30:00,329,85,894.5,1211.0,0.00011008152724902583,7.800362120340316e-05
2021-01-02 16:45:00,328,94,929.5,1120.0,0.00010813915267039417,8.505009360034237e-05
2021-01-02 17:00:00,363,90,825.5,1159.0,0.0001203825578607323,8.091189503749368e-05
2021-01-02 17:15:00,349,91,841.5,1123.0,0.00011877943747555918,8.549714711992056e-05
2021-01-02 17:30:00,443,85,659.0,1182.0,0.00014978608991019935,8.073317117046951e-05
2021-01-02 17:45:00,579,85,524.5,1178.0,0.00019374605146216364,8.140280983345942e-05
2021-01-02 18:00:00,401,88,748.0,1156.0,0.0001343305281367183,8.198920723890165e-05
2021-01-02 18:15:00,327,83,913.0,1193.0,0.00011004702406933703,7.946028278287142e-05
2021-01-02 18:30:00,334,82,879.0,1180.5,0.00011508950966011035,7.933505612955222e-05
2021-01-02 18:45:00,296,83,988.5,1177.5,0.00010207318923541664,8.10381474874757e-05
2021-01-02 19:00:00,293,95,1035.0,1096.0,9.813069400840106e-05,8.749188397655217e-05
2021-01-02 19:15:00,271,76,1102.5,1259.0,9.172790322198493e-05,7.375776397515529e-05
2021-01-02 19:30:00,264,60,1107.0,1511.5,9.13017450046014e-05,5.996408151517241e-05
2021-01-02 19:45:00,350,76,827.0,1215.5,0.00012284632836893772,7.703020192048456e-05
2021-01-02 20:00:00,351,75,833.0,1233.0,0.00012230314594354266,7.50721443307018e-05
2021-01-02 20:15:00,350,71,812.0,1283.5,0.00012355057525147836,7.272645327427809e-05
2021-01-02 20:30:00,343,74,823.0,1207.5,0.0001213220066447674,7.664367011321513e-05
2021-01-02 20:45:00,286,63,986.0,1402.0,0.00010077189154830373,6.589992625484443e-05
2021-01-02 21:00:00,258,69,1101.5,1313.5,8.980594605865024e-05,7.065538501552882e-05
2021-01-02 21:15:00,278,76,1028.0,1190.5,9.70744620485994e-05,7.896259770322739e-05
2021-01-02 21:30:00,258,74,1137.0,1194.5,8.912166454398206e-05,7.743469325397323e-05
2021-01-02 21:45:00,275,67,1058.0,1315.5,9.546516181171356e-05,7.108677892011756e-05
2021-01-02 22:00:00,346,86,856.5,1074.5,0.00011709566207951743,8.931900490319793e-05
2021-01-02 22:15:00,274,69,1053.5,1253.5,9.4179015059362e-05,7.313931980432582e-05
2021-01-02 22:30:00,268,78,1095.0,1101.0,9.148912201166827e-05,8.408370856586611e-05
2021-01-02 22:45:00,232,46,1214.0,1774.5,8.064900198598167e-05,5.065058473897882e-05
2021-01-02 23:00:00,256,62,1096.5,1357.0,9.004670821243566e-05,6.849595045312281e-05
2021-01-02 23:15:00,242,77,1163.0,1114.5,8.600579153049082e-05,8.672382179493533e-05
2021-01-02 23:30:00,241,63,1161.0,1328.5,8.596329902173053e-05,7.090562236565917e-05
2021-01-02 23:45:00,207,69,1297.5,1190.0,7.592858458114198e-05,7.992614360990482e-05
