time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,21.0,8.0,9809.0,9252.0,6.781239474951232e-06,7.048209754722301e-06
2021-01-02 16:15:00,31.0,5.0,7040.0,13132.0,1.0264839481089183e-05,4.5363529718101956e-06
2021-01-02 16:30:00,25.0,7.0,8261.0,9942.5,8.364857693694972e-06,6.423827628515554e-06
2021-01-02 16:45:00,32.0,9.0,6938.0,8178.0,1.0550161236136017e-05,8.143094068117888e-06
2021-01-02 17:00:00,28.0,6.0,7622.5,11415.5,9.285706942425633e-06,5.394126335832911e-06
2021-01-02 17:15:00,29.0,8.0,7310.0,8732.5,9.869924603986293e-06,7.51623271383917e-06
2021-01-02 17:30:00,21.0,3.0,9356.5,20134.5,7.100469273395454e-06,2.8494060413106887e-06
2021-01-02 17:45:00,34.0,10.0,6347.0,7180.0,1.1377142918330851e-05,9.57680115687758e-06
2021-01-02 18:00:00,29.0,9.0,7324.5,8005.0,9.71467659841604e-06,8.385259831251302e-06
2021-01-02 18:15:00,31.0,15.0,6816.5,5126.0,1.0432592495869873e-05,1.436029206919363e-05
2021-01-02 18:30:00,29.0,3.0,7113.0,19726.5,9.99280173695569e-06,2.902502053520203e-06
2021-01-02 18:45:00,31.0,8.0,6701.0,8501.5,1.0690097521276742e-05,7.810905781925369e-06
2021-01-02 19:00:00,22.0,5.0,8930.0,12970.0,7.368174976740012e-06,4.604835998765903e-06
2021-01-02 19:15:00,18.0,2.0,10297.5,29577.5,6.09262825828682e-06,1.9409937888198763e-06
2021-01-02 19:30:00,21.0,5.0,9070.5,12352.5,7.262638807184203e-06,4.997006792931035e-06
2021-01-02 19:45:00,45.0,8.0,5018.5,8168.5,1.5794527933149133e-05,8.108442307419427e-06
2021-01-02 20:00:00,35.0,7.0,6178.5,9364.0,1.2195470393230748e-05,7.0067334708655015e-06
2021-01-02 20:15:00,39.0,9.0,5635.0,7395.5,1.3767064099450449e-05,9.218846189697224e-06
2021-01-02 20:30:00,33.0,7.0,6467.0,9043.5,1.1672379648038844e-05,7.250076902601431e-06
2021-01-02 20:45:00,30.0,5.0,7040.0,12064.0,1.0570478134437456e-05,5.230152877368605e-06
2021-01-02 21:00:00,33.0,2.0,6678.0,29411.5,1.1486807054013405e-05,2.0479821743631544e-06
2021-01-02 21:15:00,31.0,4.0,6934.0,14679.5,1.0824850084556047e-05,4.155926194906705e-06
2021-01-02 21:30:00,39.0,3.0,5900.5,19127.0,1.3471879524090313e-05,3.139244321107023e-06
2021-01-02 21:45:00,51.0,4.0,4703.5,14758.0,1.7704448190535966e-05,4.2439868012010494e-06
2021-01-02 22:00:00,59.0,6.0,4368.0,10616.5,1.9967179371940834e-05,6.231558481618461e-06
2021-01-02 22:15:00,51.0,7.0,4777.0,8943.5,1.7529670686231613e-05,7.41993099464175e-06
2021-01-02 22:30:00,37.0,3.0,6169.0,18894.5,1.2630960874745247e-05,3.2339887909948504e-06
2021-01-02 22:45:00,45.0,10.0,5242.0,6561.5,1.564312538521196e-05,1.10109966823867e-05
2021-01-02 23:00:00,48.0,4.0,4930.5,14308.0,1.6883757789831686e-05,4.419093577620826e-06
2021-01-02 23:15:00,41.0,9.0,5608.5,7049.0,1.4571229143595554e-05,1.0136550599408026e-05
2021-01-02 23:30:00,34.0,2.0,6499.0,27922.5,1.2127602351613435e-05,2.2509721385923548e-06
2021-01-02 23:45:00,43.0,7.0,5272.5,8623.5,1.5772604526517418e-05,8.108449351729475e-06
2021-01-03 00:00:00,46.0,8.0,5009.5,7696.0,1.6806593738228533e-05,9.290884829030301e-06
2021-01-03 00:15:00,28.0,3.0,7327.5,17520.5,1.042811509212681e-05,3.6012719692595428e-06
2021-01-03 00:30:00,41.0,4.0,5294.0,13403.0,1.5614889597017785e-05,4.905531722847269e-06
2021-01-03 00:45:00,40.0,3.0,5254.5,17048.0,1.5064409767010074e-05,3.559871702223852e-06
2021-01-03 01:00:00,34.0,2.0,5978.5,26150.0,1.3269033159704132e-05,2.359514506295184e-06
2021-01-03 01:15:00,19.0,2.0,9264.0,24921.5,7.70495379866388e-06,2.547955711433824e-06
2021-01-03 01:30:00,23.0,1.0,7829.5,73029.0,9.63293088623383e-06,1.2995502256668968e-06
2021-01-03 01:45:00,10.0,2.0,14830.0,24440.0,4.347262832902518e-06,2.724632310869648e-06
2021-01-03 02:00:00,26.0,1.0,6878.5,71713.5,1.1251271177272431e-05,1.3825196974493894e-06
2021-01-03 02:15:00,14.0,3.0,11113.5,15670.5,6.3005846942596275e-06,4.345332244103384e-06
2021-01-03 02:30:00,13.0,0.0,11490.0,160424.0,6.0376993950225195e-06,0.0
2021-01-03 02:45:00,14.0,2.0,10761.0,22661.5,6.5756842469150635e-06,3.061647809467533e-06
2021-01-03 03:00:00,20.0,3.0,8324.0,15973.5,8.984665422290505e-06,4.120415008199626e-06
2021-01-03 03:15:00,8.0,2.0,16827.0,22939.5,3.6920651520277047e-06,3.0317178319579436e-06
2021-01-03 03:30:00,21.0,6.0,7758.0,8016.5,9.771359493899415e-06,9.218685661256324e-06
2021-01-03 03:45:00,13.0,0.0,11324.0,158910.5,6.1742467418974875e-06,0.0
