time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,173,75,1700.5,1378.0,5.5864496626979184e-05,6.607696645052156e-05
2021-01-02 16:15:00,180,76,1601.5,1346.5,5.960229376116302e-05,6.895256517151498e-05
2021-01-02 16:30:00,171,77,1660.5,1327.0,5.7215626624873606e-05,7.066210391367109e-05
2021-01-02 16:45:00,226,79,1280.0,1307.5,7.451051373021062e-05,7.147827015347924e-05
2021-01-02 17:00:00,217,78,1324.5,1314.0,7.196422880379864e-05,7.012364236582784e-05
2021-01-02 17:15:00,206,88,1341.5,1154.5,7.011049891107504e-05,8.267855985223087e-05
2021-01-02 17:30:00,188,75,1533.0,1299.0,6.356610587611169e-05,7.123515103276723e-05
2021-01-02 17:45:00,203,89,1435.5,1131.5,6.792823565944597e-05,8.523353029621046e-05
2021-01-02 18:00:00,182,92,1574.5,1112.0,6.096797037626617e-05,8.571598938612445e-05
2021-01-02 18:15:00,191,85,1491.5,1165.0,6.42782311842305e-05,8.137498839209725e-05
2021-01-02 18:30:00,211,120,1322.5,835.0,7.270624712060865e-05,0.00011610008214080813
2021-01-02 18:45:00,188,73,1482.5,1315.0,6.483026883871057e-05,7.1274515260069e-05
2021-01-02 19:00:00,192,91,1507.0,1138.0,6.430407252427646e-05,8.380801517753945e-05
2021-01-02 19:15:00,180,81,1589.0,1192.5,6.09262825828682e-05,7.861024844720497e-05
2021-01-02 19:30:00,185,69,1509.5,1321.0,6.398038949186084e-05,6.895869374244828e-05
2021-01-02 19:45:00,149,72,1810.5,1270.5,5.2297436934204906e-05,7.297598076677485e-05
2021-01-02 20:00:00,210,78,1343.5,1199.0,7.317282235938448e-05,7.807503010392987e-05
2021-01-02 20:15:00,228,69,1225.0,1322.5,8.048437473524877e-05,7.067782078767871e-05
2021-01-02 20:30:00,210,67,1301.5,1320.0,7.427877957842902e-05,6.939359321061368e-05
2021-01-02 20:45:00,236,71,1176.0,1266.0,8.315442799090798e-05,7.426817085863421e-05
2021-01-02 21:00:00,205,50,1341.5,1763.0,7.135743775978024e-05,5.119955435907886e-05
2021-01-02 21:15:00,236,77,1189.0,1178.0,8.240853612758796e-05,8.000157925195407e-05
2021-01-02 21:30:00,197,55,1443.5,1572.0,6.805026323707157e-05,5.755281255362876e-05
2021-01-02 21:45:00,241,87,1189.5,1027.5,8.366219635135622e-05,9.23067129261228e-05
2021-01-02 22:00:00,201,67,1434.5,1335.5,6.802378057220523e-05,6.958573637807281e-05
2021-01-02 22:15:00,164,53,1702.0,1590.5,5.6369921422391846e-05,5.617947753085896e-05
2021-01-02 22:30:00,221,57,1310.0,1458.0,7.544438792753243e-05,6.144578702890215e-05
2021-01-02 22:45:00,226,49,1243.5,1691.0,7.856325193462008e-05,5.395388374369482e-05
2021-01-02 23:00:00,188,58,1477.0,1440.5,6.612805134350744e-05,6.407685687550198e-05
2021-01-02 23:15:00,207,45,1346.5,1795.0,7.356693738351901e-05,5.068275299704013e-05
2021-01-02 23:30:00,234,50,1196.0,1629.0,8.346643971404541e-05,5.627430346480886e-05
2021-01-02 23:45:00,208,46,1293.5,1691.0,7.629538933757261e-05,5.328409573993655e-05
2021-01-03 00:00:00,186,53,1438.5,1523.5,6.795709641979363e-05,6.155211199232573e-05
2021-01-03 00:15:00,166,39,1552.0,1905.0,6.182382518903752e-05,4.681653560037405e-05
2021-01-03 00:30:00,144,36,1736.5,2005.0,5.484253907245271e-05,4.4149785505625416e-05
2021-01-03 00:45:00,180,47,1416.5,1595.5,6.778984395154532e-05,5.5771323334840346e-05
2021-01-03 01:00:00,139,32,1737.0,2265.5,5.424692968231983e-05,3.7752232100722946e-05
2021-01-03 01:15:00,145,36,1619.0,1936.5,5.8800963200329615e-05,4.586320280580882e-05
2021-01-03 01:30:00,141,32,1597.5,2097.0,5.9054054563433484e-05,4.158560722134069e-05
2021-01-03 01:45:00,129,28,1693.5,2305.0,5.6079690544442506e-05,3.8144852352175066e-05
2021-01-03 02:00:00,175,31,1304.0,2131.0,7.572970984702599e-05,4.285811062093107e-05
2021-01-03 02:15:00,140,35,1527.5,1833.5,6.300584694259627e-05,5.069554284787282e-05
2021-01-03 02:30:00,141,47,1458.0,1352.5,6.548581651524428e-05,7.041314538516741e-05
2021-01-03 02:45:00,149,33,1368.5,1821.0,6.998406805645319e-05,5.0517188856214295e-05
2021-01-03 03:00:00,143,46,1514.5,1494.0,6.424035776937712e-05,6.317969679239426e-05
2021-01-03 03:15:00,143,48,1437.5,1317.0,6.599566459249522e-05,7.276122796699065e-05
2021-01-03 03:30:00,139,38,1458.0,1586.5,6.467709379295327e-05,5.8385009187956715e-05
2021-01-03 03:45:00,162,50,1270.0,1210.0,7.694061324518409e-05,7.866978828386577e-05
2021-01-03 04:00:00,144,32,1451.0,1954.0,6.677842778539083e-05,4.765273072484271e-05
2021-01-03 04:15:00,144,38,1385.0,1576.0,6.867732246196755e-05,5.944029144513427e-05
2021-01-03 04:30:00,128,26,1609.0,2304.0,5.937644527138514e-05,3.922680941202029e-05
2021-01-03 04:45:00,146,35,1433.5,1791.5,6.603872583254026e-05,5.216608489061517e-05
2021-01-03 05:00:00,150,39,1405.5,1708.0,6.664877517324238e-05,5.5405125116137674e-05
2021-01-03 05:15:00,141,34,1522.5,1850.5,6.307934576428904e-05,4.993200435877026e-05
2021-01-03 05:30:00,244,48,856.5,1399.5,0.00010919180166472747,6.915440016481798e-05
2021-01-03 05:45:00,163,33,1281.0,1873.5,7.366499150366969e-05,4.92261059465136e-05
2021-01-03 06:00:00,139,40,1558.0,1682.5,6.090958607335179e-05,5.458038599248974e-05
2021-01-03 06:15:00,183,42,1156.5,1554.0,8.13088322718754e-05,6.108131377180022e-05
2021-01-03 06:30:00,165,52,1293.0,1325.0,7.178941423753769e-05,7.182251000335632e-05
2021-01-03 06:45:00,188,43,1154.5,1567.5,8.165236592073467e-05,6.028530370474221e-05
2021-01-03 07:00:00,173,41,1339.5,1764.5,7.014607413101989e-05,5.092086028930501e-05
2021-01-03 07:15:00,208,45,1124.0,1606.5,8.406027283216435e-05,5.8546562080822876e-05
2021-01-03 07:30:00,175,49,1409.0,1558.5,6.744470882770305e-05,5.914959778273508e-05
2021-01-03 07:45:00,179,48,1458.0,1609.5,6.627106420222226e-05,5.7657796174885705e-05
2021-01-03 08:00:00,220,69,1270.0,1277.5,7.608518220326088e-05,7.535704495539191e-05
2021-01-03 08:15:00,194,53,1473.5,1588.5,6.529722015597285e-05,5.951699153960351e-05
2021-01-03 08:30:00,219,46,1344.5,1879.5,7.117384520436154e-05,4.8590608280473436e-05
2021-01-03 08:45:00,201,63,1471.0,1454.0,6.51322882139398e-05,6.599539917788589e-05
2021-01-03 09:00:00,322,74,1046.5,1363.5,9.650811462406644e-05,6.772085463718552e-05
2021-01-03 09:15:00,294,80,1197.5,1255.5,8.283696895585973e-05,7.643156317833013e-05
2021-01-03 09:30:00,270,56,1304.5,1720.0,7.51037057002878e-05,5.307111149861447e-05
2021-01-03 09:45:00,280,65,1253.5,1538.0,7.725267418408761e-05,6.01568891669474e-05
2021-01-03 10:00:00,244,78,1559.5,1438.0,6.088252716383738e-05,6.463545602800207e-05
2021-01-03 10:15:00,229,86,1689.5,1282.5,5.757218835910464e-05,7.184502193361687e-05
2021-01-03 10:30:00,266,90,1466.0,1297.0,6.702439889696989e-05,7.244621070094929e-05
2021-01-03 10:45:00,250,83,1479.0,1343.5,6.487191170777126e-05,6.95244277846418e-05
2021-01-03 11:00:00,231,72,1574.5,1581.5,6.014065101864204e-05,5.709142954560773e-05
2021-01-03 11:15:00,265,85,1375.0,1332.0,6.997414653325633e-05,6.986293713650725e-05
2021-01-03 11:30:00,242,75,1464.0,1495.0,6.489130839916093e-05,6.117699647049516e-05
2021-01-03 11:45:00,277,89,1308.5,1365.0,7.260085621832887e-05,6.940236763447878e-05
2021-01-03 12:00:00,228,74,1585.0,1714.5,5.931392519265319e-05,5.363799715718615e-05
2021-01-03 12:15:00,292,95,1241.5,1315.0,7.620081524433844e-05,7.202781031665699e-05
2021-01-03 12:30:00,253,89,1408.0,1351.5,6.67682881772099e-05,6.884095804955775e-05
2021-01-03 12:45:00,229,74,1474.5,1556.5,6.2286908733359e-05,5.83831036142297e-05
2021-01-03 13:00:00,264,91,1307.0,1367.0,7.171256950211105e-05,6.932620263820483e-05
2021-01-03 13:15:00,250,89,1411.5,1384.5,6.74331386943218e-05,6.868312077579516e-05
2021-01-03 13:30:00,284,115,1252.5,1065.0,7.612800119231461e-05,8.876251165490371e-05
2021-01-03 13:45:00,278,102,1282.0,1198.5,7.397110975822623e-05,7.959422551697231e-05
2021-01-03 14:00:00,293,113,1229.5,1114.5,7.761163824924038e-05,8.626836638251547e-05
2021-01-03 14:15:00,238,95,1478.5,1288.5,6.377766356156984e-05,7.433158302016263e-05
2021-01-03 14:30:00,262,109,1354.5,1149.0,6.98362925351667e-05,8.473331161880269e-05
2021-01-03 14:45:00,279,111,1274.5,1077.0,7.620179655977567e-05,8.909923085690985e-05
2021-01-03 15:00:00,277,97,1271.5,1245.5,7.590066274705049e-05,7.60313813647868e-05
2021-01-03 15:15:00,293,121,1193.5,1003.0,8.097338297121465e-05,9.627189091519561e-05
2021-01-03 15:30:00,303,129,1162.5,963.0,8.38887850661351e-05,0.00010119686870216192
2021-01-03 15:45:00,315,127,1109.0,972.5,8.782933561150548e-05,0.0001016030074490205
2021-01-03 16:00:00,203,91,1684.0,1368.5,5.6157084921684374e-05,6.974216856758782e-05
2021-01-03 16:15:00,198,80,1733.0,1505.5,5.4810978251391383e-05,6.198869016347967e-05
