time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,285,120,1067.0,912.0,9.203110716005241e-05,0.00010572314632083452
2021-01-02 16:15:00,292,124,1022.5,874.5,9.668816543477556e-05,0.00011250155370089285
2021-01-02 16:30:00,261,109,1124.5,974.0,8.732911432217551e-05,0.00010002817307259934
2021-01-02 16:45:00,288,149,1041.0,733.5,9.495145112522415e-05,0.00013481344623884054
2021-01-02 17:00:00,283,134,1050.0,812.5,9.385196659665908e-05,0.00012046882150026836
2021-01-02 17:15:00,278,117,1040.5,885.5,9.461513930717894e-05,0.00010992490343989786
2021-01-02 17:30:00,270,108,1090.0,937.0,9.12917478007987e-05,0.0001025786174871848
2021-01-02 17:45:00,287,132,1063.5,774.5,9.603647110473396e-05,0.00012641377527078406
2021-01-02 18:00:00,251,117,1156.5,904.5,8.408220090353193e-05,0.00010900837780626695
2021-01-02 18:15:00,266,116,1087.5,878.0,8.951837431939954e-05,0.00011105292533509741
2021-01-02 18:30:00,270,118,1057.5,846.5,9.303642996475986e-05,0.00011416508077179462
2021-01-02 18:45:00,279,108,1050.5,917.5,9.621087769149068e-05,0.00010544722805599247
2021-01-02 19:00:00,344,142,897.0,762.5,0.00011521146327266202,0.00013077734236495168
2021-01-02 19:15:00,323,133,941.5,770.0,0.00010932882930148017,0.00012907608695652173
2021-01-02 19:30:00,251,93,1148.5,1034.0,8.680582574301118e-05,9.294432634851723e-05
2021-01-02 19:45:00,288,116,998.5,828.0,0.00010108497877215444,0.00011757241345758171
2021-01-02 20:00:00,261,101,1103.0,936.0,9.094336493237784e-05,0.00010109715436534509
2021-01-02 20:15:00,287,107,993.5,881.0,0.00010131147170621225,0.00010960183803306698
2021-01-02 20:30:00,302,114,944.5,823.0,0.00010681995920326458,0.00011807268098522332
2021-01-02 20:45:00,295,95,960.5,975.0,0.00010394303498863496,9.93729046700035e-05
2021-01-02 21:00:00,272,88,1041.5,1048.5,9.467913693004988e-05,9.01112156719788e-05
2021-01-02 21:15:00,281,103,1016.5,909.0,9.812202818581447e-05,0.00010701509951884765
2021-01-02 21:30:00,297,93,973.0,970.5,0.00010259354406807236,9.731657395431772e-05
2021-01-02 21:45:00,330,116,861.5,788.5,0.00011455819417405625,0.0001230756172348304
2021-01-02 22:00:00,326,115,904.5,818.5,0.00011032712669919851,0.00011943820423102049
2021-01-02 22:15:00,296,84,984.5,1069.5,0.00010174083378675604,8.9039171935701e-05
2021-01-02 22:30:00,301,90,968.5,982.0,0.00010275457360265727,9.701966372984553e-05
2021-01-02 22:45:00,309,91,920.0,949.5,0.00010741612764512215,0.00010020006980971896
2021-01-02 23:00:00,343,103,816.0,861.0,0.00012064851920650559,0.00011379165962373628
2021-01-02 23:15:00,326,83,850.5,1035.5,0.00011585904148322316,9.348152219454068e-05
2021-01-02 23:30:00,342,95,803.5,909.0,0.0001219894118897587,0.00010692117658313684
2021-01-02 23:45:00,298,80,896.0,1028.0,0.00010930781741633,9.2667992591194e-05
2021-01-03 00:00:00,343,112,804.0,761.0,0.0001253187315698345,0.00013007238760642418
2021-01-03 00:15:00,337,87,791.5,913.0,0.0001255098137873834,0.00010443688710852672
2021-01-03 00:30:00,291,93,897.0,860.0,0.00011082763104224817,0.000114053612556199
2021-01-03 00:45:00,266,70,996.0,1113.0,0.00010017832495061698,8.306367305188987e-05
2021-01-03 01:00:00,295,95,835.5,849.5,0.00011512837594449175,0.00011207693904902128
2021-01-03 01:15:00,264,73,908.5,1036.5,0.00010705830541301392,9.300038346733456e-05
2021-01-03 01:30:00,332,90,705.0,845.0,0.00013904926322737526,0.0001169595203100207
2021-01-03 01:45:00,268,82,830.5,891.5,0.00011650664392178753,0.00011170992474565559
2021-01-03 02:00:00,276,71,840.5,1009.0,0.0001194365709587381,9.815889851890663e-05
2021-01-03 02:15:00,302,74,715.5,928.0,0.00013591261269045766,0.0001071848620212168
2021-01-03 02:30:00,252,74,829.0,894.0,0.00011703848058043654,0.00011086325018090186
2021-01-03 02:45:00,241,75,864.0,868.5,0.00011319570739332361,0.00011481179285503249
2021-01-03 03:00:00,236,58,911.5,1205.0,0.00010601905198302795,7.966135682519276e-05
2021-01-03 03:15:00,255,91,822.0,723.0,0.0001176845767208831,0.00013794316135408644
2021-01-03 03:30:00,247,71,846.5,903.0,0.00011492979976157883,0.00010908778032486648
2021-01-03 03:45:00,263,90,758.0,701.5,0.00012490976100915687,0.0001416056189109584
2021-01-03 04:00:00,248,61,834.0,1083.0,0.000115007292297062,9.08380179442314e-05
2021-01-03 04:15:00,249,87,810.5,735.5,0.00011875453675715222,0.00013608698304543897
2021-01-03 04:30:00,271,83,752.0,789.0,0.00012571106772301074,0.0001252240454306802
2021-01-03 04:45:00,256,89,823.5,779.0,0.00011579393022691993,0.00013265090157899286
2021-01-03 05:00:00,280,93,768.0,742.5,0.00012441104699005245,0.00013211991373848214
2021-01-03 05:15:00,260,74,818.5,919.0,0.00011631652410436276,0.0001086755388985
2021-01-03 05:30:00,278,87,749.5,797.5,0.00012440705271636986,0.0001253423502987326
2021-01-03 05:45:00,281,87,739.5,750.5,0.00012699302216276798,0.00012977791567717222
2021-01-03 06:00:00,253,86,839.5,824.0,0.00011086421062271943,0.00011734782988385294
2021-01-03 06:15:00,270,85,782.0,787.0,0.0001199638508929309,0.00012361694453816708
2021-01-03 06:30:00,230,75,957.5,957.0,0.00010007009257353736,0.000103590158658687
2021-01-03 06:45:00,266,88,812.0,791.0,0.00011552941135593308,0.00012337457502365848
2021-01-03 07:00:00,309,109,748.0,735.0,0.00012528980870800662,0.00013537497003742062
2021-01-03 07:15:00,311,89,739.0,827.5,0.00012568627332116888,0.00011579208944873857
2021-01-03 07:30:00,291,86,847.5,951.5,0.00011215091582206622,0.0001038135797819432
2021-01-03 07:45:00,372,111,681.0,726.5,0.00013772534012975802,0.0001333336536544232
2021-01-03 08:00:00,371,118,749.5,767.0,0.00012830728453368083,0.00012887146818458327
2021-01-03 08:15:00,407,112,712.0,795.0,0.0001369895288839224,0.0001257717557063319
2021-01-03 08:30:00,395,106,756.0,900.5,0.00012837291714941926,0.00011196966255935184
