time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,277,132,1089.5,829.0,8.944777783626148e-05,0.00011629546095291796
2021-01-02 16:15:00,231,98,1252.0,1082.0,7.648961032682587e-05,8.891251824747983e-05
2021-01-02 16:30:00,258,122,1131.0,859.0,8.632533139893211e-05,0.00011195813866841397
2021-01-02 16:45:00,262,139,1138.0,784.0,8.637944512086364e-05,0.00012576556394093178
2021-01-02 17:00:00,268,129,1109.0,841.5,8.887748073464534e-05,0.00011597371622040759
2021-01-02 17:15:00,274,116,1056.5,894.0,9.325377039628428e-05,0.00010898537435066795
2021-01-02 17:30:00,268,122,1098.5,836.0,9.061551263190391e-05,0.000115875845679968
2021-01-02 17:45:00,256,128,1177.0,796.0,8.566319373802055e-05,0.00012258305480803303
2021-01-02 18:00:00,230,119,1248.5,890.0,7.704743509088583e-05,0.00011087176887987837
2021-01-02 18:15:00,246,109,1165.0,929.5,8.278766948335446e-05,0.00010435145570280704
2021-01-02 18:30:00,258,129,1103.0,789.0,8.890147752188165e-05,0.00012480758830136872
2021-01-02 18:45:00,249,130,1152.0,759.5,8.5865622025739e-05,0.00012692721895628722
2021-01-02 19:00:00,235,116,1264.0,914.5,7.87055054333592e-05,0.00010683219517136896
2021-01-02 19:15:00,731,101,419.5,975.5,0.0002474284031559814,9.802018633540372e-05
2021-01-02 19:30:00,570,99,519.5,966.5,0.00019712876762357118,9.894073450003448e-05
2021-01-02 19:45:00,456,120,637.0,800.5,0.00016005121638924455,0.00012162663461129143
2021-01-02 20:00:00,464,107,636.0,883.5,0.0001616770932131162,0.00010710292591180124
2021-01-02 20:15:00,385,114,741.0,833.0,0.0001359056327766262,0.00011677205173616482
2021-01-02 20:30:00,330,90,873.0,1018.5,0.00011672379648038845,9.321527446201841e-05
2021-01-02 20:45:00,360,94,791.0,983.0,0.00012684573761324945,9.832687409452978e-05
2021-01-02 21:00:00,331,115,877.0,815.5,0.00011521615560237688,0.00011775897502588137
2021-01-02 21:15:00,344,99,830.0,944.5,0.00012012091706733159,0.00010285917332394096
2021-01-02 21:30:00,315,87,910.5,1042.0,0.00010881133461765251,9.103808531210367e-05
2021-01-02 21:45:00,298,85,973.0,1048.0,0.00010344952079960232,9.018471952552228e-05
2021-01-02 22:00:00,321,97,919.5,942.5,0.00010863499285411876,0.00010074352878616509
2021-01-02 22:15:00,288,81,1006.0,1103.0,9.899108152224909e-05,8.585920150942596e-05
2021-01-02 22:30:00,328,81,883.5,1067.0,0.00011197176126801191,8.731769735686095e-05
2021-01-02 22:45:00,369,97,765.5,896.0,0.0001282736281587381,0.000106806667819151
2021-01-02 23:00:00,347,93,806.5,944.0,0.0001220554990223249,0.0001027439256796842
2021-01-02 23:15:00,292,88,943.5,972.0,0.000103775583169022,9.911293919421179e-05
2021-01-02 23:30:00,351,105,783.5,826.5,0.00012519965957106808,0.0001181760372760986
2021-01-02 23:45:00,306,102,871.0,832.0,0.0001122422554677751,0.00011815169055377234
2021-01-03 00:00:00,257,97,1065.0,860.0,9.389770849401594e-05,0.00011265197855199236
2021-01-03 00:15:00,234,75,1144.5,1052.5,8.71492475556312e-05,9.003179923148856e-05
2021-01-03 00:30:00,191,81,1362.0,983.0,7.274253446415603e-05,9.93370173876572e-05
2021-01-03 00:45:00,212,86,1235.0,915.0,7.984137176515338e-05,0.0001020496554637504
2021-01-03 01:00:00,215,73,1129.5,1089.5,8.390712145107025e-05,8.612227947977424e-05
2021-01-03 01:15:00,265,84,905.5,906.5,0.00010746382929715413,0.00010701413988022061
2021-01-03 01:30:00,217,75,1065.0,989.0,9.088460879620612e-05,9.746626692501724e-05
2021-01-03 01:45:00,222,55,1019.5,1304.0,9.650923489043594e-05,7.492738854891533e-05
2021-01-03 02:00:00,208,82,1104.5,876.5,9.001016941817945e-05,0.00011336661519084992
2021-01-03 02:15:00,206,71,1046.5,968.5,9.270860335839166e-05,0.00010283952977711341
2021-01-03 02:30:00,215,54,974.0,1193.5,9.985425922537246e-05,8.090020959146892e-05
2021-01-03 02:45:00,221,70,944.5,919.0,0.00010380187275487353,0.00010715767333136368
2021-01-03 03:00:00,170,65,1266.0,1095.5,7.636965608946929e-05,8.927565851099191e-05
2021-01-03 03:15:00,186,73,1136.5,901.0,8.584051478464414e-05,0.00011065770086646497
2021-01-03 03:30:00,189,58,1093.0,1106.5,8.794223544509473e-05,8.911396139214444e-05
2021-01-03 03:45:00,273,78,732.0,806.0,0.00012965918157984725,0.0001227248697228306
2021-01-03 04:00:00,229,73,903.5,929.5,0.00010619624974204512,0.00010870779196604743
2021-01-03 04:15:00,267,74,742.0,863.5,0.00012733920206489817,0.00011575214649841937
2021-01-03 04:30:00,239,90,859.0,741.5,0.00011086695640516443,0.0001357851095031472
2021-01-03 04:45:00,249,91,851.0,759.0,0.00011262768994727759,0.00013563182071559945
2021-01-03 05:00:00,267,89,804.0,767.0,0.00011863481980837143,0.00012643733680349362
2021-01-03 05:15:00,248,78,859.0,883.5,0.00011094806914569985,0.00011454989235247295
