time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,872,405,340.0,275.0,0.00028158289629321304,0.00035681561883281644
2021-01-02 16:15:00,890,446,323.0,249.0,0.0002947002302635282,0.0004046426850854695
2021-01-02 16:30:00,914,402,313.0,270.0,0.00030581919728148816,0.0003689112438090362
2021-01-02 16:45:00,913,435,315.5,259.5,0.00030100928776850567,0.0003935828799590312
2021-01-02 17:00:00,904,438,317.0,261.0,0.00029979568128402756,0.00039377122251580256
2021-01-02 17:15:00,869,418,323.5,248.0,0.00029575739589186514,0.0003927231592980966
2021-01-02 17:30:00,900,457,313.0,237.5,0.0003043058260026623,0.00043405952029299487
2021-01-02 17:45:00,843,395,344.0,262.0,0.00028208622000449734,0.00037828364569666436
2021-01-02 18:00:00,908,443,329.0,240.5,0.0003041698741848884,0.0004127411228049253
2021-01-02 18:15:00,923,429,329.0,245.5,0.0003106220281834804,0.0004107043531789379
2021-01-02 18:30:00,963,433,299.0,238.5,0.00033182993354097685,0.000418927796391416
2021-01-02 18:45:00,819,397,355.5,260.0,0.00028242547967502105,0.00038761619942804637
2021-01-02 19:00:00,915,420,323.5,277.0,0.00030644909562350497,0.000386806223896336
2021-01-02 19:15:00,890,466,326.0,234.0,0.00030124661943751503,0.00045225155279503114
2021-01-02 19:30:00,828,405,340.5,254.0,0.00028635547296897715,0.00040475755022741376
2021-01-02 19:45:00,868,393,317.0,258.5,0.0003046588943549656,0.0003983272283519794
2021-01-02 20:00:00,901,408,302.0,260.0,0.00031394625212288296,0.00040839246515901785
2021-01-02 20:15:00,887,416,304.0,250.0,0.00031311245785160374,0.00042611555721267164
2021-01-02 20:30:00,900,415,298.0,244.0,0.0003183376267646958,0.00042982598779708485
2021-01-02 20:45:00,874,401,301.0,250.0,0.00030795326298327787,0.0004194582607649621
2021-01-02 21:00:00,874,389,304.5,259.0,0.00030422634440023375,0.0003983325329136335
2021-01-02 21:15:00,912,407,288.0,250.0,0.0003184601057133908,0.00042286549033175716
2021-01-02 21:30:00,802,361,334.5,273.5,0.0002770371122646264,0.0003777557333065451
2021-01-02 21:45:00,895,354,300.0,271.0,0.00031069570844175865,0.0003755928319062928
2021-01-02 22:00:00,858,366,319.0,269.5,0.000290370167815682,0.00038012506737872606
2021-01-02 22:15:00,820,364,334.0,275.0,0.00028184960711195926,0.000385836411721371
2021-01-02 22:30:00,896,326,312.0,297.5,0.0003058740795613984,0.00035142678195477367
2021-01-02 22:45:00,840,349,324.0,269.0,0.0002920050071906233,0.0003842837842152958
2021-01-02 23:00:00,812,339,331.0,275.0,0.0002856169026113194,0.00037451818070336493
2021-01-02 23:15:00,812,340,318.0,266.0,0.00028858141620974613,0.0003829363559776365
2021-01-02 23:30:00,788,330,341.0,271.0,0.000281075019207982,0.0003714104028677385
2021-01-02 23:45:00,827,339,304.0,257.0,0.0003033475335681373,0.00039268061860518456
2021-01-03 00:00:00,784,331,327.5,263.0,0.00028644281501676456,0.0003844103598011287
2021-01-03 00:15:00,818,317,294.5,266.0,0.0003046499337628475,0.0003805344047517584
2021-01-03 00:30:00,767,295,316.0,286.5,0.00029211269075396685,0.00036178296455998614
2021-01-03 00:45:00,731,312,351.0,285.0,0.0002753020884921091,0.0003702266570312806
2021-01-03 01:00:00,727,314,331.0,277.5,0.00028372315020896776,0.000370443777488344
2021-01-03 01:15:00,630,267,383.0,312.5,0.00025548004700832864,0.00034015208747641547
2021-01-03 01:30:00,678,269,330.5,296.0,0.0002839620496028929,0.00034957901070439514
2021-01-03 01:45:00,645,257,326.0,310.0,0.0002803984527222125,0.00035011525194674983
2021-01-03 02:00:00,612,244,351.0,301.0,0.00026483761386502795,0.00033733480617765096
2021-01-03 02:15:00,561,225,362.0,319.0,0.0002524734295342608,0.00032589991830775383
2021-01-03 02:30:00,579,234,332.5,291.0,0.00026890984228600305,0.00035056757489636536
2021-01-03 02:45:00,575,199,339.0,332.5,0.0002700727458554402,0.00030463395704201964
2021-01-03 03:00:00,532,188,390.5,405.0,0.00023899210023292745,0.00025821267384717653
2021-01-03 03:15:00,573,209,347.0,318.5,0.0002644441665139844,0.0003168145134396052
2021-01-03 03:30:00,586,223,336.0,291.5,0.00027266746016309793,0.00034262781707669333
2021-01-03 03:45:00,556,201,336.0,325.5,0.0002640677837303849,0.00031625254890114035
2021-01-03 04:00:00,557,200,348.0,350.0,0.00025830266858654645,0.00029782956703026687
2021-01-03 04:15:00,582,202,311.0,320.0,0.0002775708449504521,0.00031597207557676634
2021-01-03 04:30:00,512,186,381.0,366.5,0.00023750578108554056,0.0002806225596398375
2021-01-03 04:45:00,591,188,336.0,374.0,0.0002673211436098034,0.00028020639884101866
2021-01-03 05:00:00,576,186,363.0,391.0,0.0002559312966652508,0.00026423982747696427
2021-01-03 05:15:00,583,176,347.5,405.5,0.00026081743674170573,0.0002584715519748108
2021-01-03 05:30:00,578,186,358.5,399.5,0.00025865926787792005,0.0002679733006386697
2021-01-03 05:45:00,556,185,360.0,376.0,0.0002512744495462598,0.00027596453333651565
2021-01-03 06:00:00,545,208,377.5,347.5,0.0002388181612228541,0.00028381800716094667
2021-01-03 06:15:00,663,233,307.0,286.5,0.00029457790052597483,0.0003388558597340345
2021-01-03 06:30:00,614,233,329.0,304.0,0.00026714363843544325,0.0003218200928996543
2021-01-03 06:45:00,623,222,339.0,321.0,0.0002705820423862643,0.00031124040517332025
2021-01-03 07:00:00,618,212,360.5,392.5,0.00025057961741601324,0.00026329810686177217
2021-01-03 07:15:00,640,205,346.5,382.5,0.0002586469933297365,0.0002667121161459709
2021-01-03 07:30:00,630,246,374.0,332.0,0.00024280095177973095,0.00029695512356230265
2021-01-03 07:45:00,726,281,331.0,293.0,0.0002687865508983987,0.00033753834844047674
2021-01-03 08:00:00,711,267,363.5,336.0,0.0002458934752114476,0.00029159900004477736
2021-01-03 08:15:00,739,289,381.5,306.5,0.0002487352870889893,0.00032453604820651717
2021-01-03 08:30:00,756,290,375.0,322.5,0.00024569601358217965,0.0003063320956812456
2021-01-03 08:45:00,816,365,341.0,258.5,0.0002644176476745019,0.0003823542968242595
2021-01-03 09:00:00,834,344,365.5,344.5,0.0002499620111691658,0.00031481045939448405
2021-01-03 09:15:00,1284,404,276.5,263.5,0.00036177778278681603,0.00038597939405056713
2021-01-03 09:30:00,3393,1224,102.0,95.0,0.0009438032349669502,0.0011599828656125733
2021-01-03 09:45:00,2976,1097,112.0,106.5,0.0008210855656137311,0.0010152631910175583
2021-01-03 10:00:00,2479,844,186.0,152.0,0.0006185564952424298,0.0006993887806106889
2021-01-03 10:15:00,2658,709,150.0,183.0,0.0006682396360633194,0.000592303727336446
2021-01-03 10:30:00,2415,651,164.0,204.0,0.0006085109899856478,0.0005240275907368665
2021-01-03 10:45:00,2360,645,164.0,200.0,0.0006123908465213606,0.000540280191820409
2021-01-03 11:00:00,1944,599,190.0,226.0,0.000506118725455585,0.0004749689763585976
2021-01-03 11:15:00,1653,517,220.0,245.0,0.00043648024233763287,0.00042493104117146167
2021-01-03 11:30:00,1546,497,228.5,250.0,0.0004145535652276975,0.00040539956327781455
2021-01-03 11:45:00,1483,540,243.0,244.0,0.000388689782569609,0.00042109301710807346
2021-01-03 12:00:00,1387,532,261.0,262.0,0.00036082637825530687,0.00038561370929220313
2021-01-03 12:15:00,1408,550,252.0,238.5,0.00036743406802749486,0.00041700311235959314
2021-01-03 12:30:00,1400,503,253.0,256.0,0.0003694687883323868,0.0003890674370666017
2021-01-03 12:45:00,1309,517,263.0,247.0,0.00035604176214832717,0.00040789276443995614
2021-01-03 13:00:00,1330,498,260.0,264.5,0.0003612792327189685,0.0003793895485035825
2021-01-03 13:15:00,1297,509,273.0,255.0,0.00034984312354614154,0.00039280571320089583
2021-01-03 13:30:00,1289,485,276.5,264.0,0.0003455246251299068,0.00037434624480546345
2021-01-03 13:45:00,1300,470,275.0,271.0,0.00034590806721472697,0.0003667577058134998
2021-01-03 14:00:00,1224,503,298.0,259.0,0.0003242206321401714,0.00038400874593279006
2021-01-03 14:15:00,1205,524,301.0,248.0,0.00032290791845248593,0.00040999736318489714
2021-01-03 14:30:00,1206,484,299.0,264.5,0.00032146018624966047,0.0003762469983807386
2021-01-03 14:45:00,1129,477,318.0,259.0,0.00030835780758418186,0.0003828858839526666
2021-01-03 15:00:00,1510,479,238.0,269.0,0.00041375451533590704,0.0003754539347807514
2021-01-03 15:15:00,1500,479,240.0,262.0,0.000414539503265604,0.0003811093863502372
2021-01-03 15:30:00,1466,502,246.0,261.0,0.00040587775216816517,0.00039380486890298666
2021-01-03 15:45:00,1362,467,262.0,270.0,0.0003797573177868903,0.0003736110588873431
2021-01-03 16:00:00,1336,459,273.0,288.0,0.00036958554411512483,0.00035177643266508577
2021-01-03 16:15:00,1242,448,287.0,292.0,0.00034381431812236413,0.0003471366649154862
2021-01-03 16:30:00,1223,434,274.0,284.0,0.0003509313597772404,0.0003573725378143787
2021-01-03 16:45:00,1251,472,264.5,260.0,0.0003615779365200942,0.00039095469978075065
2021-01-03 17:00:00,1223,458,273.0,271.5,0.0003547297542270996,0.0003763705063580319
2021-01-03 17:15:00,1196,464,281.5,254.5,0.00034930610459147683,0.0003887119393207259
2021-01-03 17:30:00,1278,485,257.0,249.0,0.000375900374047344,0.000407904087871792
2021-01-03 17:45:00,1170,436,285.0,276.0,0.00034434663757280937,0.00037337973746951305
2021-01-03 18:00:00,1301,454,254.0,268.0,0.00038765926508623264,0.0003854091236696382
2021-01-03 18:15:00,1170,386,277.5,302.5,0.00034719728699446437,0.000334004804131276
2021-01-03 18:30:00,1221,468,266.0,250.0,0.0003649474681881478,0.0004113649228778668
2021-01-03 18:45:00,1208,446,268.0,259.5,0.00036337384189628197,0.0003919865986285743
2021-01-03 19:00:00,1066,440,306.5,279.0,0.0003163746433736577,0.000370116771841516
2021-01-03 19:15:00,1151,426,284.0,281.0,0.0003441697465523221,0.0003736553669541298
2021-01-03 19:30:00,1039,415,308.5,297.0,0.000313662555241893,0.00036080305195911717
2021-01-03 19:45:00,1094,425,298.0,291.5,0.0003311660222450332,0.0003729928596002219
2021-01-03 20:00:00,1020,388,309.0,304.5,0.0003136083904387565,0.00034920097776273767
2021-01-03 20:15:00,1012,399,311.0,287.0,0.00031011514710244586,0.00036615649473523864
2021-01-03 20:30:00,999,378,318.5,298.5,0.0003024992066587373,0.00034451393458610025
2021-01-03 20:45:00,1031,431,299.0,261.0,0.0003182624291356752,0.0004033073070675161
2021-01-03 21:00:00,989,403,313.0,277.5,0.0003041717977076088,0.00037416879747904935
2021-01-03 21:15:00,979,397,314.0,280.5,0.000302752543245062,0.0003723458633500061
2021-01-03 21:30:00,1012,404,288.5,259.5,0.00032139176608268847,0.0003931529111805292
2021-01-03 21:45:00,935,392,326.0,267.0,0.00029273720558386043,0.000386372103934096
2021-01-03 22:00:00,961,370,334.0,291.0,0.00029242186159225984,0.00035311880252642187
2021-01-03 22:15:00,1169,426,262.0,250.5,0.00036179953953348597,0.0004111072295039885
2021-01-03 22:30:00,1034,361,300.0,310.5,0.00031938727065661883,0.00033876387782354065
2021-01-03 22:45:00,982,368,323.0,316.5,0.0003001104174071377,0.0003355410964899484
2021-01-03 23:00:00,1006,371,322.5,309.0,0.0003020806026718219,0.0003380733464249427
2021-01-03 23:15:00,939,373,337.5,310.0,0.00028897482564570025,0.0003452616768795009
2021-01-03 23:30:00,903,344,333.0,314.0,0.0002862810506356041,0.0003372420074134421
2021-01-03 23:45:00,987,375,286.0,261.0,0.0003252843848994222,0.00039450387718410496
2021-01-04 00:00:00,954,326,282.0,296.0,0.00032509786161258764,0.00035109220909156514
2021-01-04 00:15:00,845,323,308.5,276.0,0.0003009525057768635,0.00037224718596109497
2021-01-04 00:30:00,823,285,309.0,314.5,0.00030382558122793533,0.00033654686385557536
2021-01-04 00:45:00,844,287,286.0,294.0,0.00032227714001185247,0.0003571077507313244
2021-01-04 01:00:00,805,287,299.0,291.0,0.00030741112858835665,0.0003560422983212668
2021-01-04 01:15:00,768,263,298.5,302.0,0.00030973986690865094,0.00034532426999368435
2021-01-04 01:30:00,796,294,273.0,251.5,0.0003323422908487713,0.0004009666843055639
2021-01-04 01:45:00,747,256,283.5,279.0,0.00031995696214784917,0.00036234755924948765
2021-01-04 02:00:00,723,214,294.5,349.5,0.00030988401422809094,0.00029709306926294543
2021-01-04 02:15:00,730,226,301.0,327.5,0.0003133178992077778,0.0003177857364825057
2021-01-04 02:30:00,685,218,317.0,324.5,0.0002968867630544577,0.0003159864502690958
2021-01-04 02:45:00,679,202,314.5,344.0,0.00029221645535844933,0.0002982791361127436
2021-01-04 03:00:00,673,199,331.5,390.5,0.0002815204614760373,0.00026146744993029727
2021-01-04 03:15:00,669,198,317.0,363.0,0.00029301327582272567,0.00028594906929354694
2021-01-04 03:30:00,642,183,324.0,393.0,0.00028320951372220673,0.00026407993396558593
2021-01-04 03:45:00,630,200,326.0,342.5,0.0002838610144381625,0.00029425438880420897
2021-01-04 04:00:00,655,207,314.0,353.0,0.0002867734397883043,0.0002881190558046247
2021-01-04 04:15:00,580,190,341.0,358.0,0.0002643967446378745,0.00028394995307353413
2021-01-04 04:30:00,648,194,303.0,352.5,0.0002966716462941453,0.00028841322181355424
2021-01-04 04:45:00,592,172,323.0,396.0,0.00027572266584695066,0.00026034886748242653
2021-01-04 05:00:00,609,200,335.0,361.5,0.0002700396945048474,0.00027940492339415505
2021-01-04 05:15:00,583,193,348.0,365.0,0.0002565793006079565,0.0002750188808299016
2021-01-04 05:30:00,592,198,342.0,367.5,0.00025940178093344327,0.00027188801509390434
2021-01-04 05:45:00,680,211,302.5,336.5,0.00029391043511711035,0.00029375608221272117
2021-01-04 06:00:00,665,214,338.0,373.0,0.000271755343363898,0.00026706835077805496
2021-01-04 06:15:00,651,222,326.0,341.0,0.00026732532999895287,0.0002955110277527451
