time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,70,23,3713.5,3959.5,2.260413158317077e-05,2.0263603044826612e-05
2021-01-02 16:15:00,82,34,3186.5,2686.0,2.7152156046752038e-05,3.0847200208309334e-05
2021-01-02 16:30:00,67,31,3791.0,2931.5,2.2417818619102524e-05,2.8448379497711738e-05
2021-01-02 16:45:00,92,44,2914.0,2185.0,3.033171355389105e-05,3.981068211079856e-05
2021-01-02 17:00:00,60,27,4142.0,3326.0,1.989794344805493e-05,2.42735685112481e-05
2021-01-02 17:15:00,68,25,3658.5,3441.5,2.314327148520924e-05,2.3488227230747405e-05
2021-01-02 17:30:00,77,42,3316.0,2172.5,2.603505400245e-05,3.989168457834965e-05
2021-01-02 17:45:00,67,29,3685.5,2963.0,2.2419663986122564e-05,2.7772723354944985e-05
2021-01-02 18:00:00,94,42,2825.0,2191.0,3.148895173279681e-05,3.9131212545839424e-05
2021-01-02 18:15:00,63,28,3876.5,3051.0,2.1201720233541995e-05,2.6805878529161445e-05
2021-01-02 18:30:00,54,21,4320.0,3909.5,1.860728599295197e-05,2.031751437464142e-05
2021-01-02 18:45:00,69,22,3561.5,3672.0,2.379408803122888e-05,2.1479990900294766e-05
2021-01-02 19:00:00,75,34,3414.5,2717.5,2.511877832979549e-05,3.1312884791608145e-05
2021-01-02 19:15:00,70,33,3630.0,2630.5,2.369355433778208e-05,3.202639751552795e-05
2021-01-02 19:30:00,72,31,3458.0,2693.0,2.490047591034584e-05,3.0981442116172415e-05
2021-01-02 19:45:00,74,32,3293.0,2580.5,2.597322371228969e-05,3.243376922967771e-05
2021-01-02 20:00:00,61,30,3938.0,2794.0,2.125496268534502e-05,3.002885773228072e-05
2021-01-02 20:15:00,54,32,4330.5,2576.5,1.9062088753085235e-05,3.277811978559012e-05
2021-01-02 20:30:00,67,33,3653.0,2475.0,2.369846777026069e-05,3.417893396940675e-05
2021-01-02 20:45:00,64,23,3785.0,3366.0,2.2550353353466573e-05,2.4058703235895585e-05
2021-01-02 21:00:00,57,21,4304.5,3734.5,1.9840848547841333e-05,2.150381283081312e-05
2021-01-02 21:15:00,76,22,3340.5,3573.0,2.653834214278257e-05,2.285759407198688e-05
2021-01-02 21:30:00,60,17,4147.0,4390.5,2.072596849860048e-05,1.7789051152939796e-05
2021-01-02 21:45:00,57,24,4322.5,3246.5,1.978732444824608e-05,2.5463920807206288e-05
2021-01-02 22:00:00,61,26,4245.0,3124.0,2.0644032909972725e-05,2.700342008701333e-05
2021-01-02 22:15:00,55,21,4492.5,3607.5,1.890454681848507e-05,2.225979298392525e-05
2021-01-02 22:30:00,52,24,4689.0,3153.0,1.7751620688831163e-05,2.5871910327958803e-05
2021-01-02 22:45:00,52,22,4709.5,3356.5,1.8076500445133827e-05,2.422419270125074e-05
2021-01-02 23:00:00,72,37,3540.0,2170.0,2.5325636684747532e-05,4.087661559299264e-05
2021-01-02 23:15:00,49,20,4874.5,3648.5,1.7414395805760542e-05,2.25256679986845e-05
2021-01-02 23:30:00,59,28,4142.5,2713.5,2.104495702191743e-05,3.151360994029296e-05
2021-01-02 23:45:00,57,23,4182.5,3163.5,2.0907871116546344e-05,2.6642047869968274e-05
2021-01-03 00:00:00,68,25,3603.0,2956.5,2.484452987390305e-05,2.9034015090719683e-05
