time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1097,761,267.0,159.0,0.00035423903352483336,0.0006704609529179588
2021-01-02 16:15:00,1018,687,279.0,175.0,0.0003370840836047997,0.0006232948983267209
2021-01-02 16:30:00,1070,731,266.5,165.0,0.0003580159092901448,0.0006708311423492671
2021-01-02 16:45:00,1095,731,265.0,163.0,0.0003610133297990293,0.0006614001959771307
2021-01-02 17:00:00,1027,696,276.5,169.0,0.0003405864653525402,0.0006257186549566177
2021-01-02 17:15:00,996,692,281.0,163.0,0.0003389808588127706,0.0006501541297470883
2021-01-02 17:30:00,1048,748,269.0,155.0,0.00035434722850087786,0.0007104519063001317
2021-01-02 17:45:00,958,692,306.5,164.0,0.0003205677328164988,0.0006627146400559285
2021-01-02 18:00:00,986,708,301.0,160.0,0.0003302990043461453,0.0006596404400584361
2021-01-02 18:15:00,956,662,312.0,167.0,0.00032172769116295473,0.0006337675566537456
2021-01-02 18:30:00,1036,741,279.5,153.0,0.000356984227568486,0.0007169180072194902
2021-01-02 18:45:00,1042,760,272.0,150.0,0.00035932521345710856,0.0007420360492829102
2021-01-02 19:00:00,1081,818,277.0,149.0,0.0003620453249934524,0.0007533511693981019
2021-01-02 19:15:00,1017,745,280.0,153.0,0.0003442334965932053,0.0007230201863354037
2021-01-02 19:30:00,949,724,296.0,149.0,0.0003282021060960861,0.0007235665836164138
2021-01-02 19:45:00,1017,759,271.0,143.0,0.0003569563312891705,0.0007692884639164182
2021-01-02 20:00:00,942,704,291.0,153.0,0.0003282323745835247,0.0007046771947841876
2021-01-02 20:15:00,954,718,286.0,150.0,0.0003367635679711725,0.0007354590626891784
2021-01-02 20:30:00,918,673,294.0,155.5,0.0003247043792999897,0.0006970431079215376
2021-01-02 20:45:00,943,705,278.0,147.0,0.000332265362692484,0.0007374515557089734
2021-01-02 21:00:00,922,692,285.0,151.0,0.0003209344273878897,0.0007086018323296514
2021-01-02 21:15:00,877,663,296.0,153.0,0.00030623850077921466,0.0006888447668057863
2021-01-02 21:30:00,900,667,296.0,149.0,0.00031088952747900715,0.0006979586540594615
2021-01-02 21:45:00,914,683,292.0,145.0,0.0003172914832578406,0.000724660746305079
2021-01-02 22:00:00,963,700,284.0,148.0,0.0003259049785623563,0.0007270151561888204
2021-01-02 22:15:00,912,682,307.0,156.0,0.00031347175815378883,0.0007229132769065247
2021-01-02 22:30:00,784,568,354.5,179.0,0.0002676398196162236,0.0006123018777616918
2021-01-02 22:45:00,832,606,327.5,161.0,0.00028922400712214124,0.000667266398952634
2021-01-02 23:00:00,811,594,332.0,159.0,0.0002852651576573645,0.0006562353962766928
2021-01-02 23:15:00,916,656,286.5,144.0,0.00032554258281789085,0.0007388419103568517
2021-01-02 23:30:00,846,617,310.0,153.0,0.0003017632820430872,0.0006944249047557414
2021-01-02 23:45:00,822,613,306.5,148.0,0.00030151350978598415,0.000710068493230024
2021-01-03 00:00:00,839,628,303.0,149.0,0.0003065376553559509,0.0007293344590788784
2021-01-03 00:15:00,767,571,327.0,150.0,0.00028565586698790226,0.0006854420981490662
2021-01-03 00:30:00,747,511,328.0,163.0,0.0002844956714383484,0.0006266816775937386
2021-01-03 00:45:00,683,521,376.0,183.0,0.00025722479677169703,0.0006182310522862089
2021-01-03 01:00:00,731,564,328.0,169.0,0.00028528421293363884,0.0006653830907752421
2021-01-03 01:15:00,684,501,344.5,178.0,0.0002773783367518997,0.0006382629057141727
2021-01-03 01:30:00,698,512,322.0,171.0,0.0002923385112430962,0.0006653697155414511
2021-01-03 01:45:00,649,476,324.0,158.5,0.0002821373578553736,0.0006484624899869763
2021-01-03 02:00:00,609,463,352.0,159.0,0.0002635393902676504,0.0006401066199190672
2021-01-03 02:15:00,571,427,355.5,168.5,0.00025697384717301763,0.0006184856227440484
2021-01-03 02:30:00,567,398,341.5,174.0,0.00026333658130598217,0.0005962645077297154
2021-01-03 02:45:00,506,398,397.5,168.0,0.0002376640163527873,0.0006092679140840393
2021-01-03 03:00:00,526,387,393.5,196.5,0.00023629670060624033,0.0005315335360577516
2021-01-03 03:15:00,483,357,432.0,188.0,0.00022290843355367271,0.000541161633004493
2021-01-03 03:30:00,441,325,458.5,206.5,0.00020519854937188769,0.0004993454733180508
2021-01-03 03:45:00,421,310,484.0,214.5,0.0001999506060260648,0.00048775268735996776
2021-01-03 04:00:00,388,287,516.5,228.0,0.00017993076375508085,0.000427385428688433
2021-01-03 04:15:00,414,275,469.5,230.0,0.00019744730207815671,0.00043016000387926113
2021-01-03 04:30:00,396,280,517.0,234.0,0.0001836958775583478,0.0004224425628986802
2021-01-03 04:45:00,397,293,526.5,233.5,0.00017957105585971565,0.00043670465351286416
2021-01-03 05:00:00,365,267,570.5,263.5,0.00016217868625488982,0.00037931201041048094
2021-01-03 05:15:00,371,273,556.0,253.0,0.00016597473247199456,0.00040092462323365537
2021-01-03 05:30:00,392,257,532.5,273.0,0.0001754228944777589,0.0003702641842157963
2021-01-03 05:45:00,442,318,456.5,214.0,0.00019975414874001232,0.0004743606573027674
2021-01-03 06:00:00,373,267,555.0,266.5,0.0001634480259378433,0.000364324076499869
2021-01-03 06:15:00,338,233,600.5,286.5,0.000150176968895595,0.0003388558597340345
2021-01-03 06:30:00,379,270,542.5,260.0,0.000164898109066829,0.0003729245711712732
2021-01-03 06:45:00,387,283,543.0,251.0,0.00016808226389002296,0.00039676141740562903
2021-01-03 07:00:00,391,295,582.5,275.0,0.0001585382369088369,0.0003663817996425603
2021-01-03 07:15:00,420,302,540.0,251.5,0.0001697370893726396,0.0003929124832979669
2021-01-03 07:30:00,406,293,602.5,274.5,0.00015647172448027106,0.0003536904520477832
2021-01-03 07:45:00,466,345,551.0,246.5,0.00017252690457114848,0.00041441541000699104
2021-01-03 08:00:00,418,313,663.0,290.0,0.00014456184618619566,0.00034183703001503863
2021-01-03 08:15:00,606,456,477.5,205.0,0.00020396966708515228,0.0005120707196614943
2021-01-03 08:30:00,482,362,624.0,262.0,0.00015664745839498754,0.0003823869608158997
2021-01-03 08:45:00,578,414,507.0,233.5,0.00018729583376943885,0.000433684051740393
2021-01-03 09:00:00,628,467,524.5,250.0,0.00018822079498109849,0.0004273735015616978
2021-01-03 09:15:00,656,459,536.0,233.0,0.00018483350896273464,0.00043852609373566914
2021-01-03 09:30:00,664,490,540.0,218.0,0.00018469948364811518,0.00046437222561287664
2021-01-03 09:45:00,752,556,460.5,204.5,0.0002074786106658353,0.0005145727750280423
