time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,292,112,1039.0,983.5,9.429152031836952e-05,9.86749365661122e-05
2021-01-02 16:15:00,283,92,1048.5,1134.0,9.37080507467174e-05,8.346889468130759e-05
2021-01-02 16:30:00,323,116,912.5,904.0,0.00010807396140253903,0.00010645200070111491
2021-01-02 16:45:00,322,101,947.0,1061.0,0.00010616099743861868,9.13836112088785e-05
2021-01-02 17:00:00,315,103,953.0,1044.5,0.00010446420310228836,9.259916876513164e-05
2021-01-02 17:15:00,313,87,947.5,1168.0,0.00010652711727750721,8.173903076300096e-05
2021-01-02 17:30:00,335,106,892.5,960.5,0.00011326939078987988,0.00010067901345964432
2021-01-02 17:45:00,336,101,923.0,1003.5,0.00011243294178115195,9.672569168446356e-05
2021-01-02 18:00:00,308,99,960.0,1052.5,0.00010317656525214276,9.223785814376436e-05
2021-01-02 18:15:00,322,88,926.5,1135.5,0.00010836434786032576,8.424704680593598e-05
2021-01-02 18:30:00,258,81,1103.0,1195.5,8.890147752188165e-05,7.836755544504547e-05
2021-01-02 18:45:00,321,96,920.5,1023.0,0.00011069423562354304,9.373086938310442e-05
2021-01-02 19:00:00,310,101,987.5,1042.0,0.0001038242837631547,9.301768717507126e-05
2021-01-02 19:15:00,270,70,1106.0,1343.5,9.138942387430229e-05,6.793478260869565e-05
2021-01-02 19:30:00,313,103,953.0,931.0,0.00010824790222136454,0.00010293833993437929
2021-01-02 19:45:00,309,101,934.0,934.0,0.00010845575847429072,0.00010236908413117027
2021-01-02 20:00:00,297,86,995.5,1108.0,0.00010348727733684376,8.608272549920472e-05
2021-01-02 20:15:00,262,78,1076.5,1178.0,9.248643061682096e-05,7.989666697737593e-05
2021-01-02 20:30:00,415,95,690.0,967.5,0.00014678901678594306,9.839390082101944e-05
2021-01-02 20:45:00,416,97,677.5,956.5,0.00014657729679753268,0.00010146496582095094
2021-01-02 21:00:00,365,84,782.5,1103.5,0.0001270510477186331,8.601525132325249e-05
2021-01-02 21:15:00,345,74,828.5,1214.0,0.00012047010577973664,7.688463460577404e-05
2021-01-02 21:30:00,324,76,878.5,1173.0,0.0001119202298924426,7.95275228013779e-05
2021-01-02 21:45:00,329,76,865.5,1155.5,0.00011421104813110457,8.063574922281992e-05
2021-01-02 22:00:00,338,84,874.0,1098.0,0.00011438824792738987,8.724181874265843e-05
2021-01-02 22:15:00,288,70,1006.0,1239.5,9.899108152224909e-05,7.41993099464175e-05
2021-01-02 22:30:00,305,60,956.5,1387.0,0.00010412008288641353,6.467977581989701e-05
2021-01-02 22:45:00,313,89,907.0,972.5,0.0001088066276793632,9.799787047324164e-05
2021-01-02 23:00:00,250,65,1119.0,1301.5,8.793623848870671e-05,7.181027063633843e-05
2021-01-02 23:15:00,261,82,1080.5,1045.5,9.275831235313268e-05,9.235523879460645e-05
2021-01-02 23:30:00,271,71,1035.0,1188.5,9.666412462609533e-05,7.990951092002859e-05
2021-01-02 23:45:00,235,72,1153.0,1140.5,8.619911776119983e-05,8.340119333207459e-05
2021-01-03 00:00:00,232,67,1164.0,1212.5,8.476369015802218e-05,7.781116044312876e-05
2021-01-03 00:15:00,230,52,1163.0,1481.0,8.565951682818451e-05,6.242204746716539e-05
2021-01-03 00:30:00,201,54,1294.0,1417.0,7.655104412196523e-05,6.622467825843812e-05
2021-01-03 00:45:00,244,68,1084.5,1142.5,9.189289957876144e-05,8.06904252504073e-05
2021-01-03 01:00:00,197,53,1234.5,1432.0,7.688233919005041e-05,6.252713441682239e-05
2021-01-03 01:15:00,199,69,1210.5,1083.0,8.069925294390063e-05,8.790447204446693e-05
2021-01-03 01:30:00,180,55,1273.0,1324.0,7.538815476182997e-05,7.147526241167932e-05
2021-01-03 01:45:00,219,55,1032.0,1304.0,9.520505604056518e-05,7.492738854891533e-05
2021-01-03 02:00:00,200,38,1147.0,1781.5,8.654823982517255e-05,5.253574850307679e-05
2021-01-03 02:15:00,176,45,1212.5,1460.0,7.920735044212103e-05,6.517998366155077e-05
2021-01-03 02:30:00,187,52,1110.5,1234.0,8.684998360532395e-05,7.790390553252563e-05
2021-01-03 02:45:00,183,48,1149.0,1318.0,8.595358694181833e-05,7.34795474272208e-05
2021-01-03 03:00:00,196,50,1113.5,1386.0,8.804972113844695e-05,6.867358346999378e-05
2021-01-03 03:15:00,176,34,1206.5,1802.5,8.122543334460951e-05,5.153920314328505e-05
2021-01-03 03:30:00,200,44,1039.0,1400.0,9.306056660856586e-05,6.760369484921304e-05
2021-01-03 03:45:00,195,51,1050.0,1190.0,9.261370112846231e-05,8.024318404954309e-05
