time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,26,10,8336.0,7749.5,8.395820302320572e-06,8.810262193402876e-06
2021-01-02 16:15:00,16,3,11710.5,20596.5,5.2979816676589345e-06,2.721811783086117e-06
2021-01-02 16:30:00,17,7,11078.0,9942.5,5.688103231712581e-06,6.423827628515554e-06
2021-01-02 16:45:00,16,8,11699.0,8959.5,5.275080618068009e-06,7.2383058383270115e-06
2021-01-02 17:00:00,17,5,11185.5,13286.0,5.637750643615563e-06,4.49510527986076e-06
2021-01-02 17:15:00,26,11,7945.5,6736.0,8.848897920815296e-06,1.033481998152886e-05
2021-01-02 17:30:00,24,8,8480.0,8608.0,8.114822026737661e-06,7.598416110161838e-06
2021-01-02 17:45:00,22,10,8888.5,7180.0,7.3616807118611405e-06,9.57680115687758e-06
2021-01-02 18:00:00,29,15,7324.5,5315.5,9.71467659841604e-06,1.3975433052085506e-05
2021-01-02 18:15:00,17,7,10786.5,9596.5,5.721099110638316e-06,6.701469632290361e-06
2021-01-02 18:30:00,13,4,13148.0,15300.0,4.479531813118068e-06,3.870002738026937e-06
2021-01-02 18:45:00,13,8,13051.5,8501.5,4.482944121825731e-06,7.810905781925369e-06
2021-01-02 19:00:00,17,8,10845.5,8819.0,5.693589754753645e-06,7.367737598025446e-06
2021-01-02 19:15:00,17,9,10746.0,7710.5,5.754148910604219e-06,8.734472049689439e-06
2021-01-02 19:30:00,7,4,20668.5,14945.5,2.420879602394734e-06,3.997605434344828e-06
2021-01-02 19:45:00,18,13,10201.0,5541.0,6.3178111732596525e-06,1.317621874955657e-05
2021-01-02 20:00:00,18,12,10309.5,6027.0,6.271956202232956e-06,1.2011543092912289e-05
2021-01-02 20:15:00,13,8,13088.5,8124.0,4.5890213664834816e-06,8.19452994639753e-06
2021-01-02 20:30:00,12,5,13887.5,12082.5,4.244501690195943e-06,5.1786263590010235e-06
2021-01-02 20:45:00,13,8,13278.0,8077.5,4.580540524922896e-06,8.368244603789767e-06
2021-01-02 21:00:00,11,4,15359.5,15092.5,3.828935684671135e-06,4.095964348726309e-06
2021-01-02 21:15:00,14,9,12765.5,7469.5,4.888641973670474e-06,9.350833938540086e-06
2021-01-02 21:30:00,18,8,10760.5,8211.0,6.2177905495801425e-06,8.371318189618727e-06
2021-01-02 21:45:00,13,5,13742.0,12149.5,4.512898558371913e-06,5.304983501501312e-06
2021-01-02 22:00:00,16,5,11974.0,12378.0,5.414828304255141e-06,5.192965401348717e-06
2021-01-02 22:15:00,33,8,6763.0,8003.5,1.1342728091091045e-05,8.479921136733428e-06
2021-01-02 22:30:00,11,6,15485.5,10175.5,3.7551505303296686e-06,6.467977581989701e-06
2021-01-02 22:45:00,18,8,10671.5,7919.0,6.257250154084785e-06,8.80879734590936e-06
2021-01-02 23:00:00,11,4,15666.0,14308.0,3.869194493503096e-06,4.419093577620826e-06
2021-01-02 23:15:00,12,5,14500.0,11525.5,4.264749993247479e-06,5.631416999671125e-06
2021-01-02 23:30:00,16,8,11638.0,7867.5,5.707106988994558e-06,9.003888554369419e-06
2021-01-02 23:45:00,13,2,13376.0,27286.5,4.768461833598288e-06,2.31669981477985e-06
2021-01-03 00:00:00,49,13,4744.5,5102.5,1.7902675938547785e-05,1.5097687847174235e-05
2021-01-03 00:15:00,32,5,6567.5,11060.0,1.1917845819573495e-05,6.002119948765904e-06
