time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,943,495,314.0,240.0,0.00030450994404185766,0.00043610797857344236
2021-01-02 16:15:00,918,449,315.0,246.5,0.00030397169818193137,0.00040736449686855553
2021-01-02 16:30:00,1013,522,282.0,221.5,0.00033894403374852024,0.0004790340031550171
2021-01-02 16:45:00,926,460,308.0,244.0,0.000305295290770686,0.0004162025857038031
2021-01-02 17:00:00,1012,499,282.0,233.0,0.00033561197949052643,0.0004486115069301038
2021-01-02 17:15:00,1006,478,278.0,227.0,0.00034238428109000717,0.0004490949046518903
2021-01-02 17:30:00,928,436,299.5,244.5,0.00031377311836718963,0.0004141136780038201
2021-01-02 17:45:00,934,452,315.0,233.5,0.00031253680840355935,0.0004328714122908666
2021-01-02 18:00:00,949,448,310.0,238.0,0.00031790441696195936,0.0004173996004889538
2021-01-02 18:15:00,1013,515,301.0,210.0,0.0003409101999456832,0.0004930366943756481
2021-01-02 18:30:00,939,465,310.0,226.0,0.00032356002865522037,0.00044988781829563145
2021-01-02 18:45:00,919,465,316.0,227.0,0.00031690966522752664,0.0004540088985744121
2021-01-02 19:00:00,945,477,308.0,242.0,0.0003164966069554232,0.00043930135428226717
2021-01-02 19:15:00,929,465,310.0,235.5,0.00031444731399713654,0.0004512810559006211
2021-01-02 19:30:00,867,417,323.0,248.0,0.00029984323075374776,0.00041675036653044826
2021-01-02 19:45:00,933,490,293.0,211.0,0.0003274732124806254,0.0004966420913294398
2021-01-02 20:00:00,908,451,300.0,238.5,0.0003163853462015291,0.00045143382790862024
2021-01-02 20:15:00,866,411,309.5,252.0,0.00030569942333651503,0.0004209939759961731
2021-01-02 20:30:00,837,402,314.0,254.5,0.00029605399289116713,0.00041636155926368215
2021-01-02 20:45:00,897,415,295.0,237.0,0.00031605729621968,0.00043410268882159423
2021-01-02 21:00:00,869,412,306.0,244.5,0.00030248591908901964,0.0004218843279188098
