time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,488,172,641.0,656.5,0.00015758308875124766,0.00015153650972652945
2021-01-02 16:15:00,436,162,696.5,682.5,0.00014437000044370595,0.00014697783628665032
2021-01-02 16:30:00,461,178,653.5,609.5,0.00015424797587173527,0.00016334875969653838
2021-01-02 16:45:00,452,166,678.0,669.5,0.00014902102746042125,0.00015019484614528546
2021-01-02 17:00:00,483,150,630.5,730.0,0.00016017844475684216,0.00013485315839582282
2021-01-02 17:15:00,464,161,630.5,655.5,0.0001579187936637807,0.00015126418336601328
2021-01-02 17:30:00,507,171,571.5,612.0,0.0001714256153148331,0.00016241614435470926
2021-01-02 17:45:00,505,175,611.0,592.5,0.00016898403452226708,0.00016759402024535766
2021-01-02 18:00:00,435,165,690.5,638.0,0.0001457201489762406,0.00015372976357294054
2021-01-02 18:15:00,454,165,649.0,632.5,0.00015278699977822331,0.00015796321276112995
2021-01-02 18:30:00,437,166,665.0,638.0,0.00015058118479481506,0.0001606051136281179
2021-01-02 18:45:00,458,157,630.0,659.0,0.00015793756983047575,0.00015328902597028536
2021-01-02 19:00:00,374,149,823.0,731.0,0.0001252589746045802,0.00013722411276322394
2021-01-02 19:15:00,426,146,706.0,706.5,0.00014419220211278809,0.00014169254658385092
2021-01-02 19:30:00,430,171,681.5,595.0,0.00014871117557567652,0.00017089763231824135
2021-01-02 19:45:00,421,155,680.5,639.5,0.00014776658355235078,0.00015710106970625142
2021-01-02 20:00:00,373,128,790.0,768.0,0.00012996887019071622,0.00012812312632439775
2021-01-02 20:15:00,434,143,659.5,690.0,0.00015320271331183314,0.00014647722279185587
2021-01-02 20:30:00,425,143,669.5,683.5,0.000150326101527773,0.00014810871386742924
2021-01-02 20:45:00,386,139,737.0,689.5,0.00013600681866309523,0.00014539824999084723
2021-01-02 21:00:00,424,135,663.5,722.5,0.0001475880663909601,0.00013823879676951292
2021-01-02 21:15:00,376,141,755.0,679.0,0.0001312949558642927,0.00014649639837046135
