time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,659,146,463.5,750.0,0.0002128017530472791,0.00012862982802368201
2021-01-02 16:15:00,737,152,391.0,722.0,0.0002440382805665397,0.00013790513034302995
2021-01-02 16:30:00,671,139,438.0,771.0,0.00022451278049877304,0.00012755886290909458
2021-01-02 16:45:00,731,142,409.0,763.5,0.00024100524573798213,0.00012847992863030444
2021-01-02 17:00:00,730,147,402.0,744.5,0.00024209164528466825,0.00013215609522790634
2021-01-02 17:15:00,738,141,383.5,748.0,0.00025117256406006496,0.00013247360158141536
2021-01-02 17:30:00,722,145,393.5,723.0,0.00024412089597102465,0.00013772129199668328
2021-01-02 17:45:00,777,158,384.0,652.5,0.00026000117786891387,0.00015131345827866578
2021-01-02 18:00:00,724,175,407.5,610.5,0.0002425319261121797,0.00016304671894099758
2021-01-02 18:15:00,771,154,393.0,682.0,0.0002594686714295378,0.00014743233191038798
2021-01-02 18:30:00,751,154,393.0,673.0,0.0002587791070501284,0.00014899510541403708
2021-01-02 18:45:00,742,150,396.0,683.0,0.0002558726567995917,0.00014645448341110066
2021-01-02 19:00:00,654,155,480.5,709.0,0.0002190357470358167,0.00014274991596174302
2021-01-02 19:15:00,611,132,500.5,774.5,0.00020681088143406932,0.0001281055900621118
2021-01-02 19:30:00,628,136,476.5,725.0,0.0002171874843291276,0.00013591858476772413
2021-01-02 19:45:00,577,115,504.0,833.5,0.00020252094705393444,0.00011655885816915427
2021-01-02 20:00:00,507,115,574.5,846.0,0.00017666009969622825,0.0001151106213070761
2021-01-02 20:15:00,599,155,481.0,641.0,0.00021144798450181584,0.00015876901771145216
2021-01-02 20:30:00,577,140,486.0,695.0,0.00020408978960358834,0.00014500153805202862
2021-01-02 20:45:00,523,133,532.0,712.0,0.0001842786688103596,0.0001391220665380049
2021-01-02 21:00:00,550,133,516.0,730.5,0.00019144678423355668,0.00013619081459514975
2021-01-02 21:15:00,577,120,484.0,787.0,0.0002014818870577045,0.00012467778584720113
2021-01-02 21:30:00,651,125,434.0,748.5,0.00022487675820981518,0.00013080184671279262
2021-01-02 21:45:00,591,118,474.0,774.5,0.00020516331138444616,0.0001251976106354309
2021-01-02 22:00:00,753,134,367.5,720.5,0.00025483535706900763,0.00013917147275614562
2021-01-02 22:15:00,876,135,321.0,703.5,0.00030109787296350764,0.00014309866918237662
2021-01-02 22:30:00,655,92,438.0,959.0,0.00022360214521508482,9.917565625717542e-05
2021-01-02 22:45:00,714,106,384.5,825.5,0.00024820425611202983,0.000116716564833299
2021-01-02 23:00:00,583,108,476.5,829.0,0.00020506730815566404,0.00011931552659576234
2021-01-02 23:15:00,603,107,455.0,819.0,0.00021430368716068583,0.00012051232379296209
2021-01-02 23:30:00,622,82,436.0,1041.0,0.00022186378419716344,9.228985768228652e-05
2021-01-02 23:45:00,524,91,508.0,921.5,0.0001922056923696541,0.00010540984157248315
2021-01-03 00:00:00,554,81,482.5,1019.0,0.0002024098463256219,9.407020889393176e-05
2021-01-03 00:15:00,556,94,469.0,866.0,0.00020707257111508956,0.000112839855036799
2021-01-03 00:30:00,507,104,506.0,762.5,0.00019309143965092723,0.00012754382479402898
2021-01-03 00:45:00,461,80,571.5,979.0,0.00017361732256479108,9.492991205930273e-05
2021-01-03 01:00:00,417,78,595.0,1027.0,0.0001627407890469595,9.20210657455122e-05
2021-01-03 01:15:00,427,102,565.5,750.5,0.0001731586985278672,0.00012994574128312502
