time,count,count_no_rt,rank,rank_no_rt,freq,freq_no_rt
2021-01-02 16:00:00,1077,434,276.0,259.0,0.00034778071021535604,0.0003823653791936848
2021-01-02 16:15:00,1135,432,253.0,257.0,0.00037582557454955565,0.0003919408967644009
2021-01-02 16:30:00,1137,449,252.0,238.0,0.0003804337279092473,0.00041204265788621203
2021-01-02 16:45:00,1082,402,270.0,280.5,0.000356727326796849,0.00036372486837593225
2021-01-02 17:00:00,1068,398,265.0,281.5,0.0003541833933753777,0.00035781038027691653
2021-01-02 17:15:00,1005,366,279.0,296.0,0.00034204393886228364,0.000343867646658142
2021-01-02 17:30:00,1116,425,257.0,255.0,0.0003773392242433013,0.0004036658558523476
2021-01-02 17:45:00,1076,387,276.0,272.5,0.00036005311118011757,0.0003706222047711624
2021-01-02 18:00:00,1064,370,282.0,303.5,0.00035642813450740223,0.0003447273486181092
2021-01-02 18:15:00,1085,406,284.0,263.5,0.0003651407373554455,0.0003886852386728409
2021-01-02 18:30:00,1070,417,262.5,248.5,0.00036869992615664096,0.0004034477854393082
2021-01-02 18:45:00,1062,388,265.0,265.5,0.00036622205056760965,0.0003788289304233804
2021-01-02 19:00:00,1235,421,244.0,275.5,0.00041362254983063246,0.00038772719109608913
2021-01-02 19:15:00,1128,347,258.0,304.5,0.00038180470418597415,0.00033676242236024845
2021-01-02 19:30:00,990,350,285.0,298.5,0.00034238154376725524,0.00034979047550517234
2021-01-02 19:45:00,994,350,276.5,296.5,0.0003488835725677831,0.00035474435094959994
2021-01-02 20:00:00,1023,347,271.0,298.0,0.000356456177493573,0.000347333787770047
2021-01-02 20:15:00,1029,343,262.0,297.0,0.0003632386912393464,0.0003513404714517941
2021-01-02 20:30:00,1090,331,252.0,305.0,0.0003855422368594649,0.0003428250649658677
2021-01-02 20:45:00,1011,322,263.0,302.5,0.00035622511313054226,0.0003368218453025382
2021-01-02 21:00:00,988,354,268.0,285.5,0.00034390804149591643,0.0003624928448622783
2021-01-02 21:15:00,866,300,305.0,338.0,0.00030239742494275924,0.00031169446461800287
2021-01-02 21:30:00,983,336,275.0,292.0,0.00033956045056873785,0.00035159536396398656
2021-01-02 21:45:00,975,314,270.0,311.0,0.0003384673918778935,0.00033315296389428234
2021-01-02 22:00:00,924,298,297.5,335.5,0.0003127063345707344,0.00030950073792038353
2021-01-02 22:15:00,902,299,310.0,322.5,0.0003100345678231552,0.00031693705248541184
2021-01-02 22:30:00,923,306,301.0,317.5,0.00031509126722675313,0.00032986685668147473
2021-01-02 22:45:00,892,291,309.0,333.5,0.0003100815076357572,0.00032042000345745294
2021-01-02 23:00:00,848,271,314.5,353.5,0.0002982797209536931,0.0002993935898838109
2021-01-02 23:15:00,901,318,291.0,288.0,0.00032021164532633164,0.00035815812117908355
2021-01-02 23:30:00,878,266,295.5,343.5,0.0003131774960210764,0.00029937929443278323
2021-01-02 23:45:00,860,290,291.0,306.0,0.00031545209053034833,0.00033592147314307825
2021-01-03 00:00:00,838,286,304.0,310.5,0.0003061722946225112,0.0003321491326378332
2021-01-03 00:15:00,840,266,290.5,326.0,0.0003128434527638043,0.00031931278127434614
2021-01-03 00:30:00,808,261,299.0,324.0,0.0003077275803509846,0.00032008594491578435
2021-01-03 00:45:00,818,270,309.0,321.5,0.000308067179735356,0.0003203884532001467
2021-01-03 01:00:00,813,270,299.0,325.5,0.00031728599878939586,0.00031853445834984987
2021-01-03 01:15:00,798,282,303.0,296.0,0.00032360805954388303,0.0003592617553121692
2021-01-03 01:30:00,800,256,291.0,313.0,0.0003350584656081332,0.00033268485777072557
2021-01-03 01:45:00,720,259,290.5,307.0,0.0003130029239689814,0.0003528398842576194
